,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.65,5.51,3.62,3.16,2.55,1.98,1.39,0.77,,,1.86,1.96,1.84,1.50,1.16,1.01,0.88,0.89,0.72,0.66
Earnings per Share,-1.40,-1.44,-0.80,-0.57,0.62,0.070,-0.030,-0.24,,,-0.004,-0.063,0.055,-0.11,-0.031,0.032,-0.13,0.010,0.005,0.011
Revenue per Share,5.00,1.90,1.90,1.25,1.81,1.07,1.02,0.88,,,0.25,0.24,0.26,0.20,0.21,0.29,0.18,0.27,0.29,0.27
Dividend per Share,0.20,,,,,0.15,0.10,,,,0.050,0.00,0.050,,,,,,,
Capital Expenditures per Share,0.034,0.014,0.013,0.012,0.014,0.030,0.009,0.005,,,0.002,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.002
Book Value per Share,0.61,0.99,0.65,0.72,1.28,1.26,1.15,0.86,,,1.21,1.12,1.15,1.03,0.93,0.99,0.86,0.88,0.89,0.87
Price to Earnings Ratio,,,,,4.45,29.1,,,,,25.9,,,,,,,,,
Price to Book Value Ratio,6.07,5.20,4.88,3.92,2.21,1.57,1.52,0.87,,,1.54,1.59,1.52,1.04,1.17,0.88,0.87,0.94,0.65,0.75
EV to EBITDA,-1.74,-3.43,-3.46,-8.49,14.3,19.6,19.4,-3.88,,,14.9,22.6,19.4,"-3,993",-16.6,-32.1,-3.88,-7.89,-15.0,-7.89
Dividend Payout Ratio,-14.3%,,,,,214.3%,-333.3%,,,,72.7%,0.0%,-2956.8%,,,,,,,
Common Shares Outstanding,"1,187","3,512","3,512","4,215","4,215","4,215","4,215","4,215",,,"4,215","4,215","4,215","4,215","4,215","4,215","4,215","4,215","4,215","4,215"
Total Revenue,"5,940","6,671","6,691","5,265","7,626","4,495","4,309","3,715",,,"1,042","1,028","1,103",832.4,864.4,"1,239",779.8,"1,120","1,241","1,157"
"Cost of Revenue, Total","7,650","11,620","9,837","6,480","4,017","3,712","3,581","3,928",,,897.2,888.2,842.4,888.5,963.2,993.5,"1,083",958.2,"1,105",973.2
Gross Profit,"-1,710","-4,949","-3,146","-1,216","3,609",783.3,727.8,-213.2,,,144.4,139.8,260.4,-56.1,-98.8,245.1,-303.4,162.0,136.3,183.4
"Selling/General/Administrative Expenses, Total",140.6,128.4,159.9,179.1,132.1,187.1,198.3,196.8,,,53.9,47.0,49.9,111.7,17.9,21.8,45.5,43.6,47.3,44.5
Operating Income,"-2,031","-5,322","-3,469","-1,566","3,279",373.4,273.1,-687.6,,,30.8,29.9,144.3,-232.8,-180.2,156.7,-431.2,45.3,18.4,64.0
Net Income,"-1,660","-4,349","-2,799","-1,953","2,655",277.7,-111.2,"-1,012",,,-14.9,-265.8,119.4,-478.3,-131.5,134.4,-536.3,40.1,23.1,45.8
EBITDA,"-2,014","-5,304","-3,448","-1,546","3,297",391.0,299.5,-664.6,,,30.8,29.9,170.7,-232.8,-180.2,156.7,-425.3,51.0,24.3,69.4
Gross Profit Margin,-28.8%,-74.2%,-47.0%,-23.1%,47.3%,17.4%,16.9%,-5.7%,,,13.9%,13.6%,23.6%,-6.7%,-11.4%,19.8%,-38.9%,14.5%,11.0%,15.9%
Operating Margin,-34.2%,-79.8%,-51.9%,-29.8%,43.0%,8.3%,6.3%,-18.5%,,,3.0%,2.9%,13.1%,-28.0%,-20.9%,12.6%,-55.3%,4.0%,1.5%,5.5%
Net Profit Margin,-28.0%,-65.2%,-41.8%,-37.1%,34.8%,6.2%,-2.6%,-27.2%,,,-1.4%,-25.9%,10.8%,-57.5%,-15.2%,10.8%,-68.8%,3.6%,1.9%,4.0%
Return on Assets,-9.5%,-14.7%,-9.1%,-9.2%,17.8%,1.9%,-0.8%,-9.1%,,,1.9%,-0.9%,-0.9%,-5.3%,-6.9%,-3.5%,-10.1%,-5.1%,-3.5%,-4.6%
Return on Equity,-228.1%,-125.1%,-123.1%,-64.0%,49.1%,5.2%,-2.3%,-28.0%,,,-0.3%,-5.6%,2.5%,-11.0%,-3.3%,3.2%,-14.8%,1.1%,0.6%,1.2%
Return on Total Capital,-227.3%,-125.1%,-123.1%,-63.6%,48.9%,5.2%,-2.3%,-28.0%,,,5.3%,-2.7%,-2.3%,-14.7%,-19.2%,-8.5%,-28.0%,-13.4%,-9.0%,-11.6%
SG&A to Sale,2.4%,1.9%,2.4%,3.4%,1.7%,4.2%,4.6%,5.3%,,,5.2%,4.6%,4.5%,13.4%,2.1%,1.8%,5.8%,3.9%,3.8%,3.8%
Depreciation & Amortisation,17.1,17.3,21.4,20.7,18.1,17.7,26.4,23.0,,,,,26.4,,,,5.91,5.79,5.91,5.39
Tax Rate,19.1%,18.7%,21.0%,-34.0%,19.6%,18.6%,135.2%,-47.1%,,,128.5%,982.0%,16.4%,-105.4%,27.1%,14.2%,-24.3%,11.3%,-25.1%,28.6%
Current Ratio,1.40,1.26,1.12,0.60,0.45,0.49,0.70,0.63,,,0.66,0.69,0.70,0.77,0.69,0.75,0.63,0.56,0.64,0.62
Quick Ratio,0.017,0.016,0.012,0.010,0.004,0.004,0.005,0.006,,,0.039,0.003,0.005,0.004,0.006,0.004,0.006,0.006,0.008,0.006
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
