,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.75,1.04,1.61,1.27,1.38,1.82,1.94,1.54,,,2.01,2.17,2.13,1.98,1.97,1.78,1.59,1.60,1.58,1.47
Earnings per Share,0.033,0.047,0.058,0.044,0.057,0.033,0.071,0.059,,,0.015,0.018,0.026,0.014,0.014,0.013,0.008,0.008,0.011,0.010
Revenue per Share,0.21,0.24,0.24,0.21,0.24,0.23,0.28,0.43,,,0.062,0.080,0.084,0.082,0.078,0.12,0.17,0.16,0.17,0.17
Dividend per Share,0.022,0.020,0.050,0.039,0.048,0.029,0.036,0.038,,,0.018,0.00,0.018,,0.018,0.00,0.020,0.00,,0.012
Capital Expenditures per Share,0.018,0.003,0.001,0.021,0.00,0.007,0.10,0.034,,,0.052,0.011,0.016,0.020,0.007,0.005,0.008,0.048,0.000,0.020
Book Value per Share,0.17,0.20,0.23,0.22,0.24,0.33,0.45,0.61,,,0.35,0.35,0.45,0.43,0.38,0.65,0.61,0.67,0.65,0.62
Price to Earnings Ratio,11.9,23.2,14.5,33.4,20.1,38.8,27.7,26.1,,,58.8,45.2,27.7,26.3,27.0,23.3,30.7,35.3,38.0,38.4
Price to Book Value Ratio,2.31,5.60,3.81,5.48,4.46,4.05,4.27,2.58,,,5.52,5.81,4.27,4.28,5.08,2.35,2.58,2.27,2.31,2.31
EV to EBITDA,4.42,14.3,8.34,30.5,12.1,23.2,20.8,13.5,,,29.6,30.4,20.8,18.6,16.0,13.4,13.5,11.9,11.9,11.7
Dividend Payout Ratio,66.3%,43.8%,86.6%,87.9%,84.6%,87.3%,50.8%,64.9%,,,55.5%,0.0%,25.5%,,24.6%,0.0%,40.1%,0.0%,,33.2%
Common Shares Outstanding,"3,009","3,009","3,009","3,009","3,009","3,343","3,439","4,127",,,"3,343","3,343","3,439","3,439","3,439","4,127","4,127","4,332","4,333","4,332"
Total Revenue,635.5,732.4,724.6,622.1,719.2,752.9,962.1,"1,776",,,206.3,268.1,287.2,283.2,269.4,500.0,713.4,701.8,729.1,757.4
"Cost of Revenue, Total",306.5,379.5,317.4,305.7,309.0,330.0,389.6,900.5,,,87.3,106.2,107.4,109.1,102.8,280.6,425.1,457.1,437.1,482.2
Gross Profit,329.0,352.9,407.2,316.4,410.1,422.8,572.5,875.8,,,119.1,161.9,179.8,174.1,166.6,219.4,288.3,244.7,292.0,275.2
"Selling/General/Administrative Expenses, Total",195.4,192.3,210.7,195.7,193.7,281.5,313.0,524.9,,,64.5,78.7,103.4,111.7,97.8,128.2,175.9,151.8,184.9,239.2
Operating Income,133.6,160.6,196.6,120.6,216.5,141.3,259.5,350.9,,,54.6,83.2,76.4,62.3,68.8,91.2,112.4,93.0,107.1,36.1
Net Income,98.0,140.2,173.8,133.5,170.7,102.0,220.9,215.3,,,50.8,60.0,72.9,49.5,49.5,49.0,31.9,33.1,46.8,41.9
EBITDA,148.2,175.8,213.7,141.4,242.6,177.1,334.9,473.3,,,70.2,107.1,99.4,86.4,104.6,129.4,145.9,126.2,154.8,108.9
Gross Profit Margin,51.8%,48.2%,56.2%,50.9%,57.0%,56.2%,59.5%,49.3%,,,57.7%,60.4%,62.6%,61.5%,61.8%,43.9%,40.4%,34.9%,40.1%,36.3%
Operating Margin,21.0%,21.9%,27.1%,19.4%,30.1%,18.8%,27.0%,19.8%,,,26.5%,31.0%,26.6%,22.0%,25.5%,18.2%,15.7%,13.2%,14.7%,4.8%
Net Profit Margin,15.4%,19.1%,24.0%,21.5%,23.7%,13.5%,23.0%,12.1%,,,24.6%,22.4%,25.4%,17.5%,18.4%,9.8%,4.5%,4.7%,6.4%,5.5%
Return on Assets,14.6%,19.0%,21.6%,15.7%,19.7%,8.1%,11.6%,6.9%,,,5.8%,7.3%,10.7%,11.1%,11.8%,7.9%,4.6%,3.9%,3.5%,3.2%
Return on Equity,18.8%,23.3%,25.2%,20.3%,23.4%,9.2%,14.3%,8.5%,,,4.4%,5.2%,4.7%,3.3%,3.8%,1.8%,1.3%,1.1%,1.7%,1.6%
Return on Total Capital,18.8%,23.3%,25.2%,20.1%,23.1%,9.1%,14.3%,8.5%,,,9.1%,12.5%,14.3%,15.8%,17.8%,8.3%,7.1%,5.7%,5.7%,5.7%
SG&A to Sale,30.7%,26.3%,29.1%,31.5%,26.9%,37.4%,32.5%,29.5%,,,31.3%,29.4%,36.0%,39.5%,36.3%,25.6%,24.7%,21.6%,25.4%,31.6%
Depreciation & Amortisation,14.6,15.2,17.1,20.8,26.1,35.8,75.5,122.4,,,15.6,24.0,23.0,24.1,35.9,38.2,33.6,33.2,47.6,72.9
Tax Rate,32.1%,22.7%,19.4%,18.2%,20.6%,26.5%,17.9%,23.7%,,,8.4%,19.7%,20.8%,20.4%,23.1%,26.9%,35.8%,44.1%,37.0%,0.3%
Current Ratio,2.40,3.71,4.81,4.03,5.37,1.95,1.37,1.50,,,0.89,0.91,1.37,1.50,1.05,2.26,1.50,1.70,1.48,1.14
Quick Ratio,1.00,1.74,2.37,2.63,3.33,1.06,0.74,0.83,,,0.40,0.45,0.74,0.64,0.53,0.76,0.83,0.85,0.76,0.52
Days Inventory Outstanding,6.42,7.48,12.2,9.41,3.38,1.60,0.00,0.00,,,4.08,1.91,0.00,0.00,0.00,14.4,9.43,0.00,0.00,0.00
Days Sale Outstanding,84.3,83.9,80.4,101.2,178.7,140.7,137.6,227.5,,,122.5,129.0,137.6,96.3,84.8,176.6,228.8,174.5,165.4,112.0
Days Payable Outstanding,81.1,65.4,61.6,48.7,36.4,33.4,23.8,37.4,,,53.4,35.6,28.1,25.6,27.6,42.9,56.0,52.5,40.7,31.2
Cash Conversion Cycle,-3.51,29.1,39.7,66.6,108.2,125.3,110.1,87.4,,,84.4,85.3,113.9,79.1,67.7,70.2,130.0,127.3,122.6,104.1
Debt to Asset Ratio,0.27,0.20,0.17,0.20,0.17,0.29,0.25,0.34,,,0.39,0.38,0.25,0.24,0.28,0.25,0.34,0.30,0.36,0.40
Debt to Equity Ratio,0.38,0.25,0.21,0.25,0.21,0.42,0.35,0.55,,,0.66,0.64,0.35,0.32,0.41,0.34,0.55,0.45,0.61,0.72
Interest Coverage Ratio,"2,253",256.8,289.6,94.9,74.5,40.4,33.2,31.5,,,74.5,22.1,34.7,36.7,40.1,23.6,18.7,43.7,31.7,6.91
Cash and Short Term Investments,258.5,301.6,418.4,336.4,163.3,484.2,210.9,652.7,,,260.6,202.7,210.9,268.4,135.1,"1,073",652.7,797.3,821.9,818.8
"Total Receivables, Net",146.7,168.3,159.6,172.5,352.1,290.1,362.7,"1,107",,,263.4,309.8,362.7,275.6,257.5,648.1,"1,107","1,044","1,198",890.0
Total Inventory,7.19,8.37,12.9,2.83,2.89,,,,,,3.91,,,,,47.4,,,,
