,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.63,0.98,1.26,1.38,0.95,0.74,0.65,0.60,,,0.75,0.68,0.66,0.63,0.63,0.61,0.63,0.61,0.59,0.55
Earnings per Share,0.041,-0.11,0.093,0.034,0.030,0.032,0.019,0.024,,,0.004,0.005,0.006,0.015,0.006,0.007,-0.004,0.010,-0.002,0.000
Revenue per Share,0.65,0.87,0.91,0.91,0.97,1.03,1.02,1.07,,,0.23,0.27,0.30,0.27,0.25,0.27,0.27,0.28,0.26,0.25
Dividend per Share,,,0.005,0.005,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.064,0.099,0.043,0.14,0.29,0.26,0.082,0.14,,,0.019,0.026,0.006,0.028,0.028,0.026,0.053,0.027,0.015,0.024
Book Value per Share,1.39,1.31,1.40,1.43,1.48,1.52,1.53,1.56,,,1.52,1.53,1.53,1.55,1.56,1.56,1.56,1.57,1.57,1.57
Price to Earnings Ratio,7.60,,6.06,48.7,30.2,25.4,32.0,24.7,,,45.9,38.5,32.0,20.2,18.4,17.1,24.7,31.0,56.4,121.9
Price to Book Value Ratio,0.23,0.76,0.49,1.05,0.71,0.52,0.39,0.38,,,0.47,0.40,0.39,0.38,0.38,0.37,0.38,0.39,0.35,0.34
EV to EBITDA,9.31,9.64,11.6,18.4,14.3,15.4,15.0,13.5,,,18.0,21.0,15.0,14.5,14.9,15.2,13.5,13.2,14.0,14.6
Dividend Payout Ratio,,,4.9%,15.2%,,,,,,,,,,,,,,,,
Common Shares Outstanding,"2,504","2,504","2,504","2,504","2,504","2,504","2,504","2,504",,,"2,504","2,504","2,504","2,504","2,504","2,504","2,504","2,504","2,504","2,504"
Total Revenue,"1,640","2,184","2,268","2,284","2,436","2,571","2,562","2,675",,,579.1,687.6,749.5,688.1,634.9,680.5,671.0,701.4,639.4,629.7
"Cost of Revenue, Total",523.9,854.9,"1,008",969.1,952.2,"1,016",910.9,938.9,,,195.0,262.1,280.5,249.5,220.8,247.1,221.5,257.7,224.5,220.5
Gross Profit,"1,116","1,329","1,260","1,315","1,484","1,554","1,651","1,736",,,384.1,425.5,469.0,438.6,414.1,433.5,449.5,443.6,414.9,409.2
"Selling/General/Administrative Expenses, Total",804.9,890.9,978.7,980.7,"1,122","1,211","1,329","1,339",,,305.2,340.5,390.7,337.7,330.0,339.6,351.2,343.1,334.1,347.7
Operating Income,331.6,430.8,323.7,311.1,342.6,308.0,352.1,398.1,,,97.2,97.5,54.9,123.8,110.1,93.2,64.0,113.5,74.8,82.7
Net Income,103.4,-282.9,232.3,84.2,75.6,79.0,48.5,60.9,,,10.8,11.8,15.7,38.3,16.0,16.4,-9.81,25.0,-5.44,0.94
EBITDA,399.5,510.3,429.7,422.3,450.7,428.4,493.3,519.3,,,131.0,132.0,92.4,154.9,140.7,123.5,93.1,144.2,106.6,117.1
Gross Profit Margin,68.1%,60.9%,55.6%,57.6%,60.9%,60.5%,64.5%,64.9%,,,66.3%,61.9%,62.6%,63.7%,65.2%,63.7%,67.0%,63.3%,64.9%,65.0%
Operating Margin,20.2%,19.7%,14.3%,13.6%,14.1%,12.0%,13.7%,14.9%,,,16.8%,14.2%,7.3%,18.0%,17.3%,13.7%,9.5%,16.2%,11.7%,13.1%
Net Profit Margin,6.3%,-13.0%,10.2%,3.7%,3.1%,3.1%,1.9%,2.3%,,,1.9%,1.7%,2.1%,5.6%,2.5%,2.4%,-1.5%,3.6%,-0.9%,0.1%
Return on Assets,1.5%,-4.0%,3.3%,1.1%,0.9%,0.8%,0.5%,0.6%,,,0.4%,0.4%,0.5%,0.7%,0.8%,0.8%,0.6%,0.4%,0.2%,0.1%
Return on Equity,3.0%,-8.6%,6.6%,2.3%,2.0%,2.1%,1.3%,1.6%,,,0.3%,0.3%,0.4%,1.0%,0.4%,0.4%,-0.3%,0.6%,-0.1%,0.0%
Return on Total Capital,2.3%,-6.2%,5.0%,1.8%,1.3%,1.2%,0.8%,1.0%,,,0.6%,0.6%,0.8%,1.2%,1.3%,1.3%,1.0%,0.8%,0.4%,0.2%
SG&A to Sale,49.1%,40.8%,43.2%,42.9%,46.1%,47.1%,51.9%,50.1%,,,52.7%,49.5%,52.1%,49.1%,52.0%,49.9%,52.3%,48.9%,52.2%,55.2%
Depreciation & Amortisation,67.9,79.5,106.1,111.2,108.2,120.4,141.2,121.2,,,33.9,34.6,37.6,31.1,30.6,30.3,29.1,30.6,31.8,34.4
