,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.63,5.69,6.10,9.58,15.2,15.1,9.75,8.60,,,16.4,15.1,11.4,9.10,7.95,7.30,7.20,7.75,8.95,9.80
Earnings per Share,0.95,0.45,0.70,0.17,1.24,2.60,1.02,0.91,,,0.051,0.34,0.80,0.39,0.15,0.11,0.27,0.15,0.25,0.42
Revenue per Share,6.67,5.13,4.59,1.97,7.58,12.1,7.02,6.90,,,1.07,2.06,3.59,1.58,2.11,2.22,1.28,0.92,1.97,2.03
Dividend per Share,0.50,0.18,0.20,0.20,0.70,1.36,0.60,0.50,,,,0.20,0.40,,,,0.50,,,0.25
Capital Expenditures per Share,0.060,0.22,0.20,0.39,0.21,0.47,0.58,0.94,,,0.14,0.11,0.13,0.022,0.046,0.15,0.74,0.092,0.063,0.051
Book Value per Share,4.68,4.53,4.71,4.14,4.97,6.02,5.68,6.11,,,5.33,5.03,5.68,6.11,6.00,5.88,6.11,6.14,5.86,6.21
Price to Earnings Ratio,9.92,13.6,7.46,40.8,8.53,6.24,10.3,8.00,,,10.2,17.9,10.1,5.26,4.57,4.88,8.01,10.3,10.9,9.00
Price to Book Value Ratio,1.71,1.25,1.12,1.81,2.23,2.59,1.76,1.11,,,3.13,2.31,1.76,1.12,1.17,1.13,1.11,1.27,1.54,1.54
EV to EBITDA,5.63,9.05,2.66,20.6,6.17,4.48,6.54,4.03,,,6.92,10.8,6.54,2.26,2.83,2.72,4.03,5.49,6.66,5.92
Dividend Payout Ratio,52.5%,40.1%,28.7%,115.0%,56.4%,52.4%,58.6%,54.8%,,,,24.7%,38.0%,,,,54.9%,,,23.0%
Common Shares Outstanding,500.0,500.0,500.0,500.0,477.2,473.0,450.0,477.0,,,471.4,450.0,450.0,450.0,450.0,460.5,477.0,477.0,477.0,477.0
Total Revenue,"3,337","2,565","2,294",985.1,"3,617","5,721","3,158","3,292",,,505.1,925.6,"1,618",709.7,947.4,"1,023",612.4,439.9,939.5,967.9
"Cost of Revenue, Total","2,322","2,025","1,542",658.4,"2,310","3,436","1,759","2,164",,,251.0,550.8,877.6,339.2,635.0,798.8,391.4,296.9,679.9,585.0
Gross Profit,"1,015",540.8,751.5,326.7,"1,306","2,285","1,399","1,128",,,254.1,374.8,740.1,370.5,312.4,223.8,221.0,143.0,259.6,382.9
