,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,15.5,24.9,22.9,24.6,22.7,22.6,16.2,9.10,,,22.2,22.1,20.9,16.6,13.6,11.9,10.9,9.73,8.93,7.60
Earnings per Share,1.15,1.36,2.54,2.21,1.79,1.71,1.12,0.69,,,0.21,0.18,0.28,0.26,0.20,0.095,0.13,0.056,0.012,0.19
Revenue per Share,5.35,5.29,7.53,7.01,6.10,5.76,5.10,4.28,,,1.12,1.12,1.31,1.31,1.11,0.99,0.86,0.88,0.82,1.04
Dividend per Share,1.17,1.25,2.48,1.65,1.79,1.70,1.10,0.68,,,0.65,0.00,0.45,,0.40,0.00,0.28,,0.68,0.00
Capital Expenditures per Share,0.14,0.13,0.20,0.27,0.065,0.070,0.049,0.063,,,0.012,0.025,0.007,0.011,0.012,0.033,0.007,0.009,0.005,0.024
Book Value per Share,7.77,7.96,9.24,8.56,8.44,8.61,8.16,7.99,,,8.34,7.88,8.16,8.42,8.16,7.86,7.99,8.05,7.80,7.31
Price to Earnings Ratio,13.2,12.0,8.23,10.7,12.9,12.9,18.9,15.5,,,13.7,17.1,18.9,19.9,14.3,13.0,15.5,17.2,29.2,17.8
Price to Book Value Ratio,1.96,2.79,2.25,2.66,2.68,2.54,2.29,1.26,,,2.61,2.74,2.29,1.43,1.62,1.29,1.26,1.13,1.07,0.92
EV to EBITDA,7.58,12.4,9.27,13.8,15.5,15.0,22.7,26.5,,,16.3,20.4,22.7,26.8,23.5,23.3,26.5,34.1,40.6,40.0
Dividend Payout Ratio,101.8%,92.2%,97.7%,74.5%,100.2%,99.4%,98.3%,99.2%,,,40.7%,0.0%,40.2%,,43.5%,0.0%,40.9%,,230.8%,0.0%
Common Shares Outstanding,569.2,570.8,570.8,570.8,570.8,570.8,570.8,570.8,,,570.8,570.8,570.8,570.8,570.8,570.8,570.8,570.8,570.8,570.8
Total Revenue,"3,063","3,022","4,298","4,004","3,496","3,285","2,895","2,452",,,641.7,633.6,746.9,745.6,625.3,567.8,513.3,504.1,469.6,596.4
"Cost of Revenue, Total",203.0,206.3,273.9,245.1,229.3,239.6,263.4,240.3,,,58.4,62.4,67.9,64.5,55.8,61.4,58.6,53.6,58.6,67.4
Gross Profit,"1,629","1,791","2,616","2,417","2,083","2,006","1,582","1,184",,,335.0,329.2,397.9,363.6,309.7,244.8,265.5,194.5,162.3,306.1
"Selling/General/Administrative Expenses, Total",542.6,552.0,644.9,609.6,596.4,239.6,372.8,344.9,,,86.1,89.9,94.5,91.0,81.9,61.4,84.6,78.8,70.6,67.4
Operating Income,962.4,"1,022","1,786","1,590","1,281","1,223",800.8,490.5,,,150.7,130.8,200.2,183.0,143.6,69.6,94.3,39.7,7.36,139.6
Net Income,654.2,743.9,"1,446","1,264","1,019",974.5,638.6,391.3,,,119.0,104.1,158.5,148.8,113.0,54.4,75.0,32.2,6.96,109.9
EBITDA,"1,016","1,087","1,863","1,664","1,369","1,312",881.4,558.7,,,175.0,154.8,207.9,204.3,164.1,90.2,100.1,55.8,17.6,158.8
Gross Profit Margin,53.5%,59.3%,60.9%,60.4%,59.8%,61.0%,54.4%,48.4%,,,52.2%,51.4%,53.2%,48.5%,49.0%,43.1%,53.8%,38.6%,34.6%,51.3%
Operating Margin,31.6%,33.8%,41.6%,39.7%,36.8%,37.2%,27.5%,20.1%,,,23.5%,20.4%,26.8%,24.4%,22.7%,12.3%,19.1%,7.9%,1.6%,23.4%
Net Profit Margin,21.4%,24.6%,33.6%,31.6%,29.2%,29.7%,22.1%,16.0%,,,18.6%,16.4%,21.2%,20.0%,18.1%,9.6%,14.6%,6.4%,1.5%,18.4%
Return on Assets,8.1%,7.0%,10.1%,7.2%,5.3%,5.6%,3.6%,2.2%,,,4.9%,3.9%,3.4%,2.7%,2.7%,2.6%,2.3%,1.6%,1.0%,1.4%
Return on Equity,14.8%,16.4%,27.4%,25.9%,21.2%,19.8%,13.7%,8.6%,,,2.5%,2.3%,3.4%,3.1%,2.4%,1.2%,1.6%,0.7%,0.2%,2.6%
Return on Total Capital,14.8%,16.3%,27.3%,17.3%,17.4%,16.5%,13.7%,8.6%,,,15.8%,13.3%,13.7%,11.0%,11.2%,10.6%,8.6%,6.0%,3.8%,5.4%
SG&A to Sale,17.8%,18.3%,15.0%,15.2%,17.1%,7.3%,12.8%,14.1%,,,13.4%,14.0%,12.6%,12.1%,13.0%,10.8%,17.1%,15.6%,15.0%,11.3%
Depreciation & Amortisation,53.2,64.8,77.4,74.7,87.3,88.3,80.6,68.2,,,24.3,24.0,7.68,21.3,20.5,20.6,5.78,16.1,10.2,19.1
Tax Rate,32.0%,24.3%,19.7%,20.5%,20.5%,20.3%,20.2%,20.2%,,,21.0%,20.4%,20.8%,18.7%,21.3%,21.8%,20.4%,18.9%,5.4%,21.3%
Current Ratio,2.59,1.46,1.53,1.53,1.47,1.54,1.31,1.38,,,1.43,1.41,1.31,1.32,1.30,1.34,1.38,1.35,1.42,1.34
Quick Ratio,2.39,1.42,1.44,1.47,1.41,1.41,1.12,1.28,,,1.23,1.21,1.12,1.11,1.12,1.18,1.28,1.20,1.19,1.26
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,726.0,"1,590","1,118","1,738","1,745","1,655","1,958","2,187",,,"1,621","1,911","1,958","2,125","2,184","1,998","2,187","2,518","2,174","2,611"
Days Payable Outstanding,"3,790","4,538","4,612","5,714","5,525","4,189","4,823","3,834",,,"4,485","4,769","5,207","4,469","3,640","3,182","2,558","3,180","3,913","3,342"
Cash Conversion Cycle,"-1,915","-7,089","-3,817","-7,086","-3,387","-5,046","-4,966","-2,120",,,"-4,092","-5,341","-4,972","-3,678","-3,471","-2,785","-2,119","-4,018","-3,727","-2,931"
Debt to Asset Ratio,0.38,0.68,0.64,0.76,0.73,0.71,0.75,0.72,,,0.74,0.76,0.75,0.76,0.76,0.74,0.72,0.74,0.70,0.74
Debt to Equity Ratio,0.62,2.08,1.78,3.22,2.73,2.42,3.07,2.59,,,2.79,3.19,3.07,3.11,3.23,2.90,2.59,2.82,2.39,2.91
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,712.0,441.2,"1,043",806.2,766.1,"1,155","2,606","1,133",,,"2,326","2,276","2,606","2,881","2,478","2,033","1,133","1,765","2,327",917.8
"Total Receivables, Net","6,063","13,168","13,156","19,068","16,656","14,895","15,601","14,639",,,"14,713","15,850","15,601","16,179","16,569","14,765","14,639","15,156","12,120","14,757"
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"6,853","13,626","14,215","20,063","17,498","16,366","18,461","15,994",,,"17,324","18,558","18,461","19,347","19,293","17,066","15,994","17,171","14,666","15,863"
"Property/Plant/Equipment, Total - Net",142.6,154.6,221.5,274.0,251.0,191.4,132.8,99.4,,,158.6,147.9,132.8,121.1,110.0,111.5,99.4,90.2,82.3,83.2
Total Assets,"7,166","13,999","14,685","20,613","17,989","16,803","18,924","16,360",,,"18,056","18,835","18,924","19,741","19,692","17,482","16,360","17,551","15,080","16,298"
Accounts Payable,"1,098","4,033","2,890","4,784","2,156","3,343","3,618","1,432",,,"3,008","3,897","3,618","2,583","2,415","1,937","1,432","2,567","2,413","1,950"
Accrued Expenses,556.2,409.5,518.1,584.5,434.4,374.2,244.6,173.1,,,206.9,204.9,244.6,152.7,202.3,210.3,173.1,115.4,140.0,166.0
Debt Due,861.1,"4,290","5,690","7,490","9,224","6,812","10,123","9,930",,,"8,787","8,987","10,123","11,855","12,123","10,584","9,930","9,993","7,735","9,693"
Total Current Liabilities,"2,649","9,323","9,270","13,098","11,926","10,660","14,043","11,579",,,"12,097","13,124","14,043","14,686","14,810","12,748","11,579","12,722","10,357","11,847"
Long Term Debt,12.6,12.1,11.7,"2,410","1,036","1,006",9.21,4.00,,,997.5,982.5,9.21,12.9,7.52,10.0,4.00,8.37,2.95,6.01
Total Liabilities,"2,746","9,456","9,409","15,729","13,170","11,888","14,269","11,798",,,"13,292","14,338","14,269","14,937","15,032","12,996","11,798","12,957","10,630","12,126"
Common Stock,"2,854","2,854","2,854","2,854","2,854","2,854","2,854","2,854",,,"2,854","2,854","2,854","2,854","2,854","2,854","2,854","2,854","2,854","2,854"
Additional Paid-In Capital,528.9,542.8,542.8,542.8,542.8,542.8,542.8,542.8,,,542.8,542.8,542.8,542.8,542.8,542.8,542.8,542.8,542.8,542.8
Retained Earnings (Accumulated Deficit),"1,048","1,147","1,879","1,487","1,422","1,517","1,258","1,164",,,"1,367","1,100","1,258","1,407","1,263","1,089","1,164","1,196","1,053",774.8
Shareholders' Equity,"4,420","4,543","5,276","4,884","4,819","4,914","4,655","4,561",,,"4,763","4,497","4,655","4,804","4,660","4,486","4,561","4,593","4,450","4,172"
Cash from Operating Activities,-393.7,"-3,683",-700.1,"-3,756",0.30,"3,433","-1,197",761.3,,,"1,313",-486.9,77.0,"-1,823",8.73,"2,183",392.7,41.3,"3,920","-2,965"
Cash from Investing Activities,367.0,450.5,857.4,745.9,986.4,-53.2,-34.0,-38.9,,,-8.48,-14.4,-5.14,-8.22,-6.65,-19.6,-4.43,-7.91,-4.87,-21.6
Cash from Financing Activities,-611.2,"3,097",414.5,"2,387",-851.7,"-3,412","1,273",-743.4,,,-952.5,-98.9,20.9,"1,787",17.9,"-1,981",-566.8,92.7,"-2,707","1,645"
Net Change in Cash,-637.9,-135.7,571.7,-623.8,135.0,-32.9,41.6,-21.0,,,351.9,-600.2,92.7,-44.4,20.0,181.9,-178.5,126.0,"1,208","-1,342"
Free Cashflows,-473.6,"-3,758",-814.2,"-3,912",-36.6,"3,393","-1,225",725.6,,,"1,306",-501.2,73.2,"-1,829",2.13,"2,164",388.8,36.3,"3,917","-2,978"
Free Cashflow per Share,-0.83,-6.58,-1.43,-6.85,-0.064,5.94,-2.15,1.27,,,2.29,-0.88,0.13,-3.20,0.004,3.79,0.68,0.064,6.86,-5.22
