,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.03,1.37,1.31,1.49,0.84,0.60,0.53,0.83,,,0.57,0.55,0.57,0.53,0.51,0.52,0.76,0.81,0.71,0.68
Earnings per Share,0.17,-0.012,0.064,0.011,-0.028,-0.019,-0.044,-0.030,,,0.000,-0.016,-0.027,0.099,-0.008,-0.007,-0.11,0.003,-0.075,0.027
Revenue per Share,0.082,0.10,0.087,0.16,0.060,0.14,0.25,0.17,,,0.076,0.060,0.056,0.046,0.040,0.043,0.043,0.044,0.039,0.039
Dividend per Share,0.095,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.000,0.000,0.000,0.68,0.009,0.007,0.018,0.004,,,0.007,0.007,0.003,0.002,0.000,0.000,0.001,0.000,0.000,0.000
Book Value per Share,0.99,0.90,0.93,0.94,0.66,0.64,0.60,0.57,,,0.64,0.62,0.60,0.69,0.68,0.67,0.57,0.57,0.50,0.52
Price to Earnings Ratio,5.82,,17.3,173.8,,,,,,,,,,9.37,9.38,8.83,,,,
Price to Book Value Ratio,0.85,0.97,1.37,1.93,1.20,0.95,0.87,1.27,,,0.80,0.83,0.87,0.73,0.73,0.76,1.27,1.19,1.33,1.28
EV to EBITDA,-301.1,-14.7,21.5,-708.0,"-2,005",20.0,9.51,-8.88,,,7.56,7.22,9.51,11.3,94.4,98.5,-8.88,-15.0,-6.85,-6.26
Dividend Payout Ratio,57.5%,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,753.2,753.2,753.2,753.2,"1,200","1,200","1,200","1,343",,,"1,200","1,200","1,200","1,343","1,343","1,343","1,343","1,343","1,343","1,343"
Total Revenue,61.6,77.3,65.5,123.3,72.5,162.4,298.0,231.6,,,91.6,72.4,67.1,62.4,53.6,57.6,58.0,59.6,52.2,52.2
"Cost of Revenue, Total",36.0,49.7,29.4,78.8,43.0,91.9,224.0,166.9,,,58.4,59.9,69.0,52.8,39.0,39.1,34.5,35.5,36.0,34.9
Gross Profit,25.6,27.6,36.1,44.5,29.5,70.5,74.0,64.7,,,33.2,12.5,-1.87,9.58,14.5,18.5,23.5,24.0,16.3,17.3
"Selling/General/Administrative Expenses, Total",32.9,51.4,26.5,50.5,65.9,62.3,78.6,238.7,,,20.3,18.6,23.2,32.8,25.9,21.7,159.8,20.7,111.0,21.8
Operating Income,-7.35,-23.8,9.62,-5.95,-36.4,8.28,-4.61,-174.0,,,12.8,-6.09,-25.1,-23.2,-11.4,-3.13,-136.3,3.33,-94.7,-4.44
Net Income,124.3,-8.74,48.1,8.45,-34.0,-22.5,-52.8,-39.3,,,-0.25,-19.1,-32.3,123.0,-10.4,-9.72,-142.1,3.52,-100.9,36.9
EBITDA,-0.88,-13.6,12.4,-0.81,-0.57,74.8,70.9,-101.9,,,31.2,14.5,-6.15,-4.95,6.05,14.5,-117.5,20.3,-77.5,11.4
Gross Profit Margin,41.5%,35.7%,55.1%,36.1%,40.7%,43.4%,24.8%,27.9%,,,36.2%,17.2%,-2.8%,15.4%,27.1%,32.1%,40.6%,40.4%,31.1%,33.2%
Operating Margin,-11.9%,-30.7%,14.7%,-4.8%,-50.1%,5.1%,-1.5%,-75.1%,,,14.0%,-8.4%,-37.4%,-37.1%,-21.2%,-5.4%,-235.0%,5.6%,-181.4%,-8.5%
Net Profit Margin,201.9%,-11.3%,73.5%,6.9%,-46.9%,-13.9%,-17.7%,-17.0%,,,-0.3%,-26.4%,-48.1%,197.0%,-19.5%,-16.9%,-244.9%,5.9%,-193.3%,70.6%
Return on Assets,16.4%,-1.1%,6.6%,1.1%,-3.8%,-1.6%,-3.1%,-2.7%,,,-1.6%,-2.7%,-3.2%,4.1%,3.7%,4.9%,-2.9%,-12.2%,-19.8%,-17.6%
Return on Equity,16.6%,-1.3%,6.9%,1.2%,-4.3%,-2.9%,-7.4%,-5.1%,,,0.0%,-2.5%,-4.5%,13.3%,-1.1%,-1.1%,-18.6%,0.5%,-15.2%,5.2%
Return on Total Capital,16.6%,-1.3%,6.9%,1.2%,-4.1%,-1.4%,-5.9%,-3.4%,,,-2.9%,-4.9%,-5.9%,6.4%,4.6%,5.4%,-3.4%,-13.9%,-24.2%,-21.2%
SG&A to Sale,53.5%,66.5%,40.5%,40.9%,90.8%,38.3%,26.4%,103.1%,,,22.2%,25.7%,34.6%,52.5%,48.4%,37.6%,275.6%,34.8%,212.5%,41.7%
Depreciation & Amortisation,6.47,10.2,2.80,5.14,35.8,66.6,75.5,72.1,,,18.3,20.6,18.9,18.2,17.4,17.6,18.8,17.0,17.2,15.9
Tax Rate,0.0%,-133.4%,-51.2%,35.5%,-0.8%,-64.8%,-6.9%,-18.6%,,,32.1%,-6.4%,-0.4%,10.4%,41.2%,-1.1%,0.3%,20.9%,-0.4%,15.7%
Current Ratio,13.5,10.8,25.7,3.01,1.17,4.04,0.51,3.64,,,0.59,0.56,0.51,0.97,3.63,3.67,3.64,2.90,2.89,2.75
Quick Ratio,3.24,7.12,1.78,0.48,0.035,1.51,0.32,2.13,,,0.21,0.21,0.32,0.078,0.27,0.25,2.13,1.46,1.91,1.04
Days Inventory Outstanding,247.3,195.5,243.9,51.8,73.4,132.1,58.8,21.5,,,141.4,99.8,49.2,15.5,4.73,1.27,5.39,9.20,7.55,6.97
Days Sale Outstanding,270.0,209.0,177.2,35.7,37.4,84.3,60.6,36.4,,,44.8,54.8,60.6,68.0,32.2,29.9,36.4,35.5,73.8,28.4
Days Payable Outstanding,25.1,24.6,35.5,4.42,4.98,3.77,5.61,10.4,,,0.00,0.00,4.22,3.94,0.00,0.00,4.81,5.43,0.050,0.00
Cash Conversion Cycle,705.0,378.3,444.5,112.2,120.8,175.7,103.6,69.1,,,188.2,146.7,96.0,80.3,59.9,33.3,29.5,45.3,62.3,59.0
Debt to Asset Ratio,0.055,0.072,0.038,0.050,0.24,0.55,0.54,0.38,,,0.53,0.53,0.54,0.48,0.35,0.34,0.38,0.39,0.42,0.33
Debt to Equity Ratio,0.059,0.077,0.040,0.053,0.32,1.28,1.23,0.64,,,1.18,1.17,1.23,0.98,0.56,0.55,0.64,0.67,0.75,0.51
Interest Coverage Ratio,,,,,,0.17,,,,,0.85,,,,,,,0.46,,
Cash and Short Term Investments,515.3,473.7,528.2,47.3,168.9,230.4,196.5,196.0,,,214.0,198.3,196.5,534.1,193.6,193.9,196.0,246.3,220.1,158.2
"Total Receivables, Net",45.6,44.3,31.8,12.0,7.43,37.5,49.5,23.1,,,29.1,40.7,49.5,54.7,22.5,19.8,23.1,22.3,46.0,17.3
Total Inventory,28.9,24.4,14.9,7.51,9.80,56.7,15.4,4.21,,,56.1,45.0,15.4,5.01,0.72,0.67,4.21,3.26,2.75,2.63
Total Current Assets,591.3,545.8,574.9,75.9,251.8,444.2,348.1,295.8,,,394.7,370.8,348.1,678.9,300.7,289.3,295.8,343.8,337.3,242.4
"Property/Plant/Equipment, Total - Net",48.6,50.9,13.0,525.6,79.9,594.8,991.0,779.5,,,"1,016","1,002",991.0,969.5,952.5,935.2,779.5,762.7,745.9,729.6
Total Assets,792.7,733.3,728.2,746.3,"1,067","1,790","1,634","1,286",,,"1,714","1,667","1,634","1,864","1,466","1,436","1,286","1,318","1,202","1,101"
Accounts Payable,1.90,4.79,0.92,0.99,0.19,1.71,5.18,4.36,,,,,5.18,,,,4.36,0.040,,
Accrued Expenses,15.7,36.7,15.3,4.74,10.7,18.9,16.0,10.5,,,0.31,0.31,16.0,0.32,0.31,0.31,10.5,0.70,0.52,0.31
Debt Due,0.00,0.00,0.00,0.00,189.3,70.9,642.1,53.9,,,634.3,636.8,642.1,652.3,52.8,53.6,53.9,54.3,56.2,57.2
Total Current Liabilities,44.0,50.3,22.4,25.2,214.6,109.8,677.7,81.3,,,671.3,665.7,677.7,699.9,82.9,78.8,81.3,118.5,116.9,88.1
Long Term Debt,,,,,28.2,855.4,183.4,388.7,,,216.3,193.7,183.4,188.3,417.8,399.6,388.7,377.5,364.7,254.0
Total Liabilities,44.0,52.6,27.9,37.6,254.8,986.9,880.1,486.8,,,908.0,879.9,880.1,903.1,516.5,495.0,486.8,513.7,500.1,362.0
Common Stock,188.3,188.3,188.3,188.3,300.0,300.0,300.0,335.8,,,300.0,300.0,300.0,335.8,335.8,335.8,335.8,335.8,335.8,335.8
Additional Paid-In Capital,410.4,410.4,410.4,410.4,535.4,496.6,496.6,545.2,,,496.6,496.6,496.6,545.2,545.2,545.2,545.2,545.2,545.2,545.2
Retained Earnings (Accumulated Deficit),128.1,45.8,101.6,110.1,-42.4,-26.1,-78.9,-118.2,,,-27.5,-46.6,-78.9,44.0,33.6,23.9,-118.2,-114.0,-215.0,-178.1
Shareholders' Equity,748.7,680.7,700.3,708.7,792.9,770.4,717.7,762.8,,,769.1,749.9,717.7,925.0,914.6,904.9,762.8,767.0,666.0,702.9
Cash from Operating Activities,-2.73,10.7,40.4,29.5,-112.7,-262.4,133.6,105.5,,,35.1,29.7,14.6,28.4,36.4,26.3,17.9,22.1,12.6,29.8
Cash from Investing Activities,57.7,-198.0,322.4,-502.4,-468.2,-139.6,25.2,247.9,,,-31.8,3.66,7.08,137.8,94.4,4.66,7.62,45.8,-45.5,130.3
Cash from Financing Activities,,-71.5,,,537.5,383.6,-161.0,-336.1,,,-48.2,-39.3,-19.3,85.7,-378.6,-25.0,-18.1,-18.2,-19.6,-119.1
Net Change in Cash,55.0,-258.8,362.3,-472.9,-43.3,-18.3,-2.19,17.3,,,-45.0,-5.99,2.35,251.8,-247.8,5.96,7.36,49.7,-52.5,41.1
Free Cashflows,-2.74,10.5,40.2,-485.3,-123.8,-271.1,112.2,100.5,,,26.6,21.8,11.4,25.1,36.2,26.1,16.6,21.9,12.4,29.6
Free Cashflow per Share,-0.004,0.014,0.053,-0.64,-0.10,-0.23,0.093,0.075,,,0.022,0.018,0.009,0.019,0.027,0.019,0.012,0.016,0.009,0.022
