,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2018-3,2018-6,2018-9,2019-3,2019-6,2019-9
Price Average,,,,,,,,2.32,,,,,,,,
Earnings per Share,,,,,0.026,0.037,0.11,0.14,,,,,,0.048,0.047,0.034
Revenue per Share,,,,,4.45,4.25,4.63,5.36,,,,,,,,
Dividend per Share,,,,,0.00,0.017,0.069,34.3,,,,,,,,
Capital Expenditures per Share,,,,,0.029,0.048,0.066,0.076,,,,,,,,
Book Value per Share,,,,,0.40,0.44,0.52,0.60,,,,,,,,
Price to Earnings Ratio,,,,,,,,,,,,,,,,
Price to Book Value Ratio,,,,,,,,,,,,,,,,
EV to EBITDA,,,,,,,,0.00,,,,,,0.00,0.00,0.00
Dividend Payout Ratio,,,,,0.0%,46.9%,64.1%,24987.5%,,,,,,,,
Common Shares Outstanding,,,,,600.0,600.0,600.0,600.0,,,,,,,,
Total Revenue,,,,,"2,670","2,550","2,776","3,216",,,,,,744.9,725.9,714.8
"Cost of Revenue, Total",,,,,"2,306","2,170","2,354","2,727",,,,,,627.8,610.1,594.3
Gross Profit,,,,,363.7,381.0,432.6,489.2,,,,,,117.2,115.8,120.4
"Selling/General/Administrative Expenses, Total",,,,,348.1,349.3,363.9,401.6,,,,,,92.9,92.5,100.8
Operating Income,,,,,15.6,31.7,68.7,87.7,,,,,,24.3,23.2,19.6
Net Income,,,,,15.8,21.9,64.2,82.4,,,,,,19.9,19.5,13.9
EBITDA,,,,,62.1,73.5,101.5,113.4,,,,,,31.2,30.1,27.0
Gross Profit Margin,,,,,13.6%,14.9%,15.6%,15.2%,,,,,,15.7%,15.9%,16.8%
Operating Margin,,,,,0.6%,1.2%,2.5%,2.7%,,,,,,3.3%,3.2%,2.7%
Net Profit Margin,,,,,0.6%,0.9%,2.3%,2.6%,,,,,,2.7%,2.7%,1.9%
Return on Assets,,,,,2.7%,3.6%,10.0%,10.8%,,,,,,,,
Return on Equity,,,,,6.6%,8.4%,20.5%,23.1%,,,,,,0.0%,0.0%,0.0%
Return on Total Capital,,,,,6.5%,8.3%,20.5%,23.1%,,,,,,0.0%,0.0%,0.0%
SG&A to Sale,,,,,13.0%,13.7%,13.1%,12.5%,,,,,,12.5%,12.7%,14.1%
Depreciation & Amortisation,,,,,46.5,41.8,32.9,25.7,,,,,,6.91,6.91,7.38
Tax Rate,,,,,22.9%,44.7%,20.1%,15.1%,,,,,,16.9%,15.0%,28.0%
Current Ratio,,,,,1.24,1.35,1.53,1.34,,,,,,,,
Quick Ratio,,,,,0.13,0.12,0.20,0.19,,,,,,0.00,0.00,0.00
Days Inventory Outstanding,,,,,47.6,52.1,52.2,54.7,,,,,,,,
Days Sale Outstanding,,,,,5.45,6.04,8.27,10.8,,,,,,,,
Days Payable Outstanding,,,,,35.5,43.6,43.2,47.8,,,,,,,,
Cash Conversion Cycle,,,,,17.5,8.60,18.4,3.44,,,,,,,,
Debt to Asset Ratio,,,,,0.58,0.59,0.52,0.59,,,,,,,,
Debt to Equity Ratio,,,,,1.39,1.42,1.07,1.47,,,,,,,,
Interest Coverage Ratio,,,,,1.95,9.98,33.4,44.4,,,,,,57.9,68.9,60.1
Cash and Short Term Investments,,,,,38.9,104.3,54.4,104.5,,,,,,,,
"Total Receivables, Net",,,,,39.8,42.2,62.9,94.8,,,,,,,,
Total Inventory,,,,,300.5,319.0,354.6,462.9,,,,,,,,
Total Current Assets,,,,,383.6,473.8,480.7,678.2,,,,,,,,
"Property/Plant/Equipment, Total - Net",,,,,79.2,64.2,72.1,97.5,,,,,,,,
Total Assets,,,,,579.6,633.1,646.1,881.5,,,,,,,,
Accounts Payable,,,,,224.4,293.7,263.2,450.4,,,,,,,,
Accrued Expenses,,,,,25.8,33.0,29.9,40.6,,,,,,,,
Debt Due,,,,,54.0,13.4,0.00,0.00,,,,,,,,
Total Current Liabilities,,,,,310.5,349.8,314.6,505.1,,,,,,,,
Long Term Debt,,,,,5.03,3.01,,,,,,,,,,
Total Liabilities,,,,,334.4,373.4,333.3,524.3,,,,,,,,
Common Stock,,,,,206.0,206.0,206.0,206.0,,,,,,,,
Additional Paid-In Capital,,,,,45.7,45.7,45.7,48.1,,,,,,,,
Retained Earnings (Accumulated Deficit),,,,,-11.6,10.7,61.2,103.2,,,,,,,,
Shareholders' Equity,,,,,239.9,262.3,312.8,357.2,,,,,,,,
Cash from Operating Activities,,,,,102.7,130.6,16.4,146.9,,,,,,23.3,23.3,67.5
Cash from Investing Activities,,,,,25.0,-17.7,-37.5,-53.6,,,,,,-8.47,-8.47,-34.5
Cash from Financing Activities,,,,,-186.6,-47.5,-28.8,-43.2,,,,,,-21.0,-21.0,-0.33
Net Change in Cash,,,,,-58.9,65.4,-49.9,50.2,,,,,,-6.16,-6.16,32.7
Free Cashflows,,,,,85.5,102.0,-23.3,101.1,,,,,,16.8,16.8,56.3
Free Cashflow per Share,,,,,0.14,0.17,-0.039,0.17,,,,,,,,
