,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,16.7,13.8,12.3,,,16.7,17.6,15.8,13.3,11.6,11.3,11.7,12.7,12.4,12.7
Earnings per Share,,,1.15,0.96,0.79,0.92,0.56,-1.13,,,0.076,0.053,0.24,0.062,-1.81,0.18,0.43,0.021,-0.021,-0.095
Revenue per Share,,,13.5,15.4,14.2,16.8,19.0,15.8,,,4.71,5.06,5.10,4.52,4.14,3.62,3.57,2.75,3.21,3.04
Dividend per Share,,,0.00,0.00,0.00,0.00,0.35,,,,0.15,0.00,0.20,,,,,,0.15,0.00
Capital Expenditures per Share,,,0.061,0.077,0.074,0.12,0.81,0.89,,,0.16,0.25,0.27,0.25,0.28,0.25,0.11,0.12,0.041,0.050
Book Value per Share,,,7.61,8.16,8.85,7.74,10.8,9.48,,,10.7,10.6,10.8,10.9,8.87,9.05,9.48,9.50,9.48,9.24
Price to Earnings Ratio,,,,,,,29.3,,,,23.2,38.8,31.8,31.9,,,,,18.4,31.1
Price to Book Value Ratio,,,,,,,1.31,1.10,,,1.68,1.45,1.31,0.85,1.33,1.09,1.10,1.26,1.29,1.36
EV to EBITDA,,,,,0.00,0.00,12.7,-7.52,,,10.8,15.7,12.7,12.0,-7.81,-8.46,-7.52,-8.47,12.7,18.7
Dividend Payout Ratio,,,0.0%,0.0%,0.0%,0.0%,62.5%,,,,23.7%,0.0%,38.8%,,,,,,24.4%,0.0%
Common Shares Outstanding,,,"1,024","1,024","1,024","1,024","1,024","1,024",,,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
Total Revenue,,,"13,837","15,715","14,542","17,200","19,472","16,225",,,"4,826","5,180","5,219","4,631","4,236","3,704","3,654","2,816","3,290","3,108"
"Cost of Revenue, Total",,,"12,341","14,297","13,371","15,716","18,219","17,142",,,"4,574","4,939","4,773","4,409","6,091","3,373","3,269","2,599","3,109","3,023"
