,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.18,3.27,3.15,2.97,2.61,2.95,3.36,2.92,,,2.74,3.19,3.27,3.37,3.59,3.25,3.09,3.12,2.91,2.68
Earnings per Share,0.080,0.23,0.31,0.31,0.29,0.29,0.32,0.35,,,0.072,0.11,0.085,0.079,0.079,0.12,0.073,0.081,0.055,0.067
Revenue per Share,0.92,1.22,1.85,1.99,1.92,1.80,1.62,1.52,,,0.42,0.49,0.39,0.31,0.31,0.42,0.47,0.33,0.22,0.25
Dividend per Share,0.007,0.10,0.14,0.076,0.14,0.15,0.20,0.22,,,0.070,0.00,0.13,,0.080,0.00,0.14,,0.070,0.00
Capital Expenditures per Share,0.010,0.008,0.007,0.027,0.007,0.002,0.002,0.024,,,0.000,0.001,0.000,0.003,0.005,0.007,0.008,0.001,0.004,0.000
Book Value per Share,1.23,1.47,1.61,1.79,2.01,2.14,2.31,2.45,,,2.19,2.23,2.31,2.39,2.34,2.39,2.45,2.55,2.47,2.47
Price to Earnings Ratio,18.1,14.8,7.78,11.3,7.93,9.10,9.22,8.63,,,8.94,10.1,9.22,9.55,9.94,8.09,8.62,8.46,8.82,9.69
Price to Book Value Ratio,1.16,2.59,1.61,1.81,1.17,1.22,1.26,1.21,,,1.26,1.45,1.26,1.29,1.48,1.10,1.21,1.22,1.07,1.04
EV to EBITDA,37.3,28.8,11.6,16.5,14.1,18.3,23.3,13.6,,,16.5,25.9,23.3,22.1,23.8,14.7,13.6,13.3,15.8,20.3
Dividend Payout Ratio,9.2%,45.0%,44.4%,24.4%,48.3%,52.1%,61.9%,62.0%,,,26.1%,0.0%,40.2%,,23.0%,0.0%,39.5%,,21.0%,0.0%
Common Shares Outstanding,"10,714","10,714","10,714","10,714","10,714","10,714","10,714","10,714",,,"10,714","10,714","10,714","10,714","10,714","10,714","10,714","10,714","10,714","10,714"
Total Revenue,"9,849","13,077","19,831","21,348","20,523","19,282","17,355","16,318",,,"4,473","5,201","4,185","3,286","3,371","4,520","5,024","3,495","2,370","2,704"
"Cost of Revenue, Total","6,981","9,028","13,312","14,313","14,000","13,356","12,011","10,334",,,"3,196","3,628","2,764","2,131","2,186","2,717","3,301","2,296","1,532","1,750"
Gross Profit,"2,868","4,049","6,519","7,035","6,522","5,926","5,344","5,984",,,"1,277","1,572","1,421","1,155","1,185","1,803","1,723","1,199",838.1,953.9
"Selling/General/Administrative Expenses, Total","2,346","2,639","3,394","3,881","3,849","3,691","3,571","3,085",,,729.6,"1,434",745.5,527.2,565.9,610.0,"1,263",579.2,584.7,542.0
Operating Income,524.9,"1,423","3,137","3,163","2,691","2,248","1,779","2,907",,,548.7,139.9,677.3,631.1,621.8,"1,194",462.1,621.2,254.1,413.1
Net Income,852.9,"2,450","3,307","3,329","3,106","3,085","3,462","3,801",,,776.1,"1,128",905.5,846.6,848.5,"1,322",785.6,869.6,592.8,716.4
EBITDA,768.6,"1,644","3,313","3,341","2,882","2,438","1,962","3,088",,,599.8,184.3,721.2,673.7,670.7,"1,236",509.6,678.7,319.6,467.2
Gross Profit Margin,29.1%,31.0%,32.9%,33.0%,31.8%,30.7%,30.8%,36.7%,,,28.5%,30.2%,34.0%,35.1%,35.2%,39.9%,34.3%,34.3%,35.4%,35.3%
Operating Margin,5.3%,10.9%,15.8%,14.8%,13.1%,11.7%,10.3%,17.8%,,,12.3%,2.7%,16.2%,19.2%,18.4%,26.4%,9.2%,17.8%,10.7%,15.3%
Net Profit Margin,8.7%,18.7%,16.7%,15.6%,15.1%,16.0%,19.9%,23.3%,,,17.4%,21.7%,21.6%,25.8%,25.2%,29.2%,15.6%,24.9%,25.0%,26.5%
Return on Assets,2.5%,6.1%,7.9%,7.4%,6.1%,5.8%,6.5%,7.1%,,,5.4%,6.1%,6.6%,6.9%,7.0%,7.3%,7.0%,7.1%,6.8%,5.7%
Return on Equity,6.5%,15.5%,19.1%,17.4%,14.4%,13.4%,14.0%,14.5%,,,3.3%,4.7%,3.7%,3.3%,3.4%,5.2%,3.0%,3.2%,2.2%,2.7%
Return on Total Capital,3.3%,8.0%,9.9%,8.8%,7.9%,7.5%,8.7%,9.8%,,,7.7%,8.6%,8.7%,8.3%,9.4%,10.3%,9.8%,9.6%,9.3%,7.7%
SG&A to Sale,23.8%,20.2%,17.1%,18.2%,18.8%,19.1%,20.6%,18.9%,,,16.3%,27.6%,17.8%,16.0%,16.8%,13.5%,25.1%,16.6%,24.7%,20.0%
Depreciation & Amortisation,243.7,221.2,175.8,178.7,190.8,189.6,183.4,181.3,,,51.1,44.4,44.0,42.7,48.9,42.2,47.5,57.6,65.5,54.1
Tax Rate,17.6%,22.8%,16.1%,15.9%,14.5%,12.5%,9.0%,12.5%,,,11.7%,2.9%,12.7%,12.1%,12.6%,14.6%,8.9%,11.3%,5.8%,8.5%
Current Ratio,1.61,2.40,3.33,2.74,2.61,2.92,2.49,2.10,,,2.03,2.18,2.49,3.56,2.34,1.94,2.10,2.23,2.13,2.35
