,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,7.50,6.14,3.77,,,,7.50,7.85,6.30,4.83,4.04,3.80,3.82,4.09,3.77
Earnings per Share,,,,0.090,0.32,0.56,0.42,0.21,,,0.057,0.059,0.085,0.079,0.040,0.030,0.057,0.067,0.060,0.040
Revenue per Share,,,,1.05,1.45,1.76,1.54,1.49,,,0.32,0.36,0.39,0.44,0.38,0.39,0.42,0.45,0.42,0.40
Dividend per Share,,,,0.00,0.00,0.00,0.15,0.20,,,0.13,0.00,,,0.10,0.00,0.10,,,
Capital Expenditures per Share,,,,0.11,0.043,0.050,0.041,0.024,,,0.009,0.010,0.014,0.002,0.009,0.004,0.010,0.004,0.006,0.005
Book Value per Share,,,,0.58,0.65,0.86,2.43,2.38,,,0.98,0.90,2.43,2.51,2.39,2.33,2.38,2.45,2.41,2.46
Price to Earnings Ratio,,,,,,,17.7,16.9,,,,19.7,24.3,20.3,15.4,16.9,16.7,17.1,17.9,13.8
Price to Book Value Ratio,,,,,,,2.82,1.48,,,,5.53,2.82,1.98,1.76,1.60,1.48,1.49,1.62,1.33
EV to EBITDA,,,,,,0.00,14.2,5.98,,,0.00,0.00,14.2,12.4,10.1,8.35,5.98,6.71,6.86,6.21
Dividend Payout Ratio,,,,0.0%,0.0%,0.0%,35.8%,97.6%,,,23.9%,0.0%,,,38.0%,0.0%,48.3%,,,
Common Shares Outstanding,,,,770.0,770.0,770.0,770.0,770.0,,,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0
Total Revenue,,,,811.3,"1,118","1,359","1,184","1,149",,,249.6,280.5,301.9,341.7,294.3,302.2,321.4,344.8,326.8,309.6
"Cost of Revenue, Total",,,,397.8,492.9,636.5,562.8,549.3,,,119.0,143.4,137.7,133.7,131.2,127.4,157.1,142.4,140.9,135.5
Gross Profit,,,,413.5,624.9,722.3,620.8,599.5,,,130.5,137.1,164.2,208.1,163.1,174.8,164.3,202.3,185.9,174.2
"Selling/General/Administrative Expenses, Total",,,,319.9,317.3,347.8,348.6,376.2,,,78.9,81.0,99.7,131.5,128.5,141.1,85.9,139.0,129.7,133.1
Operating Income,,,,99.0,307.7,374.5,272.2,223.2,,,51.6,56.1,64.5,76.5,34.6,33.7,78.4,63.3,56.3,41.0
Net Income,,,,67.5,244.7,298.8,226.1,157.9,,,42.0,45.6,58.3,61.2,26.8,25.7,44.2,51.7,48.5,33.0
EBITDA,,,,117.4,328.3,402.8,299.6,250.4,,,58.5,63.6,71.1,83.5,41.4,40.8,85.0,69.5,62.4,47.3
Gross Profit Margin,,,,51.0%,55.9%,53.2%,52.5%,52.2%,,,52.3%,48.9%,54.4%,60.9%,55.4%,57.9%,51.1%,58.7%,56.9%,56.3%
Operating Margin,,,,12.2%,27.5%,27.6%,23.0%,19.4%,,,20.7%,20.0%,21.3%,22.4%,11.8%,11.2%,24.4%,18.4%,17.2%,13.3%
Net Profit Margin,,,,8.3%,21.9%,22.0%,19.1%,13.7%,,,16.8%,16.3%,19.3%,17.9%,9.1%,8.5%,13.8%,15.0%,14.8%,10.7%
Return on Assets,,,,10.4%,35.6%,37.3%,15.6%,7.9%,,,28.0%,27.4%,15.8%,10.1%,9.5%,8.8%,8.1%,7.4%,8.5%,8.9%
Return on Equity,,,,15.2%,48.7%,45.2%,12.1%,8.6%,,,5.6%,6.6%,3.1%,3.2%,1.5%,1.4%,2.4%,2.7%,2.6%,1.7%
Return on Total Capital,,,,15.1%,48.4%,44.8%,12.1%,8.6%,,,34.6%,34.3%,12.1%,10.7%,10.4%,9.6%,8.6%,7.8%,9.1%,9.4%
SG&A to Sale,,,,39.4%,28.4%,25.6%,29.5%,32.7%,,,31.6%,28.9%,33.0%,38.5%,43.7%,46.7%,26.7%,40.3%,39.7%,43.0%
