,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.63,7.39,8.90,9.52,9.43,9.15,8.60,10.6,12.6,,8.80,8.58,8.60,9.43,9.45,9.80,11.0,12.4,13.6,14.0
Earnings per Share,0.030,0.056,-0.014,1.07,0.25,0.35,0.19,0.19,0.24,,0.045,0.038,0.066,0.043,0.032,0.057,0.10,0.053,0.074,0.10
Revenue per Share,0.66,0.40,0.50,0.68,0.52,0.45,0.58,1.03,3.87,,0.23,0.18,0.37,0.25,0.23,1.30,1.56,0.80,0.71,0.86
Dividend per Share,0.22,0.30,0.39,0.60,0.60,0.68,0.34,0.35,0.42,,,0.17,0.00,0.19,0.00,0.17,0.00,0.25,,
Capital Expenditures per Share,0.45,0.20,0.11,0.085,0.10,0.047,0.079,0.32,1.37,,0.031,0.28,0.045,-0.033,0.017,0.37,0.55,0.44,0.36,0.22
Book Value per Share,3.89,3.86,4.38,4.84,4.29,3.84,3.56,3.43,3.27,,3.60,3.48,3.48,3.43,3.43,3.33,3.39,3.27,4.24,4.02
Price to Earnings Ratio,153.1,86.1,,7.90,38.1,26.1,45.4,50.4,47.0,,46.6,46.8,40.3,50.5,51.6,47.8,44.8,47.2,47.6,41.8
Price to Book Value Ratio,1.09,1.26,1.75,1.79,2.33,2.50,2.39,2.57,3.67,,2.38,2.38,2.40,2.57,2.71,2.87,3.24,3.67,3.16,3.28
EV to EBITDA,27.1,19.4,59.2,30.0,42.9,76.3,74.9,66.6,64.7,,65.8,68.2,54.4,66.6,79.0,70.0,63.9,64.7,60.5,59.9
Dividend Payout Ratio,735.4%,536.6%,-2677.7%,56.1%,238.1%,194.7%,180.7%,181.7%,173.2%,,,93.5%,0.0%,96.3%,0.0%,85.9%,0.0%,103.5%,,
Common Shares Outstanding,"8,942","9,150","11,107","11,914","11,823","11,834","11,839","11,845","11,847",,"11,839","11,845","11,845","11,845","11,845","11,845","11,845","11,847","11,894","12,559"
