,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,6.93,6.23,5.78,6.98,,,5.85,6.03,5.93,5.50,5.78,6.03,5.90,7.15,8.18,7.40
Earnings per Share,,0.051,0.060,0.066,0.067,0.15,0.14,0.20,,,0.020,0.061,0.036,0.037,0.037,0.076,0.046,0.074,0.064,0.080
Revenue per Share,,0.56,0.61,0.71,0.73,0.85,0.90,1.09,,,0.20,0.27,0.23,0.24,0.24,0.32,0.29,0.34,0.36,0.42
Dividend per Share,,0.00,0.00,0.00,0.020,0.10,0.12,0.17,,,,,0.12,,,,0.17,,,
Capital Expenditures per Share,,0.00,0.019,0.023,0.012,0.040,0.18,0.22,,,0.021,0.041,0.077,0.050,0.020,0.044,0.11,0.10,0.11,0.071
Book Value per Share,,0.19,0.25,0.31,0.38,1.31,1.35,1.43,,,1.26,1.32,1.35,1.39,1.30,1.38,1.43,1.50,1.40,1.48
Price to Earnings Ratio,,,,,,45.2,40.8,27.9,,,43.4,43.0,40.8,35.5,33.0,32.3,27.9,27.0,28.3,25.2
Price to Book Value Ratio,,,,,,4.92,4.14,3.82,,,4.78,4.02,4.14,3.60,4.56,3.91,3.82,4.57,5.68,4.54
EV to EBITDA,,,,,0.00,32.1,24.6,16.3,,,27.0,26.5,24.6,21.4,18.2,19.7,16.3,15.4,19.3,17.8
Dividend Payout Ratio,,0.0%,0.0%,0.0%,29.6%,67.4%,85.9%,84.5%,,,,,85.9%,,,,84.5%,,,
Common Shares Outstanding,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Total Revenue,,336.1,365.5,425.8,438.6,512.0,541.0,654.3,,,121.0,160.2,137.9,143.1,145.5,192.1,173.6,206.4,218.7,252.9
"Cost of Revenue, Total",,203.0,254.6,289.5,292.5,325.2,339.0,382.1,,,81.7,89.8,86.6,89.3,90.0,102.6,100.2,109.6,120.1,137.7
Gross Profit,,133.2,146.6,137.1,146.1,186.8,202.0,272.1,,,39.3,70.4,51.3,53.9,55.5,89.5,73.3,96.8,98.6,115.1
"Selling/General/Administrative Expenses, Total",,88.6,100.6,84.6,82.4,93.4,99.9,128.4,,,24.5,24.9,26.7,27.6,27.8,33.1,39.9,41.0,47.3,52.7
Operating Income,,44.2,48.0,55.8,63.7,93.4,102.1,143.7,,,14.7,45.5,24.6,26.2,27.7,56.4,33.4,55.7,51.3,62.4
Net Income,,30.7,35.8,39.4,48.6,75.3,83.8,117.2,,,11.7,36.6,21.8,22.0,22.3,45.5,27.4,44.7,38.4,47.9
EBITDA,,44.2,72.1,81.4,90.0,117.5,130.6,178.2,,,21.8,53.1,31.8,34.7,36.4,65.7,41.4,65.1,61.2,74.9
Gross Profit Margin,,39.6%,40.1%,32.2%,33.3%,36.5%,37.3%,41.6%,,,32.5%,43.9%,37.2%,37.6%,38.1%,46.6%,42.2%,46.9%,45.1%,45.5%
Operating Margin,,13.1%,13.1%,13.1%,14.5%,18.2%,18.9%,22.0%,,,12.2%,28.4%,17.8%,18.3%,19.0%,29.3%,19.3%,27.0%,23.4%,24.7%
Net Profit Margin,,9.1%,9.8%,9.2%,11.1%,14.7%,15.5%,17.9%,,,9.7%,22.9%,15.8%,15.4%,15.3%,23.7%,15.8%,21.7%,17.6%,19.0%
Return on Assets,,9.0%,10.6%,12.1%,15.4%,12.7%,9.4%,12.5%,,,8.3%,9.2%,9.4%,10.2%,11.5%,12.4%,12.3%,13.7%,14.8%,14.8%
Return on Equity,,27.3%,24.1%,20.9%,21.2%,9.6%,10.3%,13.7%,,,1.6%,4.6%,2.7%,2.6%,2.9%,5.5%,3.2%,5.0%,4.6%,5.4%
Return on Total Capital,,13.5%,16.7%,19.6%,21.2%,9.6%,10.3%,13.7%,,,9.3%,10.0%,10.3%,11.1%,13.1%,13.5%,13.7%,15.5%,18.6%,17.9%
SG&A to Sale,,26.4%,27.5%,19.9%,18.8%,18.2%,18.5%,19.6%,,,20.3%,15.5%,19.4%,19.3%,19.1%,17.2%,23.0%,19.9%,21.6%,20.9%
Depreciation & Amortisation,,,24.1,25.6,26.3,24.1,28.5,34.5,,,7.01,7.53,7.18,8.51,8.69,9.31,8.00,9.32,9.91,12.6
Tax Rate,,0.0%,6.6%,20.0%,20.4%,19.2%,18.5%,18.3%,,,20.9%,19.9%,13.2%,17.0%,19.3%,18.7%,17.8%,19.4%,20.4%,20.1%
Current Ratio,,0.47,0.45,0.45,0.87,4.98,4.91,4.73,,,4.93,4.51,4.91,5.09,4.31,3.95,4.73,3.06,2.19,2.12
Quick Ratio,,0.36,0.32,0.30,0.48,0.56,0.66,3.75,,,1.05,0.62,0.66,0.63,0.59,0.68,3.75,1.16,1.05,0.58
Days Inventory Outstanding,,16.4,13.3,12.1,12.9,12.8,12.9,13.6,,,12.0,12.7,13.2,14.5,15.8,15.5,15.5,17.1,18.2,18.0
Days Sale Outstanding,,43.2,38.1,31.5,30.8,34.5,31.4,38.6,,,27.7,34.4,31.4,27.5,26.8,37.2,38.6,37.4,39.5,46.0
Days Payable Outstanding,,36.2,28.1,23.0,25.2,25.1,22.6,19.0,,,0.00,0.00,10.8,10.6,0.00,0.00,9.37,8.90,0.00,0.00
Cash Conversion Cycle,,24.6,25.6,23.2,15.5,19.4,24.4,27.8,,,39.9,44.5,25.3,44.3,43.1,47.6,34.6,54.4,55.9,60.4
Debt to Asset Ratio,,0.67,0.55,0.42,0.26,0.10,0.086,0.11,,,0.080,0.097,0.086,0.083,0.094,0.11,0.11,0.15,0.18,0.18
Debt to Equity Ratio,,2.02,1.24,0.72,0.35,0.11,0.095,0.12,,,0.088,0.11,0.095,0.091,0.10,0.12,0.12,0.18,0.23,0.22
Interest Coverage Ratio,,3.28,4.95,8.51,23.9,339.6,"54,389","504,289",,,,,,,,,"117,286","55,743",,
Cash and Short Term Investments,,1.77,5.58,4.44,18.1,365.8,282.0,370.4,,,246.3,293.8,282.0,284.9,256.5,286.0,370.4,361.0,276.1,255.7
"Total Receivables, Net",,39.8,38.1,36.7,37.1,48.4,46.6,69.3,,,39.7,50.2,46.6,42.4,43.1,63.0,69.3,73.5,85.5,107.4
Total Inventory,,9.09,9.44,9.79,10.9,11.9,12.1,16.4,,,10.9,12.4,12.1,15.5,15.2,16.0,16.4,21.3,21.9,24.3
Total Current Assets,,52.3,52.2,54.2,67.6,428.1,347.9,458.2,,,300.3,363.8,347.9,344.4,316.9,367.3,458.2,459.8,386.7,390.3
"Property/Plant/Equipment, Total - Net",,287.4,273.8,256.9,237.8,254.8,316.5,418.4,,,261.9,287.8,316.5,318.2,330.6,359.3,418.4,495.9,557.8,583.9
Total Assets,,340.1,333.6,318.9,310.4,877.6,900.3,968.3,,,822.4,889.3,900.3,914.4,870.7,936.4,968.3,"1,068","1,038","1,099"
Accounts Payable,,20.1,19.1,17.4,23.0,21.8,20.1,19.6,,,,,20.1,,,,19.6,,,
Accrued Expenses,,15.7,21.1,27.0,28.5,33.0,32.2,50.6,,,9.87,11.1,32.2,11.7,11.5,12.0,50.6,11.8,13.3,16.9
Debt Due,,67.4,76.1,54.5,12.8,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,,111.4,117.3,120.8,77.6,85.9,70.8,96.8,,,60.9,80.6,70.8,67.7,73.6,93.0,96.8,150.1,176.9,184.4
Long Term Debt,,115.6,65.6,12.2,0.13,,,,,,,,,,,,,,,
Total Liabilities,,227.7,184.9,135.5,80.9,90.2,77.2,106.3,,,66.0,86.2,77.2,75.5,81.7,101.9,106.3,161.0,189.0,196.0
Common Stock,,285.0,285.0,285.0,216.6,300.0,300.0,300.0,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Additional Paid-In Capital,,,,,,411.4,411.4,411.4,,,411.4,411.4,411.4,411.4,411.4,411.4,411.4,411.4,411.4,411.4
Retained Earnings (Accumulated Deficit),,-172.5,-136.3,-96.9,12.9,76.2,98.9,144.1,,,41.7,78.3,98.9,120.9,71.2,116.7,144.1,188.8,128.2,176.2
Shareholders' Equity,,112.5,148.7,188.1,229.5,787.4,810.9,855.1,,,753.3,790.4,810.9,832.9,782.9,828.2,855.1,899.9,839.3,885.4
Cash from Operating Activities,,,63.4,85.6,76.5,88.0,107.6,145.4,,,11.4,39.6,32.0,32.9,27.7,43.7,41.1,70.8,54.6,49.1
Cash from Investing Activities,,,-11.5,-11.7,-9.18,-432.9,-130.0,-61.3,,,37.1,-7.58,-95.8,-27.8,67.2,-23.7,-77.0,-21.6,29.2,28.2
Cash from Financing Activities,,,-48.7,-75.1,-53.7,466.5,-47.1,-72.0,,,-56.8,9.68,0.00,-6.00,-72.0,0.00,0.00,,-99.0,4.27
Net Change in Cash,,,3.16,-1.14,13.7,121.5,-69.5,6.13,,,-8.24,41.7,-63.8,-0.89,22.9,20.0,-35.9,49.2,-15.2,81.6
Free Cashflows,,,52.1,71.8,69.1,63.9,0.94,12.4,,,-1.41,15.2,-14.3,2.91,15.7,17.5,-23.8,8.11,-9.86,6.33
Free Cashflow per Share,,,0.087,0.12,0.12,0.11,0.002,0.021,,,-0.002,0.025,-0.024,0.005,0.026,0.029,-0.040,0.014,-0.016,0.011
