,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.08,1.82,2.36,3.28,4.50,5.55,4.46,2.48,,,5.75,6.10,5.53,4.72,4.21,3.70,2.95,2.74,2.38,1.98
Earnings per Share,0.061,-0.086,0.050,0.23,0.40,0.54,0.63,0.39,,,0.16,0.16,0.15,0.092,0.14,0.083,0.073,0.042,0.042,0.092
Revenue per Share,2.95,3.04,3.87,4.38,4.50,4.92,5.68,4.51,,,1.43,1.49,1.45,1.04,0.92,1.21,1.33,1.21,1.25,1.45
Dividend per Share,0.020,,0.050,0.070,0.11,0.15,0.17,0.13,,,0.040,0.00,0.13,,0.040,0.00,0.090,,0.040,0.00
Capital Expenditures per Share,0.10,0.16,0.27,0.37,0.16,1.72,0.22,0.29,,,0.051,0.050,0.083,0.062,0.090,0.072,0.070,0.055,0.025,0.017
Book Value per Share,1.43,1.34,1.55,1.81,2.15,2.65,3.14,3.44,,,2.86,3.00,3.14,3.21,3.24,3.33,3.44,3.49,3.50,3.53
Price to Earnings Ratio,14.5,,24.0,14.4,7.05,10.1,8.41,7.51,,,9.39,9.89,8.41,8.07,7.21,6.30,7.51,7.10,9.33,7.72
Price to Book Value Ratio,0.62,1.44,0.82,1.78,1.37,1.73,1.59,0.78,,,2.12,1.85,1.59,1.21,1.22,0.82,0.78,0.72,0.58,0.53
EV to EBITDA,19.7,-91.5,5.76,8.40,5.26,8.02,6.04,5.36,,,5.67,7.04,6.04,4.92,5.80,5.69,5.36,4.92,5.77,3.66
Dividend Payout Ratio,32.9%,,99.3%,30.4%,27.5%,27.6%,27.0%,33.4%,,,6.7%,0.0%,20.6%,,7.4%,0.0%,23.1%,,16.7%,0.0%
Common Shares Outstanding,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,598",,,"1,600","1,600","1,600","1,600","1,600","1,600","1,598","1,597","1,591","1,591"
Total Revenue,"4,723","4,860","6,199","7,002","7,205","7,875","9,089","7,215",,,"2,287","2,387","2,325","1,668","1,474","1,942","2,131","1,933","1,985","2,301"
"Cost of Revenue, Total","4,387","4,655","5,687","6,186","6,174","6,394","7,278","6,043",,,"1,804","1,905","1,935","1,333","1,224","1,597","1,932","1,736","1,754","1,995"
Gross Profit,335.5,204.7,512.4,816.1,"1,031","1,481","1,811","1,172",,,483.0,481.8,389.8,334.9,249.8,345.2,199.5,197.2,231.5,305.3
"Selling/General/Administrative Expenses, Total",202.2,269.6,289.9,334.9,394.3,490.8,506.1,531.0,,,151.0,158.8,48.4,162.0,120.0,166.0,40.1,151.7,154.8,137.3
Operating Income,-2.22,-116.5,228.1,469.9,640.0,975.6,"1,291",628.2,,,322.7,298.5,360.9,172.2,128.4,161.0,166.7,45.1,73.3,167.6
Net Income,97.3,-137.2,80.6,367.9,640.2,870.4,"1,008",622.2,,,262.6,252.6,241.5,147.6,224.3,133.5,116.8,66.5,67.2,146.6
EBITDA,81.3,-27.1,343.3,647.3,848.5,"1,269","1,648",960.4,,,412.1,385.8,446.8,265.0,206.3,244.3,244.8,133.1,160.9,255.3
Gross Profit Margin,7.1%,4.2%,8.3%,11.7%,14.3%,18.8%,19.9%,16.2%,,,21.1%,20.2%,16.8%,20.1%,16.9%,17.8%,9.4%,10.2%,11.7%,13.3%
Operating Margin,0.0%,-2.4%,3.7%,6.7%,8.9%,12.4%,14.2%,8.7%,,,14.1%,12.5%,15.5%,10.3%,8.7%,8.3%,7.8%,2.3%,3.7%,7.3%
Net Profit Margin,2.1%,-2.8%,1.3%,5.3%,8.9%,11.1%,11.1%,8.6%,,,11.5%,10.6%,10.4%,8.9%,15.2%,6.9%,5.5%,3.4%,3.4%,6.4%
Return on Assets,2.2%,-3.1%,1.6%,6.4%,10.0%,10.7%,10.4%,6.2%,,,10.4%,10.0%,10.4%,9.2%,8.9%,7.6%,6.1%,5.2%,3.7%,3.8%
Return on Equity,4.3%,-6.4%,3.3%,12.7%,18.6%,20.5%,20.1%,11.3%,,,5.7%,5.3%,4.8%,2.9%,4.3%,2.5%,2.1%,1.2%,1.2%,2.6%
Return on Total Capital,4.0%,-6.0%,2.6%,10.6%,17.5%,14.9%,15.2%,9.1%,,,15.5%,14.6%,15.2%,13.7%,12.7%,10.5%,9.1%,7.8%,5.7%,5.8%
SG&A to Sale,4.3%,5.5%,4.7%,4.8%,5.5%,6.2%,5.6%,7.4%,,,6.6%,6.7%,2.1%,9.7%,8.1%,8.5%,1.9%,7.8%,7.8%,6.0%
Depreciation & Amortisation,83.6,89.4,115.3,177.5,208.5,293.0,357.2,332.2,,,89.4,87.3,85.9,92.8,77.9,83.3,78.1,88.0,87.6,87.7
Tax Rate,4.6%,-3.9%,-11.4%,15.6%,2.9%,15.1%,22.0%,21.8%,,,20.6%,21.4%,25.1%,19.5%,20.8%,24.9%,23.0%,35.3%,28.8%,16.5%
Current Ratio,1.51,1.43,1.45,1.48,1.42,1.27,1.71,1.67,,,1.53,1.66,1.71,1.73,1.99,2.10,1.67,1.66,1.61,1.60
Quick Ratio,1.08,1.19,0.94,1.20,1.06,0.84,1.36,1.16,,,1.04,1.29,1.36,1.26,1.52,1.47,1.16,1.24,1.13,0.94
Days Inventory Outstanding,16.2,15.5,8.06,8.61,9.45,8.07,6.51,7.74,,,8.79,7.29,6.36,6.00,6.67,7.54,8.14,8.49,8.44,7.43
