,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,2.93,3.02,1.85,1.46,0.47,0.23,,,1.25,0.70,0.59,0.51,0.43,0.38,0.29,0.23,0.22,0.20
Earnings per Share,0.018,0.010,0.024,0.041,0.001,-0.043,-0.054,-0.044,,,-0.026,-0.028,-0.015,0.003,0.002,-0.006,-0.043,-0.030,-0.009,-0.031
Revenue per Share,0.57,0.58,0.55,0.62,0.46,0.26,0.16,0.15,,,0.034,0.025,0.035,0.072,0.040,0.029,0.009,0.031,0.029,0.023
Dividend per Share,0.00,0.015,0.017,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.002,0.053,0.005,0.020,0.004,0.011,0.014,0.002,,,0.005,-0.004,0.004,0.001,0.000,0.000,0.000,0.000,0.001,0.001
Book Value per Share,0.097,0.11,0.12,0.22,0.31,0.38,0.29,0.24,,,0.33,0.30,0.29,0.29,0.29,0.29,0.24,0.25,0.25,0.21
Price to Earnings Ratio,,,23.2,103.4,840.0,,,,,,35.9,,,,,,,,,
Price to Book Value Ratio,,,4.43,4.55,3.71,4.27,1.89,0.82,,,2.52,1.79,1.89,1.49,1.34,0.91,0.82,0.84,0.65,1.01
EV to EBITDA,,,0.00,79.8,39.2,12.6,-7.42,-12.0,,,0.00,-16.4,-7.42,-9.21,-12.0,"-1,310",-12.0,-4.33,-3.03,-3.10
Dividend Payout Ratio,0.0%,146.4%,69.1%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"3,000","3,000","3,000","3,000","3,878","4,210","4,240","4,240",,,"4,240","4,240","4,240","4,240","4,240","4,240","4,240","4,240","4,125","4,248"
Total Revenue,"1,707","1,739","1,650","1,870","1,769","1,082",669.0,638.8,,,145.8,107.3,148.5,305.2,171.7,123.4,38.4,132.4,118.1,99.4
"Cost of Revenue, Total","1,105","1,158","1,056","1,144","1,063",720.9,638.0,461.9,,,178.0,146.4,117.9,203.7,88.6,91.2,78.4,108.3,92.8,75.8
Gross Profit,602.7,580.9,594.3,726.4,705.8,361.2,31.0,176.8,,,-32.1,-39.1,30.6,101.5,83.0,32.3,-40.0,24.1,25.2,23.6
"Selling/General/Administrative Expenses, Total",412.8,525.9,476.4,546.6,600.4,378.9,362.9,261.6,,,88.8,85.7,87.5,64.1,61.8,56.0,79.7,56.0,58.1,63.8
Operating Income,100.7,55.0,117.8,179.8,105.4,-17.7,-331.8,-84.7,,,-121.0,-124.8,-56.8,37.4,21.2,-23.7,-119.7,-32.0,-32.8,-40.2
Net Income,55.1,30.7,68.3,122.1,6.38,355.5,-409.8,-186.9,,,-100.8,-114.7,-67.5,11.9,7.96,-25.1,-181.7,-125.9,-39.0,-131.7
EBITDA,109.9,62.1,131.5,192.4,122.4,4.10,-297.8,-64.1,,,-111.6,-113.5,-51.6,43.3,27.2,-19.7,-114.8,-26.3,-27.2,-32.4
Gross Profit Margin,35.3%,33.4%,36.0%,38.8%,39.9%,33.4%,4.6%,27.7%,,,-22.0%,-36.5%,20.6%,33.3%,48.4%,26.1%,-104.1%,18.2%,21.4%,23.7%
Operating Margin,5.9%,3.2%,7.1%,9.6%,6.0%,-1.6%,-49.6%,-13.3%,,,-83.0%,-116.4%,-38.3%,12.3%,12.4%,-19.2%,-311.4%,-24.1%,-27.8%,-40.4%
Net Profit Margin,3.2%,1.8%,4.1%,6.5%,0.4%,32.9%,-61.3%,-29.3%,,,-69.1%,-107.0%,-45.5%,3.9%,4.6%,-20.3%,-472.9%,-95.1%,-33.1%,-132.5%
Return on Assets,5.0%,2.5%,5.3%,5.8%,0.2%,13.2%,-18.3%,-14.1%,,,-2.8%,-10.9%,-19.1%,-18.4%,-11.1%,-5.2%,-14.5%,-26.5%,-29.9%,-39.6%
Return on Equity,19.0%,9.6%,18.5%,18.1%,0.5%,22.0%,-33.8%,-18.2%,,,-7.2%,-9.0%,-5.6%,1.0%,0.6%,-2.1%,-17.7%,-11.9%,-3.8%,-14.8%
Return on Total Capital,17.9%,7.2%,15.2%,16.3%,0.5%,21.5%,-33.7%,-18.1%,,,-5.5%,-23.0%,-33.7%,-22.1%,-13.1%,-6.0%,-18.1%,-30.7%,-36.4%,-53.9%
SG&A to Sale,24.2%,30.2%,28.9%,29.2%,33.9%,35.0%,54.2%,41.0%,,,60.9%,79.9%,58.9%,21.0%,36.0%,45.3%,207.3%,42.3%,49.2%,64.2%
Depreciation & Amortisation,4.84,7.13,13.6,12.6,17.0,21.8,34.0,20.7,,,9.36,11.3,5.29,5.86,5.95,4.02,4.85,5.65,5.59,7.78
Tax Rate,32.7%,31.7%,20.7%,20.1%,44.0%,7.0%,8.8%,-30.9%,,,11.2%,8.1%,1.0%,35.0%,36.9%,-4.0%,-13.7%,0.2%,-0.7%,-0.5%
Current Ratio,1.33,1.19,1.27,1.20,1.82,1.64,4.74,9.27,,,1.42,1.25,4.74,4.90,7.91,11.1,9.27,7.69,6.74,3.07
Quick Ratio,0.92,0.78,0.74,0.62,0.63,0.54,2.64,3.68,,,0.61,0.30,2.64,2.57,2.14,5.76,3.68,2.65,2.45,0.87
Days Inventory Outstanding,95.6,99.1,122.5,197.9,287.3,403.7,306.7,187.5,,,277.7,297.5,252.1,147.8,151.8,156.5,159.1,206.2,214.0,226.5
Days Sale Outstanding,154.6,155.6,126.5,266.8,143.6,202.3,278.6,76.7,,,131.9,138.5,278.6,255.6,143.2,110.2,76.7,115.3,136.6,131.5
Days Payable Outstanding,63.9,66.9,55.0,61.3,80.0,61.8,29.3,21.4,,,48.8,47.4,34.1,17.6,19.8,16.2,17.5,22.9,23.8,26.4
Cash Conversion Cycle,186.4,180.9,238.0,293.2,442.4,586.2,596.6,355.5,,,391.2,439.6,489.2,391.3,345.5,279.8,243.9,300.0,310.8,329.3
Debt to Asset Ratio,0.73,0.77,0.70,0.77,0.49,0.38,0.14,0.084,,,0.40,0.48,0.14,0.14,0.099,0.072,0.084,0.11,0.12,0.19
Debt to Equity Ratio,2.77,3.28,2.33,3.38,0.98,0.71,0.17,0.097,,,0.74,1.06,0.17,0.16,0.12,0.082,0.097,0.13,0.15,0.25
Interest Coverage Ratio,,2.45,5.06,7.73,1.95,,,,,,,,,60.8,90.3,,,,,
Cash and Short Term Investments,15.3,28.7,9.32,47.5,163.9,121.8,82.7,485.6,,,109.2,519.7,82.7,199.0,546.0,567.4,485.6,376.5,357.8,174.3
"Total Receivables, Net",723.3,741.4,571.7,"1,367",695.9,599.9,510.7,134.2,,,605.3,408.4,510.7,495.0,287.4,226.1,134.2,147.2,154.3,139.9
Total Inventory,289.5,339.0,369.8,870.1,803.5,790.9,281.1,193.5,,,668.0,600.0,281.1,242.2,220.7,209.2,193.5,220.7,214.1,227.0
Total Current Assets,"1,041","1,127",981.9,"2,642","2,017","1,811",916.9,855.5,,,"1,417","1,685",916.9,944.6,"1,060","1,009",855.5,754.4,736.4,562.0
"Property/Plant/Equipment, Total - Net",42.0,195.1,201.8,256.2,259.4,311.8,289.9,276.9,,,360.7,396.2,289.9,287.8,283.8,281.9,276.9,467.7,464.5,461.3
Total Assets,"1,094","1,374","1,227","2,960","2,387","3,012","1,460","1,192",,,"2,615","2,836","1,460","1,483","1,444","1,380","1,192","1,260","1,230","1,185"
Accounts Payable,193.4,230.8,87.6,296.2,169.9,74.3,28.2,26.0,,,111.2,90.8,28.2,34.2,26.1,18.3,26.0,20.1,28.2,23.2
Accrued Expenses,,170.8,73.4,117.7,98.4,102.8,106.7,51.5,,,,,106.7,0.14,,,51.5,,,54.6
Debt Due,384.2,491.7,553.4,"1,595",719.8,750.0,38.5,1.78,,,645.6,617.9,38.5,43.6,1.82,1.80,1.78,1.76,1.69,1.52
Total Current Liabilities,785.0,945.4,774.6,"2,196","1,107","1,101",193.4,92.3,,,999.4,"1,344",193.4,192.8,134.1,90.8,92.3,98.2,109.2,183.0
Long Term Debt,18.3,106.7,80.9,78.1,53.8,39.5,3.12,2.02,,,28.5,9.98,3.12,2.77,2.90,2.44,2.02,1.59,1.21,0.93
Total Liabilities,804.1,"1,053",857.8,"2,277","1,165","1,146",201.3,99.7,,,"1,034","1,361",201.3,200.7,142.3,98.9,99.7,138.6,150.2,225.0
Common Stock,225.0,225.0,250.0,300.0,387.8,421.0,424.0,424.0,,,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0
Additional Paid-In Capital,,,,192.3,617.7,647.2,649.9,649.9,,,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9,649.9
Retained Earnings (Accumulated Deficit),65.3,68.7,91.4,153.6,160.0,521.3,111.2,-72.9,,,293.8,179.1,111.2,123.2,131.1,108.1,-72.9,-198.8,-237.9,-369.6
Shareholders' Equity,290.3,321.0,368.7,673.2,"1,193","1,617","1,212","1,028",,,"1,395","1,280","1,212","1,224","1,232","1,209","1,028","1,058","1,019",887.2
Cash from Operating Activities,-0.11,41.6,5.92,"-1,087",573.9,-84.5,751.2,207.9,,,49.2,20.9,570.1,-7.52,179.8,22.9,12.7,-28.4,-18.6,-49.3
Cash from Investing Activities,-5.07,-201.0,-9.73,-75.5,-14.1,-69.3,312.5,15.9,,,-21.6,16.7,354.2,119.4,201.4,-302.0,-2.79,12.4,0.51,-51.8
Cash from Financing Activities,-1.47,172.7,-15.6,"1,200",-443.3,111.7,-625.0,-26.6,,,-145.3,372.8,-883.6,4.48,-34.2,3.70,-0.60,-0.57,-0.60,10.5
Net Change in Cash,-6.65,13.4,-19.4,38.2,116.4,-42.1,-39.1,197.2,,,-117.6,410.5,-437.0,116.3,346.9,-275.4,9.33,-16.5,-18.7,-90.6
Free Cashflows,-5.31,-116.7,-7.95,"-1,145",556.8,-131.5,691.8,201.1,,,29.1,36.9,552.6,-10.4,179.2,20.9,11.4,-30.4,-20.9,-52.0
Free Cashflow per Share,-0.002,-0.039,-0.003,-0.38,0.14,-0.031,0.16,0.047,,,0.007,0.009,0.13,-0.002,0.042,0.005,0.003,-0.007,-0.005,-0.012
