,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.69,5.75,6.09,5.95,5.14,4.97,4.92,4.25,,,4.97,4.97,5.06,4.98,4.95,4.69,4.52,4.44,4.17,3.98
Earnings per Share,0.26,0.28,0.33,0.23,0.065,0.17,0.31,0.23,,,0.082,0.086,0.049,0.049,0.061,0.074,0.041,0.050,0.042,0.044
Revenue per Share,3.68,4.29,4.80,4.94,4.10,4.16,4.23,4.41,,,1.06,1.11,1.06,0.98,1.10,1.18,1.16,1.15,1.15,1.13
Dividend per Share,0.15,0.18,0.20,0.18,0.10,0.14,0.15,0.12,,,,,0.15,,,,0.12,,,
Capital Expenditures per Share,0.33,0.89,0.25,0.52,0.35,1.25,0.84,0.22,,,0.38,0.069,0.080,0.14,0.018,0.033,0.022,0.007,0.035,0.15
Book Value per Share,2.27,2.40,2.55,2.58,2.47,2.50,2.68,2.75,,,2.54,2.63,2.68,2.73,2.64,2.71,2.75,2.80,2.72,2.76
Price to Earnings Ratio,14.2,22.6,14.7,26.7,77.0,28.2,15.6,19.1,,,17.3,14.8,15.6,18.0,18.7,19.4,19.5,18.9,19.1,22.2
Price to Book Value Ratio,1.65,2.48,1.94,2.34,2.03,1.93,1.82,1.57,,,1.90,1.84,1.82,1.69,1.74,1.62,1.57,1.53,1.46,1.40
EV to EBITDA,8.84,12.6,8.41,10.4,14.2,9.41,8.28,8.16,,,8.95,8.38,8.28,8.61,8.35,8.27,8.16,7.98,8.02,8.37
Dividend Payout Ratio,57.0%,63.5%,60.6%,78.0%,153.9%,81.2%,47.9%,52.2%,,,,,47.9%,,,,53.3%,,,
Common Shares Outstanding,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,,,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0
Total Revenue,"3,514","4,094","4,583","4,714","3,912","3,972","4,036","4,208",,,"1,014","1,060","1,014",933.3,"1,048","1,123","1,103","1,097","1,099","1,080"
"Cost of Revenue, Total","2,915","3,537","3,933","4,117","3,607","3,398","3,386","3,657",,,844.2,891.1,885.2,809.3,903.1,964.3,979.9,971.5,984.9,953.1
Gross Profit,598.7,557.1,650.0,596.8,305.6,574.9,650.4,550.9,,,170.2,168.6,129.0,124.0,144.6,159.0,123.3,125.3,114.1,127.2
"Selling/General/Administrative Expenses, Total",174.0,145.8,143.8,162.4,167.4,150.9,139.4,152.1,,,34.7,32.5,40.3,33.7,39.3,37.4,41.6,35.9,31.8,36.2
Operating Income,424.7,411.2,506.2,434.3,138.2,424.0,510.9,398.7,,,135.5,136.1,88.7,90.3,105.2,121.6,81.6,89.4,82.3,91.0
Net Income,251.2,270.8,315.0,220.3,62.0,164.6,299.3,215.1,,,78.3,82.1,46.8,46.8,58.4,71.0,38.9,47.6,40.3,42.0
EBITDA,719.5,729.2,855.4,829.3,542.4,843.1,948.3,902.1,,,234.4,259.5,209.4,214.8,231.8,249.6,205.9,210.3,202.6,213.5
Gross Profit Margin,17.0%,13.6%,14.2%,12.7%,7.8%,14.5%,16.1%,13.1%,,,16.8%,15.9%,12.7%,13.3%,13.8%,14.2%,11.2%,11.4%,10.4%,11.8%
Operating Margin,12.1%,10.0%,11.0%,9.2%,3.5%,10.7%,12.7%,9.5%,,,13.4%,12.8%,8.7%,9.7%,10.0%,10.8%,7.4%,8.2%,7.5%,8.4%
Net Profit Margin,7.1%,6.6%,6.9%,4.7%,1.6%,4.1%,7.4%,5.1%,,,7.7%,7.8%,4.6%,5.0%,5.6%,6.3%,3.5%,4.3%,3.7%,3.9%
Return on Assets,4.5%,4.6%,5.1%,3.5%,1.0%,2.5%,4.3%,3.0%,,,3.8%,4.3%,4.2%,3.6%,3.3%,3.2%,3.1%,3.1%,2.9%,2.5%
Return on Equity,11.6%,11.8%,12.9%,8.9%,2.6%,6.9%,11.7%,8.2%,,,3.2%,3.3%,1.8%,1.8%,2.3%,2.7%,1.5%,1.8%,1.6%,1.6%
Return on Total Capital,5.1%,5.2%,6.2%,5.0%,1.4%,2.8%,5.4%,4.1%,,,4.8%,5.4%,5.4%,4.5%,4.6%,4.3%,4.1%,4.1%,4.0%,3.4%
SG&A to Sale,5.0%,3.6%,3.1%,3.4%,4.3%,3.8%,3.5%,3.6%,,,3.4%,3.1%,4.0%,3.6%,3.8%,3.3%,3.8%,3.3%,2.9%,3.4%
Depreciation & Amortisation,294.9,318.0,349.2,395.0,404.2,419.1,437.4,503.4,,,98.8,123.5,120.7,124.5,126.6,128.0,124.2,120.9,120.3,122.5
Tax Rate,3.2%,2.3%,11.9%,24.7%,54.9%,27.3%,17.4%,2.8%,,,18.8%,19.9%,12.5%,0.3%,5.1%,5.4%,-3.0%,1.4%,7.6%,21.1%
Current Ratio,1.21,0.89,0.96,0.56,0.55,1.04,0.59,0.56,,,0.64,0.73,0.59,0.59,0.48,0.53,0.56,0.63,0.53,0.54
Quick Ratio,0.67,0.49,0.58,0.34,0.32,0.57,0.36,0.35,,,0.42,0.46,0.36,0.36,0.33,0.35,0.35,0.40,0.35,0.33
Days Inventory Outstanding,24.1,19.9,22.1,24.9,27.5,24.8,23.8,24.8,,,26.4,26.9,26.3,26.1,26.2,25.7,25.0,25.4,26.3,25.8
Days Sale Outstanding,42.7,39.7,50.6,48.9,53.5,49.2,50.5,51.5,,,53.0,52.5,50.5,47.9,55.0,55.7,51.5,51.3,50.8,49.0
Days Payable Outstanding,22.7,33.0,43.1,33.1,24.0,21.7,30.2,41.1,,,0.00,0.00,20.2,19.9,0.00,0.00,22.5,21.5,0.00,0.00
Cash Conversion Cycle,41.0,13.0,19.8,51.4,61.6,56.0,33.0,29.9,,,73.7,79.6,37.4,75.5,77.6,80.8,33.2,75.9,77.1,76.0
Debt to Asset Ratio,0.61,0.62,0.60,0.61,0.61,0.64,0.63,0.62,,,0.66,0.64,0.63,0.63,0.63,0.63,0.62,0.60,0.61,0.60
Debt to Equity Ratio,1.56,1.68,1.55,1.57,1.60,1.83,1.78,1.64,,,1.95,1.84,1.78,1.71,1.78,1.72,1.64,1.55,1.58,1.56
Interest Coverage Ratio,2.81,3.03,3.46,2.85,1.00,3.39,3.80,2.37,,,4.38,4.24,2.52,2.24,2.51,3.04,1.77,2.44,2.25,2.59
Cash and Short Term Investments,94.2,112.9,64.2,69.0,113.0,190.6,78.0,75.6,,,23.0,26.0,78.0,42.7,14.6,23.6,75.6,38.6,21.2,40.3
"Total Receivables, Net",410.7,445.1,635.0,632.2,573.2,535.8,558.1,593.3,,,579.9,577.3,558.1,528.1,611.5,628.9,593.3,614.0,615.8,587.8
Total Inventory,191.6,194.1,282.3,279.6,264.3,197.9,243.8,252.6,,,249.8,243.8,243.8,247.3,254.0,248.5,252.6,279.8,281.7,267.7
Total Current Assets,744.6,813.1,"1,040","1,043",995.8,981.6,918.2,960.4,,,890.6,920.1,918.2,860.2,891.4,962.8,960.4,973.6,940.8,972.7
"Property/Plant/Equipment, Total - Net","4,804","5,338","5,178","5,267","5,117","5,802","6,195","5,886",,,"6,281","6,232","6,195","6,207","6,114","5,992","5,886","5,771","5,679","5,705"
Total Assets,"5,573","6,190","6,261","6,370","6,160","6,831","7,159","6,982",,,"7,214","7,196","7,159","7,113","7,048","7,093","6,982","6,880","6,755","6,826"
Accounts Payable,201.7,437.5,491.4,255.3,219.1,185.2,374.2,450.0,,,,,374.2,,,,450.0,,,
Accrued Expenses,51.4,43.9,59.1,,,,,,,,,,,,,,,,,
Debt Due,264.3,281.7,447.9,"1,460","1,456",627.9,929.4,"1,149",,,"1,069",757.4,929.4,"1,061","1,262","1,228","1,149","1,007","1,209","1,441"
Total Current Liabilities,615.6,914.5,"1,087","1,870","1,814",942.1,"1,546","1,701",,,"1,393","1,267","1,546","1,454","1,839","1,808","1,701","1,550","1,775","1,802"
Long Term Debt,"2,754","2,925","2,676","1,978","1,950","3,395","2,983","2,569",,,"3,254","3,274","2,983","2,983","2,617","2,616","2,569","2,569","2,288","2,288"
Total Liabilities,"3,374","3,847","3,772","3,859","3,777","4,386","4,544","4,296",,,"4,730","4,629","4,544","4,452","4,471","4,441","4,296","4,145","4,092","4,119"
Common Stock,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,,,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0,955.0
Additional Paid-In Capital,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.5,,,285.4,285.4,285.4,285.4,285.4,285.4,285.5,285.4,285.4,285.4
Retained Earnings (Accumulated Deficit),925.4,"1,052","1,195","1,225","1,115","1,183","1,348","1,414",,,"1,220","1,302","1,348","1,395","1,310","1,381","1,414","1,461","1,387","1,429"
Shareholders' Equity,"2,166","2,292","2,435","2,464","2,354","2,390","2,556","2,622",,,"2,427","2,509","2,556","2,604","2,518","2,589","2,622","2,669","2,595","2,637"
Cash from Operating Activities,410.7,798.5,436.9,372.3,565.4,709.5,900.1,710.1,,,59.8,357.3,247.3,6.56,301.7,201.6,199.9,106.5,204.9,-55.1
Cash from Investing Activities,-314.3,-845.2,-230.2,-491.7,-316.4,"-1,154",-760.4,-370.1,,,-347.2,-59.7,-76.4,-173.2,-17.1,-158.6,-20.9,-1.30,-26.8,-157.1
Cash from Financing Activities,-92.1,65.3,-255.5,124.2,-205.0,521.7,-252.3,-342.3,,,11.2,-294.6,-118.9,131.4,-312.8,-34.0,-127.0,-142.1,-195.5,231.4
Net Change in Cash,4.37,18.6,-48.7,4.82,44.0,77.5,-112.6,-2.38,,,-276.2,3.01,52.0,-35.3,-28.1,9.05,51.9,-36.9,-17.5,19.1
Free Cashflows,94.6,-47.2,202.5,-126.6,234.5,-485.0,97.6,503.9,,,-299.3,291.0,170.7,-129.5,284.2,169.6,179.2,99.3,171.7,-200.3
Free Cashflow per Share,0.099,-0.049,0.21,-0.13,0.25,-0.51,0.10,0.53,,,-0.31,0.30,0.18,-0.14,0.30,0.18,0.19,0.10,0.18,-0.21
