,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.9,16.1,11.2,10.6,15.1,24.6,30.3,25.8,,,22.6,25.9,33.6,29.6,25.9,24.5,25.8,25.8,26.0,26.1
Earnings per Share,1.68,1.31,0.17,-0.81,0.48,0.95,1.90,2.58,,,0.32,0.30,0.62,0.80,0.43,0.53,0.82,0.46,0.57,0.90
Revenue per Share,11.9,14.3,14.7,15.0,14.0,13.4,16.3,17.0,,,3.85,4.05,4.44,4.64,3.54,4.41,4.28,3.86,3.94,4.08
Dividend per Share,1.00,0.86,0.064,0.10,0.40,0.45,0.90,1.30,,,,,0.90,,,,1.30,,,
Capital Expenditures per Share,2.79,2.24,0.94,0.52,0.34,0.23,0.29,0.51,,,0.037,0.063,0.14,0.13,0.16,0.17,0.051,0.072,0.055,0.11
Book Value per Share,13.7,14.2,13.6,12.7,13.1,13.6,15.1,16.7,,,14.2,14.5,15.1,15.9,15.4,15.9,16.7,17.1,16.4,17.3
Price to Earnings Ratio,11.0,14.7,62.2,,20.5,18.4,17.8,9.78,,,12.1,10.4,17.8,12.9,11.5,9.59,9.78,9.92,10.4,8.73
Price to Book Value Ratio,1.33,1.28,0.79,0.79,0.82,1.34,2.19,1.48,,,1.41,1.43,2.19,1.57,1.60,1.26,1.48,1.40,1.50,1.46
EV to EBITDA,7.72,8.44,8.75,7.59,5.09,6.72,7.94,4.93,,,5.85,5.13,7.94,6.22,5.99,4.80,4.93,5.41,5.62,4.27
Dividend Payout Ratio,59.6%,65.6%,38.3%,-12.3%,83.8%,47.5%,47.4%,50.4%,,,,,47.4%,,,,50.4%,,,
Common Shares Outstanding,"1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185",,,"1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185"
Total Revenue,"14,100","16,933","17,433","17,833","16,579","15,864","19,359","20,095",,,"4,561","4,794","5,265","5,502","4,201","5,230","5,072","4,574","4,669","4,839"
"Cost of Revenue, Total","11,204","14,055","15,939","16,377","14,742","13,539","15,440","15,649",,,"3,667","3,929","4,171","4,200","3,404","4,160","3,917","3,700","3,696","3,445"
Gross Profit,"2,896","2,878","1,493","1,457","1,837","2,326","3,919","4,446",,,894.4,865.0,"1,095","1,303",797.9,"1,069","1,156",874.2,973.2,"1,394"
"Selling/General/Administrative Expenses, Total",910.2,"1,193","1,261","1,183","1,199","1,173","1,495","1,253",,,274.8,337.1,575.9,314.8,261.5,319.2,332.1,304.3,337.9,361.4
Operating Income,"1,986","1,685",232.9,273.6,638.2,"1,153","2,324","3,193",,,535.8,511.2,519.4,987.8,536.4,750.0,823.6,569.8,635.3,"1,032"
Net Income,"1,989","1,553",198.2,-963.7,566.0,"1,124","2,248","3,059",,,384.0,355.3,739.2,954.0,510.5,625.4,969.5,548.1,670.2,"1,070"
EBITDA,"2,883","2,941","1,630","1,706","2,104","2,644","3,599","4,436",,,850.6,832.6,836.9,"1,302",853.1,"1,057","1,123",877.8,950.5,"1,363"
Gross Profit Margin,20.5%,17.0%,8.6%,8.2%,11.1%,14.7%,20.2%,22.1%,,,19.6%,18.0%,20.8%,23.7%,19.0%,20.4%,22.8%,19.1%,20.8%,28.8%
Operating Margin,14.1%,9.9%,1.3%,1.5%,3.8%,7.3%,12.0%,15.9%,,,11.7%,10.7%,9.9%,18.0%,12.8%,14.3%,16.2%,12.5%,13.6%,21.3%
Net Profit Margin,14.1%,9.2%,1.1%,-5.4%,3.4%,7.1%,11.6%,15.2%,,,8.4%,7.4%,14.0%,17.3%,12.2%,12.0%,19.1%,12.0%,14.4%,22.1%
Return on Assets,10.9%,7.5%,0.9%,-4.7%,2.9%,6.0%,11.7%,14.8%,,,10.6%,12.1%,11.5%,11.9%,12.4%,13.5%,14.2%,12.1%,12.9%,14.9%
Return on Equity,12.2%,9.2%,1.2%,-6.4%,3.7%,7.0%,12.6%,15.5%,,,2.3%,2.1%,4.1%,5.1%,2.8%,3.3%,4.9%,2.7%,3.4%,5.2%
Return on Total Capital,11.2%,8.0%,1.0%,-5.3%,3.3%,7.0%,12.6%,15.5%,,,12.2%,13.5%,12.6%,12.9%,14.0%,15.0%,15.5%,13.1%,14.5%,15.9%
SG&A to Sale,6.5%,7.0%,7.2%,6.6%,7.2%,7.4%,7.7%,6.2%,,,6.0%,7.0%,10.9%,5.7%,6.2%,6.1%,6.5%,6.7%,7.2%,7.5%
Depreciation & Amortisation,897.6,"1,257","1,398","1,432","1,465","1,491","1,275","1,243",,,314.8,321.4,317.5,314.0,316.8,306.9,299.9,308.0,315.2,330.7
Tax Rate,0.0%,7.7%,-49.5%,21.9%,-0.7%,0.3%,4.1%,6.2%,,,0.3%,12.4%,6.1%,5.3%,7.8%,7.2%,5.6%,8.8%,-1.1%,-0.2%
Current Ratio,2.20,2.53,2.18,3.49,3.29,2.89,5.00,7.15,,,3.58,4.41,5.00,5.63,5.21,4.56,7.15,7.30,7.58,8.63
Quick Ratio,1.08,1.09,1.08,1.30,1.04,0.93,1.42,1.59,,,1.11,1.23,1.42,1.58,1.57,1.31,1.59,1.51,2.46,1.72
Days Inventory Outstanding,20.5,18.5,19.2,19.7,23.4,26.8,24.5,29.0,,,26.8,27.0,26.1,25.5,27.1,30.0,32.3,30.2,25.7,26.6
Days Sale Outstanding,52.6,47.9,55.7,40.0,39.3,48.4,49.3,47.7,,,50.6,45.2,49.3,53.0,55.6,50.9,47.9,50.4,44.0,50.0
Days Payable Outstanding,35.7,31.1,33.4,32.2,31.8,36.3,34.1,33.6,,,36.6,36.8,36.9,36.1,37.5,43.5,41.2,33.0,30.9,29.7
Cash Conversion Cycle,37.1,31.7,32.6,39.8,31.3,35.8,32.8,45.6,,,42.9,34.4,36.4,39.1,44.8,32.7,50.8,46.9,43.8,44.9
Debt to Asset Ratio,0.17,0.22,0.26,0.23,0.19,0.13,0.10,0.085,,,0.12,0.11,0.10,0.097,0.10,0.13,0.085,0.091,0.088,0.082
Debt to Equity Ratio,0.21,0.28,0.35,0.30,0.23,0.15,0.11,0.092,,,0.14,0.12,0.11,0.11,0.11,0.14,0.092,0.100,0.097,0.090
Interest Coverage Ratio,152.1,13.5,1.43,1.74,6.55,23.5,98.6,413.6,,,63.3,183.5,97.3,431.2,,,435.5,,,
