,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.05,3.47,3.16,3.89,4.57,5.82,4.63,3.41,,,5.73,6.28,4.96,4.58,5.30,4.40,3.85,4.01,3.65,2.96
Earnings per Share,-0.10,-0.095,0.24,0.39,0.36,0.42,0.34,0.65,,,0.069,0.027,0.21,0.028,0.16,0.28,0.19,0.044,0.005,0.039
Revenue per Share,1.70,1.54,2.76,3.16,3.29,3.58,3.77,3.07,,,1.10,0.80,1.21,0.82,0.70,0.78,0.73,0.51,0.58,0.77
Dividend per Share,0.044,,0.050,0.098,0.10,0.13,0.13,0.25,,,0.060,0.00,0.068,,0.12,0.00,0.14,,0.091,0.00
Capital Expenditures per Share,0.019,0.020,0.039,0.035,0.031,0.15,0.036,0.049,,,0.005,0.012,0.011,0.008,0.014,0.007,0.019,0.009,0.029,0.021
Book Value per Share,-0.034,1.52,1.76,2.07,2.62,3.23,3.72,4.79,,,3.54,3.51,3.72,3.75,3.84,4.45,4.79,5.18,5.05,4.99
Price to Earnings Ratio,,,7.64,10.7,9.29,12.3,14.8,5.63,,,12.3,16.5,14.8,12.9,11.3,5.87,5.63,5.43,6.28,10.5
Price to Book Value Ratio,,3.02,1.15,1.81,1.30,1.54,1.04,0.75,,,1.60,1.68,1.04,1.28,1.32,0.73,0.75,0.74,0.62,0.52
EV to EBITDA,0.00,16.5,4.81,8.14,6.63,11.7,13.3,122.6,,,11.2,14.5,13.3,11.3,22.2,28.0,122.6,-154.4,-82.8,-66.6
Dividend Payout Ratio,-43.8%,,20.5%,25.1%,27.8%,30.1%,37.5%,38.8%,,,14.3%,0.0%,19.8%,,26.7%,0.0%,21.3%,,17.6%,0.0%
Common Shares Outstanding,"3,333","3,333","3,333","3,333","3,333","3,333","3,333","3,333",,,"3,333","3,333","3,333","3,333","3,333","3,333","3,333","3,333","3,333","3,333"
Total Revenue,"5,682","5,131","9,202","10,548","10,951","11,928","12,575","10,226",,,"3,672","2,675","4,046","2,726","2,347","2,585","2,449","1,710","1,934","2,569"
"Cost of Revenue, Total","4,452","3,449","5,741","6,402","6,596","7,697","8,052","7,123",,,"2,255","1,706","2,629","1,780","1,652","1,802","1,883","1,134","1,456","1,878"
Gross Profit,"1,230","1,683","3,461","4,146","4,355","4,230","4,523","3,276",,,"1,417",968.3,"1,417",946.5,695.1,783.5,565.2,575.2,477.7,691.2
"Selling/General/Administrative Expenses, Total",798.5,"1,291","2,136","2,059","2,152","2,505","2,570","2,912",,,677.6,650.4,695.0,688.6,627.4,791.3,810.8,696.6,547.5,754.2
Operating Income,199.3,41.8,"1,205","2,084","2,203","1,725","1,953",364.1,,,739.2,318.0,721.8,257.9,67.8,-7.84,-245.6,-121.4,-69.8,-63.0
Net Income,-317.3,-199.0,811.5,"1,301","1,207","1,501","1,328","2,419",,,279.5,140.9,767.7,144.7,584.0,979.6,711.1,232.3,119.8,234.0
EBITDA,462.2,481.8,"1,386","2,138","2,261","1,801","2,058",507.2,,,770.6,350.6,733.3,291.6,102.8,29.5,-216.2,-92.8,-40.9,-34.0
Gross Profit Margin,21.6%,32.8%,37.6%,39.3%,39.8%,35.5%,36.0%,32.0%,,,38.6%,36.2%,35.0%,34.7%,29.6%,30.3%,23.1%,33.6%,24.7%,26.9%
Operating Margin,3.5%,0.8%,13.1%,19.8%,20.1%,14.5%,15.5%,3.6%,,,20.1%,11.9%,17.8%,9.5%,2.9%,-0.3%,-10.0%,-7.1%,-3.6%,-2.5%
Net Profit Margin,-5.6%,-3.9%,8.8%,12.3%,11.0%,12.6%,10.6%,23.7%,,,7.6%,5.3%,19.0%,5.3%,24.9%,37.9%,29.0%,13.6%,6.2%,9.1%
Return on Assets,-3.4%,-2.2%,7.4%,8.8%,6.4%,6.6%,4.8%,6.8%,,,5.8%,5.5%,4.7%,4.1%,4.6%,6.5%,5.9%,5.9%,4.5%,2.6%
Return on Equity,0.0%,-3.9%,13.8%,18.8%,13.8%,14.0%,10.7%,15.2%,,,2.4%,1.2%,6.2%,1.2%,4.6%,6.6%,4.5%,1.3%,0.7%,1.4%
Return on Total Capital,-16.2%,-2.8%,10.9%,9.6%,8.2%,9.6%,6.4%,9.0%,,,8.6%,8.0%,6.4%,5.5%,6.6%,9.2%,9.0%,8.7%,7.0%,4.1%
SG&A to Sale,14.1%,25.2%,23.2%,19.5%,19.7%,21.0%,20.4%,28.5%,,,18.5%,24.3%,17.2%,25.3%,26.7%,30.6%,33.1%,40.7%,28.3%,29.4%
Depreciation & Amortisation,262.9,440.0,181.1,53.8,57.7,75.9,105.1,143.1,,,31.4,32.6,11.6,33.7,35.1,37.3,29.4,28.7,28.9,29.0
Tax Rate,15.9%,20.4%,20.8%,18.5%,22.0%,16.9%,21.9%,3.8%,,,32.6%,29.4%,17.2%,25.6%,1.7%,2.4%,1.5%,-4.8%,-16.0%,-10.1%
Current Ratio,1.09,4.23,2.24,4.08,2.86,1.96,2.76,2.22,,,2.27,2.32,2.76,2.52,2.51,2.40,2.22,2.46,2.02,2.01
Quick Ratio,0.038,0.059,0.068,0.020,0.092,0.35,0.58,0.37,,,0.33,0.53,0.58,0.27,0.31,0.42,0.37,0.39,0.28,0.22
Days Inventory Outstanding,584.4,686.8,442.9,509.8,609.8,579.1,577.6,781.6,,,577.0,558.3,573.3,625.8,776.6,805.7,887.6,"1,006","1,182","1,351"
Days Sale Outstanding,16.5,1.35,13.4,2.37,17.3,102.3,135.5,157.1,,,75.6,134.8,135.5,76.8,92.1,145.3,158.9,188.9,199.6,176.7
Days Payable Outstanding,8.51,18.8,19.8,32.3,33.7,25.0,22.1,33.7,,,32.9,20.0,20.7,20.7,24.0,41.2,52.7,43.3,40.1,40.6
Cash Conversion Cycle,587.8,681.1,419.7,479.5,588.7,615.7,673.7,905.5,,,628.8,646.1,686.3,710.3,840.3,869.2,"1,011","1,154","1,346","1,501"
Debt to Asset Ratio,1.01,0.47,0.53,0.60,0.57,0.58,0.55,0.57,,,0.55,0.56,0.55,0.62,0.61,0.58,0.57,0.55,0.61,0.65
Debt to Equity Ratio,-80.9,0.87,1.12,1.47,1.35,1.36,1.33,1.48,,,1.22,1.29,1.33,1.78,1.69,1.57,1.48,1.37,1.76,2.03
Interest Coverage Ratio,21.0,2.12,10.7,9.17,8.69,5.15,6.85,0.99,,,7.07,3.56,170.7,2.81,0.75,,,,,
Cash and Short Term Investments,62.2,"2,159","2,309","2,477","2,573","2,683","2,063","4,914",,,"1,842","1,461","2,063","5,239","1,585","2,423","4,914","4,626","5,912","8,002"
"Total Receivables, Net",257.6,19.0,338.4,68.4,518.2,"3,343","4,667","4,401",,,"2,570","4,494","4,667","2,759","2,975","4,659","4,401","4,705","4,745","4,192"
Total Inventory,"6,961","6,017","7,914","9,970","12,067","12,356","13,129","17,378",,,"11,715","12,165","13,129","15,574","17,477","17,235","17,378","18,301","22,347","24,663"
Total Current Assets,"7,414","8,531","11,184","14,244","16,143","18,745","22,161","28,003",,,"17,801","19,732","22,161","25,402","23,954","26,318","28,003","29,492","34,424","37,645"
"Property/Plant/Equipment, Total - Net",443.5,420.9,509.7,490.7,516.8,902.5,813.5,684.0,,,847.8,840.2,813.5,791.3,702.7,690.7,684.0,658.0,643.9,633.7
Total Assets,"8,953","9,494","12,464","17,088","20,471","25,366","29,904","41,573",,,"26,147","27,019","29,904","35,727","35,504","40,125","41,573","43,012","48,497","52,292"
Accounts Payable,207.5,148.0,475.5,657.9,560.2,493.1,481.1,835.1,,,421.3,432.7,481.1,470.4,553.0,"1,222",835.1,699.8,680.7,734.1
Accrued Expenses,,119.3,268.8,402.7,510.4,689.2,586.4,895.8,,,597.4,603.9,586.4,529.8,577.3,825.1,895.8,702.7,688.3,775.8
Debt Due,"4,472",44.2,"2,654","1,012","2,712","6,014","4,141","7,585",,,"4,533","5,094","4,141","6,195","5,333","5,679","7,585","7,226","11,800","13,019"
Total Current Liabilities,"6,797","2,015","4,999","3,495","5,653","9,547","8,040","12,605",,,"7,843","8,512","8,040","10,085","9,551","10,973","12,605","12,003","17,067","18,774"
Long Term Debt,"2,068","2,108","1,552","6,636","6,023","4,951","8,232","10,817",,,"6,385","6,403","8,232","11,956","11,951","12,112","10,817","11,489","12,316","14,898"
Total Liabilities,"9,065","4,424","6,586","10,175","11,743","14,612","16,444","23,584",,,"14,350","15,041","16,444","22,174","21,642","23,244","23,584","23,659","29,558","33,853"
Common Stock,200.0,333.3,333.3,333.3,333.3,333.3,333.3,333.3,,,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3
Additional Paid-In Capital,,"5,210","5,210","5,210","5,169","5,159","5,150","5,130",,,"5,150","5,150","5,150","5,150","5,150","5,135","5,130","5,120","5,120","5,120"
Retained Earnings (Accumulated Deficit),-344.5,-481.7,331.1,"1,366","2,221","3,258","3,909","5,489",,,"3,309","3,199","3,909","4,003","4,312","4,857","5,489","5,874","5,430","5,258"
Shareholders' Equity,-112.0,"5,070","5,879","6,913","8,727","10,754","12,396","15,955",,,"11,797","11,686","12,396","12,490","12,799","14,828","15,955","17,280","16,817","16,639"
Cash from Operating Activities,545.8,"1,730",-538.3,"-1,439","1,152","2,074","-5,689","-7,560",,,-386.9,"-1,340","-2,576","-2,389","-1,517","-2,952",-701.6,"-1,643","-3,421","-1,474"
Cash from Investing Activities,-463.0,36.5,-948.7,"-1,652","-2,197","-4,646",108.3,164.5,,,36.3,-291.6,-285.4,"-2,369","1,250",106.5,"1,177",225.5,"-1,739","-1,136"
Cash from Financing Activities,-327.2,230.2,"1,737","3,260","1,142","2,181","5,461","10,046",,,-581.8,"1,251","3,464","5,933","-1,386","3,683","1,816","1,129","4,583","3,085"
Net Change in Cash,-244.4,"1,996",250.3,168.4,96.1,-390.6,-119.3,"2,651",,,-932.4,-381.0,602.3,"1,175","-1,653",837.8,"2,291",-288.6,-577.4,474.6
Free Cashflows,483.6,"1,664",-669.9,"-1,555","1,049","1,576","-5,808","-7,723",,,-404.2,"-1,380","-2,611","-2,416","-1,565","-2,976",-765.5,"-1,674","-3,517","-1,544"
Free Cashflow per Share,0.15,0.50,-0.20,-0.47,0.31,0.47,-1.74,-2.32,,,-0.12,-0.41,-0.78,-0.72,-0.47,-0.89,-0.23,-0.50,-1.06,-0.46
