,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,5.71,7.40,5.93,4.76,2.79,2.16,,,4.47,4.04,3.24,2.71,2.56,2.15,2.26,2.26,1.96,1.97
Earnings per Share,0.055,0.002,0.16,0.24,0.33,0.11,0.13,0.21,,,0.024,0.035,0.037,0.044,0.048,0.040,0.061,0.037,0.037,0.064
Revenue per Share,2.21,2.39,2.29,2.55,3.73,3.99,3.28,2.93,,,0.82,0.79,0.77,0.79,0.78,0.79,0.71,0.72,0.70,0.81
Dividend per Share,0.00,0.00,0.058,0.055,0.11,0.11,0.14,0.16,,,0.060,0.00,0.080,,0.080,0.00,0.080,,0.060,0.00
Capital Expenditures per Share,0.00,0.091,0.20,0.13,0.15,0.12,0.030,0.015,,,0.013,0.006,0.005,0.004,0.002,0.006,0.003,0.008,0.017,0.015
Book Value per Share,0.63,0.82,1.05,1.83,2.05,2.08,2.16,2.18,,,2.12,2.10,2.16,2.21,2.17,2.14,2.18,2.22,2.17,2.18
Price to Earnings Ratio,,,,33.6,18.8,44.8,21.1,10.5,,,37.6,38.9,21.1,19.6,14.5,11.5,11.2,10.6,10.6,9.96
Price to Book Value Ratio,,,,3.81,3.17,2.50,1.21,1.03,,,1.94,1.76,1.21,0.96,1.07,0.85,1.03,0.86,0.85,0.92
EV to EBITDA,,,0.00,29.4,13.2,18.9,12.2,6.11,,,15.4,15.1,12.2,8.70,7.34,6.53,6.11,6.61,6.10,5.16
Dividend Payout Ratio,0.0%,0.0%,37.5%,23.1%,33.0%,104.8%,109.4%,78.0%,,,56.4%,0.0%,62.5%,,48.8%,0.0%,41.4%,,34.3%,0.0%
Common Shares Outstanding,441.5,441.5,441.5,441.5,441.5,467.2,516.7,549.7,,,516.7,516.7,516.7,516.7,521.8,521.8,549.7,549.7,549.7,549.7
Total Revenue,975.1,"1,056","1,012","1,125","1,646","1,865","1,693","1,613",,,423.5,409.8,395.4,405.9,406.5,411.7,388.9,394.4,386.1,445.3
"Cost of Revenue, Total",205.4,199.4,188.2,207.5,344.7,421.6,400.4,388.5,,,106.9,93.4,93.3,91.5,94.1,100.4,102.4,98.2,96.7,112.5
Gross Profit,769.7,856.3,824.1,917.7,"1,301","1,443","1,293","1,225",,,316.6,316.4,302.1,314.4,312.4,311.3,286.5,296.2,289.4,332.8
"Selling/General/Administrative Expenses, Total",682.7,691.7,693.2,755.5,989.8,"1,083","1,023",924.5,,,245.4,255.6,241.9,246.4,238.9,235.2,203.9,235.6,233.8,259.7
Operating Income,29.8,93.1,71.3,80.7,192.7,125.0,110.6,131.6,,,22.6,28.1,27.6,32.8,34.8,27.7,36.2,26.8,22.6,43.7
Net Income,24.1,86.2,67.0,93.7,146.0,80.6,77.4,106.8,,,14.5,21.0,22.5,25.2,27.0,22.1,32.5,20.6,20.1,35.1
EBITDA,29.8,109.8,87.6,101.5,222.2,168.1,160.4,181.4,,,35.5,41.6,38.8,46.1,48.4,41.5,48.7,40.7,36.6,57.2
Gross Profit Margin,78.9%,81.1%,81.4%,81.6%,79.1%,77.4%,76.4%,75.9%,,,74.8%,77.2%,76.4%,77.5%,76.8%,75.6%,73.7%,75.1%,74.9%,74.7%
Operating Margin,3.1%,8.8%,7.0%,7.2%,11.7%,6.7%,6.5%,8.2%,,,5.3%,6.9%,7.0%,8.1%,8.6%,6.7%,9.3%,6.8%,5.8%,9.8%
Net Profit Margin,2.5%,8.2%,6.6%,8.3%,8.9%,4.3%,4.6%,6.6%,,,3.4%,5.1%,5.7%,6.2%,6.6%,5.4%,8.4%,5.2%,5.2%,7.9%
Return on Assets,3.6%,12.0%,8.8%,10.0%,10.9%,4.7%,4.6%,7.4%,,,4.1%,4.2%,5.1%,5.6%,6.4%,6.6%,7.4%,7.2%,6.9%,7.8%
Return on Equity,8.7%,23.8%,14.4%,11.6%,16.1%,8.3%,6.9%,8.9%,,,1.3%,1.9%,2.0%,2.2%,2.4%,2.0%,2.7%,1.7%,1.7%,2.9%
Return on Total Capital,7.0%,18.9%,11.9%,10.3%,14.7%,7.7%,6.7%,8.8%,,,6.1%,6.0%,6.7%,7.1%,8.2%,8.5%,8.8%,8.3%,7.9%,9.0%
SG&A to Sale,70.0%,65.5%,68.5%,67.1%,60.1%,58.1%,60.4%,57.3%,,,58.0%,62.4%,61.2%,60.7%,58.8%,57.1%,52.4%,59.7%,60.6%,58.3%
Depreciation & Amortisation,,16.7,16.3,20.8,29.5,43.1,49.7,49.9,,,12.9,13.5,11.2,13.2,13.7,13.7,12.5,13.9,14.1,13.5
Tax Rate,54.7%,23.7%,24.5%,19.0%,20.4%,20.5%,21.3%,17.5%,,,22.3%,23.3%,16.3%,20.9%,18.7%,19.0%,12.2%,18.1%,11.7%,20.8%
Current Ratio,1.06,1.39,1.74,3.11,1.33,1.55,2.93,4.91,,,2.14,2.44,2.93,3.01,3.12,3.04,4.91,5.54,5.79,4.47
Quick Ratio,0.97,1.13,1.41,2.58,0.94,1.19,2.18,3.65,,,1.52,1.76,2.18,2.13,2.27,2.28,3.65,3.96,4.31,3.38
Days Inventory Outstanding,33.7,67.6,95.9,99.2,112.6,135.9,145.6,141.6,,,127.6,132.4,142.5,153.9,159.7,148.8,137.5,123.5,105.1,109.5
Days Sale Outstanding,125.4,107.2,102.6,127.4,116.5,182.5,137.9,142.5,,,145.7,138.3,137.9,141.0,144.9,147.5,142.5,140.1,141.0,147.1
Days Payable Outstanding,60.3,15.0,30.0,31.7,26.7,29.7,32.0,20.8,,,31.1,28.4,28.7,27.0,25.2,23.1,17.2,6.36,0.035,0.040
Cash Conversion Cycle,172.0,163.0,188.0,185.3,197.3,267.0,318.2,296.8,,,286.5,275.8,280.9,296.4,304.1,298.2,294.7,289.0,269.7,273.7
Debt to Asset Ratio,0.60,0.51,0.41,0.25,0.42,0.47,0.24,0.15,,,0.34,0.29,0.24,0.24,0.23,0.23,0.15,0.13,0.13,0.15
Debt to Equity Ratio,1.50,1.06,0.68,0.34,0.74,0.91,0.32,0.18,,,0.51,0.42,0.32,0.31,0.30,0.30,0.18,0.15,0.14,0.18
Interest Coverage Ratio,,,,264.2,18.4,4.89,6.90,23.5,,,4.76,9.18,12.3,20.1,21.0,21.8,34.9,54.6,105.1,397.6
