,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.01,3.61,7.35,3.42,1.37,1.62,1.41,1.00,,,1.58,1.46,1.28,1.42,1.44,1.21,1.17,1.10,0.93,0.89
Earnings per Share,-0.24,-0.73,-0.32,-0.21,-0.28,-0.18,-0.081,-0.003,,,-0.009,-0.011,-0.043,0.013,-0.010,-0.007,0.001,-0.007,0.001,0.003
Revenue per Share,0.11,0.35,0.22,0.13,0.069,0.61,0.074,0.17,,,0.025,0.013,0.013,0.016,0.030,0.071,0.059,0.040,0.033,0.044
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.003,0.020,0.006,0.001,0.073,0.001,0.003,0.52,,,0.001,0.027,-0.026,0.000,0.14,0.11,0.27,0.000,0.000,0.008
Book Value per Share,1.94,1.21,0.94,0.73,1.19,0.99,0.91,0.92,,,0.96,0.95,0.91,0.92,0.92,0.92,0.92,0.91,0.91,0.91
Price to Earnings Ratio,,,,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,0.34,2.88,1.71,3.71,1.07,1.78,1.28,1.22,,,1.49,1.35,1.28,1.60,1.36,1.10,1.22,1.13,0.87,0.89
EV to EBITDA,-0.50,-6.22,-11.1,-41.2,-6.38,-7.12,-14.1,37.6,,,-41.4,-34.7,-14.1,-26.9,-44.0,-85.5,37.6,35.6,22.8,14.8
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,250.0,250.0,397.4,398.5,585.5,715.0,715.0,818.0,,,715.0,715.0,715.0,715.0,818.0,818.0,818.0,818.0,818.0,818.0
Total Revenue,27.9,86.7,88.7,51.0,40.5,439.7,53.1,142.9,,,17.9,9.62,9.00,11.6,24.4,58.2,48.7,33.1,27.0,35.7
"Cost of Revenue, Total",20.2,81.5,110.0,51.1,16.2,414.8,34.7,90.8,,,11.1,5.33,5.42,7.51,16.6,39.7,27.0,16.4,13.6,15.6
Gross Profit,7.70,5.26,-21.3,-0.099,24.3,24.9,18.4,52.1,,,6.75,4.29,3.58,4.14,7.78,18.5,21.6,16.6,13.4,20.1
"Selling/General/Administrative Expenses, Total",73.9,53.4,57.8,51.5,78.6,91.3,54.6,62.9,,,13.3,12.2,12.8,13.7,15.0,21.3,12.9,12.7,11.4,13.8
Operating Income,-66.2,-48.2,-79.1,-51.6,-112.8,-101.5,-55.7,8.18,,,-6.57,-7.94,-28.6,9.44,-7.24,-2.76,8.73,4.01,2.09,6.37
Net Income,-59.7,-181.3,-98.6,-82.2,-113.4,-106.2,-58.2,-2.58,,,-6.57,-7.95,-31.0,9.43,-7.38,-5.60,0.93,-6.11,0.93,2.11
EBITDA,-50.2,-30.7,-70.8,-50.9,-110.2,-98.1,-49.3,31.8,,,-5.23,-6.06,-26.2,12.0,-4.34,4.63,19.5,12.4,11.1,21.4
Gross Profit Margin,27.6%,6.1%,-24.0%,-0.2%,60.1%,5.7%,34.6%,36.4%,,,37.8%,44.6%,39.8%,35.6%,31.9%,31.8%,44.5%,50.3%,49.8%,56.3%
Operating Margin,-237.4%,-55.5%,-89.2%,-101.1%,-278.4%,-23.1%,-104.9%,5.7%,,,-36.8%,-82.5%,-317.2%,81.0%,-29.7%,-4.7%,17.9%,12.1%,7.8%,17.8%
Net Profit Margin,-214.2%,-209.1%,-111.2%,-161.3%,-280.1%,-24.2%,-109.7%,-1.8%,,,-36.8%,-82.6%,-344.8%,80.9%,-30.2%,-9.6%,1.9%,-18.5%,3.4%,5.9%
Return on Assets,-11.4%,-44.3%,-27.3%,-23.4%,-21.2%,-14.1%,-8.3%,-0.3%,,,-3.2%,-3.8%,-8.5%,-5.4%,-4.5%,-3.4%,-0.2%,-1.6%,-0.9%,-0.2%
