,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.47,2.51,3.28,4.70,4.40,6.84,8.35,7.38,,,7.11,8.29,8.14,7.96,8.52,8.82,7.91,8.17,8.08,6.75
Earnings per Share,-0.079,0.14,0.19,0.29,0.21,0.21,0.29,0.50,,,0.052,0.061,0.090,0.071,0.13,0.14,0.16,0.16,0.14,0.14
Revenue per Share,2.12,2.06,1.77,2.55,2.51,2.52,2.50,3.77,,,0.46,0.54,0.77,0.61,0.89,1.10,1.18,1.15,1.05,1.03
Dividend per Share,,0.008,0.073,0.11,0.10,0.11,0.10,0.24,,,,0.062,0.041,,0.10,0.046,0.091,0.050,0.030,0.070
Capital Expenditures per Share,0.062,0.10,0.10,0.13,0.22,0.34,0.31,0.95,,,0.017,0.11,0.12,0.23,0.38,0.18,0.079,0.052,0.10,0.26
Book Value per Share,0.68,0.88,1.03,1.22,1.33,1.43,1.58,1.89,,,1.50,1.50,1.58,1.65,1.74,1.78,1.89,2.05,2.04,2.15
Price to Earnings Ratio,,17.1,8.90,18.0,15.2,21.5,26.8,14.7,,,28.4,30.4,26.8,29.7,22.2,20.2,14.7,12.9,12.5,10.1
Price to Book Value Ratio,1.37,3.28,1.60,3.22,2.90,3.48,4.70,3.80,,,4.61,5.27,4.70,4.29,4.63,4.72,3.80,4.20,3.60,2.79
EV to EBITDA,33.9,7.38,5.26,9.83,9.38,12.8,17.5,9.05,,,16.9,17.7,17.5,16.0,13.4,12.4,9.05,7.85,8.42,6.83
Dividend Payout Ratio,,5.8%,38.9%,39.8%,50.0%,51.0%,36.2%,47.5%,,,,23.2%,14.5%,,28.7%,10.6%,18.3%,8.5%,5.0%,11.7%
Common Shares Outstanding,739.8,739.8,739.7,739.7,739.7,739.7,739.7,739.7,,,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7
Total Revenue,"1,570","1,523","1,307","1,887","1,856","1,863","1,851","2,790",,,342.4,397.0,571.3,449.2,655.9,810.1,874.4,850.9,775.1,759.5
"Cost of Revenue, Total","1,482","1,258","1,058","1,498","1,547","1,538","1,486","2,121",,,280.7,331.1,424.1,350.7,507.6,641.6,616.3,670.9,604.7,601.1
Gross Profit,87.7,265.5,249.4,389.0,309.2,325.3,364.6,668.3,,,61.8,65.9,147.2,98.6,148.3,168.4,258.1,180.0,170.4,158.3
"Selling/General/Administrative Expenses, Total",115.1,89.1,83.7,121.7,126.2,137.0,143.1,211.8,,,24.4,27.0,60.5,42.5,30.3,40.6,105.4,37.5,38.1,33.4
Operating Income,-27.4,176.4,180.9,271.2,191.7,188.5,225.5,456.5,,,37.3,42.9,86.7,56.5,118.1,127.9,152.2,142.5,132.3,124.9
Net Income,-58.7,104.1,138.2,210.5,153.2,156.1,210.9,368.2,,,38.1,45.1,66.9,52.4,93.4,105.4,117.0,120.1,101.8,102.6
EBITDA,61.2,261.1,267.9,363.7,283.9,295.6,342.1,608.7,,,65.2,71.1,117.5,89.3,156.0,168.1,193.4,185.0,174.4,172.3
Gross Profit Margin,5.6%,17.4%,19.1%,20.6%,16.7%,17.5%,19.7%,24.0%,,,18.0%,16.6%,25.8%,21.9%,22.6%,20.8%,29.5%,21.2%,22.0%,20.8%
Operating Margin,-1.7%,11.6%,13.8%,14.4%,10.3%,10.1%,12.2%,16.4%,,,10.9%,10.8%,15.2%,12.6%,18.0%,15.8%,17.4%,16.7%,17.1%,16.4%
Net Profit Margin,-3.7%,6.8%,10.6%,11.2%,8.3%,8.4%,11.4%,13.2%,,,11.1%,11.4%,11.7%,11.7%,14.2%,13.0%,13.4%,14.1%,13.1%,13.5%
Return on Assets,-3.8%,6.7%,9.1%,13.1%,8.7%,8.5%,9.7%,13.5%,,,8.5%,10.1%,9.4%,8.2%,9.7%,10.8%,12.2%,14.3%,14.4%,14.0%
Return on Equity,-11.6%,16.0%,18.2%,23.3%,15.6%,14.8%,18.0%,26.3%,,,3.4%,4.1%,5.7%,4.3%,7.3%,8.0%,8.4%,7.9%,6.7%,6.5%
Return on Total Capital,-9.7%,14.4%,17.2%,22.2%,13.1%,12.2%,15.8%,21.2%,,,12.4%,16.9%,15.8%,13.8%,17.0%,19.0%,21.2%,23.6%,24.4%,21.9%
SG&A to Sale,7.3%,5.8%,6.4%,6.4%,6.8%,7.4%,7.7%,7.6%,,,7.1%,6.8%,10.6%,9.5%,4.6%,5.0%,12.1%,4.4%,4.9%,4.4%
