,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,12.3,15.5,15.5,15.3,12.7,11.5,13.4,14.3,14.3,,11.4,13.0,13.4,13.2,13.4,13.9,13.4,14.9,12.5,12.5
Earnings per Share,0.77,0.53,1.29,0.49,0.56,0.53,0.68,0.97,0.85,,0.20,0.20,0.16,0.29,0.26,0.26,0.24,0.26,0.17,0.17
Revenue per Share,8.84,10.4,14.5,10.6,11.0,10.6,11.3,12.1,11.8,,2.80,2.98,2.83,3.14,2.94,3.19,3.00,3.12,2.89,2.82
Dividend per Share,0.80,,0.80,0.50,0.50,0.50,0.80,1.00,1.00,,0.00,0.55,,0.40,0.00,0.60,,0.40,0.00,0.60
Capital Expenditures per Share,0.48,1.15,1.10,0.86,0.24,0.17,0.17,0.29,0.49,,0.057,0.015,0.044,0.080,0.048,0.11,0.16,0.14,0.084,0.11
Book Value per Share,5.91,6.00,6.46,6.50,6.35,6.31,6.48,6.48,6.33,,6.28,6.48,6.64,6.38,6.24,6.48,6.72,6.38,6.16,6.33
Price to Earnings Ratio,14.4,23.4,12.4,30.9,20.7,21.0,18.6,13.5,13.8,,17.5,18.6,16.7,14.3,13.5,13.5,12.2,12.4,12.6,13.8
Price to Book Value Ratio,1.95,2.08,2.46,2.42,2.08,1.74,2.00,2.05,1.93,,1.74,2.00,1.81,1.90,2.13,2.05,1.90,1.99,1.92,1.93
EV to EBITDA,14.3,12.5,8.99,14.8,9.86,8.30,6.96,7.42,7.07,,7.50,6.96,7.31,7.15,7.17,7.42,6.65,7.16,7.70,7.07
Dividend Payout Ratio,103.8%,,62.2%,103.0%,89.9%,94.7%,118.1%,103.6%,118.1%,,0.0%,81.2%,,46.9%,0.0%,62.1%,,39.3%,0.0%,70.9%
Common Shares Outstanding,259.8,259.8,259.8,259.8,259.8,259.8,259.8,259.8,259.8,,259.8,259.8,259.8,259.8,259.8,259.8,259.8,259.8,259.8,259.8
Total Revenue,"2,296","2,696","3,779","2,760","2,866","2,757","2,939","3,140","3,071",,728.5,775.4,734.1,815.0,763.7,827.6,778.7,809.8,749.6,733.3
"Cost of Revenue, Total","1,778","2,215","2,942","2,231","2,321","2,252","2,385","2,509","2,490",,590.8,608.3,607.4,647.4,616.7,637.4,629.5,651.7,621.4,587.0
Gross Profit,518.2,480.9,837.6,528.7,544.3,505.2,554.1,631.4,581.9,,137.7,167.2,126.6,167.6,146.9,190.2,149.2,158.2,128.2,146.3
"Selling/General/Administrative Expenses, Total",302.8,334.2,484.5,387.5,382.5,343.3,350.4,358.4,347.6,,78.9,107.5,80.2,85.1,74.5,118.7,82.9,87.4,80.7,96.6
Operating Income,215.4,146.7,353.1,141.2,161.8,161.9,203.7,272.9,234.3,,58.8,59.7,46.5,82.5,72.4,71.5,66.3,70.7,47.5,49.7
Net Income,200.2,137.4,334.0,126.1,144.4,137.2,176.0,250.9,220.0,,52.4,52.8,40.8,75.5,67.0,67.5,63.0,67.0,45.3,44.6
EBITDA,300.3,240.4,455.2,262.1,302.3,310.1,345.9,405.9,355.6,,96.0,88.4,82.8,117.8,107.2,98.1,99.6,103.3,79.9,72.9
Gross Profit Margin,22.6%,17.8%,22.2%,19.2%,19.0%,18.3%,18.9%,20.1%,18.9%,,18.9%,21.6%,17.3%,20.6%,19.2%,23.0%,19.2%,19.5%,17.1%,19.9%
Operating Margin,9.4%,5.4%,9.3%,5.1%,5.6%,5.9%,6.9%,8.7%,7.6%,,8.1%,7.7%,6.3%,10.1%,9.5%,8.6%,8.5%,8.7%,6.3%,6.8%
Net Profit Margin,8.7%,5.1%,8.8%,4.6%,5.0%,5.0%,6.0%,8.0%,7.2%,,7.2%,6.8%,5.6%,9.3%,8.8%,8.2%,8.1%,8.3%,6.0%,6.1%
Return on Assets,9.9%,6.3%,13.3%,4.8%,5.3%,5.0%,6.4%,9.5%,9.1%,,5.9%,6.4%,7.0%,8.3%,9.0%,9.9%,11.2%,11.1%,10.4%,9.5%
Return on Equity,13.0%,8.8%,19.9%,7.5%,8.8%,8.4%,10.4%,14.9%,13.4%,,3.2%,3.1%,2.4%,4.6%,4.1%,4.0%,3.6%,4.0%,2.8%,2.7%
Return on Total Capital,13.0%,8.5%,19.6%,7.5%,8.7%,7.8%,10.1%,14.9%,13.4%,,9.4%,10.1%,11.0%,13.2%,14.5%,14.9%,15.6%,15.9%,15.2%,13.4%
