,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,11.6,19.0,10.1,7.75,7.04,6.95,6.05,5.75,,,6.50,7.20,6.93,6.35,5.88,5.18,5.28,5.75,6.10,5.65
Earnings per Share,0.24,1.00,0.58,0.32,0.018,-0.27,0.014,0.14,,,-0.024,0.076,-0.010,0.037,0.007,-0.024,0.12,0.15,0.067,0.11
Revenue per Share,3.83,5.40,5.69,5.28,4.31,3.67,4.26,4.81,,,1.02,1.25,0.95,1.19,1.11,1.20,1.30,1.39,1.19,1.33
Dividend per Share,0.080,0.32,0.25,0.14,0.14,,0.030,0.060,,,,,0.030,,,,0.060,,,
Capital Expenditures per Share,0.14,1.27,0.90,0.35,0.37,0.14,0.082,0.079,,,0.041,0.005,0.017,0.016,0.018,0.013,0.031,0.013,0.008,0.014
Book Value per Share,3.78,4.70,4.96,5.03,4.88,4.47,4.48,4.63,,,4.42,4.49,4.48,4.49,4.50,4.47,4.63,4.72,4.79,4.90
Price to Earnings Ratio,28.9,23.7,15.7,28.8,254.8,,431.9,35.6,,,,,431.8,74.3,50.7,498.4,35.6,20.5,18.0,11.4
Price to Book Value Ratio,1.69,4.54,1.94,1.65,0.96,1.24,1.36,1.08,,,1.45,1.52,1.36,1.25,1.21,1.05,1.08,1.19,1.19,1.08
EV to EBITDA,7.83,10.4,8.55,10.3,11.0,38.3,16.2,5.98,,,27.3,15.5,16.2,11.4,9.16,10.8,5.98,5.49,5.74,4.33
Dividend Payout Ratio,33.5%,32.2%,42.7%,43.7%,775.5%,,219.6%,41.9%,,,,,219.6%,,,,41.9%,,,
Common Shares Outstanding,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Total Revenue,"1,532","2,159","2,274","2,114","1,724","1,468","1,705","1,923",,,406.2,500.1,381.8,474.6,445.3,481.8,520.8,556.3,476.6,531.2
"Cost of Revenue, Total","1,127","1,478","1,789","1,758","1,558","1,402","1,535","1,643",,,362.9,413.9,362.6,406.4,399.2,415.0,422.2,440.0,388.7,422.2
Gross Profit,404.5,680.3,485.4,355.7,165.5,65.6,170.2,279.7,,,43.3,86.2,19.2,68.2,46.1,66.8,98.6,116.3,87.9,109.0
"Selling/General/Administrative Expenses, Total",237.4,213.1,214.2,208.2,187.9,188.7,174.3,187.8,,,54.6,48.5,33.6,48.8,47.0,72.9,40.1,46.9,56.7,56.6
Operating Income,167.1,467.2,271.2,147.5,-22.4,-123.1,-4.05,91.9,,,-11.2,38.6,-19.8,19.4,-0.34,-5.37,56.7,69.4,32.5,53.4
Net Income,95.6,398.1,234.0,128.3,7.22,-107.7,5.46,57.3,,,-9.72,30.4,-3.89,15.0,2.67,-9.70,49.3,60.3,26.7,44.7
EBITDA,306.1,600.6,435.7,336.3,170.2,64.3,176.8,272.7,,,33.2,83.9,26.0,64.2,44.9,39.9,102.2,114.2,73.4,92.7
Gross Profit Margin,26.4%,31.5%,21.3%,16.8%,9.6%,4.5%,10.0%,14.5%,,,10.7%,17.2%,5.0%,14.4%,10.4%,13.9%,18.9%,20.9%,18.4%,20.5%
Operating Margin,10.9%,21.6%,11.9%,7.0%,-1.3%,-8.4%,-0.2%,4.8%,,,-2.7%,7.7%,-5.2%,4.1%,-0.1%,-1.1%,10.9%,12.5%,6.8%,10.1%
Net Profit Margin,6.2%,18.4%,10.3%,6.1%,0.4%,-7.3%,0.3%,3.0%,,,-2.4%,6.1%,-1.0%,3.2%,0.6%,-2.0%,9.5%,10.8%,5.6%,8.4%
Return on Assets,5.2%,19.5%,10.1%,5.4%,0.3%,-5.1%,0.3%,2.8%,,,-4.4%,-1.3%,0.3%,1.6%,2.1%,0.2%,2.7%,4.8%,5.7%,8.1%
Return on Equity,6.3%,21.2%,11.8%,6.4%,0.4%,-6.0%,0.3%,3.1%,,,-0.5%,1.7%,-0.2%,0.8%,0.1%,-0.5%,2.7%,3.2%,1.4%,2.3%
Return on Total Capital,6.0%,20.2%,11.3%,6.3%,0.4%,-6.0%,0.3%,3.1%,,,-5.1%,-1.5%,0.3%,1.8%,2.5%,0.2%,3.1%,5.4%,6.6%,9.2%
SG&A to Sale,15.5%,9.9%,9.4%,9.9%,10.9%,12.9%,10.2%,9.8%,,,13.4%,9.7%,8.8%,10.3%,10.6%,15.1%,7.7%,8.4%,11.9%,10.6%
Depreciation & Amortisation,139.0,133.4,164.5,188.8,192.6,187.4,180.9,180.7,,,44.3,45.3,45.8,44.8,45.2,45.2,45.5,44.8,41.0,39.3
Tax Rate,27.9%,18.1%,13.0%,16.6%,3117.9%,-3.0%,-94.0%,21.7%,,,14.9%,22.3%,71.6%,17.2%,-122.7%,-72.0%,17.2%,16.5%,19.1%,17.8%
Current Ratio,1.69,1.93,1.37,1.52,1.63,1.50,2.49,3.60,,,1.72,1.99,2.49,2.39,2.63,2.68,3.60,3.25,3.65,3.98
