,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.14,5.74,5.53,4.29,5.01,6.88,4.53,3.14,,,5.73,5.33,5.06,4.43,4.25,3.82,3.49,2.96,2.77,2.43
Earnings per Share,0.40,0.39,0.62,0.27,-0.065,0.83,0.44,0.14,,,-0.035,0.24,0.097,0.13,0.012,0.022,-0.023,0.059,0.053,-0.046
Revenue per Share,8.90,11.0,11.3,10.6,10.0,10.8,12.4,15.1,,,2.94,3.29,3.27,3.91,3.73,3.83,3.59,3.78,3.75,3.62
Dividend per Share,0.27,0.25,0.40,0.16,,0.99,0.39,0.050,,,,,0.39,,,,0.050,,,
Capital Expenditures per Share,0.13,0.20,0.20,0.67,0.13,0.15,0.26,0.083,,,0.045,0.13,0.049,0.012,0.032,0.013,0.027,0.037,0.019,0.043
Book Value per Share,2.90,3.04,3.40,3.28,3.05,3.87,3.91,3.67,,,3.58,3.81,3.91,4.04,3.66,3.69,3.67,3.73,3.73,3.68
Price to Earnings Ratio,8.53,12.9,8.10,16.8,,9.30,12.1,22.9,,,12.7,10.4,12.1,10.2,8.64,13.8,22.9,40.5,23.7,54.0
Price to Book Value Ratio,1.05,1.46,1.29,1.23,1.13,1.54,1.13,0.79,,,1.44,1.32,1.13,1.01,1.13,0.93,0.79,0.78,0.69,0.60
EV to EBITDA,6.36,8.05,4.99,12.6,17.1,5.54,9.35,13.9,,,9.77,8.45,9.35,8.95,8.69,12.5,13.9,15.9,14.3,15.0
Dividend Payout Ratio,68.1%,64.0%,64.8%,58.3%,,119.6%,88.0%,35.1%,,,,,88.0%,,,,35.1%,,,
Common Shares Outstanding,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,,,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Total Revenue,"5,874","7,259","7,471","7,020","6,609","7,150","8,208","9,935",,,"1,943","2,170","2,157","2,579","2,460","2,527","2,369","2,492","2,475","2,386"
"Cost of Revenue, Total","5,138","6,536","6,526","6,394","6,203","6,021","7,365","9,279",,,"1,857","1,853","1,963","2,341","2,317","2,359","2,263","2,304","2,279","2,316"
Gross Profit,735.7,722.4,945.0,625.3,406.1,"1,129",842.9,655.8,,,85.8,317.4,194.4,238.0,143.2,168.3,106.3,187.6,196.3,70.6
"Selling/General/Administrative Expenses, Total",296.4,340.1,360.1,347.8,375.2,443.7,446.1,489.7,,,105.4,116.1,107.8,122.6,120.8,132.9,113.3,124.7,137.7,94.2
Operating Income,439.3,382.3,584.9,277.5,30.9,685.4,396.8,166.1,,,-19.5,201.3,86.6,115.4,22.3,35.4,-7.01,62.9,58.6,-23.6
Net Income,261.6,257.8,407.3,181.1,-43.0,546.4,292.4,94.0,,,-22.9,155.5,64.1,87.2,7.82,14.4,-15.5,39.2,34.8,-30.4
EBITDA,532.4,479.4,686.6,373.2,144.8,808.6,514.5,291.4,,,10.8,232.1,112.7,147.1,55.2,68.6,20.5,96.2,92.0,10.1
Gross Profit Margin,12.5%,10.0%,12.6%,8.9%,6.1%,15.8%,10.3%,6.6%,,,4.4%,14.6%,9.0%,9.2%,5.8%,6.7%,4.5%,7.5%,7.9%,3.0%
Operating Margin,7.5%,5.3%,7.8%,4.0%,0.5%,9.6%,4.8%,1.7%,,,-1.0%,9.3%,4.0%,4.5%,0.9%,1.4%,-0.3%,2.5%,2.4%,-1.0%
Net Profit Margin,4.5%,3.6%,5.5%,2.6%,-0.7%,7.6%,3.6%,0.9%,,,-1.2%,7.2%,3.0%,3.4%,0.3%,0.6%,-0.7%,1.6%,1.4%,-1.3%
Return on Assets,7.8%,6.9%,10.8%,4.9%,-1.2%,15.6%,6.8%,1.9%,,,6.1%,6.8%,6.0%,5.6%,6.0%,3.2%,1.8%,0.9%,1.4%,0.6%
Return on Equity,13.7%,12.8%,18.1%,8.4%,-2.1%,21.4%,11.3%,3.9%,,,-1.0%,6.2%,2.5%,3.3%,0.3%,0.6%,-0.6%,1.6%,1.4%,-1.3%
Return on Total Capital,13.6%,12.8%,17.4%,7.4%,-1.8%,21.4%,11.3%,3.9%,,,11.6%,12.7%,11.3%,10.6%,13.0%,7.1%,3.9%,1.9%,3.0%,1.2%
SG&A to Sale,5.0%,4.7%,4.8%,5.0%,5.7%,6.2%,5.4%,4.9%,,,5.4%,5.3%,5.0%,4.8%,4.9%,5.3%,4.8%,5.0%,5.6%,3.9%
Depreciation & Amortisation,93.1,97.1,101.7,95.7,114.0,123.2,117.8,125.3,,,30.4,30.8,26.0,31.7,32.8,33.2,27.5,33.2,33.4,33.7
Tax Rate,30.2%,24.0%,19.4%,20.0%,-228.2%,15.9%,19.6%,20.7%,,,25.4%,19.5%,17.0%,19.1%,9.4%,35.0%,23.0%,19.6%,21.5%,21.1%
Current Ratio,1.51,1.44,2.13,1.66,2.25,2.09,1.37,1.29,,,1.29,1.33,1.37,1.37,1.24,1.24,1.29,1.29,1.27,1.32
Quick Ratio,0.32,0.29,0.55,0.38,0.67,0.55,0.44,0.44,,,0.40,0.42,0.44,0.47,0.45,0.41,0.44,0.50,0.46,0.49
Days Inventory Outstanding,106.5,90.7,85.1,84.7,71.3,63.3,67.2,60.4,,,75.1,74.0,72.2,71.5,72.1,74.0,70.1,63.4,67.0,64.2
Days Sale Outstanding,30.4,30.2,29.2,30.1,30.7,30.9,40.8,37.7,,,41.0,43.5,40.8,46.2,46.5,43.2,37.7,45.1,46.2,41.1
Days Payable Outstanding,0.085,0.78,3.64,2.99,2.82,2.86,0.94,1.57,,,4.55,6.14,4.20,4.58,7.02,5.15,2.60,2.20,2.85,2.50
Cash Conversion Cycle,135.8,117.2,109.3,116.0,97.7,93.6,99.9,95.4,,,110.3,109.4,112.3,107.1,111.3,115.4,109.4,103.2,110.6,107.1
Debt to Asset Ratio,0.44,0.51,0.35,0.46,0.39,0.31,0.47,0.51,,,0.49,0.49,0.47,0.49,0.54,0.56,0.51,0.52,0.54,0.50
Debt to Equity Ratio,0.80,1.02,0.54,0.85,0.65,0.45,0.88,1.03,,,0.95,0.95,0.88,0.96,1.17,1.25,1.03,1.10,1.18,0.99
Interest Coverage Ratio,8.78,6.18,10.6,5.37,0.61,20.5,9.69,3.02,,,,18.0,7.53,9.53,1.64,2.26,,4.43,3.95,
Cash and Short Term Investments,149.1,287.4,297.6,331.7,440.9,446.6,484.8,396.4,,,496.6,563.5,484.8,483.2,440.3,435.1,396.4,438.2,478.4,429.3
"Total Receivables, Net",488.7,599.7,598.1,578.9,556.1,605.9,918.6,"1,026",,,837.6,927.4,918.6,"1,119","1,194","1,150","1,026","1,216","1,248","1,096"
Total Inventory,"1,600","1,649","1,393","1,575",847.2,"1,242","1,470","1,602",,,"1,345","1,445","1,470","1,669","1,680","1,961","1,602","1,609","1,769","1,453"
Total Current Assets,"2,297","2,942","2,309","2,508","1,863","2,304","2,891","3,030",,,"2,700","2,958","2,891","3,291","3,330","3,570","3,030","3,275","3,513","2,987"
"Property/Plant/Equipment, Total - Net","1,038","1,080","1,109","1,453","1,423","1,375","1,926","1,853",,,"1,871","1,919","1,926","1,902","1,891","1,869","1,853","1,850","1,831","1,824"
Total Assets,"3,446","4,061","3,455","4,001","3,318","3,708","4,845","4,915",,,"4,599","4,904","4,845","5,227","5,255","5,472","4,915","5,157","5,377","4,841"
Accounts Payable,1.16,26.6,103.5,1.44,94.2,,38.1,41.7,,,100.0,131.3,38.1,163.0,163.0,90.4,41.7,69.5,74.2,51.2
Accrued Expenses,33.8,44.2,48.6,36.1,22.5,,58.6,31.8,,,44.6,56.6,58.6,42.6,38.1,48.9,31.8,33.2,45.1,34.7
Debt Due,"1,374","1,851",825.5,"1,390",648.1,866.5,"1,896","2,193",,,"1,858","1,929","1,896","2,053","2,384","2,656","2,193","2,337","2,523","2,083"
Total Current Liabilities,"1,517","2,041","1,086","1,514",829.2,"1,100","2,109","2,346",,,"2,089","2,232","2,109","2,402","2,678","2,882","2,346","2,544","2,757","2,264"
Long Term Debt,1.47,,100.0,301.0,439.2,,,,,,,,,,,,,,,
Total Liabilities,"1,531","2,054","1,209","1,838","1,307","1,151","2,263","2,494",,,"2,237","2,386","2,263","2,559","2,836","3,038","2,494","2,697","2,916","2,410"
Common Stock,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,,,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Additional Paid-In Capital,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,,,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9,515.9
Retained Earnings (Accumulated Deficit),740.0,831.6,"1,070",986.6,834.7,"1,381","1,020",859.3,,,800.5,956.0,"1,020","1,107",857.7,872.2,859.3,898.6,900.3,869.9
Shareholders' Equity,"1,916","2,007","2,245","2,162","2,011","2,557","2,581","2,420",,,"2,362","2,517","2,581","2,668","2,419","2,433","2,420","2,460","2,461","2,431"
Cash from Operating Activities,281.9,-92.1,"1,235",-27.8,902.1,325.2,-174.7,-79.7,,,-52.3,77.8,-23.1,-150.0,-92.7,-280.4,443.4,-71.1,-101.1,419.1
Cash from Investing Activities,-123.4,-66.7,-131.3,-441.4,-83.4,-97.4,-174.5,-55.2,,,-30.3,-82.7,-34.2,-7.94,-21.6,-8.78,-16.9,-74.2,38.3,-28.2
Cash from Financing Activities,-110.3,297.2,"-1,094",503.2,-709.4,-222.7,378.3,38.8,,,-223.6,71.8,-31.1,158.4,71.0,273.9,-464.5,144.5,153.2,-439.9
Net Change in Cash,48.2,138.4,10.2,34.0,109.3,5.00,29.2,-96.1,,,-306.2,66.9,-88.4,0.45,-43.3,-15.2,-38.0,-0.75,90.4,-49.0
