,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.78,5.76,5.92,5.62,8.71,27.4,32.7,28.6,,,29.9,39.9,39.3,32.7,30.1,25.8,20.2,19.4,28.6,35.9
Earnings per Share,1.46,0.44,0.47,0.44,0.45,0.58,1.06,1.71,,,0.37,0.25,0.32,0.49,0.41,0.50,0.31,0.23,0.035,0.58
Revenue per Share,3.83,1.16,1.19,1.21,1.06,1.08,3.37,8.91,,,0.63,0.94,1.54,1.75,1.95,2.57,2.65,2.79,1.19,1.45
Dividend per Share,0.36,0.27,0.32,0.32,0.32,0.027,0.029,,,,,,0.029,,,,,,,
Capital Expenditures per Share,0.007,0.008,0.001,0.030,0.020,0.005,0.038,0.62,,,0.004,0.012,0.022,0.012,0.57,0.035,0.010,0.012,0.011,0.003
Book Value per Share,8.37,8.73,8.61,8.80,9.02,9.41,9.75,11.4,,,9.44,9.40,9.75,10.2,10.6,11.1,11.4,11.7,15.5,16.1
Price to Earnings Ratio,4.31,13.5,9.94,13.1,12.4,21.1,37.8,10.5,,,20.7,37.3,37.8,20.0,18.6,12.9,10.4,12.4,15.4,27.4
Price to Book Value Ratio,0.68,0.62,0.53,0.59,0.58,1.42,3.47,1.55,,,3.51,3.93,3.47,2.71,2.73,1.52,1.55,1.58,1.55,1.97
EV to EBITDA,3.24,9.33,6.98,8.49,9.90,17.4,35.0,24.2,,,16.9,31.5,35.0,29.8,32.0,28.1,24.2,27.5,34.6,35.6
Dividend Payout Ratio,24.8%,62.2%,68.2%,72.8%,71.1%,4.7%,2.7%,,,,,,2.7%,,,,,,,
Common Shares Outstanding,220.5,220.5,220.5,220.5,220.5,220.5,220.5,220.5,,,220.5,220.5,220.5,220.5,220.5,220.5,220.5,220.5,551.2,551.2
Total Revenue,591.7,256.2,261.7,265.9,234.0,238.3,584.4,"1,766",,,138.4,162.9,223.0,328.2,373.4,475.9,588.5,651.5,596.2,755.9
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,591.7,256.2,261.7,265.9,234.0,238.3,584.4,"1,766",,,138.4,162.9,223.0,328.2,373.4,475.9,588.5,651.5,596.2,755.9
"Selling/General/Administrative Expenses, Total",60.6,63.9,66.5,68.0,68.8,69.5,149.7,203.5,,,20.5,52.6,60.4,49.1,48.4,49.8,56.2,52.5,92.1,118.5
Operating Income,458.1,140.5,142.9,146.5,120.0,141.6,276.4,468.9,,,105.0,70.4,64.4,126.1,126.7,136.8,79.3,64.5,28.0,401.2
Net Income,346.1,96.4,102.7,96.2,98.5,128.7,234.8,377.4,,,81.0,54.3,70.2,107.3,90.7,110.2,69.1,51.1,19.2,321.6
