,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.07,2.13,2.14,2.82,2.72,3.49,3.75,3.29,,,3.32,3.57,3.78,3.84,3.85,3.67,3.63,3.66,3.47,3.04
Earnings per Share,0.39,0.27,0.25,0.42,0.24,0.54,0.54,0.70,,,0.064,0.11,0.30,0.12,0.17,0.14,0.25,0.11,0.084,0.079
Revenue per Share,1.98,1.55,1.88,2.53,1.54,2.83,3.64,3.77,,,0.83,0.93,1.56,0.75,1.21,0.72,1.09,0.83,0.77,0.79
Dividend per Share,0.12,0.11,0.100,0.017,0.081,0.17,0.067,0.27,,,0.047,0.00,0.020,,0.11,0.00,0.16,,0.078,0.00
Capital Expenditures per Share,0.059,0.24,0.090,0.12,0.072,0.052,0.074,0.11,,,0.013,0.020,0.030,0.017,0.066,0.003,0.022,0.005,0.006,0.010
Book Value per Share,1.81,2.05,2.22,2.55,2.50,2.85,3.33,3.88,,,2.96,3.02,3.33,3.46,3.60,3.63,3.88,4.01,3.93,3.94
Price to Earnings Ratio,4.07,8.83,6.31,6.79,8.12,5.57,6.71,5.13,,,12.2,11.3,6.85,6.46,5.35,4.96,5.33,5.08,5.64,5.60
Price to Book Value Ratio,0.89,1.25,0.77,1.07,0.82,1.12,1.08,0.90,,,1.11,1.12,1.08,0.99,1.06,0.90,0.90,0.88,0.82,0.69
EV to EBITDA,3.29,9.20,8.19,8.82,15.7,5.68,7.38,6.39,,,12.7,11.2,7.38,6.50,6.61,4.93,6.39,6.42,6.48,7.19
Dividend Payout Ratio,30.5%,39.8%,40.0%,3.9%,34.4%,30.7%,12.5%,38.7%,,,18.0%,0.0%,3.8%,,15.7%,0.0%,23.9%,,13.5%,0.0%
Common Shares Outstanding,"1,085","1,085","1,085","1,085","1,411","1,416","1,417","1,421",,,"1,416","1,417","1,417","1,417","1,417","1,420","1,421","1,421","1,421","1,424"
Total Revenue,"2,147","1,685","2,038","2,743","2,177","4,006","5,161","5,355",,,"1,170","1,317","2,207","1,067","1,714","1,021","1,554","1,185","1,088","1,126"
"Cost of Revenue, Total","1,222",930.3,"1,246","1,622","1,282","2,263","3,125","2,834",,,819.6,822.9,"1,217",560.3,967.3,494.6,811.4,606.9,478.1,542.1
Gross Profit,925.0,754.6,792.0,"1,121",895.0,"1,743","2,036","2,522",,,350.8,494.4,990.4,506.8,746.2,526.6,742.2,577.7,609.5,583.7
"Selling/General/Administrative Expenses, Total",427.1,398.9,433.5,561.6,580.5,798.5,978.7,"1,126",,,173.2,295.2,379.4,243.4,338.0,244.9,299.8,307.7,286.8,271.9
Operating Income,497.9,355.7,358.4,559.7,314.5,928.9,"1,057","1,396",,,172.8,194.3,625.1,263.4,408.2,281.7,458.4,270.0,322.7,311.7
Net Income,418.2,296.3,269.7,434.6,253.9,762.5,742.5,939.6,,,87.4,151.9,432.5,164.6,225.2,196.7,353.1,159.8,119.4,112.1
EBITDA,520.5,390.1,411.0,622.5,383.6,991.1,"1,119","1,521",,,187.5,209.3,642.2,286.0,447.0,306.0,497.7,294.8,347.0,335.4
Gross Profit Margin,43.1%,44.8%,38.9%,40.9%,41.1%,43.5%,39.5%,47.1%,,,30.0%,37.5%,44.9%,47.5%,43.5%,51.6%,47.8%,48.8%,56.0%,51.8%
Operating Margin,23.2%,21.1%,17.6%,20.4%,14.4%,23.2%,20.5%,26.1%,,,14.8%,14.8%,28.3%,24.7%,23.8%,27.6%,29.5%,22.8%,29.7%,27.7%
Net Profit Margin,19.5%,17.6%,13.2%,15.8%,11.7%,19.0%,14.4%,17.5%,,,7.5%,11.5%,19.6%,15.4%,13.1%,19.3%,22.7%,13.5%,11.0%,10.0%
Return on Assets,13.5%,8.1%,5.4%,7.0%,3.4%,9.7%,8.1%,7.7%,,,3.9%,4.1%,7.1%,7.4%,8.2%,8.6%,7.3%,6.5%,5.7%,5.1%
Return on Equity,21.3%,13.3%,11.2%,15.7%,7.2%,18.9%,15.7%,17.1%,,,2.1%,3.5%,9.2%,3.4%,4.4%,3.8%,6.4%,2.8%,2.1%,2.0%
Return on Total Capital,20.2%,10.3%,9.6%,14.9%,4.6%,15.8%,10.4%,10.1%,,,6.5%,6.2%,10.4%,9.5%,10.8%,13.4%,10.1%,11.0%,9.9%,7.1%
SG&A to Sale,19.9%,23.7%,21.3%,20.5%,26.7%,19.9%,19.0%,21.0%,,,14.8%,22.4%,17.2%,22.8%,19.7%,24.0%,19.3%,26.0%,26.4%,24.2%
Depreciation & Amortisation,22.6,34.4,52.6,62.8,69.1,62.2,61.1,124.9,,,14.8,14.9,17.1,22.6,38.8,24.3,39.3,24.8,24.4,23.6
Tax Rate,18.7%,20.2%,21.9%,20.1%,14.3%,19.8%,22.6%,24.7%,,,30.2%,22.4%,21.6%,26.4%,28.5%,24.3%,21.2%,25.3%,38.0%,44.7%
Current Ratio,2.14,1.64,1.00,0.91,1.75,1.95,2.29,2.58,,,1.75,2.17,2.29,2.94,3.11,2.07,2.58,1.83,1.78,2.63
Quick Ratio,0.036,0.006,0.003,0.065,0.018,0.033,0.076,0.19,,,0.18,0.20,0.076,0.38,0.50,0.16,0.19,0.27,0.16,0.31
Days Inventory Outstanding,468.5,679.4,604.9,547.1,932.2,701.5,648.2,917.7,,,"1,121",935.5,727.9,646.8,632.2,739.5,926.8,983.5,"1,184","1,182"
Days Sale Outstanding,5.34,1.63,1.43,8.04,7.38,5.70,18.5,51.0,,,10.9,12.6,18.5,69.4,80.2,38.7,51.0,103.5,65.1,85.7
Days Payable Outstanding,14.9,8.61,32.3,34.3,36.0,23.8,46.9,73.9,,,38.9,64.4,74.3,33.8,0.00,0.00,33.2,32.7,0.00,0.00
Cash Conversion Cycle,471.3,666.4,554.5,522.8,905.4,678.9,585.8,885.7,,,"1,095",847.0,667.9,689.8,704.0,800.9,907.6,"1,060","1,275","1,256"
