,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,31.3,36.3,70.1,51.6,37.3,44.1,43.8,35.5,,,38.9,45.5,46.0,41.1,41.4,40.8,39.1,39.8,37.0,32.0
Earnings per Share,1.53,2.41,1.95,2.33,2.54,2.91,3.16,3.37,,,0.80,0.82,0.77,0.84,0.85,0.84,0.83,1.73,0.95,0.89
Revenue per Share,8.74,9.55,10.6,11.1,10.8,11.8,13.0,14.1,,,3.14,3.29,3.41,3.46,3.46,3.50,3.66,4.78,3.60,3.62
Dividend per Share,0.70,0.80,0.80,0.80,0.80,0.85,0.85,0.85,,,,0.40,0.45,,0.40,0.00,0.45,0.00,,0.40
Capital Expenditures per Share,0.27,0.56,0.29,0.29,0.40,0.51,0.53,0.36,,,0.098,0.13,0.25,0.071,0.030,0.091,0.17,0.022,0.029,0.079
Book Value per Share,16.9,18.7,20.0,21.6,25.9,28.3,30.6,33.0,,,29.4,29.8,30.6,31.4,31.8,32.2,33.0,34.8,35.2,35.7
Price to Earnings Ratio,16.6,14.3,17.8,26.6,12.1,13.3,14.2,11.4,,,12.6,12.7,14.2,12.1,12.5,12.3,11.4,8.63,8.03,7.32
Price to Book Value Ratio,1.60,1.86,1.88,1.91,1.33,1.36,1.32,1.12,,,1.28,1.33,1.32,1.21,1.26,1.19,1.12,1.11,0.94,0.84
EV to EBITDA,8.60,13.1,13.7,21.1,9.40,11.4,13.1,10.2,,,11.2,12.4,13.1,13.1,10.7,13.3,10.2,8.81,8.86,8.19
Dividend Payout Ratio,45.9%,33.2%,41.0%,34.3%,31.5%,29.2%,26.9%,25.2%,,,,13.0%,14.3%,,12.2%,0.0%,13.3%,0.0%,,9.1%
Common Shares Outstanding,"6,074","6,074","6,074","6,074","7,356","7,356","7,356","7,356",,,"7,356","7,356","7,356","7,356","7,356","7,356","7,356","7,356","7,356","7,356"
Total Revenue,"43,091","49,804","49,307","52,654","62,587","70,170","77,497","83,399",,,"18,940","19,379","20,281","20,204","20,512","20,990","21,693","30,391","21,321","21,274"
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,"43,091","49,804","49,307","52,654","62,587","70,170","77,497","83,399",,,"18,940","19,379","20,281","20,204","20,512","20,990","21,693","30,391","21,321","21,274"
"Selling/General/Administrative Expenses, Total","12,352","14,000","15,191","16,150","18,962","21,383","24,496","26,346",,,"5,772","6,025","6,388","6,554","6,471","6,625","6,696","7,966","6,527","6,685"
Operating Income,"15,614","19,006","15,925","18,354","23,640","27,092","29,300","31,658",,,"7,415","7,589","7,161","7,805","7,934","8,102","7,818","16,176","8,855","8,294"
Net Income,"9,264","14,625","11,864","14,170","18,634","21,404","23,209","24,813",,,"5,871","6,014","5,679","6,215","6,273","6,215","6,110","12,737","7,010","6,564"
EBITDA,"19,747","21,993","19,077","21,673","26,875","30,045","32,280","34,736",,,"9,015","7,943","7,243","8,725","9,465","8,504","8,042","17,177","9,371","9,717"
Gross Profit Margin,81.2%,85.9%,76.6%,77.8%,78.5%,80.9%,81.3%,80.5%,,,82.0%,80.0%,80.9%,79.4%,80.6%,81.5%,80.5%,86.5%,80.4%,79.9%
Operating Margin,29.4%,32.8%,24.7%,27.1%,29.6%,31.2%,30.7%,30.6%,,,32.1%,31.3%,28.6%,30.7%,31.2%,31.5%,29.0%,46.0%,33.4%,31.2%
Net Profit Margin,21.5%,29.4%,24.1%,26.9%,29.8%,30.5%,29.9%,29.8%,,,31.0%,31.0%,28.0%,30.8%,30.6%,29.6%,28.2%,41.9%,32.9%,30.9%
Return on Assets,1.0%,1.4%,1.1%,1.2%,1.3%,1.2%,1.2%,1.2%,,,1.2%,1.2%,1.1%,1.1%,1.1%,1.2%,1.2%,1.4%,1.4%,1.4%
Return on Equity,9.0%,12.9%,9.8%,10.8%,9.8%,10.3%,10.3%,10.2%,,,2.7%,2.7%,2.5%,2.7%,2.7%,2.6%,2.5%,5.0%,2.7%,2.5%
Return on Total Capital,6.1%,7.2%,5.8%,7.2%,7.4%,7.1%,7.0%,7.1%,,,6.8%,6.3%,7.0%,5.9%,7.1%,5.8%,7.1%,8.0%,8.4%,7.6%
SG&A to Sale,23.3%,24.1%,23.6%,23.9%,23.8%,24.6%,25.7%,25.4%,,,25.0%,24.9%,25.5%,25.8%,25.4%,25.7%,24.9%,22.7%,24.6%,25.1%
Depreciation & Amortisation,"2,911","2,310","2,494","2,750","2,617","2,615","2,826","2,925",,,992.2,962.5,-72.0,919.8,961.6,971.4,72.4,"1,002",439.9,"1,500"
Tax Rate,40.4%,22.8%,24.8%,22.0%,20.3%,20.0%,19.6%,20.4%,,,19.7%,19.5%,19.5%,19.4%,19.5%,22.0%,20.7%,20.8%,19.6%,19.6%
Current Ratio,0.079,0.095,0.080,0.062,0.086,0.082,0.090,0.085,,,0.065,0.079,0.090,0.075,0.066,0.047,0.085,0.066,0.065,0.062
Quick Ratio,0.018,0.037,0.012,0.011,0.010,0.008,0.009,0.010,,,0.007,0.003,0.009,0.001,0.007,0.001,0.010,0.002,0.010,0.004
Days Inventory Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,91.6,187.4,62.9,59.5,56.0,39.7,51.0,52.4,,,35.7,13.2,51.0,6.17,40.2,4.65,52.4,11.2,53.6,17.0
Days Payable Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,104.1,135.6,115.9,59.7,53.3,45.6,43.6,49.7,,,40.4,23.9,31.9,27.9,23.1,22.1,28.5,29.6,32.4,35.1
Debt to Asset Ratio,0.89,0.89,0.90,0.89,0.89,0.89,0.89,0.89,,,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88
Debt to Equity Ratio,8.25,8.46,8.72,8.23,7.96,8.04,8.27,7.95,,,7.73,7.93,8.27,8.34,7.99,7.84,7.95,7.76,7.79,7.64
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"30,251","31,083","34,093","38,075","70,422","65,685","53,161","49,725",,,"48,849","53,332","53,161","53,085","57,454","47,540","49,725","56,206","53,892","59,525"
"Total Receivables, Net","13,326","29,790","11,097","11,044","12,243","9,444","13,327","14,871",,,"8,812","3,346","13,327","1,653","11,030","1,295","14,871","3,481","16,803","5,359"
Total Inventory,"11,652","9,378","6,766","5,340","4,919","4,167","3,598","3,318",,,"3,868",,"3,598",,"3,562",,"3,318",,"3,169",
Total Current Assets,"59,443","75,980","71,842","60,113","100,555","102,166","128,050","131,714",,,"83,100","96,673","128,050","104,908","99,103","66,496","131,714","98,279","104,741","94,782"
"Property/Plant/Equipment, Total - Net","17,568","18,300","20,139","19,952","20,993","25,221","26,401","26,239",,,"25,161","25,497","26,401","26,108","25,953","25,776","26,239","25,755","25,309","25,038"
Total Assets,"947,797",1.072M,1.180M,1.211M,1.706M,1.883M,2.089M,2.174M,,,1.889M,1.958M,2.089M,2.160M,2.101M,2.093M,2.174M,2.241M,2.277M,2.269M
Accounts Payable,"5,975","5,694",27.4,0.52,"1,118",65.5,"1,588",103.1,,,214.4,"3,438","1,588",896.8,680.0,581.0,103.1,"4,487","2,647","4,080"
Accrued Expenses,"8,047","9,041","9,630","10,073","11,257","12,585","14,032","16,600",,,"12,292",,"14,032",,"14,122",,"16,600",,"16,312",
Debt Due,"165,254","77,665","106,587","95,857","77,482","90,419","53,993","60,433",,,"81,175","22,849","53,993","20,931","74,605","16,349","60,433","13,704","64,450","21,919"
Total Current Liabilities,"756,250","801,168","900,977","967,453",1.170M,1.246M,1.417M,1.547M,,,1.280M,1.230M,1.417M,1.399M,1.498M,1.401M,1.547M,1.491M,1.621M,1.527M
Long Term Debt,"49,103","89,737","82,555","65,432","62,002","93,994","105,763","108,757",,,"112,632","141,950","105,763","171,196","107,995","185,083","108,757","137,476","123,971","164,242"
Total Liabilities,"845,102","958,479",1.058M,1.080M,1.515M,1.674M,1.863M,1.930M,,,1.672M,1.738M,1.863M,1.928M,1.866M,1.856M,1.930M,1.985M,2.017M,2.006M
Common Stock,"60,741","60,741","60,741","60,741","73,558","73,558","73,558","73,558",,,"73,558","73,558","73,558","73,558","73,558","73,558","73,558","73,558","73,558","73,558"
Additional Paid-In Capital,"13,802","13,802","13,802","13,802","52,879","52,879","52,879","52,879",,,"52,879","52,879","52,879","52,879","52,879","52,879","52,879","52,879","52,879","52,879"
Retained Earnings (Accumulated Deficit),"22,442","32,796","40,158","49,329","61,938","77,680","95,198","114,050",,,"85,999","89,136","95,198","101,476","104,485","107,818","114,050","126,833","130,596","134,251"
