,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,15.0,15.5,10.3,11.6,11.2,14.5,14.3,10.6,,,14.7,17.3,16.4,13.3,11.9,10.8,10.1,10.9,10.3,10.2
Earnings per Share,1.25,1.42,0.86,0.40,0.82,0.86,0.93,0.81,,,0.24,0.27,0.22,0.22,0.20,0.18,0.21,0.23,0.23,0.28
Revenue per Share,5.55,5.94,6.43,5.95,5.53,5.74,6.44,6.94,,,1.76,1.82,1.17,1.86,1.87,1.85,1.36,1.89,1.86,1.81
Dividend per Share,0.58,0.80,0.43,0.18,0.40,0.45,0.52,0.45,,,,,0.52,,,,0.45,,,
Capital Expenditures per Share,0.086,0.10,0.13,0.16,0.17,0.066,0.082,0.096,,,0.027,0.022,0.016,0.019,0.037,0.020,0.021,0.020,0.028,0.024
Book Value per Share,7.13,7.60,8.03,7.99,8.63,9.08,9.54,9.84,,,9.06,9.33,9.54,9.76,9.45,9.63,9.84,10.1,9.81,10.1
Price to Earnings Ratio,9.28,12.9,10.3,28.0,12.5,14.2,16.6,11.9,,,13.6,17.9,16.6,12.9,12.4,11.5,11.9,12.5,11.8,10.1
Price to Book Value Ratio,1.75,2.55,1.18,1.23,1.12,1.24,1.42,0.97,,,1.49,1.68,1.42,1.09,1.21,0.88,0.97,1.05,0.99,0.99
EV to EBITDA,24.3,103.8,-46.3,-26.3,-195.3,38.1,37.9,24.0,,,42.0,49.6,37.9,31.4,30.2,31.0,24.0,20.7,20.0,15.0
Dividend Payout Ratio,46.4%,56.3%,50.2%,45.4%,49.0%,52.4%,55.7%,55.2%,,,,,55.7%,,,,55.2%,,,
Common Shares Outstanding,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Total Revenue,"2,007","1,998","2,012","1,694","1,875","2,075","2,317","2,405",,,641.6,701.5,356.1,694.5,673.3,652.0,385.3,684.3,629.0,614.1
"Cost of Revenue, Total",111.6,86.3,32.2,21.1,31.8,19.8,10.8,9.49,,,1.31,6.43,0.89,5.44,0.27,3.78,0.00,2.19,0.19,0.95
Gross Profit,"1,587","1,548","1,611","1,343","1,528","1,654","1,905","2,009",,,450.4,521.4,507.5,525.8,500.1,488.9,493.9,515.2,449.3,403.9
"Selling/General/Administrative Expenses, Total","1,668","1,774","2,051","1,958","1,833","1,921","2,035","2,164",,,489.4,532.7,527.6,554.5,541.1,539.9,528.4,542.8,480.2,438.6
Operating Income,752.3,724.0,407.1,230.0,515.9,535.0,604.2,518.2,,,152.3,168.9,150.7,140.0,132.2,112.2,133.8,141.5,148.8,175.5
Net Income,624.7,712.1,428.7,198.1,408.3,429.7,466.9,407.4,,,120.3,133.1,109.9,111.8,102.0,90.0,103.6,112.8,117.1,141.0
EBITDA,786.6,759.6,448.3,278.8,579.9,602.2,663.9,573.0,,,167.4,183.6,161.9,155.1,146.9,126.2,144.7,154.5,161.9,189.2
