,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,65.0,75.3,108.0,116.8,88.4,97.5,91.5,89.1,,,86.0,99.8,93.5,92.6,91.5,89.3,87.5,87.9,91.4,89.1
Earnings per Share,6.18,6.96,7.01,9.10,7.21,5.57,6.57,6.64,,,2.14,1.98,1.37,1.42,1.88,1.74,1.60,1.60,2.06,1.61
Revenue per Share,45.3,55.0,56.7,63.1,62.8,61.1,61.6,61.7,,,15.9,15.9,14.5,15.7,15.0,16.0,14.5,15.8,16.4,16.1
Dividend per Share,3.60,4.00,4.20,5.00,4.00,4.00,4.10,4.20,,,,,4.10,,,,4.20,,,
Capital Expenditures per Share,4.09,3.20,2.77,0.60,1.28,2.12,2.07,1.59,,,0.52,0.53,0.40,0.29,0.50,0.48,0.32,0.39,0.16,0.37
Book Value per Share,55.6,57.9,60.9,66.6,68.8,81.0,83.5,86.1,,,80.1,82.1,83.5,85.0,82.8,84.5,86.1,87.5,85.3,87.0
Price to Earnings Ratio,9.23,10.5,10.2,14.2,12.0,15.1,14.0,13.7,,,14.1,15.2,14.0,12.7,13.5,13.3,13.7,12.8,12.0,12.1
Price to Book Value Ratio,1.00,1.18,1.17,2.03,1.18,1.02,1.08,0.98,,,1.07,1.06,1.08,1.06,1.09,0.99,0.98,1.01,1.03,0.97
EV to EBITDA,5.33,6.88,6.23,8.29,6.91,8.98,7.38,7.03,,,8.94,9.66,7.38,7.05,7.83,7.25,7.03,6.23,6.25,5.92
Dividend Payout Ratio,58.3%,57.5%,59.9%,54.9%,55.5%,71.9%,62.4%,63.2%,,,,,62.4%,,,,63.2%,,,
Common Shares Outstanding,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,,,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Total Revenue,610.9,742.9,765.4,851.2,847.3,824.4,832.2,832.9,,,214.1,214.1,195.1,212.0,202.4,216.2,196.4,212.8,221.2,217.9
"Cost of Revenue, Total",369.6,459.2,457.7,519.4,522.9,524.4,519.4,510.7,,,135.0,132.7,123.0,130.7,123.9,131.3,121.4,130.4,133.2,130.8
Gross Profit,241.3,283.7,307.6,331.7,324.4,300.0,312.8,322.1,,,79.2,81.3,72.1,81.3,78.5,84.9,75.0,82.4,88.0,87.1
"Selling/General/Administrative Expenses, Total",124.0,162.9,189.0,182.1,209.1,223.2,214.7,214.1,,,53.7,51.2,48.3,57.1,57.2,54.4,48.8,54.7,56.5,56.5
Operating Income,117.4,120.8,118.6,149.7,115.2,76.9,98.1,108.0,,,25.5,30.1,23.8,24.2,21.3,30.5,26.3,27.7,31.4,30.6
Net Income,83.4,93.9,94.6,122.9,97.4,75.1,88.7,89.7,,,28.9,26.8,18.5,19.2,25.3,23.5,21.6,21.6,27.8,21.8
EBITDA,126.7,130.9,135.1,169.1,135.3,100.8,123.8,132.6,,,31.9,36.6,30.3,30.5,27.1,37.2,32.1,33.5,37.3,36.6
Gross Profit Margin,39.5%,38.2%,40.2%,39.0%,38.3%,36.4%,37.6%,38.7%,,,37.0%,38.0%,37.0%,38.4%,38.8%,39.3%,38.2%,38.7%,39.8%,40.0%
Operating Margin,19.2%,16.3%,15.5%,17.6%,13.6%,9.3%,11.8%,13.0%,,,11.9%,14.1%,12.2%,11.4%,10.5%,14.1%,13.4%,13.0%,14.2%,14.1%
Net Profit Margin,13.6%,12.6%,12.4%,14.4%,11.5%,9.1%,10.7%,10.8%,,,13.5%,12.5%,9.5%,9.1%,12.5%,10.9%,11.0%,10.2%,12.6%,10.0%
Return on Assets,11.1%,10.7%,10.0%,12.5%,9.5%,6.6%,7.0%,6.9%,,,6.4%,6.0%,6.9%,7.2%,6.9%,6.7%,6.8%,6.9%,7.1%,6.9%
Return on Equity,11.1%,12.0%,11.5%,13.7%,10.5%,6.9%,7.9%,7.7%,,,2.7%,2.4%,1.6%,1.7%,2.3%,2.1%,1.9%,1.8%,2.4%,1.9%
Return on Total Capital,11.1%,12.0%,11.4%,13.6%,10.4%,6.9%,7.9%,7.7%,,,7.4%,6.8%,7.9%,8.1%,8.0%,7.6%,7.7%,7.8%,8.2%,7.9%
SG&A to Sale,20.3%,21.9%,24.7%,21.4%,24.7%,27.1%,25.8%,25.7%,,,25.1%,23.9%,24.8%,26.9%,28.3%,25.2%,24.8%,25.7%,25.6%,25.9%
Depreciation & Amortisation,9.39,10.1,16.5,19.4,20.1,24.0,25.8,24.6,,,6.47,6.51,6.45,6.29,5.82,6.64,5.86,5.77,5.91,5.99
Tax Rate,28.9%,22.2%,20.1%,17.7%,15.2%,14.8%,11.4%,14.8%,,,3.3%,13.7%,16.6%,14.1%,14.4%,16.0%,14.6%,16.4%,16.6%,15.3%
Current Ratio,7.23,5.09,6.75,8.02,8.61,8.33,8.80,9.28,,,8.33,6.98,8.80,7.12,6.86,7.63,9.28,7.93,8.29,8.10
Quick Ratio,2.69,2.01,2.58,3.60,3.68,3.33,3.79,3.97,,,2.99,2.70,3.79,3.26,2.91,3.37,3.97,3.52,3.46,3.36
Days Inventory Outstanding,173.2,160.9,178.5,153.8,148.3,145.3,139.2,142.7,,,152.2,141.3,138.4,133.5,140.3,139.4,143.8,151.1,143.4,141.3
Days Sale Outstanding,71.8,80.6,63.8,68.0,70.0,60.5,62.8,60.6,,,67.0,65.7,62.8,65.7,70.4,67.8,61.1,69.2,75.2,68.2
Days Payable Outstanding,23.6,29.5,31.0,16.9,16.0,16.1,18.8,22.1,,,25.1,24.0,25.7,25.9,31.7,29.4,24.4,24.6,25.3,24.2
Cash Conversion Cycle,221.7,190.7,230.9,202.3,202.5,195.7,179.2,182.2,,,197.8,179.8,181.2,167.6,176.6,182.1,185.9,189.7,190.7,189.2
Debt to Asset Ratio,0.085,0.16,0.14,0.11,0.11,0.12,0.12,0.12,,,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13
Debt to Equity Ratio,0.093,0.20,0.16,0.13,0.12,0.14,0.13,0.13,,,0.14,0.15,0.13,0.15,0.15,0.15,0.13,0.15,0.15,0.15
Interest Coverage Ratio,,"3,057",537.8,390.7,302.8,274.1,164.0,379.2,,,530.6,717.0,52.4,302.8,299.9,455.6,105.1,266.4,311.1,303.1
Cash and Short Term Investments,100.2,84.8,108.3,156.9,175.6,229.7,274.6,296.1,,,194.1,250.0,274.6,303.2,253.4,288.9,296.1,318.7,279.2,314.9
