,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,16.0,11.5,7.60,5.65,4.73,2.88,2.69,,,4.88,3.55,3.27,2.97,2.77,2.64,2.81,2.32,2.37,2.19
Earnings per Share,0.32,0.81,1.88,-0.75,-1.16,-4.47,-1.63,-1.23,,,-0.79,-0.60,-0.12,-0.012,-0.37,-0.49,-0.37,-0.11,-0.22,-0.20
Revenue per Share,9.66,13.1,17.9,19.2,22.1,26.1,8.64,8.52,,,3.86,3.93,2.48,2.62,2.07,1.84,2.00,1.74,1.50,1.38
Dividend per Share,0.18,0.88,1.03,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.072,0.079,0.10,0.36,0.20,0.29,0.017,0.024,,,0.010,0.002,0.001,0.006,0.001,0.010,0.008,0.001,0.007,0.004
Book Value per Share,1.28,1.42,7.27,6.03,4.88,0.38,0.58,-0.65,,,0.46,-0.14,0.58,0.57,0.20,-0.29,-0.65,0.17,-0.008,-0.21
Price to Earnings Ratio,,,6.45,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,,,1.69,1.20,1.02,13.0,5.32,-3.56,,,7.91,-23.6,5.32,4.76,13.3,-8.49,-3.56,14.1,-280.6,-9.43
EV to EBITDA,0.00,0.00,1.87,-4.98,0.53,0.033,-1.66,-1.12,,,-0.68,-0.43,-1.66,-1.88,-1.87,-1.59,-1.12,-0.90,-1.61,-1.72
Dividend Payout Ratio,57.1%,109.0%,54.9%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,625.0,625.0,625.0,625.0,625.0,625.0,"2,272","2,272",,,"1,136","1,136","2,272","2,272","2,272","2,272","2,272","3,109","3,111","3,109"
Total Revenue,"6,039","8,218","11,180","12,021","13,831","16,307","19,640","19,356",,,"4,390","4,463","5,641","5,948","4,692","4,181","4,536","5,397","4,657","4,294"
"Cost of Revenue, Total","5,301","7,175","9,478","12,024","14,902","19,087","21,032","22,551",,,"5,134","4,984","5,592","5,816","5,622","5,530","5,583","5,484","5,363","5,078"
Gross Profit,737.9,"1,042","1,701",-3.40,"-1,071","-2,781","-1,392","-3,195",,,-744.7,-520.6,48.6,131.4,-930.0,"-1,349","-1,047",-86.8,-705.6,-783.4
"Selling/General/Administrative Expenses, Total",484.0,564.4,736.9,813.9,"1,011",988.5,"1,173","1,114",,,262.3,300.8,255.5,259.7,306.8,274.4,273.5,330.6,343.5,337.2
Operating Income,253.9,477.9,964.5,-817.3,"-2,082","-3,579","-2,545","-4,292",,,"-1,007",-821.4,-187.6,-128.3,"-1,237","-1,624","-1,303",-417.4,"-1,049","-1,121"
