,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,2.56,4.68,6.52,3.70,3.29,2.50,1.80,,,3.22,3.05,2.74,2.40,2.32,2.18,2.10,2.00,1.76,1.49
Earnings per Share,0.048,0.19,0.17,0.25,0.19,0.15,0.17,0.14,,,0.037,0.043,0.047,0.030,0.038,0.032,0.044,0.016,-0.005,0.024
Revenue per Share,2.78,3.93,3.76,4.77,4.29,4.01,3.80,3.88,,,0.89,1.00,1.04,0.93,1.05,0.89,1.01,0.74,0.78,0.84
Dividend per Share,0.016,0.15,,0.059,0.20,0.16,0.18,0.12,,,0.080,0.00,0.10,,0.060,0.00,0.060,,0.020,0.00
Capital Expenditures per Share,0.021,0.028,0.21,0.085,0.092,0.006,0.004,0.004,,,0.001,0.001,0.000,0.001,0.003,-0.001,0.001,0.001,0.002,0.001
Book Value per Share,0.31,0.52,1.22,1.43,1.50,1.41,1.41,1.39,,,1.40,1.36,1.41,1.44,1.37,1.35,1.39,1.38,1.31,1.31
Price to Earnings Ratio,,,11.9,29.8,21.3,21.5,16.4,13.6,,,17.7,16.4,16.4,14.5,13.3,13.6,13.6,11.7,16.9,17.6
Price to Book Value Ratio,,,1.87,4.19,2.69,2.17,1.76,1.44,,,2.28,2.06,1.76,1.38,1.66,1.40,1.44,1.39,1.15,1.09
EV to EBITDA,,0.00,7.89,14.8,12.3,13.6,11.2,8.90,,,11.4,11.7,11.2,10.1,10.0,9.07,8.90,10.3,12.8,13.4
Dividend Payout Ratio,33.7%,78.2%,,23.7%,105.3%,109.4%,103.8%,82.8%,,,46.6%,0.0%,57.7%,,38.0%,0.0%,41.4%,,22.8%,0.0%
Common Shares Outstanding,840.0,840.0,840.0,840.0,"1,067","1,176","1,176","1,176",,,"1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176"
Total Revenue,"2,339","3,302","3,161","4,008","4,573","4,713","4,462","4,566",,,"1,044","1,180","1,220","1,098","1,231","1,049","1,187",864.9,922.7,985.4
"Cost of Revenue, Total","2,028","2,823","2,742","3,394","3,822","4,029","3,754","3,888",,,878.1,"1,004","1,039",931.3,"1,062",889.0,"1,006",728.2,779.8,853.9
Gross Profit,311.1,478.9,418.2,614.0,750.5,684.2,708.9,677.6,,,165.4,176.3,180.1,166.7,169.7,160.4,180.7,136.8,142.9,131.5
"Selling/General/Administrative Expenses, Total",218.8,250.4,259.9,309.4,448.2,463.2,447.6,450.1,,,109.6,113.6,109.2,120.5,114.5,107.9,107.3,104.0,137.4,109.0
Operating Income,92.3,228.6,158.3,304.7,302.3,221.1,261.2,227.5,,,55.9,62.7,70.9,46.3,55.3,52.5,73.4,32.8,5.55,22.6
Net Income,40.4,157.5,110.1,235.2,219.4,169.6,203.9,170.3,,,43.7,50.5,54.7,35.7,44.7,37.8,52.1,18.4,-5.32,28.1
EBITDA,108.2,245.2,175.5,324.4,353.0,287.8,324.2,287.2,,,71.8,78.4,86.2,61.1,70.1,67.5,88.6,41.6,14.4,31.5
Gross Profit Margin,13.3%,14.5%,13.2%,15.3%,16.4%,14.5%,15.9%,14.8%,,,15.9%,14.9%,14.8%,15.2%,13.8%,15.3%,15.2%,15.8%,15.5%,13.3%
Operating Margin,3.9%,6.9%,5.0%,7.6%,6.6%,4.7%,5.9%,5.0%,,,5.4%,5.3%,5.8%,4.2%,4.5%,5.0%,6.2%,3.8%,0.6%,2.3%
Net Profit Margin,1.7%,4.8%,3.5%,5.9%,4.8%,3.6%,4.6%,3.7%,,,4.2%,4.3%,4.5%,3.3%,3.6%,3.6%,4.4%,2.1%,-0.6%,2.9%
Return on Assets,3.7%,9.9%,5.4%,10.1%,7.2%,4.6%,5.5%,4.8%,,,6.1%,5.8%,5.6%,5.1%,5.1%,4.8%,4.9%,4.2%,2.8%,2.5%
Return on Equity,15.5%,36.1%,10.7%,19.6%,13.7%,10.2%,12.3%,10.4%,,,2.7%,3.2%,3.3%,2.1%,2.8%,2.4%,3.2%,1.1%,-0.3%,1.8%
Return on Total Capital,14.5%,34.6%,9.7%,18.3%,12.7%,9.7%,11.9%,10.2%,,,11.7%,12.2%,11.9%,10.6%,11.2%,10.7%,10.2%,9.3%,6.6%,6.0%
