,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.13,0.78,0.47,0.40,,0.27,0.040,0.030,,,0.29,0.18,0.045,0.045,0.040,0.035,0.035,0.030,0.030,0.025
Earnings per Share,0.85,-0.45,0.030,-0.043,-0.17,-0.30,-0.004,0.001,,,-0.004,-0.001,0.000,0.000,0.000,0.000,0.001,-0.001,-0.001,-0.001
Revenue per Share,1.49,0.17,0.15,0.13,0.11,0.093,0.007,0.006,,,0.005,0.003,0.003,0.002,0.001,0.001,0.002,0.003,0.001,0.002
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.049,0.002,0.011,0.013,0.026,0.020,0.001,0.001,,,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Book Value per Share,8.06,1.05,0.71,0.49,0.31,0.015,0.042,0.043,,,0.006,0.043,0.042,0.042,0.043,0.042,0.043,0.042,0.042,0.041
Price to Earnings Ratio,5.50,,10.9,,,,,34.2,,,,,,,,73.9,34.2,294.1,,
Price to Book Value Ratio,0.45,0.59,0.45,0.76,,,0.71,0.70,,,,0.94,0.71,0.71,0.70,0.47,0.70,0.71,0.48,0.24
EV to EBITDA,-6.49,-32.1,31.1,-9.64,0.00,0.00,-1.74,-27.5,,,0.00,-2.75,-1.74,-1.78,-8.84,-17.9,-27.5,-13.8,-11.6,1.44
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,101.1,"2,112","6,335","12,674","12,674","12,675","85,315","85,325",,,"12,675","85,315","85,315","85,315","85,315","85,315","85,325","85,325","85,325","85,325"
Total Revenue,150.7,361.6,929.3,"1,624","1,448","1,178",638.7,521.0,,,68.7,246.0,243.8,169.1,95.5,124.6,131.8,276.9,83.6,131.1
"Cost of Revenue, Total",127.7,253.2,587.7,"1,587","1,195","1,480",596.8,350.5,,,72.4,207.6,227.5,126.9,77.2,116.6,29.8,234.3,84.1,125.6
Gross Profit,23.1,108.4,341.7,37.3,253.1,-301.9,41.9,170.5,,,-3.70,38.3,16.3,42.2,18.3,7.98,102.0,42.6,-0.47,5.55
"Selling/General/Administrative Expenses, Total",171.3,180.1,363.1,487.5,564.5,438.8,304.7,300.1,,,75.3,153.5,11.8,68.0,74.4,67.8,92.9,119.2,80.5,85.2
Operating Income,-148.3,-72.7,-22.4,-451.1,-325.1,-771.3,-263.4,-130.6,,,-79.0,-115.1,3.91,-25.8,-56.1,-59.8,8.52,-76.6,-81.0,-79.6
Net Income,86.3,-105.5,156.9,-351.0,"-2,217","-3,745",-164.7,74.9,,,-54.7,-62.7,14.6,22.5,18.7,-21.1,54.7,-43.6,-46.9,-45.7
EBITDA,-132.0,-55.1,6.42,-396.8,-273.2,-717.1,-176.4,-48.8,,,-59.2,-92.4,28.7,-5.93,-36.6,-40.4,31.6,-55.6,-60.4,-58.3
Gross Profit Margin,15.3%,30.0%,36.8%,2.3%,17.5%,-25.6%,6.6%,32.7%,,,-5.4%,15.6%,6.7%,25.0%,19.2%,6.4%,77.4%,15.4%,-0.6%,4.2%
Operating Margin,-98.4%,-20.1%,-2.4%,-27.8%,-22.5%,-65.5%,-41.2%,-25.1%,,,-115.0%,-46.8%,1.6%,-15.2%,-58.8%,-48.0%,6.5%,-27.7%,-96.9%,-60.7%
Net Profit Margin,57.2%,-29.2%,16.9%,-21.6%,-153.1%,-317.9%,-25.8%,14.4%,,,-79.5%,-25.5%,6.0%,13.3%,19.6%,-16.9%,41.5%,-15.8%,-56.1%,-34.9%
Return on Assets,4.2%,-4.2%,3.7%,-5.7%,-33.7%,-64.8%,-2.7%,1.1%,,,-72.1%,-61.3%,-2.4%,-1.2%,-0.1%,0.5%,1.1%,0.1%,-0.8%,-1.2%
Return on Equity,10.6%,-4.8%,3.5%,-5.7%,-56.3%,-1950.0%,-4.6%,2.0%,,,-72.5%,-1.7%,0.4%,0.6%,0.5%,-0.6%,1.5%,-1.2%,-1.3%,-1.3%
Return on Total Capital,8.1%,-4.6%,3.5%,-5.4%,-56.2%,-1585.6%,-4.6%,2.0%,,,-4811.8%,-102.4%,-4.6%,-2.2%,-0.2%,1.0%,2.0%,0.2%,-1.6%,-2.3%
SG&A to Sale,113.7%,49.8%,39.1%,30.0%,39.0%,37.2%,47.7%,57.6%,,,109.6%,62.4%,4.8%,40.2%,77.9%,54.4%,70.5%,43.0%,96.3%,65.0%
Depreciation & Amortisation,16.3,17.7,28.8,54.3,51.9,54.2,87.0,81.8,,,19.8,22.8,24.7,19.8,19.5,19.4,23.1,21.0,20.6,21.3
