,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,9.70,10.9,9.73,4.96,2.10,,,7.90,6.90,6.10,4.16,3.38,3.03,2.58,2.25,1.94,1.74
Earnings per Share,0.017,0.002,0.47,0.44,0.37,0.22,0.027,-0.061,,,0.004,0.045,-0.030,-0.031,0.028,-0.010,-0.048,-0.028,-0.064,-0.043
Revenue per Share,1.42,1.41,2.96,3.74,2.79,2.59,2.22,1.73,,,0.41,0.56,0.47,0.51,0.44,0.44,0.35,0.28,0.32,0.46
Dividend per Share,,,0.00,0.59,0.10,0.050,0.050,0.050,,,,,0.050,,,,0.050,,,
Capital Expenditures per Share,0.00,0.00,0.022,0.078,0.039,0.10,0.30,0.36,,,0.085,0.060,0.14,0.15,0.12,0.065,-0.002,0.013,0.015,0.002
Book Value per Share,0.22,0.10,0.40,0.84,2.48,2.60,2.53,2.41,,,2.53,2.57,2.53,2.48,2.48,2.46,2.41,2.38,2.25,2.21
Price to Earnings Ratio,,,,,18.8,54.0,252.5,,,,29.3,29.9,252.5,,278.3,,,,,
Price to Book Value Ratio,,,,,3.75,4.31,2.01,0.93,,,2.66,2.37,2.01,1.11,1.25,1.01,0.93,0.87,0.72,0.71
EV to EBITDA,,,,0.00,21.2,38.3,51.7,-60.6,,,17.7,21.5,51.7,53.1,85.1,-104.4,-60.6,-92.1,-26.4,-16.2
Dividend Payout Ratio,,,0.0%,135.3%,26.8%,23.1%,182.9%,-82.5%,,,,,182.9%,,,,-82.5%,,,
Common Shares Outstanding,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,,,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
Total Revenue,"1,063","1,055","2,220","2,809","2,090","1,944","1,668","1,300",,,307.5,419.6,353.2,379.8,329.8,327.0,262.6,208.0,240.3,341.4
"Cost of Revenue, Total",968.0,910.0,"1,850","2,227","1,730","1,611","1,444","1,152",,,257.8,337.5,324.5,341.8,293.2,268.2,249.1,179.7,231.9,324.5
