,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,29.2,46.8,68.5,85.9,81.4,89.1,71.3,64.1,,,92.0,84.1,74.3,70.0,70.6,70.1,75.0,74.9,60.8,52.8
Earnings per Share,2.30,3.49,4.34,4.76,5.38,4.42,3.95,4.12,,,0.68,1.13,1.07,0.85,1.11,1.35,0.81,0.87,0.70,0.50
Revenue per Share,30.8,32.7,33.0,35.3,38.0,37.9,39.5,42.5,,,9.86,9.74,10.1,10.0,10.5,11.0,11.0,10.4,11.2,9.94
Dividend per Share,1.20,2.40,2.70,3.00,3.10,3.00,2.20,2.30,,,,,2.20,,,,2.30,,,
Capital Expenditures per Share,1.02,0.97,0.49,0.53,1.09,1.65,1.45,1.81,,,0.31,0.36,0.50,0.29,0.40,0.38,0.74,1.05,1.02,1.11
Book Value per Share,15.9,18.0,20.3,21.8,24.5,25.6,26.0,27.2,,,24.1,25.1,26.0,26.5,25.6,26.6,27.2,28.1,26.3,26.4
Price to Earnings Ratio,10.0,10.9,12.5,14.7,15.1,20.9,17.2,17.6,,,21.7,20.5,17.2,17.3,16.8,15.9,17.6,15.3,13.1,16.2
Price to Book Value Ratio,1.63,2.09,2.91,3.46,3.55,3.42,2.61,2.61,,,3.62,2.92,2.61,2.20,2.72,2.61,2.61,2.42,1.89,2.03
EV to EBITDA,5.41,6.38,9.24,12.0,10.5,13.6,11.8,11.8,,,14.0,13.3,11.8,10.4,11.5,11.0,11.8,12.8,9.54,9.06
Dividend Payout Ratio,52.2%,68.8%,62.2%,63.0%,57.6%,67.9%,55.7%,55.8%,,,,,55.7%,,,,55.8%,,,
Common Shares Outstanding,"1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247",,,"1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247"
Total Revenue,"38,434","40,779","41,201","44,071","47,357","47,271","49,224","53,067",,,"12,296","12,148","12,653","12,511","13,126","13,715","13,661","12,949","13,915","12,404"
"Cost of Revenue, Total","29,392","29,984","30,367","32,284","34,127","34,471","36,677","40,944",,,"9,173","9,048","9,547","9,780","10,237","10,358","10,516","9,972","11,143","10,031"
Gross Profit,"9,041","10,795","10,834","11,787","13,230","12,800","12,547","12,123",,,"3,123","3,100","3,106","2,731","2,889","3,358","3,145","2,978","2,772","2,373"
"Selling/General/Administrative Expenses, Total","4,394","4,645","4,237","4,435","4,605","4,795","4,283","5,336",,,"1,025",972.3,"1,072","1,204","1,233","1,321","1,584","1,367","1,417","1,303"
Operating Income,"2,567","4,187","4,724","5,407","6,630","5,481","5,571","4,744",,,"1,441","1,390","1,363","1,020","1,141","1,500","1,050",978.8,658.5,409.3
Net Income,"2,864","4,347","5,416","5,943","6,714","5,516","4,931","5,137",,,842.6,"1,409","1,331","1,058","1,390","1,681","1,008","1,086",872.6,618.4
EBITDA,"3,364","5,036","5,608","6,252","7,484","6,402","6,679","6,054",,,"1,709","1,674","1,666","1,336","1,461","1,840","1,384","1,357","1,071",873.8
Gross Profit Margin,23.5%,26.5%,26.3%,26.7%,27.9%,27.1%,25.5%,22.8%,,,25.4%,25.5%,24.5%,21.8%,22.0%,24.5%,23.0%,23.0%,19.9%,19.1%
Operating Margin,6.7%,10.3%,11.5%,12.3%,14.0%,11.6%,11.3%,8.9%,,,11.7%,11.4%,10.8%,8.2%,8.7%,10.9%,7.7%,7.6%,4.7%,3.3%
Net Profit Margin,7.5%,10.7%,13.1%,13.5%,14.2%,11.7%,10.0%,9.7%,,,6.9%,11.6%,10.5%,8.5%,10.6%,12.3%,7.4%,8.4%,6.3%,5.0%
Return on Assets,9.6%,13.8%,15.5%,15.8%,16.4%,12.2%,10.7%,10.9%,,,11.3%,11.4%,10.8%,10.0%,11.1%,11.5%,10.6%,10.6%,9.6%,7.7%
Return on Equity,14.4%,19.3%,21.4%,21.9%,22.0%,17.3%,15.2%,15.1%,,,2.8%,4.5%,4.1%,3.2%,4.3%,5.1%,3.0%,3.1%,2.7%,1.9%
Return on Total Capital,14.4%,19.3%,21.4%,21.9%,22.0%,17.3%,15.2%,15.1%,,,17.1%,16.4%,15.2%,14.0%,16.2%,16.5%,15.1%,14.7%,14.2%,10.9%
SG&A to Sale,11.4%,11.4%,10.3%,10.1%,9.7%,10.1%,8.7%,10.1%,,,8.3%,8.0%,8.5%,9.6%,9.4%,9.6%,11.6%,10.6%,10.2%,10.5%
Depreciation & Amortisation,796.4,849.1,884.2,845.3,853.7,921.2,"1,108","1,310",,,268.0,284.3,303.6,316.1,320.2,340.5,333.3,377.9,412.2,464.5
Tax Rate,1.9%,0.2%,1.2%,1.4%,3.9%,3.0%,23.8%,3.9%,,,56.1%,4.5%,15.9%,5.6%,1.2%,1.8%,8.9%,0.9%,3.3%,-7.3%
Current Ratio,2.61,2.79,2.92,3.44,3.31,3.14,3.11,3.07,,,2.85,2.92,3.11,3.14,2.85,2.87,3.07,3.08,2.86,2.94
Quick Ratio,0.81,0.80,0.85,0.92,0.91,0.92,0.93,0.98,,,0.85,0.82,0.93,0.91,0.95,0.89,0.98,0.90,0.95,0.92
Days Inventory Outstanding,77.1,69.5,68.6,63.7,61.3,71.1,74.5,76.4,,,76.3,78.5,78.2,76.2,77.9,82.3,84.7,88.2,88.6,85.3
Days Sale Outstanding,68.4,67.3,77.8,71.9,78.8,85.0,79.0,81.4,,,77.3,74.6,79.0,78.1,84.0,80.7,81.5,76.0,79.0,73.1
Days Payable Outstanding,64.1,63.1,67.5,64.3,64.0,73.0,70.0,64.2,,,35.6,71.0,69.0,69.7,74.8,76.1,72.2,70.2,68.9,63.7
Cash Conversion Cycle,80.9,69.5,70.8,73.1,66.3,75.6,88.3,85.0,,,75.1,82.6,88.6,80.1,81.0,85.9,96.2,94.8,97.9,102.9
Debt to Asset Ratio,0.34,0.32,0.31,0.29,0.30,0.31,0.29,0.30,,,0.32,0.32,0.29,0.29,0.32,0.32,0.30,0.29,0.30,0.29
Debt to Equity Ratio,0.51,0.47,0.46,0.41,0.43,0.45,0.42,0.42,,,0.47,0.46,0.42,0.41,0.46,0.46,0.42,0.41,0.44,0.41
Interest Coverage Ratio,26.3,44.3,75.2,74.4,168.4,121.4,283.7,503.6,,,"1,315",395.2,261.2,211.6,248.8,"8,286",,"2,447","1,050","1,248"
Cash and Short Term Investments,"9,513","12,782","14,953","17,931","20,488","20,117","17,535","15,830",,,"16,664","17,755","17,535","17,957","16,266","16,853","15,830","15,799","12,181","12,421"
"Total Receivables, Net","7,202","7,520","8,779","8,681","10,218","11,011","10,652","11,833",,,"10,374","10,109","10,652","10,619","11,611","11,501","11,833","11,123","11,734","10,600"
Total Inventory,"5,952","5,466","5,949","5,320","6,141","7,297","7,684","9,461",,,"7,721","8,024","7,684","7,995","8,480","9,518","9,461","10,383","10,003","9,462"
Total Current Assets,"23,269","26,127","30,174","32,291","37,291","38,928","36,417","37,988",,,"35,264","36,514","36,417","37,097","36,917","38,683","37,988","38,485","35,201","33,800"
"Property/Plant/Equipment, Total - Net","4,724","4,984","4,767","4,361","4,942","5,966","7,258","7,957",,,"6,535","6,695","7,258","7,285","7,422","7,409","7,957","8,827","9,724","10,557"
Total Assets,"29,899","33,075","36,865","38,242","43,763","46,319","46,018","48,201",,,"44,347","45,714","46,018","46,741","46,793","48,514","48,201","49,518","47,104","46,474"
Accounts Payable,"4,960","5,415","5,823","5,560","6,406","7,387","6,684","7,714",,,"7,052","7,186","6,684","7,650","8,183","8,470","7,714","8,079","7,778","6,774"
Accrued Expenses,"1,554","2,125","2,617","2,371","2,930","2,797","2,120","1,970",,,"2,799","3,041","2,120","2,077","2,517","2,991","1,970","2,027","2,425","2,708"
Debt Due,"1,022",660.7,666.7,249.6,189.9,321.1,228.7,0.00,,,115.5,264.8,228.7,215.3,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,"8,904","9,364","10,320","9,386","11,271","12,402","11,700","12,358",,,"12,387","12,526","11,700","11,807","12,936","13,469","12,358","12,500","12,315","11,508"
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,"10,040","10,578","11,539","11,076","13,205","14,428","13,544","14,260",,,"14,271","14,405","13,544","13,631","14,799","15,337","14,260","14,406","14,362","13,530"
Common Stock,"1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247",,,"1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247","1,247"
Additional Paid-In Capital,"1,492","1,492","1,492","1,492","1,492","1,492","1,492","1,492",,,"1,492","1,492","1,492","1,492","1,492","1,492","1,492","1,492","1,492","1,492"
Retained Earnings (Accumulated Deficit),"18,952","21,802","24,224","26,386","29,217","30,831","32,124","34,558",,,"29,439","30,848","32,124","33,186","31,832","33,513","34,558","35,644","33,607","34,225"
Shareholders' Equity,"19,859","22,497","25,326","27,166","30,558","31,891","32,459","33,937",,,"30,076","31,308","32,459","33,099","31,985","33,170","33,937","35,110","32,745","32,948"
Cash from Operating Activities,"2,931","6,373","4,996","7,163","7,014","5,329","4,475","4,279",,,"1,176","1,405",724.0,"1,246","1,404","1,358",270.2,950.0,763.3,"1,724"
Cash from Investing Activities,-568.0,"-1,226",-411.9,-213.8,"-1,372","-2,379","-2,681","-2,373",,,"-1,166",-500.5,-604.4,-391.2,"-1,004",-209.9,-767.5,"-1,047","-1,197","-1,387"
Cash from Financing Activities,"-2,245","-1,856","-2,989","-3,785","-3,802","-3,736","-3,634","-2,973",,,"-3,627",149.7,-19.4,-13.4,"-2,960",0.00,0.000,,"-2,869",0.00
Net Change in Cash,305.8,"3,269","2,171","2,979","2,557",-802.6,"-2,365","-1,712",,,"-2,471","1,026",-214.6,512.7,"-2,225",795.9,-795.6,83.8,"-3,513",240.7
Free Cashflows,"1,660","5,168","4,380","6,504","5,648","3,270","2,668","2,026",,,787.8,962.0,103.3,884.8,909.7,888.4,-657.2,-357.2,-513.1,336.3
