,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,25.3,25.8,25.8,28.0,28.0,31.3,31.5,24.8,,,32.5,33.3,32.5,29.0,29.0,28.0,29.0,27.5,22.0,19.6
Earnings per Share,0.55,-1.88,0.52,-1.19,0.13,-0.48,10.5,-2.19,,,0.040,-0.040,9.37,-0.84,-0.49,-0.96,0.095,-0.49,-1.01,-3.81
Revenue per Share,86.7,77.7,80.4,78.7,79.0,75.5,70.1,77.5,,,17.1,16.7,17.9,17.7,20.0,19.8,20.2,18.4,13.3,14.5
Dividend per Share,0.50,0.50,0.50,1.00,0.50,0.50,0.50,,,,,,0.50,,,,,,,
Capital Expenditures per Share,8.68,7.18,13.8,8.01,2.64,3.05,11.1,2.66,,,3.48,5.40,0.67,0.44,1.65,0.39,0.18,0.24,0.23,0.74
Book Value per Share,36.6,33.7,33.8,32.2,31.2,30.3,40.3,54.0,,,29.9,29.9,40.3,28.7,27.7,53.5,54.0,53.5,52.5,48.4
Price to Earnings Ratio,47.3,,41.5,,200.0,,3.05,,,,120.0,191.5,3.37,3.40,3.50,3.74,,,,
Price to Book Value Ratio,0.71,0.76,0.64,0.86,0.83,0.99,0.79,0.46,,,1.07,0.00,0.79,1.01,1.05,0.50,0.46,0.44,0.38,0.38
EV to EBITDA,9.44,19.4,11.0,27.7,9.87,12.7,19.8,25.5,,,12.8,16.3,19.8,30.5,54.9,0.00,25.5,20.5,20.1,16.0
Dividend Payout Ratio,90.9%,-26.6%,96.2%,-84.0%,384.6%,-104.2%,4.8%,,,,,,5.3%,,,,,,,
Common Shares Outstanding,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Total Revenue,"4,336","3,887","4,022","3,935","3,949","3,776","3,505","3,877",,,852.7,834.0,893.2,882.8,998.7,987.7,"1,008",919.4,663.0,723.0
"Cost of Revenue, Total","4,060","3,753","3,746","3,773","3,611","3,520","3,319","3,770",,,783.3,812.5,886.9,866.0,979.3,979.9,944.8,887.9,652.5,686.1
Gross Profit,276.0,134.1,276.4,161.7,337.7,256.2,186.4,107.1,,,69.5,21.4,6.27,16.8,19.4,7.83,63.1,31.5,10.4,36.9
"Selling/General/Administrative Expenses, Total",256.0,248.4,271.8,286.4,283.2,250.9,228.8,225.8,,,59.1,53.1,56.2,55.9,60.8,58.3,50.8,55.5,63.4,58.1
Operating Income,48.8,-82.4,26.9,-96.0,84.5,36.1,-11.5,-86.6,,,26.6,-17.5,-56.9,-30.2,-32.0,-43.6,13.3,-12.5,-44.5,-13.3
Net Income,27.5,-94.0,25.8,-59.6,6.65,-24.1,524.8,-109.6,,,2.14,-1.94,518.6,-41.9,-24.4,-48.1,4.78,-24.6,-50.3,-190.6
EBITDA,327.0,164.1,282.5,166.0,371.4,269.3,220.5,166.9,,,84.5,40.7,0.96,26.5,31.8,23.1,79.7,52.5,20.8,51.7
Gross Profit Margin,6.4%,3.5%,6.9%,4.1%,8.6%,6.8%,5.3%,2.8%,,,8.1%,2.6%,0.7%,1.9%,1.9%,0.8%,6.3%,3.4%,1.6%,5.1%
Operating Margin,1.1%,-2.1%,0.7%,-2.4%,2.1%,1.0%,-0.3%,-2.2%,,,3.1%,-2.1%,-6.4%,-3.4%,-3.2%,-4.4%,1.3%,-1.4%,-6.7%,-1.8%
Net Profit Margin,0.6%,-2.4%,0.6%,-1.5%,0.2%,-0.6%,15.0%,-2.8%,,,0.3%,-0.2%,58.1%,-4.7%,-2.4%,-4.9%,0.5%,-2.7%,-7.6%,-26.4%
Return on Assets,0.7%,-2.5%,0.6%,-1.4%,0.2%,-0.6%,12.1%,-2.1%,,,0.3%,0.2%,11.6%,10.5%,10.4%,7.9%,-1.9%,-1.6%,-2.1%,-4.9%
Return on Equity,1.5%,-5.6%,1.5%,-3.7%,0.4%,-1.6%,26.1%,-4.1%,,,0.1%,-0.1%,25.8%,-2.9%,-1.8%,-1.8%,0.2%,-0.9%,-1.9%,-7.9%
Return on Total Capital,1.4%,-5.0%,1.4%,-3.2%,0.4%,-1.6%,23.9%,-3.9%,,,0.8%,0.6%,23.9%,30.1%,29.8%,14.4%,-3.9%,-3.3%,-4.4%,-10.5%
SG&A to Sale,5.9%,6.4%,6.8%,7.3%,7.2%,6.6%,6.5%,5.8%,,,6.9%,6.4%,6.3%,6.3%,6.1%,5.9%,5.0%,6.0%,9.6%,8.0%
Depreciation & Amortisation,278.2,246.5,255.6,262.0,286.9,233.3,232.0,253.6,,,57.9,58.2,57.8,56.7,63.8,66.6,66.4,65.0,65.3,64.9
Tax Rate,50.6%,17.9%,17.4%,-14.6%,13.5%,29.4%,20.6%,27.6%,,,1.9%,-36.1%,19.2%,16.3%,36.0%,24.7%,-500.8%,31.3%,25.5%,21.5%
Current Ratio,1.23,1.09,0.87,0.83,0.82,0.77,0.73,0.70,,,0.75,0.69,0.73,0.72,0.71,0.70,0.70,0.70,0.69,0.95
Quick Ratio,0.33,0.29,0.25,0.21,0.24,0.19,0.17,0.16,,,0.15,0.15,0.17,0.17,0.16,0.15,0.16,0.17,0.14,0.16
Days Inventory Outstanding,124.5,127.6,119.8,119.6,125.7,123.0,123.5,108.1,,,139.7,146.7,131.7,126.6,130.1,124.9,113.1,108.2,119.5,123.1
Days Sale Outstanding,44.9,45.8,49.6,43.8,53.0,39.5,40.2,34.5,,,37.2,38.9,40.2,44.4,43.1,38.1,34.5,38.7,34.2,40.5
Days Payable Outstanding,13.9,12.3,16.0,15.9,13.9,16.5,15.8,12.4,,,16.5,14.7,12.0,21.0,23.6,15.9,13.1,14.0,13.4,11.9
Cash Conversion Cycle,161.3,163.5,147.0,154.8,159.1,152.9,152.0,130.2,,,161.4,174.8,158.9,139.9,153.3,151.7,135.5,130.0,147.0,149.8
Debt to Asset Ratio,0.50,0.53,0.58,0.60,0.61,0.59,0.55,0.50,,,0.62,0.63,0.55,0.64,0.66,0.52,0.50,0.50,0.50,0.50
Debt to Equity Ratio,1.05,1.17,1.44,1.62,1.64,1.52,1.31,1.04,,,1.78,1.81,1.31,1.92,2.10,1.14,1.04,1.06,1.07,1.07
Interest Coverage Ratio,0.65,,0.39,,0.94,0.45,,,,,1.27,,,,,,0.55,,,
Cash and Short Term Investments,74.8,90.0,98.5,124.1,96.7,136.3,146.1,156.1,,,101.6,97.2,146.1,149.5,124.4,170.3,156.1,137.1,168.6,232.8
"Total Receivables, Net",533.6,488.1,546.6,472.6,573.8,408.6,386.3,366.9,,,385.1,381.7,386.3,421.2,426.6,392.9,366.9,414.8,335.5,367.8
Total Inventory,"1,394","1,230","1,229","1,245","1,244","1,129","1,117","1,116",,,"1,396","1,279","1,117","1,206","1,321","1,220","1,116","1,132","1,136","1,004"
Total Current Assets,"2,011","1,821","1,886","1,848","1,919","1,679","1,654","1,643",,,"1,896","1,767","1,654","1,778","1,884","1,792","1,643","1,686","1,653","2,150"
"Property/Plant/Equipment, Total - Net","1,674","1,748","2,169","2,287","2,129","2,046","2,317","3,204",,,"2,177","2,343","2,317","2,286","2,284","3,261","3,204","3,151","3,119","2,923"
Total Assets,"3,854","3,762","4,235","4,305","4,219","3,916","4,773","5,655",,,"4,265","4,312","4,773","4,291","4,406","5,861","5,655","5,645","5,578","5,160"
Accounts Payable,127.1,125.1,203.6,125.5,149.0,169.6,117.3,138.1,,,167.6,100.6,117.3,268.4,190.8,132.7,138.1,152.2,102.4,105.1
Accrued Expenses,85.2,95.0,105.2,113.7,111.0,98.8,100.1,66.5,,,77.9,84.3,100.1,75.1,85.0,95.4,66.5,78.7,76.2,89.4
Debt Due,"1,355","1,399","1,801","1,951","2,040","1,816","2,019","2,104",,,"2,191","2,319","2,019","2,041","2,250","2,262","2,104","2,084","2,069","1,935"
Total Current Liabilities,"1,637","1,665","2,176","2,234","2,353","2,168","2,278","2,347",,,"2,526","2,569","2,278","2,456","2,645","2,547","2,347","2,402","2,395","2,260"
Long Term Debt,203.7,187.9,146.3,249.6,80.0,,179.3,127.0,,,,,179.3,152.4,125.6,135.7,127.0,94.1,76.5,67.8
Total Liabilities,"1,916","1,976","2,439","2,600","2,559","2,300","2,646","2,815",,,"2,661","2,706","2,646","2,748","2,911","3,048","2,815","2,829","2,812","2,600"
Common Stock,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Additional Paid-In Capital,623.8,623.8,623.8,623.8,623.8,623.8,623.8,623.8,,,623.8,623.8,623.8,623.8,623.8,623.8,623.8,623.8,623.8,623.8
Retained Earnings (Accumulated Deficit),707.4,561.5,568.4,483.8,438.5,389.4,889.2,776.1,,,372.6,370.7,889.2,310.2,260.8,749.8,776.1,751.5,701.2,568.5
