,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.29,2.65,2.21,4.91,3.45,3.36,3.58,2.68,,,3.26,3.41,3.79,3.76,3.19,3.05,3.15,3.12,2.99,2.49
Earnings per Share,0.091,0.23,-0.060,0.070,0.080,0.083,0.085,0.12,,,0.061,0.046,-0.033,0.050,-0.020,0.050,0.031,0.055,0.075,0.001
Revenue per Share,2.95,3.55,2.51,2.54,3.16,2.85,3.09,3.15,,,0.77,0.81,0.77,0.77,0.70,0.84,0.83,0.88,0.77,0.77
Dividend per Share,0.046,0.010,,,0.045,0.033,0.033,0.033,,,,,0.033,,,,0.033,,,
Capital Expenditures per Share,0.069,0.084,0.12,0.12,0.11,0.95,1.21,0.81,,,0.29,0.33,0.28,0.21,0.18,0.37,0.053,0.12,0.052,-0.006
Book Value per Share,2.36,2.02,1.95,2.06,2.09,2.00,2.09,2.23,,,2.08,2.13,2.09,2.14,2.15,2.20,2.23,2.30,2.34,2.34
Price to Earnings Ratio,21.2,15.5,,97.1,25.5,39.7,41.9,25.7,,,37.4,25.4,41.4,30.9,65.8,61.6,27.8,26.5,13.7,13.8
Price to Book Value Ratio,0.82,1.51,0.73,2.16,0.99,1.76,1.98,1.39,,,1.67,1.44,1.98,1.43,1.39,1.23,1.39,1.29,1.22,0.89
EV to EBITDA,11.6,17.2,248.0,21.0,19.2,39.9,21.1,17.2,,,22.8,22.1,21.1,24.5,25.8,20.8,17.2,13.2,10.1,8.97
Dividend Payout Ratio,50.1%,4.4%,,,56.3%,39.8%,38.5%,27.5%,,,,,38.1%,,,,29.7%,,,
Common Shares Outstanding,260.0,361.3,361.2,361.3,427.0,561.8,619.0,619.0,,,619.0,619.0,619.0,619.0,619.0,619.0,619.0,630.1,630.1,630.1
Total Revenue,766.3,"1,282",904.9,917.7,"1,348","1,599","1,910","1,947",,,475.7,500.9,476.5,478.6,435.9,520.9,511.8,552.9,486.9,484.6
"Cost of Revenue, Total",628.9,"1,098",830.1,791.7,"1,172","1,347","1,591","1,586",,,380.0,408.9,408.1,410.2,354.5,419.9,401.8,440.2,358.7,400.0
Gross Profit,137.4,183.9,74.9,126.0,175.5,251.5,318.8,360.8,,,95.7,92.0,68.4,68.4,81.4,101.0,110.0,112.7,128.2,84.5
"Selling/General/Administrative Expenses, Total",81.2,108.2,91.7,95.4,133.1,206.6,238.6,236.5,,,50.6,57.9,74.0,63.2,57.9,55.6,59.8,58.8,65.0,64.5
Operating Income,55.7,76.4,-17.4,29.9,42.3,44.9,80.2,124.3,,,45.1,34.1,-5.63,5.23,23.5,45.3,50.2,53.9,63.2,20.0
Net Income,27.7,82.6,-19.8,30.1,43.3,43.6,52.8,74.2,,,37.9,28.1,-20.5,31.9,-10.5,31.6,21.1,34.7,47.2,0.90
EBITDA,82.5,101.1,3.74,63.0,69.1,75.3,124.5,216.2,,,53.8,45.7,5.43,17.2,48.7,71.2,79.2,83.3,92.6,49.4
Gross Profit Margin,17.9%,14.3%,8.3%,13.7%,13.0%,15.7%,16.7%,18.5%,,,20.1%,18.4%,14.4%,14.3%,18.7%,19.4%,21.5%,20.4%,26.3%,17.4%
Operating Margin,7.3%,6.0%,-1.9%,3.3%,3.1%,2.8%,4.2%,6.4%,,,9.5%,6.8%,-1.2%,1.1%,5.4%,8.7%,9.8%,9.8%,13.0%,4.1%
Net Profit Margin,3.6%,6.4%,-2.2%,3.3%,3.2%,2.7%,2.8%,3.8%,,,8.0%,5.6%,-4.3%,6.7%,-2.4%,6.1%,4.1%,6.3%,9.7%,0.2%
Return on Assets,2.2%,5.8%,-1.3%,2.0%,2.5%,1.9%,1.7%,2.0%,,,1.8%,2.4%,1.6%,2.2%,0.8%,0.8%,1.9%,1.9%,3.4%,2.7%
Return on Equity,4.5%,11.3%,-2.8%,4.0%,4.9%,3.9%,4.1%,5.4%,,,2.9%,2.1%,-1.6%,2.4%,-0.8%,2.3%,1.5%,2.4%,3.2%,0.1%
Return on Total Capital,3.9%,10.2%,-2.5%,3.7%,4.5%,2.3%,3.0%,2.7%,,,2.6%,3.9%,3.0%,4.0%,1.5%,1.3%,2.7%,2.7%,5.4%,4.8%
SG&A to Sale,10.6%,8.4%,10.1%,10.4%,9.9%,12.9%,12.5%,12.1%,,,10.6%,11.6%,15.5%,13.2%,13.3%,10.7%,11.7%,10.6%,13.3%,13.3%
Depreciation & Amortisation,26.8,24.7,21.1,33.1,26.7,30.4,44.3,91.9,,,8.71,11.6,11.1,11.9,25.2,25.9,29.0,29.3,29.3,29.4
Tax Rate,1.2%,17.7%,5.1%,8.0%,16.0%,28.9%,39.2%,34.7%,,,20.2%,31.7%,-50.9%,26.1%,-113.5%,16.5%,51.0%,14.6%,18.3%,176.7%
