,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.11,4.12,4.48,2.65,0.98,0.63,0.61,0.48,,,0.61,0.72,0.66,0.57,0.51,0.50,0.43,0.36,0.56,0.57
Earnings per Share,-4.60,1.77,0.11,-0.35,-0.20,-0.092,-0.095,-0.027,,,-0.009,-0.007,0.007,-0.001,-0.004,-0.007,-0.014,-0.008,0.016,0.026
Revenue per Share,11.1,9.48,8.77,4.80,0.85,0.19,0.27,0.25,,,0.066,0.095,0.085,0.066,0.051,0.062,0.050,0.061,0.078,0.12
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.70,0.049,0.10,0.025,0.026,0.003,0.014,0.050,,,0.000,0.001,0.013,0.023,0.001,-0.007,0.033,0.011,0.009,0.006
Book Value per Share,-1.51,0.29,0.40,0.002,0.57,0.46,0.45,0.44,,,0.47,0.47,0.45,0.46,0.46,0.45,0.44,0.43,0.45,0.48
Price to Earnings Ratio,,0.99,28.5,,,,,,,,,,,,,,,,,28.1
Price to Book Value Ratio,-1.17,16.5,7.72,"1,597",1.78,1.40,1.20,0.71,,,0.95,1.22,1.20,1.15,0.96,0.98,0.71,0.72,1.32,1.06
EV to EBITDA,11.5,29.3,22.9,-17.0,-4.43,-12.9,-15.0,-20.8,,,-4.70,-9.95,-15.0,28.9,31.4,49.5,-20.8,-12.8,-17.7,-13.7
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,540.0,540.0,540.0,540.0,"1,898","1,898","2,313","3,030",,,"2,313","2,313","2,313","3,030","3,030","3,030","3,030","3,030","3,030","3,030"
Total Revenue,"5,980","5,117","4,734","2,589","1,613",360.9,626.3,760.4,,,153.6,220.4,195.9,198.7,155.2,187.7,150.4,184.8,234.9,349.1
"Cost of Revenue, Total","5,528","4,684","4,301","2,514","1,653",250.0,424.7,496.3,,,103.3,160.7,130.1,146.2,108.7,136.7,104.7,147.0,197.4,279.7
Gross Profit,451.8,432.6,432.6,75.2,-39.7,110.9,201.6,264.1,,,50.4,59.7,65.7,52.5,46.5,51.0,45.7,37.8,37.5,69.3
"Selling/General/Administrative Expenses, Total",310.9,398.2,345.5,269.0,361.0,251.9,393.9,347.5,,,68.4,75.2,38.3,81.5,70.9,90.6,104.6,67.6,71.1,155.2
Operating Income,147.8,42.1,87.0,-193.8,-400.7,-141.0,-192.3,-83.4,,,-18.0,-15.4,27.4,-29.0,-24.3,-39.5,-58.9,-29.8,-33.6,-85.8
Net Income,"-2,484",953.7,58.8,-217.4,-350.7,-173.7,-212.7,-79.5,,,-20.2,-17.0,15.1,-2.77,-11.7,-22.4,-42.7,-20.8,47.1,78.2
EBITDA,167.5,59.5,111.4,-167.7,-371.7,-107.2,-116.8,4.88,,,1.17,3.51,53.3,-6.39,-2.05,-12.5,-42.6,-12.1,-13.0,-61.8
Gross Profit Margin,7.6%,8.5%,9.1%,2.9%,-2.5%,30.7%,32.2%,34.7%,,,32.8%,27.1%,33.6%,26.4%,30.0%,27.2%,30.4%,20.4%,16.0%,19.9%
Operating Margin,2.5%,0.8%,1.8%,-7.5%,-24.8%,-39.1%,-30.7%,-11.0%,,,-11.7%,-7.0%,14.0%,-14.6%,-15.7%,-21.1%,-39.1%,-16.1%,-14.3%,-24.6%
Net Profit Margin,-41.5%,18.6%,1.2%,-8.4%,-21.7%,-48.1%,-34.0%,-10.5%,,,-13.1%,-7.7%,7.7%,-1.4%,-7.5%,-11.9%,-28.4%,-11.3%,20.0%,22.4%
Return on Assets,-74.3%,54.3%,4.8%,-19.8%,-29.5%,-12.9%,-14.0%,-4.3%,,,-17.8%,-16.6%,-12.4%,-1.3%,-0.8%,-1.1%,-3.9%,-5.0%,-1.9%,2.9%
Return on Equity,0.0%,608.9%,27.3%,-22027.3%,-32.6%,-19.7%,-20.4%,-6.0%,,,-1.8%,-1.6%,1.5%,-0.2%,-0.8%,-1.6%,-3.2%,-1.6%,3.5%,5.3%
Return on Total Capital,325.7%,286.6%,26.1%,-3007.2%,-32.6%,-18.3%,-18.5%,-5.6%,,,-25.9%,-23.7%,-18.4%,-1.7%,-1.1%,-1.5%,-5.6%,-7.0%,-2.7%,3.9%
SG&A to Sale,5.2%,7.8%,7.3%,10.4%,22.4%,69.8%,62.9%,45.7%,,,44.5%,34.1%,19.6%,41.0%,45.6%,48.3%,69.5%,36.6%,30.3%,44.4%
Depreciation & Amortisation,19.7,17.4,24.3,26.1,28.9,33.9,75.5,88.3,,,19.2,18.9,25.8,22.6,22.3,27.1,16.3,17.7,20.6,24.0
Tax Rate,3.9%,0.9%,8.7%,-1.1%,-1.6%,7.4%,1.0%,1.0%,,,2.7%,-5.0%,4.1%,-16.9%,12.9%,2.1%,-0.8%,-7.9%,-2.0%,1.9%
Current Ratio,0.23,1.20,1.03,0.82,3.57,2.77,0.59,1.11,,,0.80,0.84,0.59,1.50,1.34,0.87,1.11,1.22,0.85,1.13
Quick Ratio,0.099,0.80,0.20,0.33,0.68,0.49,0.31,0.60,,,0.30,0.44,0.31,0.42,0.29,0.42,0.60,0.63,0.43,0.59
Days Inventory Outstanding,22.3,21.5,38.4,71.1,47.1,90.1,2.36,11.1,,,6.23,3.52,2.48,1.56,9.06,9.59,11.2,20.6,16.2,9.55
Days Sale Outstanding,18.3,49.5,15.7,42.1,41.5,116.3,69.1,109.9,,,113.9,135.4,69.1,55.7,38.1,78.6,120.8,138.7,95.2,97.7
Days Payable Outstanding,0.82,2.33,2.74,6.39,11.1,42.0,15.7,21.8,,,157.1,86.4,47.5,15.1,20.7,17.9,18.9,39.7,39.0,25.6
Cash Conversion Cycle,40.6,54.3,70.4,98.0,92.3,267.2,59.9,75.7,,,56.1,30.6,79.4,45.2,31.9,61.0,86.7,101.9,92.8,74.9
Debt to Asset Ratio,1.36,0.87,0.83,1.00,0.25,0.27,0.35,0.29,,,0.31,0.34,0.35,0.25,0.25,0.29,0.29,0.31,0.31,0.29
Debt to Equity Ratio,-3.81,6.84,4.78,956.2,0.33,0.39,0.59,0.43,,,0.47,0.52,0.59,0.36,0.35,0.44,0.43,0.47,0.49,0.43
Interest Coverage Ratio,1.47,0.34,1.21,,,,,,,,,,4.68,,,,,,,
Cash and Short Term Investments,80.3,74.2,66.9,76.9,723.6,458.3,98.7,159.7,,,163.9,152.7,98.7,281.2,243.5,145.2,159.7,200.6,143.6,132.5
"Total Receivables, Net",300.6,693.9,203.0,298.9,183.4,115.0,118.7,229.0,,,103.6,175.1,118.7,117.3,80.4,158.9,229.0,257.6,197.7,246.1
Total Inventory,321.6,231.0,672.9,306.4,120.2,3.23,2.27,27.8,,,2.83,3.49,2.27,2.36,24.7,2.70,27.8,28.3,23.7,14.4
Total Current Assets,702.5,"1,042","1,021",750.6,"1,123",645.8,223.2,422.2,,,274.9,331.9,223.2,420.9,368.8,327.5,422.2,504.0,389.1,470.2
"Property/Plant/Equipment, Total - Net","1,489",150.1,185.5,161.6,239.5,356.2,931.1,739.7,,,725.4,712.0,931.1,907.9,892.8,917.6,739.7,759.7,824.5,833.4
Total Assets,"2,287","1,229","1,245",948.7,"1,427","1,275","1,768","1,955",,,"1,628","1,658","1,768","1,982","1,954","2,079","1,955","1,966","2,103","2,192"
Accounts Payable,24.7,35.0,29.6,58.4,42.2,15.4,21.1,38.3,,,66.0,89.2,21.1,23.6,38.2,13.1,38.3,70.0,55.1,47.2
Accrued Expenses,109.7,65.6,64.3,36.4,38.0,23.5,53.4,84.9,,,32.8,31.4,53.4,43.4,24.4,30.4,84.9,7.44,27.5,40.8
Debt Due,"2,523",704.6,875.1,795.0,208.1,165.9,277.8,221.8,,,190.9,259.1,277.8,181.7,176.9,251.4,221.8,217.1,278.7,238.2
Total Current Liabilities,"3,031",864.9,993.5,918.4,314.8,233.5,379.0,378.9,,,342.6,394.3,379.0,281.5,274.4,377.8,378.9,411.8,460.2,417.7
Long Term Debt,52.4,176.2,9.98,6.24,1.85,69.0,104.0,88.7,,,70.0,68.4,104.0,94.3,85.1,93.8,88.7,95.4,107.4,118.8
Total Liabilities,"3,102","1,072","1,029",944.0,349.8,344.4,616.3,572.3,,,512.5,561.1,616.3,502.2,485.1,602.5,572.3,606.2,656.5,625.1
Common Stock,540.0,540.0,540.0,540.0,"1,898","1,898","2,313","3,030",,,"2,313","2,313","2,313","3,030","3,030","3,030","3,030","3,030","3,030","3,030"
Additional Paid-In Capital,494.0,494.0,494.0,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),"-1,849",-877.4,-818.6,-539.0,-892.1,"-1,071","-1,282","-1,362",,,"-1,264","-1,280","-1,282","-1,283","-1,295","-1,319","-1,362","-1,384","-1,335","-1,257"
Shareholders' Equity,-815.1,156.6,215.4,0.99,"1,075",879.7,"1,044","1,326",,,"1,098","1,081","1,044","1,400","1,388","1,364","1,326","1,303","1,352","1,463"
Cash from Operating Activities,253.4,-41.2,117.0,151.5,-103.3,55.6,-47.1,-1.72,,,-50.7,-54.0,61.8,-4.55,43.7,-10.8,-30.1,-10.1,16.4,-69.5
Cash from Investing Activities,-370.5,"1,333",-41.7,-10.1,-50.4,-237.7,-522.5,-301.4,,,-29.2,-10.8,-27.5,-79.2,-53.6,-164.1,-4.54,54.3,-140.5,89.3
Cash from Financing Activities,-46.7,"-1,298",-82.6,-131.4,769.8,-75.3,232.9,354.8,,,-39.0,58.2,-88.3,248.2,-21.7,74.3,54.0,-4.03,65.8,-27.8
Net Change in Cash,-163.8,-6.10,-7.25,9.97,616.2,-257.4,-336.7,51.6,,,-119.0,-6.56,-54.0,164.4,-31.6,-100.5,19.4,40.1,-58.2,-8.02
Free Cashflows,-122.3,-67.8,62.2,137.8,-153.1,50.0,-78.9,-151.9,,,-50.7,-55.8,32.3,-73.5,41.5,9.63,-129.6,-43.0,-11.6,-86.6
Free Cashflow per Share,-0.23,-0.13,0.12,0.26,-0.081,0.026,-0.034,-0.050,,,-0.022,-0.024,0.014,-0.024,0.014,0.003,-0.043,-0.014,-0.004,-0.029
