,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,198.0,311.5,291.0,289.5,307.5,440.0,502.0,429.0,334.0,,511.0,479.0,459.0,447.0,423.0,411.5,403.0,402.5,364.5,304.5
Earnings per Share,28.3,31.6,38.9,23.0,42.1,38.3,60.7,32.7,8.56,,7.00,18.6,9.74,-2.65,1.47,1.18,1.98,4.11,0.008,7.16
Revenue per Share,361.1,427.1,434.3,384.5,394.8,400.8,412.4,392.4,402.0,,108.0,95.6,76.5,112.2,90.3,92.5,72.6,124.2,94.3,101.5
Dividend per Share,14.3,15.8,19.6,11.5,21.1,19.1,30.4,16.4,4.55,,,,,16.4,,,,4.55,,
Capital Expenditures per Share,15.0,11.6,20.2,14.3,12.7,17.1,19.8,20.2,14.9,,3.38,6.04,5.14,5.65,3.50,3.43,4.65,2.45,5.18,6.33
Book Value per Share,151.8,168.5,196.4,199.3,229.4,246.4,287.8,289.8,263.5,,294.8,283.0,292.7,289.8,291.2,276.1,252.7,263.5,263.5,266.1
Price to Earnings Ratio,7.38,6.99,8.15,11.3,7.74,8.49,8.04,13.0,45.8,,8.19,8.31,9.39,13.0,14.9,42.1,200.1,44.8,46.9,20.4
Price to Book Value Ratio,1.41,1.35,1.52,1.39,1.41,1.30,1.85,1.39,1.46,,1.65,1.66,1.47,1.39,1.40,1.42,1.56,1.46,1.26,0.96
EV to EBITDA,4.08,3.59,7.08,8.90,7.16,6.97,9.41,11.0,24.8,,9.92,8.25,9.72,11.0,14.5,27.3,105.2,24.8,23.3,8.27
Dividend Payout Ratio,50.3%,50.0%,50.3%,50.0%,50.0%,50.0%,50.0%,50.0%,53.1%,,,,,50.0%,,,,52.0%,,
Common Shares Outstanding,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,19.8,,22.0,22.0,22.0,22.0,22.0,22.0,20.4,19.8,19.8,19.8
Total Revenue,"7,944","9,395","9,555","8,460","8,686","8,817","9,073","8,632","7,960",,"2,377","2,103","1,684","2,468","1,987","2,036","1,478","2,459","1,866","2,009"
"Cost of Revenue, Total","6,412","7,703","7,999","7,385","7,416","7,530","7,447","7,266","6,947",,"1,939","1,704","1,414","2,209","1,738","1,792","1,348","2,068","1,621","1,711"
Gross Profit,"1,532","1,692","1,555","1,075","1,270","1,287","1,626","1,366","1,014",,437.8,399.4,270.2,258.7,248.5,244.0,129.6,391.5,245.4,298.6
"Selling/General/Administrative Expenses, Total","1,044","1,187","1,184",920.2,990.5,"1,057","1,117","1,133","1,143",,261.2,300.7,248.2,322.7,264.9,334.8,252.0,291.6,269.0,297.4
Operating Income,516.4,524.0,383.2,172.8,287.9,224.7,497.2,241.2,-109.2,,181.3,110.7,26.7,-77.5,-6.44,-80.8,-109.9,88.1,-5.87,7.65
Net Income,623.1,695.8,855.8,506.0,926.9,841.9,"1,336",719.3,180.1,,154.1,409.3,214.2,-58.4,32.2,26.1,40.3,81.5,0.17,141.7
EBITDA,730.0,726.7,593.0,450.2,569.7,513.6,838.4,585.9,241.5,,260.1,194.6,114.8,16.4,79.1,3.98,-16.6,174.9,77.6,94.8
Gross Profit Margin,19.3%,18.0%,16.3%,12.7%,14.6%,14.6%,17.9%,15.8%,12.7%,,18.4%,19.0%,16.0%,10.5%,12.5%,12.0%,8.8%,15.9%,13.1%,14.9%
Operating Margin,6.5%,5.6%,4.0%,2.0%,3.3%,2.5%,5.5%,2.8%,-1.4%,,7.6%,5.3%,1.6%,-3.1%,-0.3%,-4.0%,-7.4%,3.6%,-0.3%,0.4%
Net Profit Margin,7.8%,7.4%,9.0%,6.0%,10.7%,9.5%,14.7%,8.3%,2.3%,,6.5%,19.5%,12.7%,-2.4%,1.6%,1.3%,2.7%,3.3%,0.0%,7.1%
Return on Assets,12.7%,12.8%,14.1%,8.1%,14.3%,11.8%,17.0%,8.8%,2.4%,,15.4%,15.6%,12.6%,8.9%,7.4%,2.8%,0.6%,2.7%,2.2%,3.9%
Return on Equity,18.7%,18.8%,19.8%,11.5%,18.4%,15.5%,21.1%,11.3%,3.5%,,2.4%,6.6%,3.3%,-0.9%,0.5%,0.4%,0.8%,1.6%,0.0%,2.7%
Return on Total Capital,18.7%,18.8%,19.8%,11.5%,18.4%,15.5%,21.1%,11.3%,3.5%,,19.6%,20.1%,15.4%,11.3%,9.3%,3.5%,0.8%,3.5%,2.8%,5.0%
SG&A to Sale,13.1%,12.6%,12.4%,10.9%,11.4%,12.0%,12.3%,13.1%,14.4%,,11.0%,14.3%,14.7%,13.1%,13.3%,16.4%,17.0%,11.9%,14.4%,14.8%
Depreciation & Amortisation,213.5,202.7,209.7,277.4,281.8,288.8,341.2,344.7,350.6,,78.8,83.9,88.1,93.8,85.6,84.8,93.3,86.9,83.5,87.1
