,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,3.69,2.32,1.62,1.27,0.70,0.60,,,1.16,0.99,0.90,0.76,0.71,0.61,0.57,0.60,0.65,0.63
Earnings per Share,0.20,0.065,0.13,0.11,-0.13,-0.23,-0.21,-0.099,,,-0.053,-0.060,-0.030,0.010,0.001,-0.046,-0.050,-0.040,0.036,-0.041
Revenue per Share,4.38,3.86,3.45,2.43,1.57,1.26,1.48,1.35,,,0.38,0.24,0.45,0.61,0.28,0.28,0.18,0.24,0.45,0.20
Dividend per Share,0.00,0.00,0.11,0.050,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.33,0.12,0.059,0.026,0.039,0.019,0.022,0.040,,,0.004,0.006,0.004,0.005,0.007,0.015,0.013,0.004,0.004,0.002
Book Value per Share,0.86,0.92,0.98,1.36,1.18,0.96,0.75,0.66,,,0.84,0.78,0.75,0.76,0.76,0.72,0.66,0.62,0.65,0.61
Price to Earnings Ratio,,,,25.2,,,,,,,,,,,,,,,,
Price to Book Value Ratio,,,,1.76,1.43,1.41,1.07,0.75,,,1.22,1.01,1.07,0.77,0.85,0.56,0.75,0.96,0.75,1.01
EV to EBITDA,,,0.00,9.83,20.7,-95.7,-151.4,11.5,,,-53.7,-67.4,-151.4,22.1,10.8,8.76,11.5,24.9,13.8,13.6
Dividend Payout Ratio,0.0%,0.0%,82.6%,43.5%,,,,,,,,,,,,,,,,
Common Shares Outstanding,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,,,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0
Total Revenue,"4,116","3,630","3,239","2,287","1,476","1,182","1,388","1,266",,,356.7,222.3,422.7,569.0,262.5,267.7,166.9,223.5,420.0,183.4
"Cost of Revenue, Total","3,527","3,193","2,742","1,842","1,400","1,230","1,403","1,191",,,358.6,242.2,397.1,520.4,217.4,270.0,183.3,220.9,337.3,180.7
