,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.79,1.69,1.74,2.00,1.26,0.83,0.77,0.34,,,0.73,0.66,0.50,0.42,0.77,0.80,0.42,0.37,0.31,0.26
Earnings per Share,0.075,-0.001,-0.064,0.021,0.014,0.006,-0.047,0.003,,,-0.014,0.000,-0.021,0.003,0.006,-0.002,-0.005,-0.007,-0.001,0.000
Revenue per Share,1.32,1.08,0.79,1.33,0.91,0.84,1.01,1.04,,,0.15,0.35,0.31,0.28,0.26,0.23,0.27,0.12,0.17,0.15
Dividend per Share,,,,,0.080,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.009,0.008,0.002,0.006,0.002,0.007,0.38,0.009,,,0.20,0.13,0.042,0.000,0.003,0.006,0.000,0.000,0.00,0.000
Book Value per Share,0.70,0.86,0.70,0.72,0.74,0.67,0.62,0.63,,,0.65,0.65,0.62,0.63,0.63,0.63,0.63,0.62,0.62,0.62
Price to Earnings Ratio,41.9,,,104.4,100.7,166.7,,112.8,,,,,,,,,112.7,,,
Price to Book Value Ratio,4.17,2.33,1.34,2.88,1.81,1.44,0.63,0.58,,,1.08,0.88,0.63,0.61,0.84,0.65,0.58,0.55,0.42,0.37
EV to EBITDA,36.3,123.8,-11.2,49.0,47.8,128.4,-12.9,27.3,,,-22.0,-29.8,-12.9,-16.9,-60.7,-425.8,27.3,78.4,183.1,86.1
Dividend Payout Ratio,,,,,584.0%,,,,,,,,,,,,,,,
Common Shares Outstanding,904.9,941.7,"1,184","1,202","1,279","1,279","1,279","1,279",,,"1,279","1,279","1,279","1,279","1,279","1,279","1,279","1,279","1,279","1,279"
Total Revenue,"1,195","1,021",929.5,"1,593","1,160","1,072","1,294","1,328",,,196.6,451.4,402.2,358.0,329.5,300.1,340.0,149.6,217.2,185.6
"Cost of Revenue, Total","1,017",905.5,829.4,"1,395","1,015",919.2,"1,172","1,190",,,169.6,422.7,367.9,317.1,294.4,269.4,309.2,125.5,190.1,159.4
Gross Profit,177.7,115.9,100.0,198.4,145.5,153.0,121.7,137.6,,,27.0,28.6,34.3,40.9,35.1,30.6,30.9,24.1,27.1,26.1
"Selling/General/Administrative Expenses, Total",114.3,113.5,187.4,171.7,129.6,156.6,189.2,128.3,,,45.2,35.8,59.7,33.8,31.8,32.3,30.3,32.0,27.0,25.9
Operating Income,67.8,10.7,-87.4,26.6,15.9,-3.60,-67.5,9.25,,,-18.2,-7.18,-25.4,7.12,3.29,-1.71,0.56,-7.92,0.053,0.20
Net Income,86.5,3.51,-52.9,28.2,20.6,8.42,-60.4,4.08,,,-17.4,0.24,-27.4,4.42,8.10,-2.37,-6.06,-8.76,-1.25,-0.35
EBITDA,79.5,23.8,-75.0,38.2,26.0,8.24,-53.7,22.1,,,-14.5,-3.36,-22.8,10.6,6.80,1.79,2.87,-4.92,2.96,2.92
Gross Profit Margin,14.9%,11.3%,10.8%,12.4%,12.5%,14.3%,9.4%,10.4%,,,13.7%,6.3%,8.5%,11.4%,10.7%,10.2%,9.1%,16.1%,12.5%,14.1%
Operating Margin,5.7%,1.0%,-9.4%,1.7%,1.4%,-0.3%,-5.2%,0.7%,,,-9.2%,-1.6%,-6.3%,2.0%,1.0%,-0.6%,0.2%,-5.3%,0.0%,0.1%
Net Profit Margin,7.2%,0.3%,-5.7%,1.8%,1.8%,0.8%,-4.7%,0.3%,,,-8.8%,0.1%,-6.8%,1.2%,2.5%,-0.8%,-1.8%,-5.9%,-0.6%,-0.2%
Return on Assets,12.8%,0.4%,-5.7%,3.0%,2.1%,0.9%,-5.9%,0.4%,,,-3.3%,-2.7%,-5.3%,-3.7%,-1.3%,-1.6%,0.4%,-1.0%,-2.0%,-1.8%
Return on Equity,13.6%,0.4%,-6.3%,3.2%,2.2%,1.0%,-7.6%,0.5%,,,-2.1%,0.0%,-3.4%,0.6%,1.0%,-0.3%,-0.8%,-1.1%,-0.2%,0.0%
Return on Total Capital,13.6%,0.4%,-6.3%,3.2%,2.2%,1.0%,-7.6%,0.5%,,,-3.7%,-3.4%,-7.6%,-5.0%,-1.8%,-2.1%,0.5%,-1.1%,-2.3%,-2.1%
SG&A to Sale,9.6%,11.1%,20.2%,10.8%,11.2%,14.6%,14.6%,9.7%,,,23.0%,7.9%,14.9%,9.4%,9.7%,10.8%,8.9%,21.4%,12.4%,14.0%
Depreciation & Amortisation,11.6,13.1,12.4,11.5,10.2,11.8,13.8,12.8,,,3.67,3.82,2.64,3.51,3.52,3.50,2.32,3.00,2.91,2.72
Tax Rate,0.0%,114.2%,1.2%,25.6%,26.7%,43.8%,-3.3%,73.4%,,,-1.2%,50.5%,-5.8%,47.3%,20.8%,-92.1%,-202.7%,-4.8%,622.5%,120.3%
Current Ratio,2.61,6.59,6.04,10.6,12.2,12.8,1.19,1.42,,,4.53,1.22,1.19,1.30,1.22,1.32,1.42,1.57,1.42,1.78
Quick Ratio,0.95,1.85,1.51,2.51,2.69,6.18,0.65,0.63,,,1.34,0.72,0.65,0.81,0.60,0.56,0.63,0.69,0.50,0.83
Days Inventory Outstanding,91.6,131.8,102.2,43.5,39.8,32.6,33.7,39.0,,,39.1,33.8,38.7,33.1,36.4,50.1,42.0,39.1,48.0,50.7
Days Sale Outstanding,75.6,57.7,64.6,35.7,52.3,113.4,62.7,30.2,,,51.7,62.4,62.7,51.2,52.3,33.9,30.2,26.7,30.3,32.6
Days Payable Outstanding,25.7,35.4,33.5,17.8,16.2,15.3,28.4,32.6,,,27.6,28.2,41.5,38.9,44.6,49.9,28.0,19.9,27.2,30.0
Cash Conversion Cycle,107.4,180.5,125.9,68.5,74.0,105.2,65.1,65.7,,,73.5,51.5,54.9,52.7,28.4,60.8,55.9,53.1,42.7,64.4
Debt to Asset Ratio,0.29,0.10,0.12,0.069,0.063,0.061,0.30,0.18,,,0.13,0.28,0.30,0.24,0.31,0.22,0.18,0.14,0.18,0.11
Debt to Equity Ratio,0.41,0.11,0.13,0.074,0.068,0.065,0.43,0.22,,,0.15,0.39,0.43,0.31,0.46,0.29,0.22,0.16,0.22,0.13
Interest Coverage Ratio,44.8,1.79,,"1,900",,,,3.88,,,,,,23.6,6.07,,0.72,,0.074,0.31
Cash and Short Term Investments,48.9,173.9,296.0,367.3,497.2,259.7,39.4,13.4,,,242.4,36.0,39.4,21.3,35.2,6.89,13.4,3.64,7.11,5.58
"Total Receivables, Net",247.4,161.5,164.6,155.6,166.2,333.3,222.4,109.7,,,159.2,226.1,222.4,197.6,221.0,129.2,109.7,81.7,83.7,79.6
Total Inventory,386.0,268.1,196.3,136.1,85.3,79.1,137.6,116.5,,,108.9,110.9,137.6,94.0,185.4,157.7,116.5,97.6,137.4,80.6
Total Current Assets,683.2,604.0,657.1,659.3,750.6,693.0,404.9,246.1,,,538.4,386.5,404.9,318.3,448.7,305.0,246.1,187.0,235.7,170.4
"Property/Plant/Equipment, Total - Net",147.4,141.7,130.6,123.4,115.6,119.9,715.9,717.8,,,121.4,718.9,715.9,713.0,715.6,718.0,717.8,715.1,712.5,707.7
Total Assets,899.6,899.8,943.0,932.5,"1,017",916.2,"1,141",978.1,,,947.0,"1,144","1,141","1,049","1,182","1,040",978.1,916.0,961.6,890.4
Accounts Payable,114.9,60.6,91.6,44.6,45.6,31.3,150.9,61.7,,,67.8,115.6,150.9,121.7,220.9,120.8,61.7,47.0,86.4,42.4
Accrued Expenses,,,14.8,14.9,9.07,12.7,7.60,5.75,,,6.90,5.83,7.60,7.44,5.94,6.85,5.75,4.00,4.84,4.61
Debt Due,125.5,9.66,0.044,0.00,0.00,0.082,39.8,92.4,,,0.086,0.089,39.8,17.0,79.4,86.3,92.4,55.8,67.2,41.3
Total Current Liabilities,261.5,91.6,108.8,62.0,61.7,53.9,340.4,173.6,,,118.8,315.6,340.4,245.2,368.8,230.3,173.6,118.8,166.1,95.5
Long Term Debt,,,,,,0.11,0.016,,,,0.063,0.040,0.016,,,,,,,
Total Liabilities,262.1,92.5,109.9,64.3,64.5,56.1,343.6,177.3,,,121.2,318.7,343.6,248.4,372.2,233.8,177.3,125.1,172.7,102.1
Common Stock,452.4,470.8,592.0,601.0,639.7,639.7,639.7,639.7,,,639.7,639.7,639.7,639.7,639.7,639.7,639.7,639.7,639.7,639.7
Additional Paid-In Capital,76.9,90.6,168.6,172.7,197.5,197.5,197.5,197.5,,,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5,197.5
Retained Earnings (Accumulated Deficit),99.4,124.0,71.1,98.9,119.5,26.6,-33.8,-29.7,,,-6.65,-6.41,-33.8,-29.4,-21.3,-23.7,-29.7,-39.4,-40.6,-41.0
Shareholders' Equity,637.6,807.3,833.1,868.3,952.9,860.1,797.8,800.8,,,825.7,825.7,797.8,800.9,809.8,806.5,800.8,790.9,788.9,788.4
Cash from Operating Activities,-182.4,170.7,45.8,62.8,60.1,-176.8,143.9,-62.8,,,25.5,-51.6,17.4,6.26,-45.6,-25.0,1.54,28.1,-6.86,23.9
Cash from Investing Activities,-73.1,-83.2,-114.6,-191.2,-98.4,354.2,-276.7,-12.4,,,-5.72,-55.1,-52.7,0.019,-3.24,-8.39,-0.80,0.035,0.41,1.27
Cash from Financing Activities,269.3,29.3,69.7,11.1,63.5,-113.2,39.2,50.3,,,-0.020,-0.033,39.3,-23.1,61.9,6.09,5.38,-37.6,10.7,-26.6
Net Change in Cash,13.8,116.8,0.23,-121.0,25.6,64.3,-95.5,-26.0,,,19.1,-107.1,3.44,-18.1,14.0,-28.3,6.53,-9.79,3.48,-1.53
Free Cashflows,-190.9,163.1,44.0,55.8,57.5,-185.7,-336.6,-74.2,,,-234.4,-218.5,-36.3,6.25,-48.9,-33.0,1.47,28.0,-6.86,23.9
Free Cashflow per Share,-0.21,0.17,0.037,0.046,0.045,-0.15,-0.26,-0.058,,,-0.18,-0.17,-0.028,0.005,-0.038,-0.026,0.001,0.022,-0.005,0.019
