,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,12.6,19.9,19.8,14.7,11.5,8.20,5.40,7.44,,,7.70,6.50,5.60,4.83,5.43,5.40,6.00,8.70,8.55,7.08
Earnings per Share,0.25,0.64,1.17,1.62,1.60,0.84,-1.54,-0.39,,,-1.19,-0.100,-0.11,-0.13,-0.035,-0.13,-0.092,1.12,-0.13,0.40
Revenue per Share,0.63,1.94,3.49,7.22,8.22,5.96,0.62,0.73,,,0.15,0.088,0.12,0.14,0.14,0.15,0.30,0.22,0.21,0.28
Dividend per Share,0.073,0.23,0.31,0.45,0.37,0.39,,,,,,,,,,,,0.34,0.00,0.00
Capital Expenditures per Share,0.033,0.40,0.51,0.24,0.11,0.14,0.29,0.44,,,0.13,0.028,0.083,0.15,0.10,0.097,0.096,0.023,0.051,0.027
Book Value per Share,1.94,2.73,3.64,4.95,6.09,6.57,4.65,4.25,,,4.85,4.75,4.65,4.52,4.48,4.34,4.25,5.38,4.91,5.32
Price to Earnings Ratio,27.4,30.9,15.8,10.9,7.33,11.2,,,,,,,,,,,,7.85,9.74,5.20
Price to Book Value Ratio,3.66,7.77,5.42,3.17,1.66,1.48,0.99,1.47,,,1.38,1.15,0.99,0.94,1.18,0.93,1.47,1.53,1.32,1.27
EV to EBITDA,-37.6,17.1,10.0,7.15,2.67,6.33,-5.47,-20.7,,,-6.01,-4.94,-5.47,-4.11,-20.5,-21.1,-20.7,10.3,17.2,9.69
Dividend Payout Ratio,29.3%,35.5%,26.4%,28.1%,23.2%,46.4%,,,,,,,,,,,,39.6%,0.0%,0.0%
Common Shares Outstanding,"1,599","1,621","1,625","1,625","1,625","1,625","1,625","1,625",,,"1,625","1,625","1,625","1,625","1,625","1,625","1,625","1,625","1,625","1,625"
Total Revenue,"1,001","3,140","5,669","11,737","13,362","9,690","1,005","1,188",,,241.4,143.3,191.2,220.8,224.7,249.8,493.0,349.7,337.0,447.4
"Cost of Revenue, Total",970.9,"1,883","3,638","8,689","9,431","8,149","1,811","1,452",,,754.4,265.0,281.2,275.1,287.7,336.0,552.7,427.1,426.5,504.3
Gross Profit,30.1,"1,257","2,031","3,048","3,931","1,540",-805.9,-263.3,,,-513.0,-121.7,-90.0,-54.4,-63.0,-86.2,-59.6,-77.4,-89.4,-56.9
"Selling/General/Administrative Expenses, Total",122.5,120.8,149.2,147.3,204.1,166.2,207.7,407.3,,,71.0,40.9,51.3,95.1,80.7,137.1,94.4,76.0,86.5,75.8
Operating Income,-92.3,"1,136","1,882","2,901","3,727","1,374","-1,736",-670.6,,,"-1,306",-162.6,-141.2,-149.5,-143.7,-223.4,-154.0,"1,042",-175.9,-132.7
Net Income,399.5,"1,039","1,909","2,627","2,595","1,366","-2,496",-629.4,,,"-1,931",-162.2,-171.7,-204.5,-56.8,-218.3,-149.7,"1,821",-218.2,655.1
EBITDA,88.6,"1,295","2,060","3,168","4,026","1,669","-1,450",-364.5,,,"-1,236",-91.0,-67.2,-74.1,-66.3,-147.7,-76.5,"1,121",-93.9,-43.2
Gross Profit Margin,3.0%,40.0%,35.8%,26.0%,29.4%,15.9%,-80.2%,-22.2%,,,-212.5%,-85.0%,-47.1%,-24.6%,-28.0%,-34.5%,-12.1%,-22.1%,-26.5%,-12.7%
Operating Margin,-9.2%,36.2%,33.2%,24.7%,27.9%,14.2%,-172.7%,-56.4%,,,-541.1%,-113.5%,-73.8%,-67.7%,-64.0%,-89.4%,-31.2%,297.8%,-52.2%,-29.7%
Net Profit Margin,39.9%,33.1%,33.7%,22.4%,19.4%,14.1%,-248.3%,-53.0%,,,-799.8%,-113.2%,-89.8%,-92.6%,-25.3%,-87.4%,-30.4%,520.8%,-64.7%,146.4%
Return on Assets,10.3%,19.1%,21.0%,21.1%,19.4%,10.8%,-22.0%,-6.0%,,,-17.7%,-23.6%,-25.7%,-24.7%,-6.0%,-6.3%,-5.9%,11.6%,9.3%,15.9%
Return on Equity,12.9%,23.5%,32.3%,32.7%,26.2%,12.8%,-33.0%,-9.1%,,,-24.5%,-2.1%,-2.3%,-2.8%,-0.8%,-3.1%,-2.2%,20.8%,-2.7%,7.6%
Return on Total Capital,12.8%,23.4%,32.2%,32.6%,26.2%,12.8%,-33.0%,-8.2%,,,-24.7%,-28.9%,-33.0%,-33.6%,-8.2%,-8.3%,-8.2%,13.4%,12.4%,19.9%
SG&A to Sale,12.2%,3.8%,2.6%,1.3%,1.5%,1.7%,20.7%,34.3%,,,29.4%,28.5%,26.8%,43.1%,35.9%,54.9%,19.1%,21.7%,25.7%,17.0%
Depreciation & Amortisation,180.9,158.8,178.0,267.6,298.7,294.6,286.1,306.0,,,70.3,71.6,74.0,75.4,77.4,75.7,77.5,79.0,82.1,89.6
Tax Rate,0.8%,22.7%,11.5%,14.0%,15.5%,16.7%,-1.4%,-6.2%,,,-2.0%,0.2%,2.5%,-0.8%,-1.1%,-1.7%,-25.8%,0.3%,1.7%,0.2%
