,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,12.9,15.5,16.0,20.8,25.0,,14.4,14.8,16.6,18.0,18.8,19.8,22.1,25.9,28.3,26.2
Earnings per Share,,,,,0.85,0.80,0.67,0.81,0.89,,0.21,0.22,0.23,0.15,0.22,0.25,0.28,0.14,0.19,0.20
Revenue per Share,,,,,1.50,1.43,1.29,1.50,1.65,,0.38,0.40,0.40,0.32,0.39,0.45,0.47,0.34,0.37,0.39
Dividend per Share,,,,,0.84,0.77,0.66,0.78,0.85,,0.19,0.20,0.21,0.18,0.20,0.22,0.24,0.19,0.20,0.20
Capital Expenditures per Share,,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,,,,10.8,10.9,10.8,10.9,10.9,,10.9,10.9,10.9,10.9,10.9,11.0,11.0,10.9,10.9,10.9
Price to Earnings Ratio,,,,,12.4,16.9,21.5,21.2,26.6,,19.7,19.5,19.7,21.2,22.7,22.9,23.3,26.6,30.9,31.5
Price to Book Value Ratio,,,,,1.01,1.34,1.29,1.57,2.43,,1.30,1.31,1.49,1.57,1.80,1.73,1.96,2.43,2.45,2.21
EV to EBITDA,,,,,17.4,17.9,21.9,22.3,25.5,,20.1,19.8,19.7,22.3,21.8,21.2,21.3,25.5,27.1,33.8
Dividend Payout Ratio,,,,,98.6%,95.1%,98.0%,96.1%,95.6%,,26.5%,27.2%,26.5%,22.2%,24.5%,26.0%,26.9%,21.4%,23.1%,24.5%
Common Shares Outstanding,,,,,"1,483","1,483","1,483","1,483","1,483",,"1,483","1,483","1,483","1,483","1,483","1,483","1,483","1,483","1,483","1,483"
Total Revenue,,,,,"2,229","2,126","1,912","2,224","2,445",,564.2,593.3,598.1,468.3,572.0,671.0,696.4,506.0,543.7,576.7
"Cost of Revenue, Total",,,,,611.6,597.2,589.5,700.0,844.0,,151.3,163.4,153.7,231.5,153.0,189.9,186.8,314.3,149.5,158.2
Gross Profit,,,,,"1,617","1,529","1,322","1,524","1,601",,412.9,429.9,444.4,236.7,419.0,481.1,509.6,191.7,394.3,418.5
"Selling/General/Administrative Expenses, Total",,,,,164.2,172.6,170.5,176.6,167.4,,59.5,66.2,65.2,-14.3,59.3,70.7,62.0,-24.6,70.1,81.9
Operating Income,,,,,"1,453","1,356","1,152","1,347","1,434",,353.4,363.7,379.1,251.0,359.7,410.4,447.6,216.3,324.1,336.7
Net Income,,,,,"1,264","1,192",998.7,"1,204","1,318",,316.6,328.2,342.6,216.2,322.4,373.0,412.3,209.8,288.8,299.9
EBITDA,,,,,"1,453","1,356","1,152","1,347","1,434",,353.4,363.7,379.1,251.0,359.7,410.4,447.6,216.3,324.1,336.7
Gross Profit Margin,,,,,72.6%,71.9%,69.2%,68.5%,65.5%,,73.2%,72.5%,74.3%,50.6%,73.3%,71.7%,73.2%,37.9%,72.5%,72.6%
Operating Margin,,,,,65.2%,63.8%,60.2%,60.6%,58.6%,,62.6%,61.3%,63.4%,53.6%,62.9%,61.2%,64.3%,42.7%,59.6%,58.4%
Net Profit Margin,,,,,56.7%,56.1%,52.2%,54.1%,53.9%,,56.1%,55.3%,57.3%,46.2%,56.4%,55.6%,59.2%,41.5%,53.1%,52.0%
Return on Assets,,,,,6.2%,5.8%,4.9%,5.9%,6.4%,,5.2%,5.3%,5.7%,5.8%,5.9%,6.1%,6.4%,6.4%,6.2%,5.9%
Return on Equity,,,,,7.9%,7.4%,6.2%,7.5%,8.1%,,2.0%,2.0%,2.1%,1.3%,2.0%,2.3%,2.5%,1.3%,1.8%,1.9%
Return on Total Capital,,,,,6.3%,6.0%,5.0%,6.0%,7.3%,,5.3%,5.4%,5.8%,6.0%,6.0%,6.9%,7.3%,7.3%,7.1%,6.0%
SG&A to Sale,,,,,7.4%,8.1%,8.9%,7.9%,6.8%,,10.6%,11.2%,10.9%,-3.1%,10.4%,10.5%,8.9%,-4.9%,12.9%,14.2%
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,
Tax Rate,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Current Ratio,,,,,1.85,1.70,1.34,1.33,0.22,,1.69,1.65,1.23,1.33,1.13,0.28,0.22,0.22,0.25,3.08
Quick Ratio,,,,,0.85,0.56,0.38,0.34,0.034,,0.61,0.47,0.43,0.34,0.31,0.074,0.049,0.034,0.071,0.79
Days Inventory Outstanding,,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,,,,,29.6,22.1,15.7,16.2,12.1,,30.1,19.7,19.2,16.2,16.5,26.4,17.0,12.1,23.7,24.3
Days Payable Outstanding,,,,,42.0,51.1,51.9,44.2,44.4,,45.0,46.9,47.2,49.0,51.6,46.5,41.1,41.7,44.9,41.7
Cash Conversion Cycle,,,,,-42.0,-59.2,-43.8,-51.4,-46.2,,-47.9,-47.5,-49.1,-51.4,-52.0,-43.0,-41.2,-46.2,-43.3,-38.5
Debt to Asset Ratio,,,,,0.22,0.21,0.22,0.22,0.22,,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21
Debt to Equity Ratio,,,,,0.27,0.27,0.28,0.28,0.28,,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.28,0.27,0.27
Interest Coverage Ratio,,,,,7.38,7.25,7.22,8.75,9.30,,9.05,9.60,9.75,6.59,9.34,10.5,11.8,5.54,8.45,8.77
Cash and Short Term Investments,,,,,204.9,254.6,206.0,284.3,240.7,,289.6,268.4,204.6,284.3,267.8,251.2,194.8,240.7,183.2,237.6
"Total Receivables, Net",,,,,180.5,128.9,82.2,98.9,81.1,,163.8,110.3,113.2,98.9,100.9,167.2,112.0,81.1,157.0,154.9
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,,,,394.2,390.9,294.0,388.9,526.9,,457.8,385.9,322.5,388.9,372.1,624.5,511.6,526.9,543.4,601.3
"Property/Plant/Equipment, Total - Net",,,,,"19,603","19,619","19,619","19,620","19,650",,"19,619","19,619","19,619","19,620","19,620","19,620","19,620","19,650","19,650","19,650"
Total Assets,,,,,"20,404","20,518","20,472","20,618","20,738",,"20,537","20,570","20,550","20,618","20,652","20,703","20,690","20,738","20,564","20,614"
Accounts Payable,,,,,70.4,96.8,70.8,98.6,106.9,,80.4,82.7,89.5,98.6,99.9,85.7,85.9,106.9,99.6,85.3
Accrued Expenses,,,,,142.3,128.8,143.6,189.2,264.5,,185.5,145.8,167.3,189.2,223.6,159.6,191.2,264.5,100.9,105.1
