,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,171.3,228.3,245.5,218.0,192.3,205.3,232.0,259.0,212.3,,230.0,232.0,242.5,260.0,276.5,245.5,235.5,236.0,207.3,182.3
Earnings per Share,18.6,9.48,21.0,19.4,15.1,17.0,16.6,21.6,25.8,,3.86,4.99,5.56,7.24,4.99,6.59,7.17,7.07,4.36,7.82
Revenue per Share,116.7,101.8,147.9,134.0,124.3,139.3,143.9,172.5,191.0,,38.7,42.0,44.3,47.5,43.1,46.8,51.5,49.6,44.6,53.3
Dividend per Share,6.50,3.00,6.75,6.00,4.80,5.00,5.00,7.00,8.25,,,,,7.00,,,,8.25,,
Capital Expenditures per Share,11.3,26.6,26.7,11.8,13.2,9.66,12.5,12.6,34.5,,1.93,2.09,4.26,4.28,8.17,6.00,9.82,10.6,16.1,13.3
Book Value per Share,107.5,110.9,128.4,141.4,150.6,163.2,174.1,189.6,208.4,,178.1,178.1,182.8,189.6,195.3,194.4,201.6,208.4,212.2,211.4
Price to Earnings Ratio,8.86,20.1,13.1,11.4,13.2,10.1,12.5,11.7,8.79,,12.3,12.8,13.1,11.7,11.5,9.68,8.73,8.79,7.30,6.81
Price to Book Value Ratio,1.55,1.74,1.96,1.61,1.37,1.08,1.29,1.32,1.12,,1.24,1.25,1.26,1.32,1.33,1.10,1.13,1.12,0.86,0.85
EV to EBITDA,3.55,9.84,7.00,5.99,6.13,4.58,5.00,4.31,4.44,,4.80,5.30,4.93,4.31,5.37,4.62,4.11,4.44,4.19,2.88
Dividend Payout Ratio,34.9%,31.6%,32.2%,30.9%,31.8%,29.4%,30.1%,32.3%,32.0%,,,,,32.3%,,,,32.0%,,
Common Shares Outstanding,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6
Total Revenue,"8,940","7,801","11,335","10,269","9,524","10,672","11,025","13,220","14,635",,"2,969","3,220","3,393","3,639","3,302","3,586","3,949","3,797","3,419","4,087"
"Cost of Revenue, Total","6,576","6,478","8,797","8,080","7,809","8,929","9,087","10,776","11,865",,"2,518","2,636","2,777","2,844","2,726","2,939","3,171","3,029","2,893","3,336"
Gross Profit,"2,364","1,323","2,538","2,188","1,715","1,743","1,938","2,445","2,770",,450.6,584.2,615.9,794.1,576.1,647.7,777.7,768.6,525.7,750.6
"Selling/General/Administrative Expenses, Total",661.5,631.5,802.8,831.0,727.7,774.9,799.0,890.0,927.8,,201.7,227.1,227.5,233.7,221.3,233.5,243.3,229.7,245.7,243.5
Operating Income,"1,822",830.1,"1,903","1,487","1,105","1,056","1,214","1,650","1,946",,270.5,377.6,419.5,582.4,382.7,435.0,563.3,565.2,315.0,532.6
Net Income,"1,428",726.6,"1,607","1,488","1,158","1,303","1,271","1,659","1,978",,295.5,382.1,425.9,555.1,382.0,504.7,549.5,541.6,334.1,599.5
EBITDA,"2,514","1,470","2,656","2,393","2,101","2,101","2,235","2,702","2,967",,585.8,700.6,742.2,673.2,693.4,749.1,868.4,656.0,656.3,901.3
Gross Profit Margin,26.4%,17.0%,22.4%,21.3%,18.0%,16.3%,17.6%,18.5%,18.9%,,15.2%,18.1%,18.2%,21.8%,17.4%,18.1%,19.7%,20.2%,15.4%,18.4%
