,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.57,3.70,3.51,4.10,4.54,4.10,3.09,2.09,,,4.08,3.87,3.52,2.68,2.56,2.43,2.23,2.17,2.15,1.97
Earnings per Share,0.19,0.19,0.20,0.19,0.21,0.22,0.17,0.15,,,0.049,0.037,0.032,0.043,0.038,0.035,0.035,0.047,0.027,0.027
Revenue per Share,1.10,1.16,1.16,1.10,1.10,1.10,1.13,1.23,,,0.29,0.26,0.27,0.34,0.30,0.29,0.29,0.35,0.28,0.25
Dividend per Share,0.19,0.19,0.20,0.19,0.17,0.16,0.13,0.12,,,0.037,0.028,0.023,0.033,0.029,0.027,0.027,0.032,0.023,0.022
Capital Expenditures per Share,0.092,0.057,0.074,0.053,0.057,0.17,0.19,0.18,,,0.040,0.063,0.055,0.036,0.031,0.075,0.040,0.041,0.047,0.046
Book Value per Share,0.40,0.42,0.42,0.42,0.47,0.51,0.54,0.57,,,0.54,0.54,0.54,0.58,0.56,0.57,0.57,0.61,0.63,0.64
Price to Earnings Ratio,21.3,18.6,16.0,19.3,20.4,20.3,20.1,14.8,,,19.9,19.6,20.1,12.9,17.5,15.2,14.8,12.3,14.4,13.7
Price to Book Value Ratio,10.1,9.23,7.90,9.31,9.39,8.31,5.52,3.82,,,7.42,6.45,5.52,3.81,4.61,3.44,3.82,3.39,3.19,2.95
EV to EBITDA,12.9,12.1,11.1,13.0,14.3,14.6,14.8,8.85,,,14.3,15.2,14.8,12.4,9.59,10.1,8.85,8.17,9.50,8.74
Dividend Payout Ratio,100.1%,99.3%,100.0%,100.1%,82.0%,75.0%,74.8%,77.4%,,,18.7%,15.0%,13.4%,20.5%,19.4%,18.3%,18.0%,21.0%,16.1%,16.2%
Common Shares Outstanding,"6,528","6,528","6,528","6,528","6,528","6,528","6,528","6,528",,,"6,528","6,528","6,528","6,528","6,528","6,528","6,528","6,528","7,231","7,231"
Total Revenue,"7,207","7,603","7,546","7,177","7,172","7,165","7,363","8,027",,,"1,925","1,703","1,777","2,224","1,986","1,899","1,918","2,316","2,049","1,841"
"Cost of Revenue, Total","4,141","4,625","4,447","4,141","4,161","4,060","4,515","4,924",,,"1,162","1,041","1,154","1,404","1,203","1,145","1,172","1,420","1,246","1,122"
Gross Profit,"3,066","2,978","3,099","3,036","3,011","3,104","2,848","3,102",,,763.7,662.3,622.9,819.6,782.8,753.7,746.2,895.3,803.4,719.5
"Selling/General/Administrative Expenses, Total","1,277","1,349","1,456","1,350","1,274","1,335","1,553","1,753",,,396.0,380.9,410.8,463.0,435.6,431.0,423.3,455.3,495.5,418.4
Operating Income,"1,789","1,629","1,642","1,686","1,737","1,770","1,295","1,349",,,367.8,281.4,212.1,356.6,347.2,322.6,322.9,440.0,307.9,301.1
Net Income,"1,243","1,265","1,298","1,227","1,372","1,422","1,117",978.8,,,321.0,241.6,208.0,278.8,247.1,227.3,225.7,306.1,207.4,221.1
EBITDA,"1,982","1,812","1,875","1,966","2,023","2,100","1,747","1,871",,,482.7,399.4,331.6,487.9,476.5,453.9,459.4,572.9,441.5,438.6
Gross Profit Margin,42.5%,39.2%,41.1%,42.3%,42.0%,43.3%,38.7%,38.7%,,,39.7%,38.9%,35.1%,36.9%,39.4%,39.7%,38.9%,38.7%,39.2%,39.1%
Operating Margin,24.8%,21.4%,21.8%,23.5%,24.2%,24.7%,17.6%,16.8%,,,19.1%,16.5%,11.9%,16.0%,17.5%,17.0%,16.8%,19.0%,15.0%,16.4%
Net Profit Margin,17.3%,16.6%,17.2%,17.1%,19.1%,19.8%,15.2%,12.2%,,,16.7%,14.2%,11.7%,12.5%,12.4%,12.0%,11.8%,13.2%,10.1%,12.0%
Return on Assets,31.1%,27.6%,25.9%,23.8%,26.6%,26.1%,17.4%,13.0%,,,20.5%,17.8%,15.9%,14.7%,13.5%,12.8%,12.4%,12.4%,11.5%,11.2%
Return on Equity,47.4%,46.0%,47.9%,44.4%,44.6%,42.7%,31.7%,26.5%,,,9.2%,6.9%,5.9%,7.3%,6.7%,6.1%,6.1%,7.7%,4.5%,4.8%
Return on Total Capital,47.4%,46.0%,47.9%,44.4%,44.6%,42.7%,31.7%,26.5%,,,36.9%,34.7%,31.7%,27.4%,26.5%,25.8%,26.5%,25.4%,21.1%,20.7%
SG&A to Sale,17.7%,17.7%,19.3%,18.8%,17.8%,18.6%,21.1%,21.8%,,,20.6%,22.4%,23.1%,20.8%,21.9%,22.7%,22.1%,19.7%,24.2%,22.7%
Depreciation & Amortisation,192.8,183.0,232.3,280.0,286.4,330.1,452.1,521.9,,,115.0,117.9,119.5,131.3,129.4,131.3,136.4,132.9,133.6,137.5
Tax Rate,30.8%,23.0%,20.5%,21.8%,20.2%,19.6%,19.7%,15.1%,,,21.4%,22.2%,13.7%,19.4%,20.9%,19.1%,0.2%,20.3%,21.4%,18.6%
Current Ratio,1.10,1.01,0.89,0.98,1.11,0.85,0.71,0.69,,,0.87,0.78,0.71,0.76,0.77,0.71,0.69,0.75,0.88,0.86
Quick Ratio,0.093,0.074,0.051,0.051,0.084,0.094,0.094,0.085,,,0.12,0.093,0.094,0.12,0.10,0.087,0.085,0.10,0.11,0.087
Days Inventory Outstanding,105.7,111.1,129.5,148.3,146.6,141.6,136.0,139.4,,,149.0,159.4,149.8,132.4,131.6,139.8,145.2,145.7,149.9,160.8
Days Sale Outstanding,6.99,6.75,5.30,4.73,6.70,9.48,13.4,13.2,,,15.5,12.8,13.4,15.3,13.4,12.9,13.2,15.9,14.5,11.8
Days Payable Outstanding,48.6,51.2,52.4,48.3,43.2,21.5,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,59.5,63.4,87.2,108.7,110.3,149.7,147.3,152.2,,,162.9,173.5,162.8,146.5,145.9,152.8,158.1,160.2,165.0,174.0
Debt to Asset Ratio,0.38,0.43,0.46,0.46,0.39,0.41,0.47,0.46,,,0.43,0.46,0.47,0.43,0.42,0.45,0.46,0.44,0.38,0.38
Debt to Equity Ratio,0.62,0.76,0.87,0.86,0.66,0.71,0.94,1.00,,,0.82,0.91,0.94,0.82,0.83,0.94,1.00,0.92,0.71,0.72
