,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.1,15.9,13.6,14.1,17.1,20.5,22.3,20.8,,,18.3,21.0,27.0,24.5,18.9,16.6,15.5,19.4,25.0,24.3
Earnings per Share,0.24,0.71,0.93,0.58,0.51,1.21,1.42,1.25,,,0.34,0.37,0.28,0.44,0.32,0.23,0.26,1.04,0.52,0.51
Revenue per Share,24.0,28.2,25.4,26.4,26.8,28.8,23.2,23.3,,,7.04,7.31,1.61,7.65,7.06,7.07,1.57,9.15,8.91,8.19
Dividend per Share,0.12,0.30,0.40,0.30,0.25,0.65,1.00,0.80,,,0.38,0.00,0.62,,0.38,0.00,0.42,,0.78,0.00
Capital Expenditures per Share,0.86,2.23,3.15,0.63,1.86,2.68,0.67,1.14,,,0.10,0.23,0.095,0.10,0.23,0.55,0.25,0.19,0.13,0.36
Book Value per Share,7.14,7.16,7.50,7.68,11.8,12.4,13.4,13.6,,,12.8,12.8,13.4,13.8,13.5,13.4,13.6,14.7,14.8,14.5
Price to Earnings Ratio,33.6,26.0,13.6,21.6,24.9,14.6,18.3,11.0,,,14.8,15.9,18.3,15.1,12.3,11.9,11.0,10.7,11.2,10.3
Price to Book Value Ratio,1.20,2.29,1.65,1.55,1.12,1.28,2.02,1.06,,,1.29,1.58,2.02,1.40,1.27,1.04,1.06,1.41,1.59,1.57
EV to EBITDA,7.67,10.4,11.3,8.90,10.3,7.89,8.49,6.11,,,7.61,6.68,8.49,7.35,6.98,6.43,6.11,4.90,5.91,6.22
Dividend Payout Ratio,50.1%,42.2%,42.8%,51.9%,49.4%,53.7%,70.3%,64.0%,,,33.9%,0.0%,43.6%,,27.0%,0.0%,33.6%,,38.1%,0.0%
Common Shares Outstanding,166.0,166.0,199.2,199.2,199.2,199.2,199.2,199.2,,,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2
Total Revenue,"3,981","4,674","5,057","5,264","5,338","5,732","5,691","5,722",,,"1,403","1,457","1,387","1,525","1,406","1,408","1,384","1,823","1,774","1,631"
"Cost of Revenue, Total","3,010","3,480","3,718","3,744","3,878","3,955","3,814","3,786",,,954.7,973.0,914.2,"1,015",927.9,927.3,916.1,"1,150","1,131","1,021"
Gross Profit,971.0,"1,194","1,340","1,520","1,461","1,777","1,877","1,936",,,448.1,484.1,473.0,509.8,477.8,480.5,468.0,673.1,643.7,609.7
"Selling/General/Administrative Expenses, Total",911.0,"1,042","1,229","1,372","1,362","1,481","1,537","1,636",,,363.2,401.6,406.3,404.1,399.8,421.5,410.9,430.8,522.7,509.2
Operating Income,60.1,152.0,110.1,147.6,99.2,295.6,339.2,299.8,,,84.9,82.5,66.8,105.7,78.0,59.0,57.0,242.3,120.9,100.5
Net Income,39.8,118.2,182.8,115.2,100.9,241.1,283.3,249.1,,,68.2,73.4,56.3,87.6,63.5,46.8,51.2,206.9,103.5,102.0
EBITDA,193.1,293.6,268.5,345.8,299.3,531.8,606.7,587.6,,,151.5,150.8,134.5,177.6,147.1,131.0,131.9,314.7,194.0,175.8
Gross Profit Margin,24.4%,25.5%,26.5%,28.9%,27.4%,31.0%,33.0%,33.8%,,,31.9%,33.2%,34.1%,33.4%,34.0%,34.1%,33.8%,36.9%,36.3%,37.4%
Operating Margin,1.5%,3.3%,2.2%,2.8%,1.9%,5.2%,6.0%,5.2%,,,6.1%,5.7%,4.8%,6.9%,5.6%,4.2%,4.1%,13.3%,6.8%,6.2%
Net Profit Margin,1.0%,2.5%,3.6%,2.2%,1.9%,4.2%,5.0%,4.4%,,,4.9%,5.0%,4.1%,5.7%,4.5%,3.3%,3.7%,11.4%,5.8%,6.3%
Return on Assets,2.0%,5.0%,6.2%,3.5%,2.6%,5.3%,6.1%,5.3%,,,4.7%,5.5%,6.1%,6.1%,6.0%,5.5%,5.3%,7.5%,8.1%,9.5%
Return on Equity,3.4%,9.9%,12.2%,7.5%,4.3%,9.7%,10.6%,9.2%,,,2.7%,2.9%,2.1%,3.2%,2.4%,1.8%,1.9%,7.1%,3.5%,3.5%
Return on Total Capital,3.1%,7.8%,8.9%,5.6%,3.3%,7.4%,9.0%,7.8%,,,6.7%,8.0%,9.0%,8.9%,9.0%,8.1%,7.8%,10.9%,12.2%,14.1%
SG&A to Sale,22.9%,22.3%,24.3%,26.1%,25.5%,25.8%,27.0%,28.6%,,,25.9%,27.6%,29.3%,26.5%,28.4%,29.9%,29.7%,23.6%,29.5%,31.2%
Depreciation & Amortisation,133.1,141.6,158.4,198.2,200.1,236.2,267.5,287.8,,,66.7,68.3,67.7,71.9,69.1,72.0,74.8,72.5,73.1,75.3
Tax Rate,29.0%,18.4%,13.8%,-0.2%,4.4%,2.9%,5.8%,7.6%,,,9.0%,-1.1%,2.7%,10.3%,8.4%,9.2%,-0.1%,12.4%,10.5%,-7.4%
Current Ratio,0.95,0.97,1.13,1.15,1.14,1.05,0.93,0.89,,,1.19,0.98,0.93,1.00,0.91,0.86,0.89,1.07,1.13,1.07
Quick Ratio,0.51,0.57,0.69,0.67,0.64,0.60,0.58,0.52,,,0.67,0.66,0.58,0.64,0.58,0.54,0.52,0.73,0.61,0.55
Days Inventory Outstanding,20.9,26.3,30.3,33.8,31.3,27.1,35.2,35.8,,,25.2,24.1,35.3,36.6,37.5,37.9,39.2,39.9,42.9,40.9
Days Sale Outstanding,34.7,40.8,49.2,50.9,43.8,37.1,43.7,43.8,,,32.5,41.1,43.7,50.2,39.2,43.6,43.8,69.1,44.6,36.4
Days Payable Outstanding,41.4,36.0,34.3,34.4,32.5,27.7,32.1,33.7,,,23.8,22.0,33.1,34.8,32.6,31.8,37.0,43.8,42.5,31.6
Cash Conversion Cycle,18.4,28.9,41.4,49.6,45.7,42.8,41.0,35.1,,,44.9,35.3,43.0,35.3,48.6,34.1,38.6,32.3,52.9,45.3
Debt to Asset Ratio,0.44,0.55,0.54,0.55,0.47,0.47,0.42,0.43,,,0.45,0.45,0.42,0.43,0.41,0.43,0.43,0.43,0.40,0.40
Debt to Equity Ratio,0.78,1.22,1.17,1.21,0.90,0.90,0.73,0.75,,,0.81,0.83,0.73,0.75,0.68,0.76,0.75,0.76,0.68,0.68
Interest Coverage Ratio,6.86,16.1,6.74,4.31,3.39,7.38,8.72,9.86,,,8.51,8.31,7.32,12.7,9.78,7.52,9.08,35.1,19.7,17.4
Cash and Short Term Investments,67.9,45.6,27.0,90.8,135.5,155.3,78.6,104.2,,,266.9,132.3,78.6,171.7,81.3,41.1,104.2,89.5,179.7,218.7
"Total Receivables, Net",378.5,523.0,681.9,733.4,640.2,582.5,553.6,557.8,,,493.7,637.1,553.6,646.8,505.6,556.7,557.8,936.2,650.0,552.0
Total Inventory,223.9,277.3,339.7,354.5,310.2,276.8,252.6,280.2,,,229.7,280.8,252.6,306.2,260.9,303.0,280.2,343.4,373.8,331.0
Total Current Assets,707.3,885.7,"1,114","1,268","1,146","1,061",919.2,966.9,,,"1,002","1,065",919.2,"1,135",857.6,912.0,966.9,"1,378","1,211","1,116"
"Property/Plant/Equipment, Total - Net","1,302","1,650","2,081","2,048","3,031","3,408","3,448","3,512",,,"3,371","3,373","3,448","3,410","3,400","3,484","3,512","3,468","3,450","3,458"
Total Assets,"2,105","2,635","3,246","3,377","4,466","4,708","4,609","4,758",,,"4,622","4,684","4,609","4,821","4,533","4,678","4,758","5,127","4,938","4,847"
Accounts Payable,350.0,336.5,362.8,343.3,347.2,252.4,231.5,269.9,,,198.0,269.5,231.5,300.7,192.5,280.8,269.9,413.9,296.5,248.5
Accrued Expenses,181.1,219.6,288.8,361.5,400.7,345.3,320.6,275.4,,,,,320.6,,,,275.4,,,
Debt Due,152.8,169.7,257.0,339.4,165.5,293.4,302.6,349.9,,,216.2,304.3,302.6,293.0,288.0,298.9,349.9,355.5,196.9,294.1
Total Current Liabilities,747.4,912.7,988.2,"1,103","1,005","1,008",990.2,"1,083",,,845.7,"1,087",990.2,"1,136",937.6,"1,056","1,083","1,283","1,071","1,044"
Long Term Debt,89.1,333.1,549.3,527.9,695.5,796.6,487.9,487.8,,,784.1,604.1,487.9,463.4,432.5,489.3,487.8,452.9,416.0,399.9
Total Liabilities,920.7,"1,447","1,751","1,847","2,116","2,235","1,944","2,046",,,"2,065","2,129","1,944","2,068","1,840","2,014","2,046","2,207","1,999","1,961"
Common Stock,166.0,166.0,199.2,199.2,199.2,199.2,199.2,199.2,,,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2,199.2
Additional Paid-In Capital,154.7,154.7,353.9,353.9,353.9,353.9,353.9,353.9,,,353.9,353.9,353.9,353.9,353.9,353.9,353.9,353.9,353.9,353.9
Retained Earnings (Accumulated Deficit),255.9,371.5,497.2,532.7,573.8,697.1,824.1,871.1,,,781.0,778.7,824.1,911.6,851.7,822.8,871.1,"1,078","1,098","1,044"
Shareholders' Equity,"1,185","1,189","1,494","1,530","2,350","2,473","2,665","2,712",,,"2,557","2,555","2,665","2,753","2,693","2,664","2,712","2,919","2,939","2,886"
Cash from Operating Activities,80.0,131.1,59.8,309.5,510.3,540.4,630.3,575.5,,,177.3,111.8,135.0,197.9,131.7,131.2,114.8,68.1,400.9,217.3
Cash from Investing Activities,-137.4,-368.0,-472.6,-124.7,-331.2,-558.7,-130.6,-261.2,,,-69.2,-52.1,48.2,-117.3,-13.9,-92.1,-37.9,-41.7,-23.5,-94.5
Cash from Financing Activities,47.6,214.6,394.1,-121.0,-134.3,18.9,-574.4,-272.6,,,-58.2,-202.0,-169.8,-47.8,-172.5,-48.3,-3.93,-41.1,-287.3,-106.4
Net Change in Cash,-9.77,-22.3,-18.7,63.8,44.7,0.70,-74.6,41.7,,,49.8,-142.3,13.4,32.7,-54.7,-9.31,73.0,-14.7,90.1,16.4
Free Cashflows,-62.7,-239.7,-567.8,183.1,140.5,7.05,496.0,349.2,,,157.0,65.9,116.2,177.1,85.8,20.9,65.5,30.4,375.2,144.8
Free Cashflow per Share,-0.38,-1.44,-2.85,0.92,0.71,0.035,2.49,1.75,,,0.79,0.33,0.58,0.89,0.43,0.10,0.33,0.15,1.88,0.73
