,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,47.5,41.6,40.6,39.3,37.4,38.3,41.0,41.1,,,37.3,39.0,40.4,40.3,40.9,41.5,41.8,42.0,41.8,40.5
Earnings per Share,2.56,3.63,2.36,1.88,2.42,3.22,2.91,3.20,,,1.05,0.19,1.07,0.96,1.24,0.27,0.74,0.93,1.29,0.13
Revenue per Share,44.1,47.1,45.9,41.4,42.5,43.4,42.8,42.5,,,10.5,10.6,11.4,10.5,10.3,10.7,11.0,10.2,9.46,9.36
Dividend per Share,1.10,1.25,1.20,1.05,1.05,1.15,1.10,1.21,,,,,1.10,,,,1.21,,,
Capital Expenditures per Share,1.38,1.38,1.84,1.17,0.89,1.54,1.15,0.69,,,0.39,0.21,0.44,0.12,0.20,0.18,0.18,0.082,0.10,0.11
Book Value per Share,47.3,54.8,52.6,54.1,55.1,59.9,68.5,69.6,,,61.8,65.0,68.5,69.2,67.8,69.3,69.6,70.2,69.9,69.8
Price to Earnings Ratio,17.5,11.9,16.2,21.3,15.9,11.2,13.6,12.4,,,14.3,16.8,13.6,12.0,11.4,11.5,12.4,12.9,12.7,13.0
Price to Book Value Ratio,0.94,0.79,0.76,0.72,0.70,0.63,0.59,0.57,,,0.59,0.60,0.59,0.55,0.59,0.60,0.57,0.57,0.58,0.57
EV to EBITDA,18.3,19.4,27.2,36.6,26.1,21.7,85.1,45.3,,,41.0,61.0,85.1,80.8,36.6,34.5,45.3,52.5,73.9,160.6
Dividend Payout Ratio,43.0%,34.5%,50.9%,56.0%,43.4%,35.7%,37.8%,37.8%,,,,,37.8%,,,,37.8%,,,
Common Shares Outstanding,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,,,290.6,290.6,290.6,290.6,291.4,290.6,290.6,290.6,290.6,290.6
Total Revenue,"12,825","13,677","13,329","12,033","12,343","12,615","12,447","12,350",,,"3,065","3,081","3,303","3,056","2,994","3,102","3,197","2,955","2,748","2,720"
"Cost of Revenue, Total","8,106","8,425","8,173","7,435","7,641","7,851","7,863","7,839",,,"1,934","1,933","2,162","1,918","1,843","1,984","2,093","1,935","1,779","1,840"
Gross Profit,"4,719","5,252","5,156","4,598","4,702","4,764","4,584","4,511",,,"1,131","1,148","1,142","1,138","1,151","1,118","1,103","1,019",969.1,880.2
"Selling/General/Administrative Expenses, Total","4,182","4,717","4,928","4,476","4,474","4,516","4,688","4,527",,,"1,263","1,162","1,107","1,136","1,132","1,125","1,134","1,056","1,006",951.2
Operating Income,537.1,535.1,227.6,121.9,227.9,248.4,-104.2,-16.7,,,-131.6,-14.2,34.8,1.92,19.0,-7.05,-30.5,-36.1,-37.0,-71.0
Net Income,744.3,"1,054",684.5,545.2,703.2,936.3,846.5,931.3,,,305.6,55.4,312.4,277.6,361.3,78.3,214.1,269.2,375.6,38.7
EBITDA,693.0,695.8,399.8,293.2,403.3,442.6,125.4,218.8,,,-77.1,44.2,96.7,60.4,78.6,53.6,26.3,24.7,21.6,-14.3
Gross Profit Margin,36.8%,38.4%,38.7%,38.2%,38.1%,37.8%,36.8%,36.5%,,,36.9%,37.3%,34.6%,37.2%,38.4%,36.0%,34.5%,34.5%,35.3%,32.4%
Operating Margin,4.2%,3.9%,1.7%,1.0%,1.8%,2.0%,-0.8%,-0.1%,,,-4.3%,-0.5%,1.1%,0.1%,0.6%,-0.2%,-1.0%,-1.2%,-1.3%,-2.6%
Net Profit Margin,5.8%,7.7%,5.1%,4.5%,5.7%,7.4%,6.8%,7.5%,,,10.0%,1.8%,9.5%,9.1%,12.1%,2.5%,6.7%,9.1%,13.7%,1.4%
Return on Assets,4.7%,5.9%,3.7%,3.0%,3.8%,4.8%,3.9%,4.0%,,,3.5%,3.0%,3.7%,4.1%,4.3%,4.4%,4.0%,3.9%,4.0%,3.8%
Return on Equity,5.4%,6.6%,4.5%,3.5%,4.4%,5.4%,4.3%,4.6%,,,1.7%,0.3%,1.6%,1.4%,1.8%,0.4%,1.1%,1.3%,1.8%,0.2%
Return on Total Capital,5.4%,6.6%,4.5%,3.5%,4.4%,5.4%,4.3%,4.6%,,,4.1%,3.4%,4.3%,4.7%,5.1%,5.1%,4.6%,4.5%,4.6%,4.4%
