,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,7.90,7.95,7.00,6.43,4.38,2.75,2.57,,,4.06,3.85,3.00,2.61,2.69,2.48,2.11,2.54,2.81,2.26
Earnings per Share,0.058,0.50,0.99,0.63,0.83,0.070,-0.33,-0.14,,,-0.026,-0.082,-0.12,-0.061,-0.001,-0.038,-0.045,0.002,0.008,0.004
Revenue per Share,0.52,2.28,2.46,2.85,3.53,3.29,0.94,0.57,,,0.15,0.28,0.20,0.30,0.077,0.10,0.089,0.24,0.48,0.26
Dividend per Share,0.036,0.28,0.48,0.050,0.50,0.25,,0.10,,,,,,,,,0.10,,,
Capital Expenditures per Share,0.046,0.11,0.24,0.26,0.059,0.064,0.021,0.068,,,0.010,0.004,0.000,0.010,0.003,0.013,0.042,0.017,0.011,0.049
Book Value per Share,0.35,0.81,2.74,2.89,3.52,2.96,2.51,2.37,,,2.72,2.63,2.51,2.45,2.45,2.41,2.37,2.37,2.28,2.28
Price to Earnings Ratio,,,8.22,11.6,8.54,70.0,,,,,,,,,,,,,,
Price to Book Value Ratio,,,3.08,2.21,2.06,1.61,0.91,0.82,,,1.54,1.31,0.91,0.88,1.05,0.77,0.82,1.11,1.09,0.85
EV to EBITDA,,0.00,7.36,9.43,6.50,38.3,-19.1,-15.1,,,-10.8,-12.7,-19.1,-15.9,-8.98,-12.9,-15.1,-20.9,33.8,20.1
Dividend Payout Ratio,61.9%,56.6%,48.7%,8.0%,60.6%,355.8%,,-71.4%,,,,,,,,,-69.2%,,,
Common Shares Outstanding,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600",,,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,597","1,597"
Total Revenue,830.1,"3,643","3,929","4,562","5,644","5,270","1,503",909.3,,,242.5,445.7,322.8,479.3,122.6,164.7,142.8,381.5,772.8,410.7
"Cost of Revenue, Total",639.8,"2,567","2,334","3,222","4,053","4,913","1,701",970.3,,,224.5,505.8,447.5,433.9,207.5,148.0,180.9,312.6,621.5,355.4
Gross Profit,190.3,"1,076","1,594","1,340","1,591",356.5,-198.2,-61.0,,,18.0,-60.1,-124.7,45.4,-85.0,16.6,-38.1,68.9,151.3,55.2
"Selling/General/Administrative Expenses, Total",115.4,286.8,318.5,349.1,366.6,271.9,136.6,172.7,,,36.7,32.8,33.9,45.0,43.0,38.1,46.6,46.9,72.6,46.5
Operating Income,75.1,789.1,"1,276",990.9,"1,224",84.6,-334.9,-233.8,,,-18.7,-92.9,-158.6,0.39,-128.0,-21.5,-84.7,21.9,78.7,8.78
Net Income,70.9,792.8,"1,206","1,004","1,320",112.4,-523.9,-231.2,,,-42.1,-131.7,-194.8,-97.8,-1.79,-60.2,-71.4,3.07,12.3,6.25
EBITDA,108.7,828.3,"1,325","1,075","1,323",195.2,-226.0,-126.9,,,8.35,-65.8,-131.2,27.0,-100.9,5.41,-59.1,46.4,102.6,32.6
Gross Profit Margin,22.9%,29.5%,40.6%,29.4%,28.2%,6.8%,-13.2%,-6.7%,,,7.4%,-13.5%,-38.6%,9.5%,-69.3%,10.1%,-26.7%,18.0%,19.6%,13.5%
Operating Margin,9.1%,21.7%,32.5%,21.7%,21.7%,1.6%,-22.3%,-25.7%,,,-7.7%,-20.8%,-49.1%,0.1%,-104.4%,-13.1%,-59.3%,5.7%,10.2%,2.1%
Net Profit Margin,8.5%,21.8%,30.7%,22.0%,23.4%,2.1%,-34.8%,-25.4%,,,-17.3%,-29.5%,-60.4%,-20.4%,-1.5%,-36.6%,-50.0%,0.8%,1.6%,1.5%
Return on Assets,9.2%,55.3%,35.9%,19.7%,21.7%,1.9%,-11.2%,-5.7%,,,-12.8%,-12.1%,-12.0%,-11.2%,-10.4%,-8.8%,-5.9%,-3.3%,-2.8%,-1.2%
Return on Equity,12.6%,61.0%,27.5%,21.7%,23.5%,2.4%,-13.0%,-6.1%,,,-1.0%,-3.1%,-4.8%,-2.5%,0.0%,-1.6%,-1.9%,0.1%,0.3%,0.2%
Return on Total Capital,12.4%,60.6%,27.4%,21.6%,23.4%,2.4%,-13.0%,-6.1%,,,-14.1%,-13.0%,-13.0%,-11.9%,-10.9%,-9.2%,-6.1%,-3.4%,-3.2%,-1.4%
SG&A to Sale,13.9%,7.9%,8.1%,7.7%,6.5%,5.2%,9.1%,19.0%,,,15.1%,7.4%,10.5%,9.4%,35.1%,23.2%,32.6%,12.3%,9.4%,11.3%
Depreciation & Amortisation,33.6,39.2,49.3,83.9,98.2,110.6,108.9,106.8,,,27.0,27.1,27.4,26.7,27.0,26.9,25.6,24.5,23.9,23.8
Tax Rate,14.6%,0.7%,0.9%,1.3%,0.6%,0.2%,0.1%,-1.6%,,,-4.3%,0.9%,0.4%,-0.1%,-22.8%,0.1%,-4.8%,53.0%,-3.6%,10.2%
Current Ratio,1.61,2.31,8.84,5.97,4.67,10.5,16.1,26.0,,,14.4,13.4,16.1,15.6,22.7,26.1,26.0,11.2,5.43,4.34
Quick Ratio,0.69,1.29,2.38,4.79,2.57,5.90,5.49,12.7,,,6.27,7.10,5.49,5.72,10.8,12.2,12.7,5.84,3.18,2.58
Days Inventory Outstanding,73.1,50.5,69.1,49.5,103.6,101.4,185.3,262.7,,,141.1,162.6,189.5,164.7,144.2,180.2,224.0,250.4,166.5,160.7
Days Sale Outstanding,124.0,72.8,94.5,193.5,201.1,153.2,259.0,405.8,,,199.4,243.9,259.0,273.5,253.9,315.9,405.8,554.2,378.3,343.6
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,160.4,101.4,150.5,186.9,283.4,288.1,583.3,679.7,,,382.0,397.6,474.7,432.1,419.9,497.9,616.1,754.9,509.5,494.4
Debt to Asset Ratio,0.43,0.31,0.092,0.13,0.18,0.079,0.050,0.031,,,0.056,0.060,0.050,0.051,0.033,0.029,0.031,0.070,0.14,0.17
Debt to Equity Ratio,0.75,0.45,0.10,0.15,0.22,0.085,0.053,0.032,,,0.059,0.063,0.053,0.054,0.034,0.030,0.032,0.075,0.16,0.21
Interest Coverage Ratio,167.4,"1,342","1,570",845.0,541.9,62.5,,,,,,,,4.41,,,,"1,424","4,266",326.4
Cash and Short Term Investments,147.1,26.3,"2,336","1,083",698.0,806.8,"1,245","1,143",,,"1,254","1,103","1,245","1,272","1,117","1,142","1,143","1,159","1,030",891.9
"Total Receivables, Net",281.9,726.2,"1,017","2,419","3,110","2,212","1,067","1,011",,,"1,167","1,282","1,067","1,117",953.2,942.6,"1,011","1,232","1,515","1,608"
Total Inventory,211.0,499.0,385.2,488.5,"1,813",916.7,810.7,585.9,,,"1,022",956.0,810.7,643.9,616.3,605.3,585.9,579.2,573.1,721.5
Total Current Assets,660.4,"1,305","3,771","4,037","5,642","3,945","3,133","2,741",,,"3,450","3,353","3,133","3,045","2,699","2,707","2,741","2,978","3,128","3,240"
"Property/Plant/Equipment, Total - Net",301.3,446.5,776.5,"1,140","1,139","1,131","1,054","1,054",,,"1,110","1,089","1,054","1,043","1,023","1,017","1,054","1,054","1,046","1,098"
Total Assets,984.2,"1,883","4,836","5,328","6,857","5,139","4,231","3,910",,,"4,603","4,482","4,231","4,132","4,052","3,977","3,910","4,076","4,234","4,411"
Accounts Payable,,,,,,,,,,,,,,,,,,,,
Accrued Expenses,16.4,18.3,22.7,32.2,38.0,13.7,16.2,11.1,,,11.4,12.4,16.2,14.1,10.5,7.07,11.1,14.6,18.5,21.9
Debt Due,3.46,5.53,6.27,7.72,6.25,8.76,6.57,1.51,,,8.28,7.66,6.57,5.29,3.94,2.37,1.51,1.06,0.60,1.50
Total Current Liabilities,411.3,565.1,426.8,676.3,"1,209",375.2,194.3,105.6,,,240.0,250.8,194.3,195.2,118.9,103.9,105.6,266.4,575.9,745.9
Long Term Debt,7.52,9.68,7.25,14.0,7.77,7.83,1.26,0.78,,,3.86,2.37,1.26,0.45,,,0.78,1.46,1.35,3.11
Total Liabilities,421.8,583.7,444.6,702.4,"1,232",404.2,211.3,122.0,,,257.1,267.4,211.3,210.5,132.0,117.2,122.0,284.3,595.4,768.2
Common Stock,224.4,224.4,320.0,320.0,400.0,400.0,400.0,400.0,,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,399.9
Additional Paid-In Capital,,,"2,240","2,240","2,240","2,240","2,240","2,240",,,"2,240","2,240","2,240","2,240","2,240","2,240","2,240","2,240","2,240","2,240"
Retained Earnings (Accumulated Deficit),338.0,"1,075","1,832","2,068","2,988","2,100","1,385","1,154",,,"1,703","1,571","1,385","1,287","1,285","1,225","1,154","1,157","1,009","1,013"
Shareholders' Equity,562.4,"1,299","4,392","4,626","5,625","4,735","4,020","3,788",,,"4,346","4,214","4,020","3,922","3,920","3,860","3,788","3,791","3,639","3,643"
Cash from Operating Activities,101.7,113.0,818.0,-826.5,856.9,"1,216",736.1,321.2,,,213.7,-141.6,161.1,87.4,88.1,75.5,70.3,59.5,89.1,-230.9
Cash from Investing Activities,-72.3,-162.6,-387.2,-448.5,-94.9,-97.1,-32.7,-756.1,,,-354.5,-165.9,497.5,-15.2,-659.4,-15.3,-66.2,-18.0,-12.2,55.7
Cash from Financing Activities,-18.2,-62.1,"1,880",-777.3,-330.0,"-1,012",-209.4,-6.14,,,-202.4,-2.26,-2.32,-2.17,-1.87,-1.61,-0.50,0.22,-165.6,0.32
Net Change in Cash,16.2,-120.8,"2,310","-2,071",432.3,108.8,438.1,-430.2,,,-352.2,-310.3,639.7,27.0,-487.7,29.8,0.63,19.6,-118.5,-139.7
Free Cashflows,28.0,-60.9,429.1,"-1,244",762.2,"1,114",703.1,212.7,,,197.3,-147.5,160.6,72.1,82.7,55.1,2.75,32.1,72.2,-308.6
Free Cashflow per Share,0.018,-0.038,0.27,-0.78,0.48,0.70,0.44,0.13,,,0.12,-0.092,0.10,0.045,0.052,0.034,0.002,0.020,0.045,-0.19
