,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.64,4.30,3.19,2.30,1.93,2.11,2.07,1.87,,,2.19,2.01,1.96,1.97,1.98,2.11,2.14,2.09,1.94,1.70
Earnings per Share,0.050,0.21,0.18,0.058,-0.083,-0.11,-0.11,-0.050,,,-0.023,-0.039,-0.034,-0.006,-0.013,-0.020,-0.010,0.002,-0.030,-0.009
Revenue per Share,2.30,2.33,1.43,1.29,0.99,0.71,0.57,0.62,,,0.16,0.12,0.14,0.17,0.15,0.14,0.17,0.17,0.13,0.15
Dividend per Share,0.090,0.060,0.10,0.055,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.17,0.22,0.31,1.10,0.32,0.66,0.50,0.065,,,0.14,0.062,0.026,0.010,0.010,0.021,0.025,0.011,0.026,0.066
Book Value per Share,1.66,1.86,2.67,2.47,2.31,2.15,2.03,1.98,,,2.10,2.06,2.03,2.02,2.01,1.99,1.98,1.98,1.95,1.94
Price to Earnings Ratio,37.0,21.8,14.4,47.4,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.20,2.45,1.04,1.04,0.70,0.90,0.91,1.06,,,0.95,0.87,0.91,0.94,0.95,1.06,1.06,0.98,0.90,0.81
EV to EBITDA,6.36,10.8,2.77,12.0,23.6,"1,564",59.8,30.7,,,162.5,451.2,59.8,44.4,71.7,44.1,30.7,26.8,26.4,21.6
Dividend Payout Ratio,180.0%,28.6%,55.6%,94.4%,,,,,,,,,,,,,,,,
Common Shares Outstanding,259.1,259.1,469.2,531.6,531.6,644.0,781.6,781.6,,,781.6,781.6,781.6,781.6,781.6,781.6,781.6,781.6,781.6,781.6
Total Revenue,595.9,604.6,672.4,684.0,524.3,456.7,448.4,488.0,,,121.3,97.6,110.2,131.8,114.1,112.1,130.0,134.2,102.4,114.6
"Cost of Revenue, Total",399.2,367.9,417.7,446.9,366.3,331.5,343.7,353.8,,,89.3,82.5,86.2,92.6,86.6,85.6,88.9,86.8,82.0,87.1
Gross Profit,196.7,236.7,254.6,237.1,158.0,125.1,104.8,134.2,,,32.1,15.2,24.0,39.1,27.5,26.5,41.1,47.4,20.4,27.5
"Selling/General/Administrative Expenses, Total",176.9,170.7,171.8,207.0,181.9,181.4,174.8,181.0,,,42.4,45.6,48.4,41.4,53.1,41.0,45.5,41.6,45.9,40.2
Operating Income,19.8,65.9,82.9,30.1,-23.8,-56.3,-70.0,-46.8,,,-10.3,-30.4,-24.4,-2.29,-25.6,-14.5,-4.40,5.77,-25.5,-12.6
Net Income,13.8,58.5,77.7,29.5,-50.2,-65.8,-77.1,-38.7,,,-16.4,-30.2,-26.5,-5.00,-10.3,-16.0,-7.51,1.89,-24.8,-6.26
EBITDA,60.0,107.3,137.3,90.9,46.5,19.5,25.9,54.9,,,13.6,-3.70,1.63,23.8,0.067,11.2,20.9,30.4,-0.78,12.6
Gross Profit Margin,33.0%,39.1%,37.9%,34.7%,30.1%,27.4%,23.4%,27.5%,,,26.4%,15.5%,21.8%,29.7%,24.1%,23.6%,31.6%,35.3%,19.9%,24.0%
Operating Margin,3.3%,10.9%,12.3%,4.4%,-4.5%,-12.3%,-15.6%,-9.6%,,,-8.5%,-31.2%,-22.1%,-1.7%,-22.4%,-13.0%,-3.4%,4.3%,-24.9%,-11.0%
Net Profit Margin,2.3%,9.7%,11.6%,4.3%,-9.6%,-14.4%,-17.2%,-7.9%,,,-13.5%,-30.9%,-24.0%,-3.8%,-9.0%,-14.3%,-5.8%,1.4%,-24.2%,-5.5%
Return on Assets,2.3%,10.2%,8.0%,2.1%,-3.4%,-4.0%,-4.2%,-2.2%,,,-3.6%,-4.4%,-4.2%,-4.3%,-4.0%,-3.3%,-2.2%,-1.8%,-2.7%,-2.1%
Return on Equity,3.2%,12.1%,6.2%,2.2%,-4.1%,-4.7%,-4.9%,-2.5%,,,-1.0%,-1.9%,-1.7%,-0.3%,-0.7%,-1.0%,-0.5%,0.1%,-1.6%,-0.4%
Return on Total Capital,3.2%,12.1%,6.2%,2.1%,-3.9%,-4.0%,-4.6%,-2.4%,,,-3.7%,-5.3%,-4.6%,-4.6%,-4.3%,-3.5%,-2.4%,-2.0%,-2.9%,-2.3%
SG&A to Sale,29.7%,28.2%,25.5%,30.3%,34.7%,39.7%,39.0%,37.1%,,,34.9%,46.7%,43.9%,31.5%,46.5%,36.6%,35.0%,31.0%,44.8%,35.1%
Depreciation & Amortisation,40.2,41.4,54.5,60.8,70.3,75.8,95.9,101.8,,,23.9,26.7,26.0,26.1,25.7,25.8,25.3,24.6,24.7,25.3
Tax Rate,43.6%,24.6%,21.5%,26.7%,-16.2%,-1.9%,-2.2%,-11.8%,,,-13.8%,7.2%,2.8%,-80.1%,-16.8%,1.3%,-8.8%,57.3%,9.6%,58.0%
