,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,3.25,1.78,1.38,1.50,1.56,1.22,,,1.25,1.51,1.63,1.58,1.61,1.55,1.48,1.47,1.23,0.97
Earnings per Share,0.006,0.071,0.29,0.30,0.040,0.009,0.12,0.38,,,0.017,0.035,0.054,0.032,0.17,0.13,0.044,0.060,0.026,0.014
Revenue per Share,0.16,0.41,1.20,1.23,0.51,0.55,1.10,2.25,,,0.20,0.29,0.46,0.29,0.83,0.76,0.37,0.37,0.21,0.13
Dividend per Share,0.00,0.00,17.8,0.029,0.043,0.005,0.007,0.022,,,,,0.007,,,,0.022,,,
Capital Expenditures per Share,0.003,0.002,0.012,0.010,0.001,0.036,0.008,0.002,,,0.003,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.000,0.001
Book Value per Share,0.34,0.38,0.61,1.54,1.55,1.52,1.56,1.93,,,1.47,1.51,1.56,1.60,1.76,1.89,1.93,1.99,2.00,2.01
Price to Earnings Ratio,,,,7.65,24.6,123.9,13.3,3.82,,,"1,449",46.8,14.2,11.3,5.35,3.69,3.82,3.42,4.27,6.27
Price to Book Value Ratio,,,,1.33,0.69,0.83,0.93,0.75,,,0.82,0.97,0.93,0.89,0.93,0.73,0.75,0.70,0.52,0.44
EV to EBITDA,,,0.00,7.05,60.9,84.7,14.1,3.19,,,58.0,28.3,14.1,9.70,5.11,3.29,3.19,3.66,5.93,12.7
Dividend Payout Ratio,0.0%,0.0%,6249.2%,9.6%,109.0%,53.0%,6.0%,5.8%,,,,,6.4%,,,,5.8%,,,
Common Shares Outstanding,"1,002","1,002","1,002","1,002","1,002","1,002","1,194","1,194",,,"1,194","1,194","1,194","1,194","1,194","1,194","1,194","1,194","1,194","1,194"
Total Revenue,159.0,408.2,"1,201","1,229",507.5,553.2,"1,314","2,681",,,238.9,351.7,550.5,341.1,994.0,901.9,443.6,443.6,245.2,159.3
"Cost of Revenue, Total",90.4,248.5,764.7,762.0,337.5,359.0,871.0,"1,765",,,160.8,228.5,372.1,241.2,654.6,593.2,276.1,271.7,149.0,100.3
Gross Profit,68.6,159.7,435.8,466.7,170.0,194.1,443.4,915.9,,,78.1,123.2,178.4,99.9,339.4,308.7,167.5,171.9,96.2,59.0
"Selling/General/Administrative Expenses, Total",50.6,84.0,149.7,167.0,124.0,169.4,252.2,366.2,,,46.7,64.0,94.8,51.5,82.7,117.9,113.7,81.5,57.3,45.7
Operating Income,18.5,77.8,286.1,299.7,46.0,24.8,191.2,549.7,,,31.3,59.2,83.6,48.4,256.7,190.8,53.8,90.4,38.8,13.3
Net Income,5.39,66.2,211.3,245.1,39.6,9.26,132.9,451.0,,,18.8,45.8,63.9,38.0,205.8,154.1,53.1,71.9,32.4,17.1
EBITDA,19.0,78.4,288.8,306.6,50.6,29.3,204.8,562.1,,,35.2,62.9,86.0,51.7,260.0,194.0,56.4,93.4,41.7,16.2
Gross Profit Margin,43.1%,39.1%,36.3%,38.0%,33.5%,35.1%,33.7%,34.2%,,,32.7%,35.0%,32.4%,29.3%,34.1%,34.2%,37.8%,38.8%,39.2%,37.0%
