,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,26.4,31.4,28.5,26.1,24.5,23.1,21.5,21.7,,,22.4,22.4,21.4,20.3,19.6,22.0,22.2,20.1,20.0,20.0
Earnings per Share,2.33,2.46,1.73,1.73,1.44,1.71,1.27,1.63,,,0.34,0.27,0.27,0.40,0.41,0.30,0.52,0.18,0.56,0.15
Revenue per Share,20.9,22.4,19.6,18.3,17.4,16.8,15.6,14.9,,,3.67,3.86,3.98,3.91,3.61,3.75,3.63,3.63,3.26,3.35
Dividend per Share,1.10,1.20,0.95,0.85,0.75,0.85,0.70,0.75,,,,,0.70,,0.35,0.00,0.40,,,
Capital Expenditures per Share,1.43,0.51,0.17,0.13,0.33,0.42,0.39,0.92,,,0.077,0.15,0.078,0.12,0.33,0.33,0.14,0.056,0.022,0.037
Book Value per Share,24.7,26.9,26.2,27.5,27.7,29.2,31.3,31.3,,,29.2,30.1,31.3,31.7,30.9,31.2,31.3,31.3,31.4,31.3
Price to Earnings Ratio,9.00,10.9,14.9,15.1,17.3,13.7,16.2,12.3,,,13.1,16.4,16.2,15.4,14.9,14.3,12.3,13.5,13.4,14.2
Price to Book Value Ratio,0.85,1.08,1.02,0.94,0.87,0.80,0.66,0.63,,,0.71,0.73,0.66,0.57,0.64,0.60,0.63,0.63,0.67,0.61
EV to EBITDA,7.26,8.49,17.2,19.3,24.8,15.5,26.9,22.9,,,19.5,24.3,26.9,29.1,20.7,21.9,22.9,29.7,39.1,60.3
Dividend Payout Ratio,47.1%,48.9%,55.0%,49.0%,52.0%,49.7%,55.2%,46.0%,,,,,55.2%,,26.0%,0.0%,24.5%,,,
Common Shares Outstanding,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Total Revenue,"2,508","2,693","2,347","2,200","2,087","2,017","1,868","1,787",,,440.0,463.3,478.1,469.5,432.7,449.9,435.2,435.3,391.4,401.6
"Cost of Revenue, Total","1,827","2,005","1,788","1,649","1,552","1,445","1,370","1,299",,,327.6,339.6,348.2,333.2,303.7,333.5,328.7,319.3,286.4,300.8
Gross Profit,681.2,688.6,559.1,551.5,534.8,571.7,498.1,488.3,,,112.4,123.7,129.8,136.3,129.0,116.5,106.5,116.0,105.0,100.8
"Selling/General/Administrative Expenses, Total",456.0,459.0,461.4,477.8,496.4,483.3,475.6,460.3,,,120.9,118.3,119.5,119.5,124.5,105.6,110.7,117.3,113.2,107.5
Operating Income,225.1,229.5,97.7,85.3,38.5,88.4,22.5,28.0,,,-8.54,5.34,10.3,16.8,4.51,10.9,-4.18,-1.35,-8.17,-6.72
Net Income,280.0,294.8,207.3,208.1,173.2,205.3,152.1,195.5,,,41.2,32.2,32.6,48.1,48.6,36.4,62.4,21.6,67.0,17.6
EBITDA,266.1,280.9,153.5,138.1,91.4,138.3,65.9,69.5,,,3.54,15.9,18.4,27.5,15.3,21.7,4.95,11.1,5.37,7.05
Gross Profit Margin,27.2%,25.6%,23.8%,25.1%,25.6%,28.3%,26.7%,27.3%,,,25.5%,26.7%,27.2%,29.0%,29.8%,25.9%,24.5%,26.6%,26.8%,25.1%
Operating Margin,9.0%,8.5%,4.2%,3.9%,1.8%,4.4%,1.2%,1.6%,,,-1.9%,1.2%,2.2%,3.6%,1.0%,2.4%,-1.0%,-0.3%,-2.1%,-1.7%
Net Profit Margin,11.2%,10.9%,8.8%,9.5%,8.3%,10.2%,8.1%,10.9%,,,9.4%,7.0%,6.8%,10.3%,11.2%,8.1%,14.3%,5.0%,17.1%,4.4%
Return on Assets,8.5%,8.0%,5.4%,5.4%,4.4%,5.1%,3.6%,4.5%,,,4.5%,3.8%,3.5%,3.5%,3.7%,3.8%,4.5%,3.9%,4.3%,3.9%
Return on Equity,9.4%,9.1%,6.6%,6.3%,5.2%,5.9%,4.0%,5.2%,,,1.2%,0.9%,0.9%,1.3%,1.3%,1.0%,1.7%,0.6%,1.8%,0.5%
Return on Total Capital,9.4%,9.1%,6.6%,6.3%,5.2%,5.9%,4.0%,5.2%,,,5.3%,4.4%,4.0%,4.0%,4.4%,4.4%,5.2%,4.5%,5.0%,4.5%
