,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,33.2,50.8,36.1,24.5,19.4,22.1,15.7,9.53,,,21.2,22.0,19.2,16.5,15.3,13.6,11.2,10.3,10.1,7.55
Earnings per Share,3.65,3.80,2.98,2.77,1.10,0.31,-0.15,-0.32,,,-0.30,0.030,0.057,0.007,-0.23,-0.079,-0.019,-0.083,-0.037,-0.012
Revenue per Share,9.53,7.08,8.32,8.37,5.25,3.93,4.13,2.64,,,0.81,0.74,1.06,0.77,0.53,0.60,0.74,0.65,0.72,0.72
Dividend per Share,4.12,4.15,2.70,2.55,1.50,0.40,0.20,,,,,,0.20,,,,,,,
Capital Expenditures per Share,0.17,0.49,0.51,0.35,0.23,0.18,0.045,0.030,,,0.012,0.012,0.002,0.007,0.009,0.004,0.010,0.013,0.016,0.032
Book Value per Share,3.54,7.20,7.77,7.94,6.40,6.16,5.58,5.05,,,5.52,5.55,5.58,5.58,5.15,5.07,5.05,4.95,4.90,4.87
Price to Earnings Ratio,,15.0,12.5,11.7,12.2,65.8,,,,,234.0,,,,,,,,,
Price to Book Value Ratio,,8.30,4.60,3.90,2.16,3.38,3.01,2.00,,,3.40,3.77,3.01,2.33,2.72,2.13,2.00,1.58,1.65,1.43
EV to EBITDA,0.00,8.40,8.88,8.62,7.28,37.4,206.4,84.5,,,55.0,103.7,206.4,736.7,44.3,57.8,84.5,293.1,"4,572",78.4
Dividend Payout Ratio,113.0%,109.2%,90.6%,92.1%,136.4%,129.0%,-133.3%,,,,,,-133.1%,,,,,,,
Common Shares Outstanding,303.3,303.3,305.2,307.2,309.9,309.9,309.9,309.9,,,309.9,309.9,309.9,309.9,309.9,309.9,309.9,309.9,309.9,309.9
Total Revenue,"2,889","2,147","2,538","2,572","1,626","1,217","1,279",819.6,,,252.4,227.9,327.6,239.9,163.1,185.8,230.8,202.8,223.8,222.3
"Cost of Revenue, Total","1,292",716.5,"1,292","1,441","1,084",905.5,"1,079",587.9,,,297.1,147.9,234.6,170.5,116.3,141.9,159.2,135.1,176.8,178.1
Gross Profit,"1,597","1,430","1,246","1,131",542.0,311.1,199.9,231.7,,,-44.7,80.0,93.1,69.4,46.8,43.9,71.6,67.7,47.0,44.2
"Selling/General/Administrative Expenses, Total",212.2,237.3,231.6,199.0,168.4,185.5,233.3,252.4,,,49.7,65.6,72.1,63.4,54.3,65.5,69.2,87.4,60.5,47.6
Operating Income,"1,385","1,193","1,015",931.8,373.5,125.6,-33.4,-20.8,,,-94.4,14.4,20.9,5.97,-7.52,-21.6,2.40,-19.6,-13.5,-3.39
Net Income,"1,108","1,023",918.1,853.1,339.4,97.3,-46.5,-99.2,,,-92.3,8.26,18.1,2.13,-71.3,-24.3,-5.63,-25.7,-11.4,-3.63
EBITDA,"1,427","1,228","1,057",976.5,425.8,177.8,27.2,33.5,,,-78.7,29.1,35.3,20.4,5.98,-8.37,15.5,-5.72,-0.75,10.0
Gross Profit Margin,55.3%,66.6%,49.1%,44.0%,33.3%,25.6%,15.6%,28.3%,,,-17.7%,35.1%,28.4%,28.9%,28.7%,23.6%,31.0%,33.4%,21.0%,19.9%
Operating Margin,47.9%,55.6%,40.0%,36.2%,23.0%,10.3%,-2.6%,-2.5%,,,-37.4%,6.3%,6.4%,2.5%,-4.6%,-11.6%,1.0%,-9.7%,-6.0%,-1.5%
Net Profit Margin,38.3%,47.7%,36.2%,33.2%,20.9%,8.0%,-3.6%,-12.1%,,,-36.6%,3.6%,5.5%,0.9%,-43.7%,-13.1%,-2.4%,-12.7%,-5.1%,-1.6%
Return on Assets,46.6%,43.9%,33.7%,30.0%,13.8%,4.4%,-2.2%,-5.3%,,,1.3%,-1.4%,-2.4%,-3.2%,-2.3%,-4.3%,-5.7%,-7.2%,-3.8%,-2.7%
Return on Equity,103.2%,46.9%,38.7%,35.0%,17.1%,5.1%,-2.7%,-6.3%,,,-5.4%,0.5%,1.0%,0.1%,-4.5%,-1.5%,-0.4%,-1.7%,-0.7%,-0.2%
Return on Total Capital,103.2%,46.9%,38.6%,34.9%,17.1%,5.1%,-2.7%,-6.3%,,,1.5%,-1.6%,-2.7%,-3.7%,-2.7%,-4.8%,-6.3%,-8.3%,-4.4%,-3.1%
SG&A to Sale,7.3%,11.1%,9.1%,7.7%,10.4%,15.3%,18.2%,30.8%,,,19.7%,28.8%,22.0%,26.4%,33.3%,35.2%,30.0%,43.1%,27.0%,21.4%
Depreciation & Amortisation,41.7,35.4,42.3,44.7,52.3,52.3,60.6,54.3,,,15.7,14.7,14.4,14.5,13.5,13.3,13.1,13.9,12.8,13.4
Tax Rate,19.3%,13.1%,20.1%,15.4%,19.2%,16.2%,-30.3%,-8.6%,,,2.9%,26.4%,10.3%,52.0%,1.6%,-7.3%,167.7%,-18.0%,24.4%,12.3%
Current Ratio,1.61,7.42,4.25,8.75,12.3,5.97,7.18,12.6,,,9.20,10.5,7.18,9.03,12.1,10.7,12.6,7.96,9.82,10.3
Quick Ratio,0.91,1.91,1.98,4.46,5.04,3.01,3.40,4.39,,,4.47,4.58,3.40,3.28,4.42,3.17,4.39,2.14,2.87,2.97
Days Inventory Outstanding,4.92,7.34,7.48,8.92,9.62,14.8,15.9,18.9,,,7.07,9.47,14.1,14.3,12.6,13.0,13.1,13.8,13.1,11.7
Days Sale Outstanding,74.7,41.5,139.7,76.6,98.8,178.8,159.8,147.1,,,123.6,120.5,159.8,143.9,134.0,110.9,147.1,120.4,119.4,109.9
