,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.17,5.13,3.80,3.49,3.25,3.34,2.52,1.88,,,3.15,3.15,3.02,2.68,2.50,2.14,2.00,1.99,1.95,1.66
Earnings per Share,0.19,0.34,0.73,0.42,0.25,0.40,0.30,-0.040,,,0.090,0.030,0.11,0.061,-0.011,-0.060,-0.034,-0.088,-0.060,0.006
Revenue per Share,3.26,3.30,4.17,3.28,2.83,3.15,2.79,2.46,,,0.64,0.62,0.82,0.80,0.57,0.55,0.55,0.46,0.51,0.64
Dividend per Share,0.051,0.13,0.027,0.17,0.13,0.13,0.060,0.060,,,,,0.060,,,,0.060,,,
Capital Expenditures per Share,0.29,0.067,0.11,0.041,0.020,0.022,0.10,0.044,,,0.021,0.031,0.037,0.012,0.020,0.006,0.006,0.017,0.006,0.004
Book Value per Share,2.85,3.03,3.57,3.99,4.03,4.30,4.46,4.35,,,4.32,4.35,4.46,4.52,4.46,4.40,4.35,4.26,4.14,4.15
Price to Earnings Ratio,9.52,10.3,5.05,9.19,11.6,7.85,9.33,,,,6.51,8.88,9.23,8.84,12.2,19.0,,,,
Price to Book Value Ratio,0.65,1.51,0.90,0.87,0.69,0.68,0.61,0.42,,,0.73,0.65,0.61,0.52,0.54,0.42,0.42,0.46,0.40,0.38
EV to EBITDA,4.24,2.86,3.16,2.52,3.64,2.36,3.38,0.44,,,2.76,4.89,3.38,1.45,1.12,0.66,0.44,1.19,2.13,0.53
Dividend Payout Ratio,26.2%,37.3%,3.7%,40.7%,51.9%,32.5%,20.0%,-150.0%,,,,,19.8%,,,,-137.7%,,,
Common Shares Outstanding,489.1,538.1,550.1,550.1,581.4,581.4,581.4,581.4,,,581.4,581.4,581.4,581.4,581.4,581.4,581.4,581.4,581.4,581.4
Total Revenue,"1,593","1,775","2,297","1,807","1,648","1,829","1,624","1,432",,,374.4,355.8,484.3,463.6,332.3,320.3,320.2,269.8,294.5,374.8
"Cost of Revenue, Total",121.0,155.0,188.1,132.0,136.6,159.5,146.2,166.4,,,34.1,37.5,36.2,49.6,42.4,44.4,34.8,40.7,51.0,67.2
Gross Profit,689.1,864.2,"1,102",848.6,704.6,834.6,720.9,557.1,,,170.7,142.1,227.6,207.9,139.1,104.3,110.4,81.4,110.7,176.1
"Selling/General/Administrative Expenses, Total",395.4,455.6,483.5,399.3,383.8,159.5,146.2,166.4,,,34.1,37.5,36.2,49.6,42.4,44.4,34.8,40.7,51.0,67.2
Operating Income,135.2,247.5,431.1,301.6,184.3,307.7,569.0,390.8,,,45.2,19.9,448.4,158.5,96.7,59.9,388.9,40.7,59.7,108.9
Net Income,79.3,180.7,399.9,229.8,137.8,231.3,176.9,-23.8,,,51.7,14.7,69.7,37.9,-6.71,-33.7,-21.3,-50.9,-33.5,3.42
EBITDA,191.6,305.8,495.0,361.3,231.3,343.6,603.3,419.0,,,58.7,23.5,456.6,172.8,127.0,59.9,395.8,47.1,66.1,115.1
Gross Profit Margin,43.2%,48.7%,48.0%,47.0%,42.7%,45.6%,44.4%,38.9%,,,45.6%,39.3%,47.6%,44.8%,41.9%,32.6%,34.5%,30.2%,37.6%,47.0%
Operating Margin,8.5%,13.9%,18.8%,16.7%,11.2%,16.8%,35.0%,27.3%,,,12.1%,5.5%,93.7%,34.2%,29.1%,18.7%,121.4%,15.1%,20.3%,29.1%
Net Profit Margin,5.0%,10.2%,17.4%,12.7%,8.4%,12.6%,10.9%,-1.7%,,,13.8%,4.1%,14.4%,8.2%,-2.0%,-10.5%,-6.7%,-18.9%,-11.4%,0.9%
Return on Assets,2.7%,5.0%,9.7%,5.6%,3.4%,4.4%,2.8%,-0.4%,,,4.8%,3.3%,3.1%,2.8%,2.2%,1.5%,-0.5%,-2.5%,-3.1%,-2.1%
Return on Equity,5.7%,11.1%,20.3%,10.5%,5.9%,9.2%,6.8%,-0.9%,,,2.1%,0.6%,2.7%,1.4%,-0.3%,-1.3%,-0.8%,-2.1%,-1.4%,0.1%
