,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,14.0,15.8,13.0,10.6,10.3,10.1,5.31,,,9.03,11.1,11.9,9.35,8.30,7.60,6.53,5.88,4.72,3.84
Earnings per Share,0.34,0.37,0.71,0.62,0.65,0.54,0.73,0.42,,,0.20,0.22,0.11,0.11,0.16,0.12,0.027,0.100,0.082,0.12
Revenue per Share,1.49,1.83,2.44,2.84,3.15,3.43,3.64,4.04,,,0.84,0.99,0.99,0.96,0.97,1.16,0.96,0.99,0.97,1.05
Dividend per Share,0.00,0.20,0.45,0.45,0.50,0.40,0.50,0.35,,,0.20,0.00,0.30,,0.20,0.00,0.15,,0.13,0.00
Capital Expenditures per Share,0.00,0.003,0.002,0.002,0.002,0.004,0.010,0.022,,,0.001,0.000,0.008,0.002,0.010,0.008,0.002,0.002,0.002,0.001
Book Value per Share,1.35,1.26,1.82,1.98,2.14,2.19,2.57,2.40,,,2.40,2.44,2.57,2.68,2.48,2.45,2.40,2.54,2.52,2.49
Price to Earnings Ratio,,,17.2,22.8,15.6,17.1,14.0,15.1,,,15.9,16.5,14.0,13.0,13.5,13.7,15.1,13.2,13.4,11.1
Price to Book Value Ratio,,,7.59,6.71,4.87,3.95,3.85,2.36,,,3.79,4.50,3.85,2.72,3.31,2.63,2.36,2.25,1.49,1.45
EV to EBITDA,0.00,0.00,16.0,18.0,11.9,14.2,13.0,12.9,,,11.3,11.2,13.0,11.7,10.6,11.2,12.9,10.8,12.4,8.36
Dividend Payout Ratio,0.0%,54.3%,63.1%,72.6%,77.2%,74.6%,68.9%,82.9%,,,35.2%,0.0%,41.3%,,33.2%,0.0%,35.5%,,39.0%,0.0%
Common Shares Outstanding,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Total Revenue,894.3,"1,100","1,465","1,704","1,892","2,058","2,186","2,426",,,506.9,593.4,596.6,574.3,581.8,693.4,576.8,594.0,584.3,630.8
"Cost of Revenue, Total",568.6,765.9,942.7,"1,205","1,345","1,589","1,544","2,006",,,336.3,403.0,483.2,465.4,434.4,574.2,531.7,487.3,493.7,516.7
Gross Profit,325.7,334.3,522.3,498.1,547.4,469.3,642.1,420.7,,,170.6,190.4,113.4,108.9,147.4,119.2,45.1,106.7,90.6,114.1
"Selling/General/Administrative Expenses, Total",15.4,25.2,34.6,38.7,55.0,58.0,75.5,85.2,,,19.8,18.4,21.1,18.3,25.5,20.8,20.6,24.1,25.2,21.0
Operating Income,299.9,289.0,476.3,452.3,478.1,390.0,542.2,310.0,,,145.5,166.7,83.9,84.7,115.5,91.7,18.1,74.1,56.2,83.3
Net Income,200.8,220.8,383.0,371.7,388.7,321.7,435.7,253.5,,,119.0,131.4,67.2,68.5,94.0,74.8,16.1,59.9,49.0,69.2
EBITDA,299.9,291.4,479.1,455.2,481.1,392.8,544.7,313.4,,,145.5,166.7,86.4,84.7,115.5,91.7,19.0,75.0,57.3,84.5
Gross Profit Margin,36.4%,30.4%,35.6%,29.2%,28.9%,22.8%,29.4%,17.3%,,,33.7%,32.1%,19.0%,19.0%,25.3%,17.2%,7.8%,18.0%,15.5%,18.1%
Operating Margin,33.5%,26.3%,32.5%,26.6%,25.3%,18.9%,24.8%,12.8%,,,28.7%,28.1%,14.1%,14.7%,19.9%,13.2%,3.1%,12.5%,9.6%,13.2%
Net Profit Margin,22.5%,20.1%,26.1%,21.8%,20.5%,15.6%,19.9%,10.4%,,,23.5%,22.1%,11.3%,11.9%,16.2%,10.8%,2.8%,10.1%,8.4%,11.0%
