,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,4.31,4.02,5.72,5.10,2.14,,,6.60,6.45,6.90,4.89,3.95,2.94,2.82,2.36,1.99,1.60
Earnings per Share,2.71,0.71,0.040,0.44,0.22,0.13,0.46,-0.042,,,0.060,0.15,0.100,0.007,0.070,-0.058,-0.081,-0.21,-0.12,-0.095
Revenue per Share,7.53,8.69,10.3,9.90,8.61,8.95,11.4,9.22,,,2.50,2.74,3.23,2.52,2.36,2.10,2.23,1.92,1.70,2.29
Dividend per Share,,,,,,0.080,0.12,,,,,,0.12,,,,,,,
Capital Expenditures per Share,0.10,0.095,0.23,0.43,0.28,0.078,0.23,0.64,,,0.16,-0.090,0.042,0.12,0.15,0.18,0.18,0.12,0.063,0.001
Book Value per Share,0.58,1.86,1.91,2.46,3.24,3.19,3.66,3.49,,,3.35,3.54,3.66,3.66,3.63,3.56,3.49,3.27,3.14,2.94
Price to Earnings Ratio,,,,,17.9,27.4,12.5,,,,15.6,14.8,12.2,10.8,11.3,19.3,,,,
Price to Book Value Ratio,,,,,1.25,1.17,1.53,0.64,,,1.79,1.57,1.53,0.89,0.90,0.58,0.64,0.61,0.59,0.46
EV to EBITDA,0.00,0.00,0.00,0.00,8.49,9.55,8.27,54.7,,,10.7,8.58,8.27,10.4,9.90,14.6,54.7,-38.8,-11.2,-7.27
Dividend Payout Ratio,,,,,,61.5%,26.1%,,,,,,25.5%,,,,,,,
Common Shares Outstanding,412.2,412.2,412.2,412.2,412.2,414.6,414.6,414.6,,,414.6,414.6,414.6,414.6,414.6,414.6,414.6,414.6,414.6,414.6
Total Revenue,"3,102","3,580","4,233","4,079","3,551","3,713","4,731","3,824",,,"1,037","1,137","1,337","1,047",978.3,872.7,926.1,796.2,706.7,948.1
"Cost of Revenue, Total","2,418","2,872","3,330","3,231","2,701","2,766","3,538","2,903",,,789.6,812.5,"1,038",798.2,707.6,672.5,698.8,644.7,590.7,719.1
Gross Profit,684.4,708.6,903.0,848.0,850.2,946.9,"1,194",920.6,,,247.9,324.9,299.2,248.5,270.7,200.2,227.3,151.5,116.0,228.9
"Selling/General/Administrative Expenses, Total",372.9,399.2,588.5,590.9,698.4,851.2,905.6,961.6,,,195.0,234.8,248.5,246.8,251.2,210.7,282.3,236.1,198.5,269.5
Operating Income,311.4,309.4,314.5,257.0,151.8,95.7,288.2,-41.0,,,52.9,90.1,50.7,1.68,19.5,-10.5,-55.0,-84.6,-82.5,-40.6
Net Income,945.6,366.1,22.4,229.5,112.1,67.1,237.9,-17.5,,,33.7,77.1,48.2,2.71,37.4,-23.9,-33.8,-87.4,-50.7,-39.4
EBITDA,354.4,348.3,362.4,316.0,224.4,178.8,363.3,37.4,,,71.4,109.2,70.0,20.0,38.0,9.87,-33.8,-59.8,-62.2,-13.7
Gross Profit Margin,22.1%,19.8%,21.3%,20.8%,23.9%,25.5%,25.2%,24.1%,,,23.9%,28.6%,22.4%,23.7%,27.7%,22.9%,24.5%,19.0%,16.4%,24.1%
Operating Margin,10.0%,8.6%,7.4%,6.3%,4.3%,2.6%,6.1%,-1.1%,,,5.1%,7.9%,3.8%,0.2%,2.0%,-1.2%,-5.9%,-10.6%,-11.7%,-4.3%
Net Profit Margin,30.5%,10.2%,0.5%,5.6%,3.2%,1.8%,5.0%,-0.5%,,,3.2%,6.8%,3.6%,0.3%,3.8%,-2.7%,-3.6%,-11.0%,-7.2%,-4.2%
Return on Assets,42.0%,13.2%,0.7%,7.2%,3.4%,1.9%,6.4%,-0.5%,,,5.0%,6.0%,6.3%,4.2%,4.3%,1.7%,-0.5%,-2.8%,-5.3%,-5.7%
Return on Equity,395.4%,47.7%,2.8%,22.6%,8.4%,5.1%,15.7%,-1.2%,,,2.4%,5.3%,3.2%,0.2%,2.5%,-1.6%,-2.3%,-6.5%,-3.9%,-3.2%
Return on Total Capital,70.0%,23.2%,1.4%,13.1%,5.8%,3.7%,12.1%,-0.8%,,,9.7%,11.2%,12.1%,7.9%,8.0%,3.1%,-0.8%,-5.3%,-10.1%,-12.4%
