,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-4,2017-7,2017-10,2018-1,2018-4,2018-7,2018-10,2019-1,2019-4,2019-7,2019-10
Price Average,2.58,4.28,3.56,5.01,3.82,3.48,2.89,2.52,2.17,,3.45,3.18,3.10,2.94,2.72,2.77,2.54,2.31,2.28,2.12,2.02
Earnings per Share,0.27,0.46,0.42,0.50,0.46,0.23,0.19,0.10,0.033,,0.001,0.045,0.055,0.000,0.005,0.040,0.008,-0.002,-0.003,0.030,0.023
Revenue per Share,1.72,2.43,2.34,2.56,2.27,1.75,1.30,1.32,1.31,,0.23,0.32,0.32,0.31,0.35,0.35,0.35,0.38,0.26,0.33,0.34
Dividend per Share,0.10,0.16,0.16,0.16,0.12,0.080,0.070,0.040,,,,0.070,,,,0.040,,,,,
Capital Expenditures per Share,0.72,0.33,0.19,0.10,0.047,0.057,0.005,0.028,0.014,,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.014,0.00,NAN,0.00
Book Value per Share,3.01,3.37,3.63,3.97,4.27,4.38,4.46,4.48,4.43,,4.44,4.46,4.44,4.41,4.42,4.48,4.44,4.41,4.42,4.43,4.44
Price to Earnings Ratio,6.64,7.39,7.19,10.1,8.73,13.9,16.2,27.3,60.3,,15.3,16.2,15.7,27.4,24.0,27.3,43.4,43.7,51.7,60.3,42.1
Price to Book Value Ratio,0.61,1.00,0.86,1.16,0.94,0.69,0.69,0.60,0.45,,0.68,0.69,0.68,0.63,0.59,0.60,0.53,0.52,0.51,0.45,0.46
EV to EBITDA,3.02,3.33,2.34,2.89,2.68,2.08,0.74,-0.58,-4.87,,1.30,0.74,0.59,0.50,-0.15,-0.58,-1.57,-2.68,-3.76,-4.87,-5.32
Dividend Payout Ratio,37.3%,34.6%,38.3%,32.3%,26.1%,35.4%,37.0%,39.8%,,,,37.0%,,,,39.8%,,,,,
Common Shares Outstanding,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Total Revenue,516.4,728.2,701.2,767.4,680.7,525.8,389.2,395.8,394.0,,69.1,97.0,95.5,92.7,103.9,103.6,105.7,113.1,77.2,98.1,103.2
"Cost of Revenue, Total",380.8,534.4,519.9,557.4,487.4,383.6,267.3,301.4,308.2,,51.8,65.1,63.8,74.4,84.9,78.3,87.4,91.7,61.2,67.9,77.5
Gross Profit,135.6,193.8,181.3,209.9,193.3,142.1,121.9,94.5,85.8,,17.3,31.9,31.8,18.3,19.0,25.4,18.2,21.4,16.0,30.2,25.7
"Selling/General/Administrative Expenses, Total",53.2,52.2,54.9,60.3,54.0,73.8,64.2,64.1,72.5,,16.8,17.3,15.1,18.2,17.5,13.3,14.8,21.0,17.1,19.7,17.0
Operating Income,82.5,141.6,126.4,149.6,139.3,68.3,57.7,30.3,13.3,,0.53,14.6,16.6,0.066,1.57,12.1,3.45,0.45,-1.17,10.6,8.78
Net Income,80.4,138.7,125.2,148.6,138.1,67.8,56.8,30.1,9.90,,0.26,13.5,16.6,0.049,1.59,11.9,2.52,-0.47,-1.03,8.88,7.01
EBITDA,123.2,192.5,184.8,213.0,205.8,131.6,114.3,85.0,64.0,,14.3,28.9,30.7,14.0,14.7,25.6,17.2,14.0,11.3,21.4,19.4
Gross Profit Margin,26.3%,26.6%,25.9%,27.4%,28.4%,27.0%,31.3%,23.9%,21.8%,,25.1%,32.9%,33.2%,19.7%,18.3%,24.5%,17.3%,18.9%,20.7%,30.8%,24.9%
Operating Margin,16.0%,19.4%,18.0%,19.5%,20.5%,13.0%,14.8%,7.7%,3.4%,,0.8%,15.1%,17.4%,0.1%,1.5%,11.6%,3.3%,0.4%,-1.5%,10.8%,8.5%
Net Profit Margin,15.6%,19.1%,17.9%,19.4%,20.3%,12.9%,14.6%,7.6%,2.5%,,0.4%,13.9%,17.4%,0.1%,1.5%,11.5%,2.4%,-0.4%,-1.3%,9.1%,6.8%
Return on Assets,8.9%,13.9%,11.6%,12.6%,10.8%,5.1%,4.2%,2.2%,0.7%,,4.4%,4.2%,4.2%,2.2%,2.4%,2.2%,1.2%,1.1%,0.9%,0.7%,1.1%
Return on Equity,8.9%,13.7%,11.5%,12.5%,10.8%,5.2%,4.2%,2.2%,0.7%,,0.0%,1.0%,1.2%,0.0%,0.1%,0.9%,0.2%,0.0%,-0.1%,0.7%,0.5%
Return on Total Capital,8.9%,13.7%,11.5%,12.5%,10.8%,5.2%,4.2%,2.2%,0.7%,,4.5%,4.2%,4.3%,2.3%,2.4%,2.2%,1.2%,1.2%,1.0%,0.7%,1.1%
SG&A to Sale,10.3%,7.2%,7.8%,7.9%,7.9%,14.0%,16.5%,16.2%,18.4%,,24.3%,17.8%,15.8%,19.7%,16.8%,12.9%,14.0%,18.5%,22.2%,20.0%,16.4%
Depreciation & Amortisation,40.7,50.9,58.4,63.4,66.5,63.3,56.6,54.7,50.7,,13.8,14.2,14.1,13.9,13.1,13.6,13.7,13.6,12.5,10.9,10.7
Tax Rate,3.1%,2.0%,0.9%,0.7%,0.9%,0.8%,1.7%,0.6%,25.5%,,50.5%,8.0%,0.0%,25.8%,-0.8%,1.5%,27.1%,204.2%,11.5%,15.8%,20.1%
Current Ratio,10.8,11.1,22.8,13.0,24.0,64.8,92.0,46.2,46.2,,40.3,92.0,19.8,27.9,83.9,46.2,26.8,26.2,60.3,46.2,39.1
Quick Ratio,3.47,4.46,8.24,3.99,4.63,18.3,18.3,10.2,10.4,,9.15,18.3,4.22,5.46,17.1,10.2,5.92,5.79,12.3,10.4,9.12
Days Inventory Outstanding,69.7,27.4,21.0,17.6,13.2,10.5,7.29,3.55,2.30,,11.7,11.5,7.35,19.3,15.8,3.69,6.68,14.3,11.4,3.06,3.00
Days Sale Outstanding,90.5,52.9,55.9,36.5,34.6,40.6,48.9,65.3,60.7,,47.9,48.9,71.1,57.4,59.3,65.3,67.2,67.2,37.6,60.7,62.5
Days Payable Outstanding,22.4,22.3,18.0,13.5,18.5,14.5,8.25,11.6,16.4,,15.0,12.7,11.3,23.5,19.4,13.2,17.4,25.5,19.8,10.7,18.2
Cash Conversion Cycle,115.2,62.2,65.7,45.3,33.6,47.8,52.7,45.4,50.5,,44.1,54.2,54.9,56.0,62.5,50.8,54.4,49.2,63.1,37.2,47.2
Debt to Asset Ratio,0.039,0.040,0.022,0.044,0.025,0.011,0.008,0.020,0.022,,0.017,0.008,0.035,0.026,0.010,0.020,0.031,0.032,0.019,0.022,0.026
Debt to Equity Ratio,0.041,0.042,0.022,0.046,0.026,0.011,0.008,0.020,0.023,,0.017,0.008,0.036,0.026,0.010,0.020,0.032,0.033,0.019,0.023,0.026
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,212.6,331.5,383.5,590.8,659.8,734.2,821.2,877.4,917.6,,802.5,821.2,843.3,838.0,847.0,877.4,886.0,875.2,922.2,917.6,934.7
"Total Receivables, Net",128.0,105.5,107.5,76.8,64.6,58.5,52.1,70.9,65.5,,52.8,52.1,74.3,55.8,63.2,70.9,74.7,78.4,41.2,65.5,67.0
Total Inventory,54.5,25.8,34.1,19.8,15.4,6.67,4.01,1.85,2.04,,12.8,4.01,6.35,20.7,4.25,1.85,10.0,16.8,3.13,2.04,2.86
Total Current Assets,396.8,463.2,525.7,690.5,740.6,800.6,878.2,951.9,985.8,,869.4,878.2,925.0,916.3,916.5,951.9,971.7,971.2,967.3,985.8,"1,005"
"Property/Plant/Equipment, Total - Net",520.3,569.0,567.3,535.2,480.7,434.3,379.0,326.2,279.7,,393.2,379.0,364.9,351.0,331.4,326.2,312.5,303.1,290.6,279.7,269.0
Total Assets,938.7,"1,053","1,114","1,247","1,314","1,327","1,349","1,370","1,358",,"1,355","1,349","1,382","1,359","1,340","1,370","1,376","1,366","1,350","1,358","1,367"
Accounts Payable,30.0,35.4,15.8,25.3,24.0,6.42,5.66,13.6,14.1,,13.0,5.66,10.3,22.5,8.18,13.6,17.4,30.5,4.01,14.1,15.7
Accrued Expenses,,0.14,0.15,0.14,0.095,0.068,0.079,0.10,0.098,,0.14,0.079,0.075,0.058,0.065,0.10,0.083,0.075,0.060,0.098,0.067
Debt Due,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,36.9,41.7,23.1,53.0,30.8,12.4,9.54,20.6,21.4,,21.6,9.54,46.7,32.8,10.9,20.6,36.2,37.0,16.0,21.4,25.7
Long Term Debt,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,36.9,42.5,24.4,54.8,32.7,14.1,11.3,27.2,30.5,,23.3,11.3,48.5,34.7,12.9,27.2,42.9,43.8,25.0,30.5,35.0
Common Stock,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Additional Paid-In Capital,166.1,166.1,166.1,166.1,166.1,166.1,166.1,166.1,166.1,,166.1,166.1,166.1,166.1,166.1,166.1,166.1,166.1,166.2,166.1,166.1
Retained Earnings (Accumulated Deficit),451.1,559.2,636.8,737.4,827.5,859.3,892.1,897.7,895.5,,878.6,892.1,887.7,887.7,889.3,897.7,888.2,887.7,886.7,895.5,902.6
Shareholders' Equity,901.9,"1,011","1,090","1,192","1,282","1,313","1,338","1,343","1,328",,"1,332","1,338","1,333","1,324","1,327","1,343","1,333","1,322","1,325","1,328","1,332"
Cash from Operating Activities,139.2,243.2,151.3,278.7,193.1,119.4,110.7,69.1,59.3,,13.0,22.8,20.5,22.7,-0.068,26.0,6.86,13.1,41.4,-2.06,17.6
