,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,,11.5,,,,,,,,,,,12.0,11.5
Earnings per Share,,,,0.80,0.39,0.45,0.68,0.24,,,0.19,0.16,0.16,0.098,0.059,0.065,0.039,0.14,0.10,0.080
Revenue per Share,,,,,,9.99,10.0,9.94,,,,2.40,2.40,2.65,2.51,,2.39,2.67,2.41,2.22
Dividend per Share,,,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,,0.00,0.00,1.35,0.00
Capital Expenditures per Share,,,,,,0.29,0.62,0.59,,,,0.27,0.27,0.25,0.12,,0.11,0.24,0.081,0.25
Book Value per Share,,,,,,2.06,2.56,2.58,,,,2.56,2.56,2.66,2.72,,2.58,2.71,1.47,3.41
Price to Earnings Ratio,,,,,,,,,,,,,,,,,,,25.7,29.3
Price to Book Value Ratio,,,,,,,,,,,,,,,,,,,7.70,2.86
EV to EBITDA,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.9
Dividend Payout Ratio,,,,,,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,392.7%,0.0%
Common Shares Outstanding,,,,,,"1,856","1,856","1,856",,,,"1,856","1,856","1,856","1,856",,"1,856","1,856","1,856","1,856"
Total Revenue,,,,"14,605","16,927","18,547","18,585","18,456",,,"4,673","4,462","4,462","4,925","4,653","4,432","4,439","4,950","4,477","4,118"
"Cost of Revenue, Total",,,,"12,791","15,053","15,653","15,559","15,761",,,"3,957","3,720","3,720","4,186","3,978","3,754","3,798","4,139","3,737","3,442"
Gross Profit,,,,"1,814","1,873","2,895","3,027","2,695",,,716.1,741.5,741.5,738.5,674.9,677.3,640.9,810.5,740.1,675.8
"Selling/General/Administrative Expenses, Total",,,,943.8,"1,192","1,598","1,614","1,907",,,403.9,408.9,408.9,445.6,488.7,498.7,486.4,453.4,455.5,484.3
Operating Income,,,,927.2,736.7,"1,410","1,470",856.7,,,331.8,342.7,342.7,308.4,214.0,203.1,167.7,387.6,318.6,223.0
Net Income,,,,571.9,389.0,831.4,907.7,438.8,,,199.2,206.0,206.0,185.6,108.8,91.6,72.2,246.7,192.5,134.0
EBITDA,,,,"1,106",971.2,"1,715","1,792","1,234",,,411.9,423.7,423.7,394.4,308.9,300.9,268.4,487.9,421.4,314.7
Gross Profit Margin,,,,12.4%,11.1%,15.6%,16.3%,14.6%,,,15.3%,16.6%,16.6%,15.0%,14.5%,15.3%,14.4%,16.4%,16.5%,16.4%
Operating Margin,,,,6.3%,4.4%,7.6%,7.9%,4.6%,,,7.1%,7.7%,7.7%,6.3%,4.6%,4.6%,3.8%,7.8%,7.1%,5.4%
Net Profit Margin,,,,3.9%,2.3%,4.5%,4.9%,2.4%,,,4.3%,4.6%,4.6%,3.8%,2.3%,2.1%,1.6%,5.0%,4.3%,3.3%
Return on Assets,,,,,,5.3%,5.6%,2.6%,,,,3.9%,5.2%,4.8%,4.2%,3.5%,5.5%,3.0%,3.4%,3.6%
Return on Equity,,,,0.0%,0.0%,21.8%,19.1%,9.2%,,,0.0%,4.3%,4.3%,3.8%,2.2%,0.0%,1.5%,4.9%,7.1%,2.1%
Return on Total Capital,,,,0.0%,0.0%,14.5%,13.6%,6.2%,,,0.0%,9.8%,12.9%,11.6%,10.2%,0.0%,6.5%,7.2%,12.9%,6.9%
SG&A to Sale,,,,6.5%,7.0%,8.6%,8.7%,10.3%,,,8.6%,9.2%,9.2%,9.0%,10.5%,11.3%,11.0%,9.2%,10.2%,11.8%
Depreciation & Amortisation,,,,179.2,234.5,305.2,322.1,377.2,,,80.0,81.0,81.0,86.0,94.9,97.8,100.7,100.4,102.8,91.6
Tax Rate,,,,20.1%,20.7%,20.2%,19.9%,19.6%,,,19.4%,20.1%,20.1%,20.2%,22.7%,20.7%,16.3%,19.9%,20.7%,3.8%
Current Ratio,,,,,,0.83,0.81,0.76,,,,0.81,0.81,0.81,0.80,,0.76,0.76,0.61,0.91
Quick Ratio,,,,0.00,0.00,0.12,0.099,0.080,,,0.00,0.099,0.099,0.094,0.089,0.00,0.080,0.095,0.074,0.11
Days Inventory Outstanding,,,,,,159.8,159.8,150.9,,,,210.4,159.8,157.4,159.2,158.9,72.7,150.4,159.1,162.6
Days Sale Outstanding,,,,,,23.1,19.2,15.1,,,,25.6,19.4,17.8,17.6,,15.1,19.4,19.2,18.3
Days Payable Outstanding,,,,,,43.7,49.9,49.4,,,,74.0,56.2,54.8,58.3,58.2,21.9,22.0,0.00,0.00
Cash Conversion Cycle,,,,,,139.2,125.1,124.5,,,,162.0,123.0,122.1,114.1,176.6,36.4,167.7,178.5,181.6
Debt to Asset Ratio,,,,,,0.76,0.71,0.71,,,,0.71,0.71,0.70,0.70,,0.71,0.71,0.85,0.65
Debt to Equity Ratio,,,,,,3.09,2.48,2.48,,,,2.48,2.48,2.36,2.37,,2.48,2.49,5.52,1.84
Interest Coverage Ratio,,,,3.98,2.89,4.28,4.64,2.68,,,4.19,4.42,4.42,4.29,2.92,2.33,1.92,5.07,4.20,2.97
Cash and Short Term Investments,,,,,,67.9,105.4,167.2,,,,105.4,105.4,132.5,141.9,,167.2,167.3,133.7,143.2
"Total Receivables, Net",,,,,,"1,175",978.0,765.5,,,,978.0,978.0,905.7,892.6,,765.5,981.3,963.1,903.8
Total Inventory,,,,,,"6,853","6,766","6,269",,,,"6,766","6,766","6,671","6,942",,"6,260","6,657","6,791","6,680"
Total Current Assets,,,,,,"8,143","7,968","7,331",,,,"7,968","7,968","7,793","8,056",,"7,331","7,867","7,960","7,803"
"Property/Plant/Equipment, Total - Net",,,,,,"7,306","8,287","8,866",,,,"8,287","8,287","8,500","8,638",,"8,866","9,179","9,168","9,524"
Total Assets,,,,,,"15,629","16,567","16,675",,,,"16,567","16,567","16,604","17,041",,"16,675","17,611","17,762","17,957"
Accounts Payable,,,,,,"1,875","2,381","1,887",,,,"2,381","2,381","2,297","2,688",,"1,887",,,
Accrued Expenses,,,,,,80.1,87.1,92.9,,,,87.1,87.1,98.9,63.1,,92.9,,,
Debt Due,,,,,,"7,603","6,928","7,428",,,,"6,928","6,928","6,800","7,008",,"7,428","7,260","7,803","6,602"
Total Current Liabilities,,,,,,"9,855","9,877","9,596",,,,"9,877","9,877","9,675","10,086",,"9,596","10,376","13,047","8,543"
Long Term Debt,,,,,,"1,912","1,893","2,250",,,,"1,893","1,893","1,947","1,873",,"2,250","2,144","1,934","3,034"
Total Liabilities,,,,,,"11,813","11,806","11,882",,,,"11,806","11,806","11,657","11,985",,"11,882","12,572","15,036","11,632"
Common Stock,,,,,,"1,000","1,400","1,400",,,,"1,400","1,400","1,400","1,400",,"1,400","1,400","1,400","1,856"
Additional Paid-In Capital,,,,,,,654.7,654.7,,,,654.7,654.7,654.7,654.7,,654.7,654.7,654.7,"3,664"
Retained Earnings (Accumulated Deficit),,,,,,"2,378","3,299","3,330",,,,"3,299","3,299","3,484","2,995",,"3,330","3,577","1,263","1,397"
Shareholders' Equity,,,,,,"3,817","4,761","4,792",,,,"4,761","4,761","4,947","5,055",,"4,792","5,039","2,726","6,325"
Cash from Operating Activities,,,,866.8,288.4,"-1,028","1,990",852.4,,,505.6,489.4,489.4,535.3,136.3,-773.2,90.4,799.3,-203.8,-389.7
Cash from Investing Activities,,,,"-1,173","-1,083",-627.1,"-1,192","-1,246",,,-78.3,-517.6,-517.6,-434.8,-261.1,-184.9,-274.8,-525.0,-162.5,-459.9
Cash from Financing Activities,,,,201.7,846.2,"1,612",-770.6,470.1,,,-419.4,34.1,34.1,-58.4,133.2,"1,009",197.6,-274.2,332.2,858.0
Net Change in Cash,,,,-104.5,51.5,-43.3,27.6,76.9,,,7.74,6.06,6.06,42.1,8.41,50.9,13.2,0.14,-34.1,8.43
Free Cashflows,,,,-390.6,"-1,141","-1,574",841.4,-251.5,,,429.5,-8.84,-8.84,73.9,-89.3,-821.7,-118.1,361.7,-353.3,-848.4
Free Cashflow per Share,,,,,,-0.85,0.45,-0.14,,,,-0.005,-0.005,0.040,-0.048,,-0.064,0.19,-0.19,-0.46
