,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.86,4.66,4.07,5.09,4.73,4.98,4.20,3.01,,,4.92,4.82,4.64,4.65,4.46,3.94,3.73,3.61,3.20,2.60
Earnings per Share,-1.16,-0.27,0.25,0.14,2.28,0.53,0.54,0.25,,,0.15,0.11,0.15,0.15,-0.060,-0.020,0.16,-0.026,0.017,-0.086
Revenue per Share,1.55,2.08,0.52,0.78,3.21,1.45,1.74,1.35,,,0.45,0.40,0.55,0.45,0.25,0.30,0.64,0.15,0.20,0.14
Dividend per Share,,,,0.10,0.30,0.10,0.15,0.15,,,,,0.15,,,,0.15,,,
Capital Expenditures per Share,0.13,0.063,0.037,0.13,0.024,0.053,0.028,0.082,,,0.022,0.001,0.004,0.001,0.023,0.039,0.037,0.012,0.018,0.015
Book Value per Share,9.50,6.20,6.50,6.60,8.54,8.85,9.23,8.16,,,8.92,9.01,9.23,9.33,9.20,9.16,8.16,8.11,7.94,7.84
Price to Earnings Ratio,,,11.4,33.5,2.12,9.07,8.51,14.7,,,7.71,10.3,8.51,7.82,11.7,18.2,15.7,63.2,22.5,33.6
Price to Book Value Ratio,0.30,0.64,0.44,0.67,0.55,0.54,0.49,0.45,,,0.53,0.50,0.49,0.47,0.45,0.38,0.45,0.42,0.38,0.28
EV to EBITDA,-9.07,14.6,-7.25,"1,614",6.12,15.8,10.2,14.2,,,15.1,16.4,10.2,9.38,13.5,17.7,14.2,22.2,17.4,21.3
Dividend Payout Ratio,,,,72.6%,13.2%,18.9%,28.0%,60.1%,,,,,28.0%,,,,63.9%,,,
Common Shares Outstanding,123.5,212.4,247.0,247.0,247.0,247.0,247.0,345.9,,,247.0,247.0,247.0,247.0,247.0,247.0,345.9,345.9,345.9,345.9
Total Revenue,256.1,446.3,129.4,194.1,793.3,359.4,430.0,468.1,,,110.2,98.7,135.7,111.1,61.1,75.0,220.9,52.0,69.5,49.2
"Cost of Revenue, Total",320.5,399.9,190.3,177.7,298.6,265.9,280.7,309.0,,,73.8,68.3,79.3,64.6,78.8,63.1,102.5,65.6,71.9,70.3
Gross Profit,256.1,446.3,129.4,194.1,793.3,359.4,430.0,468.1,,,110.2,98.7,135.7,111.1,61.1,75.0,220.9,52.0,69.5,49.2
"Selling/General/Administrative Expenses, Total",349.8,427.7,222.8,209.9,400.6,318.1,330.0,388.6,,,81.9,76.5,104.2,83.0,87.2,71.8,146.5,74.3,80.7,78.8
Operating Income,-93.6,18.6,-93.3,-15.9,392.7,41.3,100.0,79.5,,,28.3,22.2,31.5,28.1,-26.1,3.20,74.3,-22.2,-11.3,-29.6
Net Income,-143.3,-34.0,74.1,56.4,562.8,130.7,132.3,64.1,,,37.2,26.7,37.0,38.1,-14.8,-4.99,45.8,-9.12,5.78,-29.7
EBITDA,-71.9,38.7,-78.9,2.14,487.5,163.3,221.9,203.0,,,44.9,39.0,103.5,44.5,-9.46,20.1,147.8,-4.33,6.55,-11.7
Gross Profit Margin,134.0%,101.1%,100.0%,101.3%,100.0%,100.0%,100.0%,100.0%,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Operating Margin,-49.0%,4.2%,-72.1%,-8.3%,49.5%,11.5%,23.3%,17.0%,,,25.7%,22.5%,23.2%,25.3%,-42.6%,4.3%,33.7%,-42.8%,-16.2%,-60.3%
Net Profit Margin,-55.9%,-7.6%,57.2%,29.1%,70.9%,36.4%,30.8%,13.7%,,,33.8%,27.1%,27.3%,34.3%,-24.3%,-6.7%,20.7%,-17.5%,8.3%,-60.3%
Return on Assets,-7.9%,-1.9%,3.9%,2.5%,18.6%,3.6%,3.6%,1.6%,,,4.2%,3.1%,3.7%,3.8%,2.4%,1.6%,1.6%,0.4%,0.9%,0.3%
Return on Equity,-12.2%,-2.6%,4.6%,3.5%,26.7%,6.0%,5.8%,2.3%,,,1.7%,1.2%,1.6%,1.7%,-0.7%,-0.2%,1.6%,-0.3%,0.2%,-1.1%
Return on Total Capital,-12.2%,-2.6%,4.6%,2.8%,19.9%,4.4%,4.4%,1.6%,,,4.8%,3.8%,4.4%,4.6%,2.9%,1.8%,1.6%,0.4%,1.0%,0.3%
SG&A to Sale,183.0%,96.9%,172.1%,109.5%,50.5%,88.5%,76.7%,83.0%,,,74.3%,77.5%,76.8%,74.7%,142.6%,95.7%,66.3%,142.8%,116.2%,160.3%
Depreciation & Amortisation,21.7,20.0,14.4,16.8,53.4,64.6,64.4,66.1,,,16.6,16.8,14.5,16.4,16.6,16.9,16.2,17.9,17.8,17.9
Tax Rate,-5.2%,-1694.0%,2.9%,-3.8%,1.5%,5.3%,12.5%,24.2%,,,13.9%,17.3%,14.1%,12.8%,4.2%,25.9%,27.4%,30.7%,-60.4%,11.6%
Current Ratio,0.55,0.97,1.68,0.92,1.11,0.90,1.00,4.14,,,1.27,0.77,1.00,1.05,1.06,2.97,4.14,4.18,6.66,6.16
Quick Ratio,0.067,0.21,0.18,0.16,0.23,0.12,0.37,2.26,,,0.23,0.23,0.37,0.27,0.19,1.69,2.26,2.51,4.66,4.39
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,83.1,83.1,180.3,147.9,65.3,74.6,155.5,484.3,,,76.1,126.0,155.5,120.8,76.2,310.1,484.3,602.8,582.8,626.3
Days Payable Outstanding,36.8,32.1,73.8,80.5,48.9,56.0,52.4,27.4,,,60.2,57.9,50.0,49.6,51.2,53.6,28.1,8.28,8.68,7.44
Cash Conversion Cycle,274.6,24.9,157.1,53.9,0.91,53.1,57.6,305.4,,,15.5,51.6,79.1,84.9,51.5,143.6,360.8,570.0,578.0,617.4
