,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,13.9,20.4,21.7,19.2,,,20.0,26.0,24.3,19.4,20.5,20.0,17.6,19.9,20.6,18.4
Earnings per Share,,,0.45,0.94,1.31,1.10,0.89,1.11,,,0.23,0.098,0.33,0.19,0.19,0.57,0.15,0.25,0.23,0.20
Revenue per Share,,,0.74,1.35,3.65,1.57,1.75,1.72,,,0.52,0.44,0.39,0.40,0.49,0.42,0.41,0.41,0.43,0.40
Dividend per Share,,,0.00,0.00,0.00,0.69,0.61,0.64,,,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,
Capital Expenditures per Share,,,0.00,1.86,0.038,1.53,0.42,0.70,,,0.067,0.057,0.14,0.024,0.42,0.15,0.11,0.42,0.15,0.051
Book Value per Share,,,2.16,2.41,1.97,6.79,7.09,7.58,,,6.98,7.07,7.09,7.37,7.18,7.58,7.58,7.80,7.70,7.73
Price to Earnings Ratio,,,,,,11.5,25.8,15.1,,,20.4,36.1,26.0,23.1,23.7,13.9,15.2,15.2,15.6,20.6
Price to Book Value Ratio,,,,,,1.84,2.91,2.16,,,2.76,3.37,2.91,2.14,3.16,2.00,2.16,2.63,2.37,2.09
EV to EBITDA,,,,,0.00,12.4,25.4,17.8,,,13.0,23.8,25.4,20.7,19.9,19.3,17.8,18.8,21.2,21.5
Dividend Payout Ratio,,,0.0%,0.0%,0.0%,62.7%,68.5%,57.7%,,,19.7%,24.5%,18.1%,18.9%,19.7%,12.5%,14.5%,13.8%,13.4%,
Common Shares Outstanding,,,"1,990","1,990","1,990","1,990","1,992","1,997",,,"1,991","1,992","1,992","1,994","1,997","1,997","1,997","1,997","1,999","1,999"
Total Revenue,,,"1,463","2,692","7,259","3,127","3,484","3,432",,,"1,032",870.8,781.3,802.7,974.8,836.2,818.4,809.8,852.9,791.4
"Cost of Revenue, Total",,,350.6,555.9,"1,498",822.3,968.5,969.1,,,247.5,245.0,254.6,239.6,247.5,254.3,227.8,206.9,223.6,226.2
Gross Profit,,,"1,112","2,136","5,761","2,305","2,515","2,463",,,784.1,625.7,526.7,563.1,727.3,581.9,590.6,602.8,629.3,565.2
"Selling/General/Administrative Expenses, Total",,,15.8,25.2,109.1,600.2,658.9,591.4,,,184.6,180.0,176.5,146.1,134.4,132.7,178.3,144.3,132.4,139.2
Operating Income,,,"1,097","2,110","5,652","1,705","1,856","1,872",,,599.4,445.8,350.3,417.0,592.9,449.3,412.3,458.5,496.9,426.0
Net Income,,,887.3,"1,861","5,154","1,541","1,774","2,219",,,462.5,196.0,661.8,382.0,388.2,"1,139",309.8,491.6,463.8,401.2
EBITDA,,,"1,097","2,540","6,800","2,333","2,589","2,592",,,778.7,625.6,559.6,593.6,770.9,632.4,594.9,611.4,656.8,591.5
Gross Profit Margin,,,76.0%,79.4%,79.4%,73.7%,72.2%,71.8%,,,76.0%,71.9%,67.4%,70.2%,74.6%,69.6%,72.2%,74.4%,73.8%,71.4%
Operating Margin,,,75.0%,78.4%,77.9%,54.5%,53.3%,54.5%,,,58.1%,51.2%,44.8%,52.0%,60.8%,53.7%,50.4%,56.6%,58.3%,53.8%
Net Profit Margin,,,60.7%,69.1%,71.0%,49.3%,50.9%,64.7%,,,44.8%,22.5%,84.7%,47.6%,39.8%,136.2%,37.9%,60.7%,54.4%,50.7%
Return on Assets,,,9.0%,16.8%,43.1%,8.3%,6.2%,7.0%,,,5.6%,4.3%,5.5%,5.3%,4.9%,7.9%,7.0%,7.4%,7.6%,4.8%
Return on Equity,,,20.7%,38.7%,131.1%,11.4%,12.6%,14.7%,,,3.3%,1.4%,4.7%,2.6%,2.7%,7.5%,2.0%,3.2%,3.0%,2.6%
