,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Price Average,0.53,0.51,1.83,2.13,0.53,0.43,,,,,,,,,,,,,
Earnings per Share,-0.39,-0.35,-0.36,0.28,-0.069,-0.47,-0.42,-0.17,,,-0.28,-0.029,-0.022,-0.027,-0.010,-0.067,-0.067,-0.019,-0.019
Revenue per Share,4.20,3.03,3.59,1.28,1.57,1.04,0.22,0.087,,,0.042,0.011,0.099,0.028,0.021,0.019,0.019,0.025,0.025
Dividend per Share,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.004,0.002,0.061,0.033,0.002,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Book Value per Share,1.19,0.66,0.31,0.43,0.37,-0.017,-0.44,-0.60,,,-0.39,-0.42,-0.44,-0.47,-0.48,-0.60,-0.60,-0.64,-0.64
Price to Earnings Ratio,,,,9.84,,,,,,,,,,,,,,,
Price to Book Value Ratio,0.42,0.96,1.15,3.80,1.48,-10.4,,,,,,,,,,,,,
EV to EBITDA,-25.7,"-8,248",369.2,336.1,"-1,237",-0.80,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"1,000","1,003","1,003","2,400","2,400","3,115","3,115","3,115",,,"3,115","3,115","3,115","3,115","3,115","3,115","3,115","3,115","3,115"
Total Revenue,"4,204","3,034","3,599","3,066","3,759","3,229",682.4,269.9,,,131.8,35.5,307.0,86.0,65.0,59.4,59.4,77.8,77.8
"Cost of Revenue, Total","4,193","3,106","3,595","3,046","3,744","3,093",702.4,304.5,,,141.9,37.4,318.1,90.6,70.0,72.0,72.0,80.0,80.0
Gross Profit,10.4,-72.4,4.40,19.2,14.9,136.1,-20.0,-34.6,,,-10.1,-1.86,-11.1,-4.58,-4.97,-12.5,-12.5,-2.17,-2.17
"Selling/General/Administrative Expenses, Total",92.2,89.7,125.6,131.6,94.3,73.9,85.3,67.1,,,17.7,19.8,24.4,29.2,5.74,16.1,16.1,15.3,15.3
Operating Income,-231.0,-134.1,-112.0,-112.3,-76.8,"-1,039","-1,236",-400.8,,,-890.6,-50.2,-32.7,-67.7,40.5,-186.8,-186.8,-16.0,-16.0
Net Income,-389.2,-355.6,-357.9,306.8,-165.1,"-1,145","-1,318",-522.9,,,-882.4,-90.2,-67.3,-84.8,-31.2,-204.0,-204.0,-58.9,-58.9
EBITDA,-108.4,1.44,17.0,28.4,-3.13,-969.6,"-1,169",-338.7,,,-873.8,-33.5,-16.0,-52.1,55.8,-171.2,-171.2,-5.12,-5.12
Gross Profit Margin,0.2%,-2.4%,0.1%,0.6%,0.4%,4.2%,-2.9%,-12.8%,,,-7.7%,-5.2%,-3.6%,-5.3%,-7.6%,-21.1%,-21.1%,-2.8%,-2.8%
Operating Margin,-5.5%,-4.4%,-3.1%,-3.7%,-2.0%,-32.2%,-181.1%,-148.5%,,,-675.9%,-141.3%,-10.7%,-78.7%,62.4%,-314.4%,-314.4%,-20.6%,-20.6%
Net Profit Margin,-9.3%,-11.7%,-9.9%,10.0%,-4.4%,-35.5%,-193.2%,-193.8%,,,-669.7%,-253.9%,-21.9%,-98.6%,-48.0%,-343.3%,-343.3%,-75.7%,-75.7%
Return on Assets,-9.6%,-8.3%,-8.7%,8.1%,-4.2%,-32.4%,-62.7%,-43.7%,,,-113.6%,-158.1%,-92.2%,-81.2%,-20.1%,-33.1%,-53.8%,-50.8%,-53.3%
Return on Equity,-32.7%,-53.9%,-114.4%,29.4%,-18.8%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Return on Total Capital,-19.2%,-32.2%,-22.4%,12.7%,-4.7%,2123.2%,96.1%,27.8%,,,190.0%,181.0%,96.1%,77.2%,18.4%,20.6%,27.9%,24.9%,26.3%
SG&A to Sale,2.2%,3.0%,3.5%,4.3%,2.5%,2.3%,12.5%,24.9%,,,13.5%,55.7%,7.9%,33.9%,8.8%,27.0%,27.0%,19.6%,19.6%
Depreciation & Amortisation,122.7,135.5,129.0,140.7,73.7,68.9,67.0,62.1,,,16.8,16.7,16.8,15.6,15.3,15.7,15.7,10.9,10.9
Tax Rate,0.0%,5.1%,6.9%,-0.1%,2.7%,0.5%,0.7%,1.7%,,,0.3%,2.7%,3.2%,2.3%,6.0%,1.1%,1.1%,2.7%,2.7%
Current Ratio,1.24,0.96,1.26,3.08,7.10,0.72,0.21,0.052,,,0.25,0.22,0.21,0.19,0.19,0.052,0.052,0.20,0.20
Quick Ratio,0.72,0.72,0.87,1.63,4.29,0.52,0.12,0.034,,,0.040,0.013,0.12,0.13,0.13,0.034,0.034,0.029,0.029
Days Inventory Outstanding,31.5,49.9,52.7,87.9,78.2,62.3,106.3,71.6,,,67.7,110.8,118.8,53.6,52.3,31.4,36.5,42.4,45.4
Days Sale Outstanding,116.8,227.2,167.0,155.1,191.0,151.0,173.5,129.2,,,19.0,10.1,173.5,224.4,269.7,67.4,129.2,118.2,112.7
Days Payable Outstanding,36.3,61.9,59.3,46.1,19.6,25.5,99.4,88.7,,,42.1,48.6,75.0,94.7,114.2,54.9,0.00,120.7,233.5
Cash Conversion Cycle,132.2,174.5,176.2,240.6,217.7,222.1,483.7,361.5,,,141.2,89.2,139.9,178.6,205.3,197.0,168.5,-68.1,-70.8
Debt to Asset Ratio,0.63,0.77,0.85,0.63,0.74,0.95,1.91,2.96,,,1.72,1.84,1.91,2.04,2.06,2.96,2.96,3.08,3.08
Debt to Equity Ratio,2.27,4.99,10.8,2.17,3.62,-49.3,-1.98,-1.54,,,-2.19,-2.03,-1.98,-1.89,-1.89,-1.54,-1.54,-1.52,-1.52
Interest Coverage Ratio,,,,,,,,,,,,,,,0.84,,,,
Cash and Short Term Investments,14.7,8.14,4.90,297.1,526.5,181.9,128.6,18.9,,,165.0,152.0,128.6,59.6,65.9,18.9,18.9,12.8,12.8
"Total Receivables, Net","1,345","1,889","1,647","1,303","1,967","1,336",324.3,95.5,,,103.2,33.9,324.3,344.5,364.6,95.5,95.5,84.8,84.8
Total Inventory,408.0,441.5,597.1,869.6,735.6,320.1,89.0,30.5,,,371.3,368.3,89.0,83.8,64.2,30.5,30.5,37.8,37.8
Total Current Assets,"2,312","2,512","2,390","2,469","3,259","1,838",552.8,147.2,,,639.5,554.2,552.8,503.4,511.8,147.2,147.2,603.1,603.1
"Property/Plant/Equipment, Total - Net","1,697","1,566","1,504",887.7,819.9,752.4,686.9,648.9,,,719.9,703.5,686.9,671.6,679.5,648.9,648.9,212.5,212.5
Total Assets,"4,318","4,287","3,961","3,578","4,286","2,782","1,419",974.8,,,"1,546","1,441","1,419","1,352","1,366",974.8,974.8,987.2,987.2
Accounts Payable,449.5,604.0,563.9,205.7,197.3,234.4,148.0,,,,183.6,140.6,148.0,157.1,165.7,,,194.4,194.4
Accrued Expenses,60.9,289.1,188.6,50.9,22.3,22.1,125.2,,,,58.3,90.1,125.2,152.2,184.4,,,308.8,308.8
Debt Due,"1,284","1,690","1,104",491.9,199.9,"2,289","2,339","2,283",,,"2,308","2,324","2,339","2,355","2,372","2,283","2,283","2,447","2,447"
Total Current Liabilities,"1,857","2,621","1,899",800.8,458.8,"2,565","2,632","2,816",,,"2,575","2,570","2,632","2,681","2,739","2,816","2,816","2,970","2,970"
Long Term Debt,842.0,446.4,"1,282","1,366","2,619",,,,,,,,,,,,,,
Total Liabilities,"2,703","3,293","3,381","2,267","3,173","2,656","2,713","2,887",,,"2,662","2,654","2,713","2,760","2,815","2,887","2,887","3,042","3,042"
Common Stock,"1,000","1,003","1,003","2,400","2,400","3,115","3,115","3,115",,,"3,115","3,115","3,115","3,115","3,115","3,115","3,115","3,115","3,115"
Additional Paid-In Capital,415.4,414.0,414.0,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-255.7,-819.8,"-1,178",-868.8,"-1,034","-2,180","-3,498","-4,007",,,"-3,341","-3,431","-3,498","-3,583","-3,613","-4,007","-4,007","-4,129","-4,129"
Shareholders' Equity,"1,190",659.4,312.9,"1,043",877.6,-53.9,"-1,372","-1,881",,,"-1,214","-1,305","-1,372","-1,457","-1,487","-1,881","-1,881","-2,003","-2,003"
Cash from Operating Activities,600.3,-80.9,81.7,-490.5,-554.7,124.2,-20.3,-112.1,,,-6.80,-14.1,-23.0,-69.3,6.16,-24.5,-24.5,-2.06,-2.06
Cash from Investing Activities,-808.7,64.9,38.9,458.4,-28.8,1.15,1.37,3.03,,,0.89,0.099,0.58,0.29,0.20,1.27,1.27,-0.38,-0.38
Cash from Financing Activities,203.9,9.47,-123.6,324.2,812.9,-469.9,-34.3,-0.62,,,-0.071,1.00,-1.02,-0.006,-0.007,-0.30,-0.30,-0.63,-0.63
Net Change in Cash,-4.43,-6.49,-3.03,292.2,229.4,-344.6,-53.3,-109.6,,,-5.97,-13.0,-23.4,-69.0,6.36,-23.5,-23.5,-3.07,-3.07
Free Cashflows,596.0,-83.3,20.5,-568.6,-559.1,123.4,-21.0,-112.3,,,-6.99,-14.2,-23.0,-69.3,6.16,-24.6,-24.6,-2.48,-2.48
Free Cashflow per Share,0.60,-0.083,0.020,-0.24,-0.23,0.040,-0.007,-0.036,,,-0.002,-0.005,-0.007,-0.022,0.002,-0.008,-0.008,-0.001,-0.001
