,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,159.5,178.3,176.5,157.8,150.0,158.8,147.8,132.8,,,156.0,157.8,153.8,141.8,145.5,143.0,134.5,139.3,132.8,121.0
Earnings per Share,10.2,11.5,14.8,15.7,13.9,14.0,12.7,11.8,,,3.50,2.98,2.71,3.34,3.27,3.09,2.08,2.69,3.23,4.35
Revenue per Share,26.7,30.3,36.3,37.7,40.4,39.2,40.1,40.7,,,10.00,10.2,10.1,10.4,10.1,10.2,9.94,10.2,10.6,17.8
Dividend per Share,3.50,4.50,5.25,6.00,5.50,5.50,5.50,5.50,,,1.50,0.00,4.00,,1.50,0.00,4.00,,1.50,0.00
Capital Expenditures per Share,0.85,0.93,0.47,0.38,0.77,0.96,1.70,0.69,,,0.20,0.34,1.00,0.16,0.19,0.13,0.20,0.064,-0.013,0.12
Book Value per Share,54.1,62.9,72.5,83.9,90.5,98.3,106.9,111.8,,,102.0,104.3,106.9,109.7,108.0,109.7,111.8,115.2,116.1,116.3
Price to Earnings Ratio,12.7,15.4,10.3,10.8,9.98,11.0,11.7,11.4,,,10.6,11.1,11.7,10.6,12.0,11.2,11.4,11.6,11.1,9.79
Price to Book Value Ratio,2.65,2.86,2.17,2.12,1.56,1.66,1.34,1.18,,,1.50,1.44,1.34,1.08,1.38,1.22,1.18,1.21,1.02,1.05
EV to EBITDA,6.26,9.43,5.35,5.24,3.77,4.07,4.31,1.12,,,2.28,3.05,4.31,2.18,2.28,1.28,1.12,2.79,2.20,-0.85
Dividend Payout Ratio,34.2%,39.0%,35.5%,38.2%,39.6%,39.3%,43.3%,46.7%,,,10.6%,0.0%,31.5%,,12.2%,0.0%,33.9%,,13.5%,0.0%
Common Shares Outstanding,"3,399","3,399","3,399","3,399","3,399","3,399","3,399","3,399",,,"3,399","3,399","3,399","3,399","3,399","3,399","3,399","3,399","3,399","3,399"
Total Revenue,"84,146","93,589","109,890","114,916","107,535","110,806","111,146","114,202",,,"28,970","27,137","26,863","30,367","29,336","29,588","24,911","29,150","30,132","45,178"
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,"84,146","93,589","109,890","114,916","107,535","110,806","111,146","114,202",,,"28,970","27,137","26,863","30,367","29,336","29,588","24,911","29,150","30,132","45,178"
"Selling/General/Administrative Expenses, Total","17,606","18,841","21,489","22,048","22,474","24,694","34,288","38,204",,,"7,038","6,878","13,485","7,474","7,334","7,323","16,073","9,235","7,779","7,802"
Operating Income,"47,262","51,187","62,574","66,827","58,738","59,162","53,496","49,563",,,"14,713","12,616","11,454","14,137","13,557","13,088","8,782","11,315","13,475","27,616"
Net Income,"34,783","39,235","50,233","53,335","47,182","47,612","43,152","40,068",,,"11,911","10,130","9,199","11,364","11,111","10,508","7,084","9,157","10,976","14,798"
EBITDA,"49,554","53,471","64,306","69,103","60,997","61,360","55,997","52,682",,,"15,138","13,725","11,668","15,192","13,995","14,998","8,497","12,676","13,716","30,415"
Gross Profit Margin,92.7%,90.9%,89.0%,89.7%,78.3%,83.1%,81.6%,82.6%,,,85.3%,78.2%,78.2%,85.8%,85.4%,85.2%,73.7%,84.3%,83.6%,74.7%
Operating Margin,52.1%,49.7%,50.7%,52.2%,42.8%,44.4%,39.3%,35.9%,,,43.3%,36.4%,33.3%,40.0%,39.5%,37.7%,26.0%,32.7%,37.4%,45.7%
Net Profit Margin,41.3%,41.9%,45.7%,46.4%,43.9%,43.0%,38.8%,35.1%,,,41.1%,37.3%,34.2%,37.4%,37.9%,35.5%,28.4%,31.4%,36.4%,32.8%
Return on Assets,2.1%,1.9%,2.1%,2.0%,1.7%,1.7%,1.5%,1.3%,,,1.6%,1.6%,1.4%,1.4%,1.4%,1.4%,1.3%,1.2%,1.2%,1.3%
Return on Equity,18.9%,18.4%,20.4%,18.7%,15.3%,14.3%,11.9%,10.5%,,,3.4%,2.9%,2.5%,3.0%,3.0%,2.8%,1.9%,2.3%,2.8%,3.7%
Return on Total Capital,14.2%,12.0%,14.9%,13.4%,11.4%,11.9%,9.9%,9.3%,,,11.9%,11.3%,9.9%,9.5%,10.0%,9.0%,9.3%,7.2%,8.0%,8.6%
SG&A to Sale,19.4%,18.3%,17.4%,17.2%,16.4%,18.5%,25.2%,27.6%,,,20.7%,19.8%,39.3%,21.1%,21.4%,21.1%,47.6%,26.7%,21.6%,12.9%
Depreciation & Amortisation,"2,291","2,281","1,732","2,275","2,256","2,198","2,500","3,118",,,425.8,"1,109",213.0,"1,055",438.2,"1,910",-285.5,"1,361",241.5,"2,800"
Tax Rate,26.7%,22.8%,18.9%,19.7%,19.6%,19.4%,19.2%,19.1%,,,18.9%,19.6%,19.6%,19.5%,17.9%,19.7%,19.4%,19.0%,18.8%,46.6%
Current Ratio,0.16,0.16,0.17,0.21,0.19,0.18,0.20,0.21,,,0.21,0.21,0.20,0.22,0.21,0.25,0.21,0.23,0.32,0.27
Quick Ratio,0.098,0.10,0.093,0.15,0.13,0.12,0.14,0.16,,,0.16,0.15,0.14,0.16,0.15,0.20,0.16,0.16,0.14,0.20
Days Inventory Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,81.6,75.3,37.1,41.4,31.7,22.9,28.5,29.8,,,24.7,,28.5,,17.0,,29.8,,21.0,
Days Payable Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,118.3,73.6,49.9,38.6,35.2,27.8,25.5,29.0,,,12.4,12.3,14.3,14.0,8.51,8.50,14.9,15.0,10.5,8.85
Debt to Asset Ratio,0.90,0.91,0.90,0.89,0.89,0.89,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87
Debt to Equity Ratio,9.05,9.61,9.28,8.46,8.02,7.72,7.32,7.38,,,7.66,7.32,7.32,7.19,7.44,7.31,7.38,7.17,7.27,6.54
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"194,510","242,680","300,563","405,050","378,435","385,211","417,223","480,119",,,"460,276","416,794","417,223","454,678","458,448","530,457","480,119","480,235","496,948","591,991"
"Total Receivables, Net","20,292","21,240","12,543","14,530","11,938","8,351","10,648","11,295",,,"9,070",,"10,648",,"6,468",,"11,295",,"7,992",
Total Inventory,"11,700","9,324","9,650","9,721","10,558","11,450","10,888","11,761",,,"11,309","11,214","10,888",,"11,449",,"11,761",,"14,014",
Total Current Assets,"232,667","280,089","329,611","441,639","412,187","415,314","447,656","513,171",,,"489,903","431,576","447,656","470,130","485,208","546,682","513,171","499,050","881,117","612,036"
