,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.35,0.28,0.76,0.50,0.18,0.060,0.035,0.025,,,0.045,0.040,0.035,0.030,0.030,0.030,0.030,0.025,0.025,0.025
Earnings per Share,0.007,-0.069,-0.005,-0.001,-0.001,0.004,-0.002,0.000,,,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.000
Revenue per Share,0.63,0.35,0.052,0.009,0.003,0.005,0.019,0.035,,,0.002,0.008,0.008,0.008,0.008,0.008,0.011,0.013,0.011,0.012
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Book Value per Share,0.11,0.037,0.031,0.047,0.047,0.051,0.049,0.049,,,0.050,0.049,0.049,0.049,0.049,0.049,0.049,0.051,0.046,0.046
Price to Earnings Ratio,22.0,,,,,13.9,,70.7,,,14.2,,,,,,70.9,43.3,,
Price to Book Value Ratio,1.49,8.35,11.3,4.64,4.07,1.18,0.41,0.40,,,0.60,0.61,0.41,0.41,0.41,0.41,0.40,0.39,0.22,0.43
EV to EBITDA,18.6,-4.38,-34.3,-844.0,-57.2,-28.2,-16.7,112.1,,,-18.3,-17.8,-16.7,-10.3,-39.6,-98.4,112.1,32.3,19.4,63.6
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"1,833","1,833","1,833","19,833","19,834","19,834","29,850","29,850",,,"29,848","29,850","29,850","29,850","29,850","29,850","29,850","29,850","29,850","29,850"
Total Revenue,"1,155",647.8,96.2,170.4,61.4,102.2,577.4,"1,034",,,59.5,241.6,236.9,235.8,228.3,236.2,333.5,387.1,336.0,352.7
"Cost of Revenue, Total","1,130",640.4,95.5,169.1,60.4,104.4,547.1,992.9,,,55.5,234.5,223.6,215.3,227.8,228.8,320.9,367.1,331.5,338.9
Gross Profit,25.1,7.41,0.68,1.34,1.00,-2.13,30.4,40.8,,,3.91,7.11,13.3,20.4,0.51,7.38,12.5,20.0,4.51,13.8
