,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.30,8.50,18.6,27.4,26.6,49.5,52.9,51.5,,,40.5,57.4,57.5,40.0,43.5,50.0,52.3,57.3,54.3,48.3
Earnings per Share,0.018,0.029,0.072,0.43,0.72,0.87,1.02,1.33,,,0.26,0.26,0.24,0.52,0.26,0.34,0.21,0.32,0.39,0.45
Revenue per Share,1.46,1.20,1.06,2.03,2.47,2.79,3.10,3.10,,,0.79,0.83,0.78,0.79,0.78,0.79,0.74,0.83,0.97,1.10
Dividend per Share,0.023,0.008,0.020,0.020,0.10,0.15,0.20,0.25,,,,,0.20,,,,0.25,,,
Capital Expenditures per Share,0.12,0.25,1.72,2.31,3.08,2.20,0.94,1.55,,,0.20,0.36,0.27,0.58,0.29,0.42,0.26,2.44,0.44,0.49
Book Value per Share,0.26,0.31,1.17,1.58,2.28,3.05,3.93,4.86,,,3.42,3.69,3.93,4.46,4.38,4.72,4.86,5.17,5.29,5.74
Price to Earnings Ratio,,237.2,127.4,70.1,29.4,28.7,65.7,35.8,,,40.3,45.2,65.7,30.3,30.1,35.1,35.9,47.5,37.7,31.4
Price to Book Value Ratio,,26.3,8.47,16.0,9.78,9.09,11.1,9.87,,,11.2,14.2,11.1,7.35,11.0,9.01,9.87,10.8,9.07,7.63
EV to EBITDA,0.00,148.0,84.2,44.0,25.4,24.0,43.2,29.0,,,27.5,29.7,43.2,23.9,23.5,30.3,29.0,33.8,29.8,21.4
Dividend Payout Ratio,129.9%,29.2%,27.7%,4.6%,13.9%,17.2%,19.5%,18.7%,,,,,19.5%,,,,18.8%,,,
Common Shares Outstanding,"3,730","3,730","3,730","3,730","3,730","3,730","3,730","3,730",,,"3,730","3,730","3,730","3,730","3,730","3,730","3,730","3,730","3,730","3,730"
Total Revenue,"5,431","4,479","3,936","7,583","9,197","10,392","11,580","11,563",,,"2,933","3,097","2,904","2,929","2,906","2,960","2,767","3,086","3,614","4,103"
"Cost of Revenue, Total","5,193","4,206","3,458","5,346","5,461","5,637","6,046","5,668",,,"1,563","1,622","1,534","1,455","1,379","1,366","1,468","1,484","1,661","1,814"
Gross Profit,238.8,273.4,478.8,"2,237","3,736","4,755","5,534","5,895",,,"1,370","1,475","1,370","1,474","1,527","1,594","1,300","1,602","1,953","2,289"
"Selling/General/Administrative Expenses, Total",160.1,136.9,197.4,297.4,386.3,457.9,667.0,804.5,,,144.9,168.9,210.6,187.2,282.3,186.7,148.3,216.6,308.7,189.2
Operating Income,78.7,136.6,281.4,"1,939","3,350","4,297","4,867","5,091",,,"1,225","1,306","1,159","1,287","1,245","1,408","1,151","1,385","1,644","2,100"
Net Income,63.0,107.0,266.8,"1,608","2,687","3,252","3,817","4,975",,,966.3,976.1,895.6,"1,947",984.9,"1,275",769.0,"1,211","1,442","1,679"
EBITDA,129.6,198.4,409.0,"2,353","4,102","5,437","6,430","7,014",,,"1,583","1,744","1,610","1,728","1,705","1,874","1,640","1,920","2,278","2,836"
Gross Profit Margin,4.4%,6.1%,12.2%,29.5%,40.6%,45.8%,47.8%,51.0%,,,46.7%,47.6%,47.2%,50.3%,52.5%,53.9%,47.0%,51.9%,54.0%,55.8%
Operating Margin,1.4%,3.0%,7.1%,25.6%,36.4%,41.3%,42.0%,44.0%,,,41.8%,42.2%,39.9%,43.9%,42.8%,47.5%,41.6%,44.9%,45.5%,51.2%
Net Profit Margin,1.2%,2.4%,6.8%,21.2%,29.2%,31.3%,33.0%,43.0%,,,32.9%,31.5%,30.8%,66.5%,33.9%,43.1%,27.8%,39.2%,39.9%,40.9%
Return on Assets,4.5%,5.0%,3.8%,10.4%,10.3%,8.7%,8.9%,9.6%,,,8.1%,8.7%,8.7%,10.4%,10.0%,9.7%,8.6%,7.0%,7.5%,7.8%
Return on Equity,6.4%,9.4%,6.1%,27.3%,31.6%,28.6%,26.0%,27.4%,,,7.6%,7.1%,6.1%,11.7%,6.0%,7.2%,4.2%,6.3%,7.3%,7.8%
Return on Total Capital,5.4%,6.0%,2.8%,9.6%,9.6%,8.7%,9.3%,11.2%,,,9.2%,9.7%,9.3%,11.1%,11.2%,11.9%,11.2%,8.4%,9.2%,9.0%
SG&A to Sale,2.9%,3.1%,5.0%,3.9%,4.2%,4.4%,5.8%,7.0%,,,4.9%,5.5%,7.3%,6.4%,9.7%,6.3%,5.4%,7.0%,8.5%,4.6%
Depreciation & Amortisation,50.9,61.8,127.6,413.7,735.0,"1,114","1,526","1,829",,,357.5,437.5,414.3,441.3,459.9,466.0,464.8,506.9,626.4,682.9
Tax Rate,0.0%,0.0%,5.2%,1.3%,1.0%,-0.2%,-1.1%,0.6%,,,-0.1%,-0.1%,-4.6%,-0.5%,-0.9%,0.8%,3.9%,-0.7%,0.2%,-0.4%
Current Ratio,1.19,0.61,1.28,0.87,1.04,1.73,2.71,0.65,,,1.77,1.88,2.71,2.65,1.77,0.67,0.65,0.73,0.81,1.58
Quick Ratio,0.40,0.28,0.31,0.30,0.31,0.52,0.88,0.17,,,0.53,0.62,0.88,0.95,0.60,0.21,0.17,0.30,0.32,0.41
Days Inventory Outstanding,11.9,14.7,20.1,12.5,10.8,11.7,9.51,14.7,,,11.2,12.1,9.70,11.0,16.6,18.3,19.5,21.0,24.6,29.8
Days Sale Outstanding,14.0,17.5,53.3,38.2,55.0,64.1,71.7,68.5,,,69.9,69.8,71.7,76.9,75.1,73.7,68.5,78.2,90.5,86.0
Days Payable Outstanding,3.59,6.49,8.67,6.83,5.78,4.89,4.62,7.78,,,4.78,5.94,5.75,6.24,6.89,8.03,9.53,9.25,12.7,13.7
Cash Conversion Cycle,22.5,28.0,45.8,47.3,65.0,95.3,112.2,127.8,,,120.8,120.9,119.6,127.7,139.6,138.5,135.0,140.6,155.6,171.8
Debt to Asset Ratio,0.41,0.55,0.62,0.69,0.74,0.73,0.67,0.67,,,0.70,0.68,0.67,0.63,0.65,0.67,0.67,0.66,0.67,0.66
Debt to Equity Ratio,0.72,1.23,1.63,2.28,2.89,2.65,2.03,2.19,,,2.36,2.12,2.03,1.81,1.93,2.13,2.19,2.12,2.15,2.09
Interest Coverage Ratio,4.48,4.64,4.58,5.92,5.20,4.33,4.11,4.71,,,4.32,3.95,3.62,4.46,4.33,4.79,5.44,5.27,4.83,5.49
Cash and Short Term Investments,181.3,67.3,"1,572","1,268",609.8,"2,673","4,506","5,479",,,"3,063","3,079","4,506","4,029","4,254","4,611","5,479","3,254","4,137","8,536"
"Total Receivables, Net",208.5,214.5,575.3,793.5,"1,386","1,824","2,274","2,169",,,"1,993","2,095","2,274","2,498","2,435","2,363","2,169","2,511","3,081","3,197"
Total Inventory,178.5,161.1,220.4,147.0,175.3,187.0,127.9,330.0,,,177.2,194.5,127.9,243.1,300.2,274.8,330.0,327.2,478.5,570.8
Total Current Assets,624.6,466.8,"2,402","2,270","4,665","6,132","7,022","8,150",,,"6,591","6,313","7,022","6,973","7,195","7,444","8,150","6,125","7,717","12,327"
"Property/Plant/Equipment, Total - Net",927.7,"1,896","8,093","16,184","27,404","33,485","35,220","47,587",,,"34,139","34,490","35,220","37,040","38,060","45,123","47,587","51,324","51,179","50,870"
Total Assets,"1,725","2,545","11,466","19,327","33,057","41,507","44,530","59,208",,,"42,942","43,011","44,530","47,580","48,749","56,036","59,208","61,540","63,470","67,789"
Accounts Payable,102.2,47.5,116.7,83.5,89.3,61.6,91.4,150.2,,,83.2,99.7,91.4,119.7,106.5,145.8,150.2,138.7,276.9,204.4
Accrued Expenses,25.2,14.9,26.5,100.8,138.8,267.8,370.3,392.4,,,250.4,230.5,370.3,431.4,294.0,418.2,392.4,,,
Debt Due,261.7,561.4,851.5,"1,196","2,851","2,598","1,313","3,081",,,"2,711","2,746","1,313","1,264","2,556","3,418","3,081","3,610","5,820","5,490"
Total Current Liabilities,524.8,767.5,"1,877","2,621","4,489","3,538","2,587","12,503",,,"3,726","3,352","2,587","2,628","4,073","11,116","12,503","8,367","9,586","7,806"
Long Term Debt,182.3,634.6,"5,225","10,805","19,375","25,780","26,386","26,145",,,"25,217","24,760","26,386","26,377","26,366","25,365","26,145","31,005","31,061","35,083"
Total Liabilities,708.0,"1,403","7,103","13,429","24,547","30,118","29,787","39,690",,,"30,171","29,160","29,787","30,045","31,480","37,522","39,690","40,912","42,431","44,677"
Common Stock,305.0,317.0,373.0,373.0,373.0,373.0,373.0,373.0,,,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0
Additional Paid-In Capital,578.1,746.1,"3,681","3,681","3,681","3,681","3,681","3,681",,,"3,681","3,681","3,681","3,681","3,681","3,681","3,681","3,681","3,681","3,681"
Retained Earnings (Accumulated Deficit),101.8,123.4,352.9,"1,887","4,498","7,377","10,635","14,864",,,"8,763","9,739","10,635","12,581","12,820","14,095","14,864","16,075","16,585","18,263"
Shareholders' Equity,984.9,"1,140","4,360","5,893","8,505","11,383","14,668","18,139",,,"12,764","13,774","14,668","16,627","16,341","17,597","18,139","19,288","19,731","21,401"
Cash from Operating Activities,188.4,142.9,171.5,"2,107","3,456","4,951","6,221","7,193",,,"1,662","1,672","1,595","1,663","1,658","2,238","1,633","1,739","1,748","2,402"
Cash from Investing Activities,-544.3,"-1,100","-6,431","-7,932","-12,911","-7,835","-2,123","-5,567",,,-697.0,-944.3,-123.4,"-1,877","-1,906",-743.5,"-1,040","-9,139","-1,802","-1,866"
