,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,41.0,51.5,58.3,53.3,47.6,45.9,33.3,25.3,,,46.0,41.9,36.5,34.9,34.5,31.9,29.1,28.9,23.9,21.6
Earnings per Share,2.02,2.20,2.58,1.56,2.41,3.00,2.13,2.92,,,0.72,-0.15,1.02,1.03,0.72,0.58,0.58,0.75,0.60,0.84
Revenue per Share,21.5,23.9,27.4,36.2,32.5,32.6,32.9,31.6,,,6.65,8.98,8.10,9.45,6.61,8.85,6.59,7.60,6.13,8.12
Dividend per Share,0.51,0.51,0.65,0.50,0.64,0.75,0.54,0.72,,,0.32,0.00,0.22,,0.32,0.00,0.40,,0.32,0.00
Capital Expenditures per Share,0.026,0.043,0.052,0.074,0.14,0.40,0.14,0.064,,,0.036,0.042,0.019,0.015,0.020,0.019,0.010,0.005,0.023,0.032
Book Value per Share,7.99,11.5,13.1,15.1,15.8,19.5,22.7,22.5,,,20.5,21.1,22.7,23.2,22.4,23.7,22.5,24.8,26.1,26.5
Price to Earnings Ratio,15.9,21.2,17.9,32.7,17.1,16.3,16.0,9.77,,,16.4,16.8,16.1,13.2,12.5,9.22,9.77,10.4,8.16,7.88
Price to Book Value Ratio,4.29,4.63,3.74,3.39,2.46,2.64,1.41,1.22,,,2.18,1.67,1.41,1.33,1.45,1.11,1.22,1.09,0.78,0.78
EV to EBITDA,11.2,16.7,13.5,24.9,15.0,11.2,14.5,6.47,,,11.5,11.8,14.5,11.2,10.2,7.84,6.47,8.06,8.18,4.06
Dividend Payout Ratio,25.5%,23.4%,25.2%,31.8%,26.6%,25.0%,25.3%,24.7%,,,11.5%,0.0%,10.4%,,12.2%,0.0%,13.7%,,12.7%,0.0%
Common Shares Outstanding,"1,680","1,687","1,696","1,698","1,704","1,706","1,708","1,708",,,"1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708"
Total Revenue,"36,094","40,333","46,435","61,547","55,332","55,583","56,213","53,905",,,"11,349","15,342","13,833","16,144","11,286","15,110","11,253","12,980","10,464","13,857"
"Cost of Revenue, Total","29,575","33,602","38,914","56,010","48,119","47,041","49,515","45,484",,,"9,256","15,087","11,182","13,368","9,144","13,379","9,558","11,014","8,923","11,505"
Gross Profit,"6,519","6,730","7,522","5,537","7,214","8,542","6,698","8,421",,,"2,093",254.9,"2,651","2,775","2,142","1,731","1,694","1,966","1,540","2,352"
"Selling/General/Administrative Expenses, Total","1,448","1,680","1,889","1,984","1,790","1,743","1,666","1,771",,,420.2,422.6,453.1,394.6,429.8,547.6,393.0,370.1,425.0,429.8
Operating Income,"4,919","4,878","5,419","3,302","4,824","6,165","4,044","5,793",,,"1,505",-412.9,"1,808","2,001","1,504","1,020","1,190","1,386","1,033","1,780"
Net Income,"3,417","3,724","4,381","2,650","4,108","5,110","3,635","4,970",,,"1,224",-260.6,"1,748","1,756","1,230",996.0,987.6,"1,286","1,016","1,430"
EBITDA,"4,996","4,951","5,485","3,363","4,889","6,241","4,126","5,884",,,"1,505",-393.3,"1,833","2,001","1,504","1,020","1,213","1,407","1,054","1,801"
Gross Profit Margin,18.1%,16.7%,16.2%,9.0%,13.0%,15.4%,11.9%,15.6%,,,18.4%,1.7%,19.2%,17.2%,19.0%,11.5%,15.1%,15.1%,14.7%,17.0%
Operating Margin,13.6%,12.1%,11.7%,5.4%,8.7%,11.1%,7.2%,10.7%,,,13.3%,-2.7%,13.1%,12.4%,13.3%,6.8%,10.6%,10.7%,9.9%,12.8%
Net Profit Margin,9.5%,9.2%,9.4%,4.3%,7.4%,9.2%,6.5%,9.2%,,,10.8%,-1.7%,12.6%,10.9%,10.9%,6.6%,8.8%,9.9%,9.7%,10.3%
