,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.3,28.2,25.3,26.1,21.9,23.2,22.3,20.5,,,23.2,24.1,23.8,21.9,21.4,20.3,19.3,19.1,21.0,21.2
Earnings per Share,-0.024,0.098,0.76,1.89,2.37,2.50,2.73,2.70,,,0.63,0.59,0.78,0.74,0.68,0.55,0.74,0.71,0.67,0.59
Revenue per Share,1.16,2.17,2.94,4.72,5.41,5.90,6.50,6.09,,,1.35,1.31,2.47,1.56,1.58,1.25,1.70,1.38,1.30,1.22
Dividend per Share,,,,0.85,1.25,1.10,1.15,1.20,,,0.50,0.00,0.65,,0.55,0.00,0.65,,0.50,0.00
Capital Expenditures per Share,3.55,10.8,9.93,1.47,0.22,0.086,0.097,0.014,,,0.064,0.023,0.007,0.003,0.005,0.003,0.003,0.004,0.003,0.005
Book Value per Share,1.14,3.33,3.14,6.26,7.76,8.98,10.5,12.6,,,9.62,9.74,10.5,11.8,11.8,11.8,12.6,13.3,13.3,13.4
Price to Earnings Ratio,,270.4,24.9,16.0,9.15,8.98,8.97,7.07,,,7.93,8.17,8.97,7.81,7.46,7.14,7.07,6.72,6.97,7.18
Price to Book Value Ratio,13.4,9.68,6.08,4.35,2.69,2.37,2.07,1.46,,,2.12,2.25,2.07,1.63,1.79,1.53,1.46,1.46,1.55,1.46
EV to EBITDA,62.6,36.5,19.6,11.9,7.68,7.23,7.45,5.93,,,7.17,8.26,7.45,6.72,6.69,6.54,5.93,5.44,5.58,5.91
Dividend Payout Ratio,,,,45.1%,52.7%,43.9%,42.1%,44.4%,,,19.3%,0.0%,23.8%,,19.7%,0.0%,24.1%,,18.7%,0.0%
Common Shares Outstanding,500.0,560.0,840.0,924.0,924.0,924.0,924.0,974.0,,,924.0,924.0,924.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
Total Revenue,578.6,"1,214","2,473","4,357","5,000","5,448","6,008","5,928",,,"1,249","1,212","2,280","1,517","1,540","1,218","1,653","1,342","1,265","1,188"
"Cost of Revenue, Total",305.5,567.6,806.2,"1,167","1,359","1,920","2,303","2,223",,,372.6,394.2,"1,200",567.7,582.7,439.9,632.2,416.1,373.9,387.6
Gross Profit,273.1,646.7,"1,667","3,190","3,641","3,528","3,705","3,706",,,876.5,817.7,"1,080",948.9,957.6,778.3,"1,021",925.5,891.4,800.1
"Selling/General/Administrative Expenses, Total",131.5,267.3,403.3,383.5,406.2,251.8,313.7,335.7,,,74.1,60.6,128.5,73.2,94.7,75.0,92.8,61.2,66.4,68.1
Operating Income,141.6,379.4,"1,263","2,806","3,235","3,277","3,391","3,370",,,802.4,757.1,951.2,875.7,862.9,703.2,928.0,864.4,825.0,732.0
Net Income,-11.8,54.1,499.3,"1,656","2,190","2,314","2,524","2,614",,,581.4,544.7,722.9,700.8,659.8,531.3,721.6,694.4,653.3,575.2
EBITDA,217.2,541.6,"1,609","3,377","3,877","3,918","4,030","4,056",,,960.1,920.8,"1,111","1,036","1,025",867.1,"1,128","1,033",993.0,897.9
Gross Profit Margin,47.2%,53.3%,67.4%,73.2%,72.8%,64.8%,61.7%,62.5%,,,70.2%,67.5%,47.4%,62.6%,62.2%,63.9%,61.8%,69.0%,70.5%,67.4%
Operating Margin,24.5%,31.2%,51.1%,64.4%,64.7%,60.1%,56.4%,56.8%,,,64.2%,62.5%,41.7%,57.7%,56.0%,57.7%,56.1%,64.4%,65.2%,61.6%
Net Profit Margin,-2.0%,4.5%,20.2%,38.0%,43.8%,42.5%,42.0%,44.1%,,,46.5%,44.9%,31.7%,46.2%,42.8%,43.6%,43.7%,51.8%,51.6%,48.4%
Return on Assets,-0.3%,0.6%,2.8%,6.9%,8.7%,9.5%,10.7%,11.4%,,,9.7%,10.1%,10.7%,10.5%,10.4%,10.5%,11.0%,11.3%,11.3%,11.5%
Return on Equity,-2.1%,2.9%,18.9%,28.6%,30.5%,27.9%,26.0%,21.4%,,,6.5%,6.1%,7.4%,6.1%,5.7%,4.6%,5.9%,5.4%,5.0%,4.4%
Return on Total Capital,-0.4%,0.7%,2.8%,7.8%,10.7%,12.2%,14.5%,14.5%,,,12.6%,12.8%,14.5%,13.0%,13.8%,13.7%,14.5%,13.9%,13.9%,14.0%
SG&A to Sale,22.7%,22.0%,16.3%,8.8%,8.1%,4.6%,5.2%,5.7%,,,5.9%,5.0%,5.6%,4.8%,6.1%,6.2%,5.6%,4.6%,5.2%,5.7%
Depreciation & Amortisation,75.6,162.1,345.8,568.7,639.9,638.6,636.9,683.7,,,157.7,163.7,157.8,160.4,162.1,163.8,197.3,168.2,167.9,165.9
Tax Rate,70.0%,13.5%,9.1%,-0.5%,-3.0%,0.4%,2.2%,2.1%,,,2.1%,2.3%,4.4%,2.6%,2.3%,1.8%,1.5%,0.8%,1.4%,1.5%
Current Ratio,0.38,0.32,0.60,1.69,1.75,1.31,1.01,1.37,,,1.15,1.15,1.01,1.45,1.26,1.31,1.37,1.75,2.45,2.49
Quick Ratio,0.16,0.21,0.26,1.39,1.64,1.03,0.74,1.01,,,0.89,0.84,0.74,1.12,0.93,0.95,1.01,1.38,1.99,2.02
Days Inventory Outstanding,18.5,27.2,163.5,171.3,86.5,75.8,102.2,132.6,,,135.6,152.7,130.2,133.4,148.3,144.4,166.5,154.9,160.5,162.1
Days Sale Outstanding,166.4,255.2,140.2,99.1,75.1,70.5,98.7,78.9,,,68.7,73.5,98.7,98.7,90.7,69.5,78.9,74.0,69.3,68.6
Days Payable Outstanding,36.6,86.6,272.1,169.4,23.4,74.3,99.8,49.2,,,116.2,69.0,69.5,91.0,61.0,23.6,14.9,8.11,8.81,9.45
Cash Conversion Cycle,44.1,60.6,-153.6,232.6,144.5,12.9,94.4,216.0,,,124.3,166.2,123.8,129.1,212.1,205.6,238.3,222.9,227.2,219.4
