,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,2.13,1.51,1.10,,,,2.13,1.74,1.48,1.37,1.21,1.16,1.22,1.24,1.03
Earnings per Share,,,0.10,0.12,0.27,0.14,0.10,0.063,,,0.016,0.019,0.023,0.019,0.014,0.015,0.015,0.007,0.018,-0.002
Revenue per Share,,,0.31,0.30,0.37,0.42,0.34,0.33,,,0.079,0.085,0.087,0.085,0.089,0.084,0.070,0.070,0.080,0.11
Dividend per Share,,,0.00,0.017,0.00,0.25,,0.060,,,0.00,0.00,,,,,0.060,,,
Capital Expenditures per Share,,,0.00,0.21,0.006,0.003,0.022,0.42,,,0.002,0.003,0.014,0.022,0.15,0.12,0.12,0.27,0.089,0.037
Book Value per Share,,,0.48,0.59,0.54,0.68,0.95,1.02,,,0.47,0.48,0.95,0.97,0.99,1.00,1.02,1.02,0.98,0.98
Price to Earnings Ratio,,,,,,,16.3,16.8,,,,18.3,20.2,18.2,16.9,15.1,16.8,19.8,20.1,20.7
Price to Book Value Ratio,,,,,,,1.57,1.08,,,,3.32,1.57,1.20,1.32,1.03,1.08,1.06,1.12,0.88
EV to EBITDA,,,,,,0.00,20.5,18.7,,,0.00,0.00,20.5,16.5,18.9,20.5,18.7,30.9,30.9,28.8
Dividend Payout Ratio,,,0.0%,14.6%,0.0%,187.9%,,94.9%,,,0.0%,0.0%,,,,,94.9%,,,
Common Shares Outstanding,,,930.0,930.0,930.0,930.0,930.0,930.0,,,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0
Total Revenue,,,289.3,277.1,343.3,392.2,312.3,304.7,,,73.7,78.8,81.1,79.1,83.0,77.7,65.0,65.4,74.5,97.9
"Cost of Revenue, Total",,,173.6,155.0,199.6,236.6,190.1,186.9,,,46.8,48.5,48.4,48.0,52.2,49.3,37.5,40.3,38.2,70.2
Gross Profit,,,115.6,122.1,143.6,155.6,122.1,117.8,,,26.9,30.3,32.7,31.1,30.8,28.4,27.5,25.0,36.3,27.8
"Selling/General/Administrative Expenses, Total",,,22.1,29.6,41.7,47.7,61.3,76.3,,,15.1,15.6,17.8,17.5,21.8,19.5,17.5,20.6,22.1,29.0
Operating Income,,,91.7,92.5,104.3,107.8,60.9,41.5,,,11.8,14.7,14.9,13.6,9.00,8.93,9.98,4.40,14.2,-1.22
Net Income,,,90.4,109.9,116.6,127.6,73.9,58.8,,,14.8,17.3,18.3,17.9,13.1,14.1,13.6,6.09,16.7,-1.43
